dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,211.048013,138.112659,0.007907,0.790707,39.535336,1976.766789,4.083020
0.020000,211.047671,138.112189,0.008489,0.029078,-38.081412,-3880.837407,4.082983
0.020000,211.046985,138.111248,0.009653,0.058207,1.456445,1976.892848,4.082909
0.020000,211.045956,138.109834,0.011402,0.087437,1.461488,0.252168,4.082798
0.020000,210.997239,138.042975,0.094126,4.136234,202.439850,10048.918124,4.082649
0.020000,210.902370,137.912813,0.255193,8.053338,195.855207,-329.232181,4.082464
0.020000,210.788484,137.756628,0.448490,9.664861,80.576133,-5763.953705,4.082240
0.020000,210.655565,137.574433,0.674017,11.276350,80.574470,-0.083111,4.081978
0.020000,210.503587,137.366237,0.931782,12.888254,80.595170,1.034984,4.081677
0.020000,210.332522,137.132051,1.221793,14.500552,80.614907,0.986865,4.081337
0.020000,210.142335,136.871884,1.544063,16.113469,80.645858,1.547517,4.080956
0.020000,209.932991,136.585752,1.898600,17.726870,80.670049,1.209573,4.080536
0.020000,209.704451,136.273672,2.285413,19.340646,80.688776,0.936323,4.080074
0.020000,209.456669,135.935658,2.704519,20.955281,80.731762,2.149330,4.079570
0.020000,209.189595,135.571729,3.155930,22.570591,80.765516,1.687669,4.079023
0.020000,208.903179,135.181908,3.639661,24.186516,80.796260,1.537191,4.078432
0.020000,208.597362,134.766216,4.155726,25.803266,80.837478,2.060931,4.077796
0.020000,208.272084,134.324680,4.704142,27.420820,80.877705,2.011365,4.077115
0.020000,207.927273,133.857322,5.284933,29.039524,80.935183,2.873875,4.076386
0.020000,207.562863,133.364175,5.898112,30.658973,80.972460,1.863830,4.075608
0.020000,207.178774,132.845270,6.543702,32.279496,81.026145,2.684275,4.074781
0.020000,206.774928,132.300643,7.221722,33.900968,81.073617,2.373618,4.073903
0.020000,206.351232,131.730327,7.932199,35.523880,81.145600,3.599121,4.072973
0.020000,205.907597,131.134363,8.675156,37.147819,81.196931,2.566552,4.071988
0.020000,205.443924,130.512796,9.450616,38.773005,81.259336,3.120253,4.070948
0.020000,204.960106,129.865668,10.258611,40.399738,81.336612,3.863800,4.069851
0.020000,204.456035,129.193032,11.099162,42.027554,81.390839,2.711338,4.068694
0.020000,203.931593,128.494942,11.972300,43.656915,81.468031,3.859625,4.067477
0.020000,203.386654,127.771452,12.878057,45.287848,81.546633,3.930091,4.066196
0.020000,202.821087,127.022621,13.816467,46.920503,81.632740,4.305375,4.064851
0.020000,202.234755,126.248519,14.787559,48.554612,81.705494,3.637651,4.063439
0.020000,201.627511,125.449213,15.791369,50.190506,81.794694,4.460044,4.061957
0.020000,200.999202,124.624779,16.827933,51.828167,81.883053,4.417907,4.060404
0.020000,200.349664,123.775295,17.897289,53.467800,81.981640,4.929348,4.058777
0.020000,199.678726,122.900844,18.999479,55.109504,82.085196,5.177801,4.057074
0.020000,198.986212,122.001521,20.134536,56.752884,82.168982,4.189321,4.055292
0.020000,198.271931,121.077421,21.302509,58.398630,82.287331,5.917455,4.053428
0.020000,197.535683,120.128644,22.503442,60.046637,82.400357,5.651301,4.051480
0.020000,196.777262,119.155303,23.737376,61.696720,82.504133,5.188791,4.049444
0.020000,195.996451,118.157515,25.004359,63.349167,82.622367,5.911701,4.047318
0.020000,195.193019,117.135402,26.304443,65.004194,82.751325,6.447917,4.045099
0.020000,194.366724,116.089096,27.637680,66.661844,82.882529,6.560172,4.042783
0.020000,193.517320,115.018744,29.004113,68.321659,82.990715,5.409312,4.040367
0.020000,192.644536,113.924486,30.403810,69.984852,83.159671,8.447793,4.037848
0.020000,191.748102,112.806488,31.836819,71.650440,83.279388,5.985880,4.035221
0.020000,190.827728,111.664918,33.303199,73.318999,83.427957,7.428447,4.032484
0.020000,189.883110,110.499956,34.803012,74.990627,83.581395,7.671909,4.029633
0.020000,188.913936,109.311794,36.336318,76.665317,83.734514,7.655921,4.026663
0.020000,187.919872,108.100634,37.903185,78.343332,83.900745,8.311560,4.023570
0.020000,186.900573,106.866689,39.503682,80.024851,84.075950,8.760254,4.020350
0.020000,185.855683,105.610193,41.137872,81.709513,84.233087,7.856825,4.016999
0.020000,184.784826,104.331389,42.805828,83.397783,84.413507,9.021034,4.013512
0.020000,183.687605,103.030531,44.507628,85.090001,84.610912,9.870227,4.009885
0.020000,182.563615,101.707895,46.243346,86.785930,84.796450,9.276900,4.006112
0.020000,181.412428,100.363770,48.013065,88.485933,85.000130,10.184015,4.002189
0.020000,180.233602,98.998469,49.816860,90.189766,85.191678,9.577371,3.998110
0.020000,179.026678,97.612322,51.654813,91.897628,85.393083,10.070271,3.993871
0.020000,177.791168,96.205667,53.527021,93.610421,85.639657,12.328675,3.989465
0.020000,176.526577,94.778879,55.433566,95.327216,85.839746,10.004455,3.984886
0.020000,175.232385,93.332351,57.374539,97.048670,86.072673,11.646373,3.980130
0.020000,173.908052,91.866495,59.350038,98.774926,86.312807,12.006715,3.975190
0.020000,172.553016,90.381752,61.360157,100.505986,86.553032,12.011245,3.970060
0.020000,171.166699,88.878592,63.404996,102.241913,86.796322,12.164504,3.964734
0.020000,169.748490,87.357502,65.484667,103.983580,87.083333,14.350526,3.959204
0.020000,168.297775,85.819016,67.599262,105.729746,87.308306,11.248678,3.953465
0.020000,166.813904,84.263689,69.748894,107.481596,87.592492,14.209298,3.947510
0.020000,165.296204,82.692107,71.933678,109.239205,87.880457,14.398219,3.941331
0.020000,163.743990,81.104900,74.153722,111.002191,88.149334,13.443861,3.934921
0.020000,162.156546,79.502727,76.409146,112.771197,88.450287,15.047653,3.928273
0.020000,160.533142,77.886297,78.700060,114.545711,88.725720,13.771652,3.921380
0.020000,158.873021,76.256352,81.026586,116.326303,89.029581,15.193056,3.914234
0.020000,157.175405,74.613682,83.388844,118.112896,89.329629,15.002414,3.906827
0.020000,155.439493,72.959118,85.786962,119.905916,89.650991,16.068100,3.899151
0.020000,153.664471,71.293550,88.221058,121.704774,89.942904,14.595627,3.891200
0.020000,151.849502,69.617912,90.691255,123.509838,90.253221,15.515858,3.882964
0.020000,149.993726,67.933192,93.197684,125.321479,90.582035,16.440711,3.874436
0.020000,148.096277,66.240440,95.740463,127.138922,90.872166,14.506534,3.865608
0.020000,146.156266,64.540761,98.319717,128.962711,91.189443,15.863844,3.856473
0.020000,144.172796,62.835325,100.935565,130.792432,91.486043,14.829988,3.847021
0.020000,142.144955,61.125364,103.588131,132.628299,91.793379,15.366809,3.837247
0.020000,140.071824,59.412178,106.277532,134.470029,92.086475,14.654804,3.827142
0.020000,137.952484,57.697139,109.003878,136.317315,92.364321,13.892293,3.816700
0.020000,135.786012,55.981692,111.767275,138.169836,92.626020,13.084940,3.805913
0.020000,133.571486,54.267352,114.567826,140.027554,92.885936,12.995841,3.794775
0.020000,131.307994,52.555715,117.405623,141.889844,93.114477,11.427038,3.783281
0.020000,128.994633,50.848453,120.280755,143.756622,93.338899,11.221086,3.771424
0.020000,126.637428,49.152225,123.184823,145.203369,72.337347,-1050.077572,3.759236
0.020000,124.256646,47.483091,126.092421,145.379909,8.827004,-3175.517177,3.746824
0.020000,121.873417,45.856174,128.978013,144.279588,-55.016022,-3192.151276,3.734304
0.020000,119.495514,44.276274,131.832922,142.745441,-76.707373,-1084.567551,3.721725
0.020000,117.123831,42.743238,134.656941,141.200965,-77.223800,-25.821380,3.709099
0.020000,114.759275,41.256856,137.449870,139.646472,-77.724630,-25.041500,3.696439
0.020000,112.402774,39.816873,140.211509,138.081911,-78.228096,-25.173277,3.683757
0.020000,110.055274,38.422979,142.941655,136.507311,-78.729970,-25.093715,3.671067
0.020000,107.717729,37.074819,145.640108,134.922671,-79.232003,-25.101636,3.658381
0.020000,105.391107,35.771985,148.306670,133.328072,-79.729974,-24.898579,3.645711
0.020000,103.076375,34.514021,150.941144,131.723694,-80.218881,-24.445340,3.633071
0.020000,100.774505,33.300424,153.543340,130.109827,-80.693355,-23.723705,3.620472
0.020000,98.486474,32.130645,156.113061,128.486064,-81.188134,-24.738943,3.607926
0.020000,96.213239,31.004088,158.650133,126.853564,-81.625031,-21.844868,3.595446
0.020000,93.955759,29.920113,161.154372,125.211975,-82.079415,-22.719161,3.583042
0.020000,91.714982,28.878044,163.625605,123.561639,-82.516809,-21.869705,3.570726
0.020000,89.491838,27.877160,166.063665,121.902995,-82.932205,-20.769807,3.558507
0.020000,87.287237,26.916706,168.468397,120.236586,-83.320438,-19.411653,3.546397
0.020000,85.102076,25.995893,170.839647,118.562520,-83.703289,-19.142544,3.534405
0.020000,82.937226,25.113900,173.177271,116.881213,-84.065391,-18.105102,3.522539
0.020000,80.793538,24.269881,175.481130,115.192936,-84.413823,-17.421602,3.510809
