dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,185.583446,156.654661,0.007907,0.790707,39.535336,1976.766789,4.083020
0.020000,185.583789,156.655131,0.008489,0.029078,-38.081412,-3880.837407,4.082983
0.020000,185.584474,156.656072,0.009653,0.058207,1.456445,1976.892848,4.082909
0.020000,185.585504,156.657486,0.011402,0.087437,1.461488,0.252168,4.082798
0.020000,185.539539,156.594403,0.089453,3.902589,190.757604,9464.805798,4.082649
0.020000,185.448119,156.468974,0.244664,7.760519,192.896493,106.944437,4.082464
0.020000,185.338387,156.318486,0.430910,9.312328,77.590446,-5765.302333,4.082240
0.020000,185.210334,156.142961,0.648180,10.863493,77.558269,-1.608834,4.081978
0.020000,185.063945,155.942421,0.896467,12.414343,77.542493,-0.788807,4.081677
0.020000,184.899200,155.716888,1.175762,13.964756,77.520618,-1.093779,4.081337
0.020000,184.716079,155.466387,1.486059,15.514842,77.504339,-0.813917,4.080956
0.020000,184.514559,155.190948,1.827346,17.064369,77.476318,-1.401062,4.080536
0.020000,184.294616,154.890607,2.199609,18.613124,77.437773,-1.927247,4.080074
0.020000,184.056220,154.565398,2.602838,20.161470,77.417271,-1.025115,4.079570
0.020000,183.799340,154.215359,3.037021,21.709120,77.382527,-1.737205,4.079023
0.020000,183.523944,153.840537,3.502139,23.255910,77.339492,-2.151748,4.078432
0.020000,183.229995,153.440977,3.998177,24.801932,77.301081,-1.920526,4.077796
0.020000,182.917454,153.016730,4.525119,26.347056,77.256209,-2.243592,4.077115
0.020000,182.586275,152.567848,5.082949,27.891503,77.222337,-1.693610,4.076386
0.020000,182.236415,152.094393,5.671644,29.434771,77.163420,-2.945872,4.075608
0.020000,181.867824,151.596425,6.291185,30.977062,77.114556,-2.443209,4.074781
0.020000,181.480451,151.074013,6.941548,32.518141,77.053944,-3.030587,4.073903
0.020000,181.074235,150.527225,7.622715,34.058360,77.010970,-2.148695,4.072973
0.020000,180.649118,149.956138,8.334659,35.597205,76.942227,-3.437163,4.071988
0.020000,180.205036,149.360834,9.077355,37.134766,76.878053,-3.208682,4.070948
0.020000,179.741918,148.741393,9.850779,38.671205,76.821960,-2.804634,4.069851
0.020000,179.259695,148.097912,10.654898,40.205956,76.737541,-4.220977,4.068694
0.020000,178.758288,147.430484,11.489685,41.739331,76.668734,-3.440325,4.067477
0.020000,178.237616,146.739210,12.355109,43.271226,76.594771,-3.698146,4.066196
0.020000,177.697588,146.024195,13.251142,44.801653,76.521347,-3.671235,4.064851
0.020000,177.138117,145.285556,14.177747,46.330221,76.428411,-4.646763,4.063439
0.020000,176.559105,144.523411,15.134889,47.857107,76.344284,-4.206364,4.061957
0.020000,175.960449,143.737886,16.122532,49.382153,76.252301,-4.599175,4.060404
0.020000,175.342040,142.929112,17.140640,50.905410,76.162854,-4.472351,4.058777
0.020000,174.703762,142.097228,18.189176,52.426825,76.070749,-4.605245,4.057074
0.020000,174.045500,141.242387,19.268094,53.945871,75.952299,-5.922507,4.055292
0.020000,173.367125,140.364739,20.377355,55.463051,75.858993,-4.665275,4.053428
0.020000,172.668501,139.464446,21.516917,56.978104,75.752684,-5.315452,4.051480
0.020000,171.949491,138.541684,22.686731,58.490694,75.629487,-6.159860,4.049444
0.020000,171.209949,137.596633,23.886749,60.000928,75.511697,-5.889508,4.047318
0.020000,170.449718,136.629480,25.116926,61.508839,75.395520,-5.808815,4.045099
0.020000,169.668636,135.640425,26.377212,63.014292,75.272691,-6.141456,4.042783
0.020000,168.866538,134.629683,27.667546,64.516675,75.119143,-7.677405,4.040367
0.020000,168.043238,133.597465,28.987885,66.016951,75.013770,-5.268681,4.037848
0.020000,167.198556,132.544010,30.338165,67.513999,74.852438,-8.066589,4.035221
0.020000,166.332296,131.469559,31.718328,69.008172,74.708634,-7.190202,4.032484
0.020000,165.444253,130.374368,33.128315,70.499361,74.559441,-7.459617,4.029633
0.020000,164.534216,129.258705,34.568062,71.987355,74.399730,-7.985560,4.026663
0.020000,163.601960,128.122851,36.037506,73.472193,74.241857,-7.893671,4.023570
0.020000,162.647253,126.967098,37.536583,74.953825,74.081635,-8.011090,4.020350
0.020000,161.669855,125.791762,39.065217,76.431695,73.893497,-9.406919,4.016999
0.020000,160.669514,124.597167,40.623337,77.906014,73.715929,-8.878375,4.013512
0.020000,159.645965,123.383651,42.210874,79.376868,73.542690,-8.661947,4.009885
0.020000,158.598933,122.151574,43.827750,80.843800,73.346596,-9.804697,4.006112
0.020000,157.528134,120.901310,45.473888,82.306908,73.155416,-9.559009,4.002189
0.020000,156.433275,119.633256,47.149203,83.765723,72.940740,-10.733790,3.998110
0.020000,155.314049,118.347828,48.853606,85.220180,72.722866,-10.893730,3.993871
0.020000,154.170131,117.045451,50.587024,86.670865,72.534248,-9.430887,3.989465
0.020000,153.001195,115.726585,52.349357,88.116661,72.289784,-12.223199,3.984886
0.020000,151.806897,114.391707,54.140515,89.557918,72.062888,-11.344796,3.980130
0.020000,150.586880,113.041314,55.960405,90.994512,71.829680,-11.660392,3.975190
0.020000,149.340779,111.675931,57.808929,92.426184,71.583578,-12.305094,3.970060
0.020000,148.068214,110.296108,59.685984,93.852731,71.327383,-12.809752,3.964734
0.020000,146.768784,108.902411,61.591478,95.274700,71.098428,-11.447749,3.959204
0.020000,145.442095,107.495452,63.525292,96.690698,70.799930,-14.924905,3.953465
0.020000,144.087724,106.075859,65.487323,98.101564,70.543305,-12.831239,3.947510
0.020000,142.705237,104.644287,67.477466,99.507124,70.277995,-13.265505,3.941331
0.020000,141.294195,103.201431,69.495602,100.906799,69.983726,-14.713458,3.934921
0.020000,139.854139,101.748010,71.541621,102.300953,69.707704,-13.801087,3.928273
0.020000,138.384605,100.284786,73.615399,103.688920,69.398355,-15.467478,3.921380
0.020000,136.885112,98.812546,75.716820,105.071032,69.105582,-14.638627,3.914234
0.020000,135.355170,97.332118,77.845761,106.447057,68.801249,-15.216680,3.906827
0.020000,133.794271,95.844362,80.002106,107.817243,68.509334,-14.595755,3.899151
0.020000,132.201907,94.350183,82.185725,109.180958,68.185732,-16.180101,3.891200
0.020000,130.577554,92.850524,84.396494,110.538466,67.875385,-15.517332,3.882964
0.020000,128.920675,91.346361,86.634296,111.890072,67.580313,-14.753587,3.874436
0.020000,127.230732,89.838724,88.898998,113.235110,67.251879,-16.421724,3.865608
0.020000,125.507173,88.328678,91.190481,114.574143,66.951672,-15.010324,3.856473
0.020000,123.749445,86.817334,93.508619,115.906946,66.640167,-15.575278,3.847021
0.020000,121.956982,85.305847,95.853298,117.233922,66.348795,-14.568591,3.837247
0.020000,120.129216,83.795418,98.224400,118.555108,66.059300,-14.474718,3.827142
0.020000,118.265577,82.287294,100.621812,119.870613,65.775222,-14.203928,3.816700
0.020000,116.365496,80.782772,103.045425,121.180625,65.500631,-13.729526,3.805913
0.020000,114.428397,79.283190,105.495139,122.485693,65.253373,-12.362923,3.794775
0.020000,112.453711,77.789938,107.970858,123.785957,65.013218,-12.007767,3.783281
0.020000,110.440867,76.304449,110.472501,125.082160,64.810166,-10.152593,3.771424
0.020000,108.395290,74.832459,112.992648,126.007332,46.258565,-927.580053,3.759236
0.020000,106.334643,73.387759,115.509277,125.831484,-8.792401,-2752.548262,3.746824
0.020000,104.277129,71.983184,118.000501,124.561206,-63.513910,-2736.075449,3.734304
