dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,57.900376,134.944553,0.007996,0.799650,39.982483,1999.124174,6.281911
0.020000,57.905189,134.944546,0.012809,0.240645,-27.950243,-3396.636347,6.281605
0.020000,57.914817,134.944528,0.022437,0.481395,12.037514,1999.387876,6.280994
0.020000,57.929264,134.944489,0.036884,0.722355,12.048017,0.525157,6.280077
0.020000,58.073407,134.943951,0.181028,7.207203,324.242373,15609.717782,6.278852
0.020000,58.257472,134.943013,0.365096,9.203355,99.807586,-11221.739333,6.277320
0.020000,58.478399,134.941514,0.586028,11.046606,92.162547,-382.251968,6.275478
0.020000,58.736222,134.939249,0.843861,12.891683,92.253893,4.567311,6.273323
0.020000,59.030959,134.935978,1.138616,14.737719,92.301758,2.393267,6.270855
0.020000,59.362648,134.931427,1.470336,16.586025,92.415334,5.678762,6.268071
0.020000,59.731348,134.925281,1.839088,18.437574,92.577447,8.105665,6.264967
0.020000,60.137077,134.917194,2.244898,20.290492,92.645875,3.421409,6.261541
0.020000,60.579865,134.906778,2.687808,22.145532,92.752021,5.307293,6.257790
0.020000,61.059763,134.893609,3.167886,24.003907,92.918768,8.337370,6.253710
0.020000,61.576797,134.877224,3.685180,25.864662,93.037739,5.948535,6.249297
0.020000,62.131009,134.857119,4.239756,27.728823,93.208053,8.515713,6.244548
0.020000,62.722453,134.832750,4.831702,29.597304,93.424021,10.798400,6.239459
0.020000,63.351134,134.803531,5.461062,31.467984,93.534033,5.500574,6.234024
0.020000,64.017068,134.768838,6.127899,33.341881,93.694840,8.040355,6.228241
0.020000,64.720280,134.727998,6.832296,35.219829,93.897397,10.127848,6.222103
0.020000,65.460759,134.680299,7.574310,37.100707,94.043904,7.325342,6.215608
0.020000,66.238515,134.624982,8.354030,38.986011,94.265175,11.063550,6.208749
0.020000,67.053515,134.561246,9.171519,40.874423,94.420628,7.772668,6.201524
0.020000,67.905735,134.488240,10.026860,42.767081,94.632898,10.613497,6.193927
0.020000,68.795091,134.405073,10.920097,44.661811,94.736508,5.180504,6.185954
0.020000,69.721504,134.310807,11.851293,46.559805,94.899697,8.159468,6.177601
0.020000,70.684878,134.204456,12.820519,48.461327,95.076062,8.818251,6.168864
0.020000,71.685087,134.084989,13.827838,50.365943,95.230825,7.738104,6.159741
0.020000,72.721944,133.951334,14.873273,52.271755,95.290579,2.987747,6.150228
0.020000,73.795244,133.802373,15.956861,54.179399,95.382204,4.581247,6.140323
0.020000,74.904754,133.636948,17.078636,56.088714,95.465748,4.177162,6.130025
0.020000,76.050172,133.453859,18.238594,57.997928,95.460701,-0.252334,6.119332
0.020000,77.231183,133.251869,19.436754,59.908013,95.504257,2.177804,6.108246
0.020000,78.447369,133.029711,20.673065,61.815509,95.374799,-6.472889,6.096767
0.020000,79.698334,132.786074,21.947534,63.723456,95.397355,1.127783,6.084897
0.020000,80.983540,132.519639,23.260066,65.626613,95.157865,-11.974505,6.072641
