dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,57.880306,119.194566,0.007996,0.799650,39.982483,1999.124174,6.281911
0.020000,57.880306,119.194566,0.039982,2.398949,79.964967,1999.124174,6.281605
0.020000,57.880306,119.194566,0.103954,3.998248,79.964967,0.000000,6.280994
0.020000,57.880306,119.194566,0.199912,5.597548,79.964967,-0.000000,6.280077
0.020000,58.005165,119.194099,0.327856,7.196847,79.964967,0.000000,6.278852
0.020000,58.165093,119.193284,0.487786,8.796146,79.964967,0.000000,6.277320
0.020000,58.357003,119.191981,0.679702,10.395446,79.964967,0.000000,6.275478
0.020000,58.580898,119.190015,0.903604,11.994745,79.964967,-0.000000,6.273323
0.020000,58.836764,119.187175,1.159492,13.594044,79.964967,0.000000,6.270855
0.020000,59.124601,119.183226,1.447366,15.193344,79.964967,0.000000,6.268071
0.020000,59.444424,119.177895,1.767226,16.792643,79.964967,0.000000,6.264967
0.020000,59.796207,119.170883,2.119072,18.391942,79.964967,-0.000000,6.261541
0.020000,60.179931,119.161857,2.502903,19.991242,79.964967,0.000000,6.257790
0.020000,60.595592,119.150450,2.918721,21.590541,79.964967,0.000000,6.253710
0.020000,61.043164,119.136267,3.366525,23.189840,79.964967,0.000000,6.249297
0.020000,61.522629,119.118873,3.846315,24.789140,79.964967,-0.000000,6.244548
0.020000,62.033979,119.097804,4.358091,26.388439,79.964967,0.000000,6.239459
0.020000,62.577159,119.072560,4.901852,27.987738,79.964967,0.000000,6.234024
0.020000,63.152124,119.042606,5.477600,29.587038,79.964967,0.000000,6.228241
0.020000,63.758835,119.007370,6.085334,31.186337,79.964967,-0.000000,6.222103
0.020000,64.397222,118.966248,6.725054,32.785636,79.964967,0.000000,6.215608
0.020000,65.067232,118.918595,7.396759,34.384936,79.964967,-0.000000,6.208749
0.020000,65.768777,118.863731,8.100451,35.984235,79.964967,0.000000,6.201524
0.020000,66.501777,118.800939,8.836129,37.583534,79.964967,0.000000,6.193927
0.020000,67.266103,118.729465,9.603793,39.182834,79.964967,-0.000000,6.185954
0.020000,68.061635,118.648517,10.403442,40.782133,79.964967,0.000000,6.177601
0.020000,68.888242,118.557265,11.235078,42.381432,79.964967,0.000000,6.168864
0.020000,69.745773,118.454840,12.098699,43.980732,79.964967,-0.000000,6.159741
0.020000,70.634030,118.340340,12.994307,45.580031,79.964967,0.000000,6.150228
0.020000,71.552810,118.212826,13.921901,47.179330,79.964967,-0.000000,6.140323
0.020000,72.501895,118.071320,14.881480,48.778630,79.964967,0.000000,6.130025
0.020000,73.481019,117.914813,15.873046,50.377929,79.964967,0.000000,6.119332
0.020000,74.489918,117.742260,16.896598,51.977229,79.964967,-0.000000,6.108246
0.020000,75.528252,117.552590,17.952135,53.576528,79.964967,0.000000,6.096767
0.020000,76.595718,117.344693,19.039659,55.175827,79.964967,0.000000,6.084897
0.020000,77.691908,117.117442,20.159168,56.775127,79.964967,-0.000000,6.072641
0.020000,78.816438,116.869679,21.310664,58.374426,79.964967,0.000000,6.060003
0.020000,79.968822,116.600237,22.494145,59.973725,79.964967,0.000000,6.046991
0.020000,81.148612,116.307915,23.709613,61.573025,79.964967,-0.000000,6.033612
0.020000,82.355262,115.991515,24.957066,63.172324,79.964967,0.000000,6.019878
0.020000,83.588216,115.649824,26.236506,64.771623,79.964967,-0.000000,6.005801
0.020000,84.846873,115.281628,27.547931,66.370923,79.964967,0.000000,5.991394
0.020000,86.130613,114.885710,28.891343,67.970222,79.964967,-0.000000,5.976675
0.020000,87.438740,114.460873,30.266740,69.569521,79.964967,0.000000,5.961663
0.020000,88.770547,114.005928,31.674123,71.168821,79.964967,-0.000000,5.946378
0.020000,90.125289,113.519708,33.113493,72.768120,79.964967,0.000000,5.930844
0.020000,91.502186,113.001077,34.584848,74.367419,79.964967,-0.000000,5.915086
0.020000,92.900444,112.448926,36.088190,75.966719,79.964967,0.000000,5.899133
0.020000,94.319222,111.862198,37.623517,77.566018,79.964967,-0.000000,5.883013
0.020000,95.757670,111.239881,39.190830,79.165317,79.964967,0.000000,5.866760
0.020000,97.214923,110.581017,40.790130,80.764617,79.964967,-0.000000,5.850407
0.020000,98.690113,109.884704,42.421415,82.363916,79.964967,0.000000,5.833989
0.020000,100.182353,109.150118,44.084686,83.963215,79.964967,-0.000000,5.817543
0.020000,101.690777,108.376498,45.779944,85.562515,79.964967,0.000000,5.801108
0.020000,103.214518,107.563163,47.507187,87.161814,79.964967,0.000000,5.784722
0.020000,104.752731,106.709511,49.266416,88.761113,79.964967,0.000000,5.768425
0.020000,106.304594,105.815028,51.057631,90.360413,79.964967,-0.000000,5.752257
0.020000,107.869320,104.879281,52.880833,91.959712,79.964967,0.000000,5.736259
0.020000,109.446161,103.901929,54.736020,93.559011,79.964967,-0.000000,5.720469
0.020000,111.034417,102.882717,56.623193,95.158311,79.964967,0.000000,5.704928
0.020000,112.633440,101.821481,58.542352,96.757610,79.964967,0.000000,5.689675
0.020000,114.242646,100.718145,60.493497,98.356909,79.964967,0.000000,5.674747
0.020000,115.861516,99.572720,62.476629,99.956209,79.964967,-0.000000,5.660181
0.020000,117.489605,98.385305,64.491746,101.555508,79.964967,0.000000,5.646014
0.020000,119.126544,97.156081,66.538849,103.154807,79.964967,-0.000000,5.632278
0.020000,120.772051,95.885312,68.617938,104.754107,79.964967,0.000000,5.619007
0.020000,122.425930,94.573340,70.729013,106.353406,79.964967,0.000000,5.606233
0.020000,124.088070,93.220589,72.872074,107.952705,79.964967,0.000000,5.593986
0.020000,125.758465,91.827551,75.047121,109.552005,79.964967,-0.000000,5.582295
0.020000,127.437201,90.394792,77.254155,111.151304,79.964967,0.000000,5.571187
0.020000,129.124463,88.922954,79.493174,112.750603,79.964967,-0.000000,5.560688
0.020000,130.820539,87.412741,81.764179,114.349903,79.964967,0.000000,5.550824
0.020000,132.525824,85.864927,84.067170,115.949202,79.964967,-0.000000,5.541621
0.020000,134.234971,84.285802,86.394150,116.748852,39.982483,-1999.124174,5.533129
0.020000,135.936907,82.687584,88.728872,116.723289,-1.278147,-2063.031509,5.525415
0.020000,137.620973,81.082848,91.055085,115.898076,-41.260630,-1999.124174,5.518523
0.020000,139.277179,79.484091,93.357054,114.298777,-79.964967,-1935.216838,5.512474
0.020000,140.901467,77.898375,95.627036,112.699478,-79.964967,0.000000,5.507253
0.020000,142.495308,76.327293,97.865033,111.100178,-79.964967,-0.000000,5.502821
0.020000,144.060078,74.772311,100.071044,109.500879,-79.964967,0.000000,5.499142
0.020000,145.597068,73.234767,102.245068,107.901580,-79.964967,-0.000000,5.496181
0.020000,147.107475,71.715886,104.387107,106.302280,-79.964967,0.000000,5.493905
0.020000,148.592412,70.216791,106.497159,104.702981,-79.964967,0.000000,5.492282
0.020000,150.052905,68.738507,108.575226,103.103681,-79.964967,0.000000,5.491284
0.020000,151.489899,67.281972,110.621307,101.504382,-79.964967,-0.000000,5.490879
0.020000,152.904258,65.848038,112.635401,99.905083,-79.964967,0.000000,5.491043
0.020000,154.296769,64.437482,114.617510,98.305783,-79.964967,-0.000000,5.491747
0.020000,155.668146,63.051009,116.567633,96.706484,-79.964967,0.000000,5.492967
0.020000,157.019028,61.689258,118.485769,95.107185,-79.964967,-0.000000,5.494678
0.020000,158.349986,60.352803,120.371920,93.507885,-79.964967,0.000000,5.496857
0.020000,159.661527,59.042160,122.226085,91.908586,-79.964967,-0.000000,5.499481
0.020000,160.954091,57.757787,124.048263,90.309287,-79.964967,0.000000,5.502528
0.020000,162.228058,56.500091,125.838456,88.709987,-79.964967,-0.000000,5.505976
0.020000,163.483748,55.269429,127.596663,87.110688,-79.964967,0.000000,5.509803
0.020000,164.721427,54.066106,129.322884,85.511389,-79.964967,-0.000000,5.513990
0.020000,165.941306,52.890384,131.017118,83.912089,-79.964967,0.000000,5.518515
0.020000,167.143545,51.742481,132.679367,82.312790,-79.964967,-0.000000,5.523358
0.020000,168.328259,50.622567,134.309630,80.713491,-79.964967,0.000000,5.528501
0.020000,169.495512,49.530777,135.907907,79.114191,-79.964967,0.000000,5.533921
0.020000,170.645326,48.467204,137.474198,77.514892,-79.964967,0.000000,5.539601
0.020000,171.777684,47.431901,139.008503,75.915593,-79.964967,-0.000000,5.545521
0.020000,172.892528,46.424888,140.510821,74.316293,-79.964967,0.000000,5.551661
0.020000,173.989766,45.446143,141.981154,72.716994,-79.964967,-0.000000,5.558002
0.020000,175.069270,44.495617,143.419501,71.117695,-79.964967,0.000000,5.564524
0.020000,176.130886,43.573218,144.825862,69.518395,-79.964967,0.000000,5.571210
0.020000,177.174424,42.678832,146.200237,67.919096,-79.964967,0.000000,5.578039
0.020000,178.199672,41.812307,147.542626,66.319797,-79.964967,-0.000000,5.584994
0.020000,179.206396,40.973464,148.853029,64.720497,-79.964967,0.000000,5.592054
0.020000,180.194335,40.162096,150.131446,63.121198,-79.964967,-0.000000,5.599203
0.020000,181.163215,39.377968,151.377877,61.521899,-79.964967,0.000000,5.606420
0.020000,182.112741,38.620821,152.592322,59.922599,-79.964967,-0.000000,5.613688
0.020000,183.042604,37.890371,153.774781,58.323300,-79.964967,0.000000,5.620990
0.020000,183.952484,37.186314,154.925254,56.724001,-79.964967,-0.000000,5.628306
0.020000,184.842053,36.508319,156.043741,55.124701,-79.964967,0.000000,5.635621
0.020000,185.710969,35.856046,157.130242,53.525402,-79.964967,0.000000,5.642915
0.020000,186.558891,35.229128,158.184757,51.926103,-79.964967,-0.000000,5.650174
0.020000,187.385469,34.627189,159.207286,50.326803,-79.964967,0.000000,5.657380
0.020000,188.190352,34.049839,160.197829,48.727504,-79.964967,0.000000,5.664518
0.020000,188.973191,33.496672,161.156386,47.128205,-79.964967,-0.000000,5.671571
0.020000,189.733632,32.967279,162.082957,45.528905,-79.964967,0.000000,5.678526
0.020000,190.471332,32.461237,162.977542,43.929606,-79.964967,-0.000000,5.685367
0.020000,191.185946,31.978121,163.840141,42.330307,-79.964967,0.000000,5.692080
0.020000,191.877137,31.517501,164.670755,40.731007,-79.964967,0.000000,5.698651
0.020000,192.544573,31.078945,165.469382,39.131708,-79.964967,-0.000000,5.705069
0.020000,193.187932,30.662021,166.236023,37.532409,-79.964967,0.000000,5.711320
0.020000,193.806899,30.266299,166.970678,35.933109,-79.964967,0.000000,5.717393
0.020000,194.401169,29.891352,167.673347,34.333810,-79.964967,-0.000000,5.723276
0.020000,194.970448,29.536759,168.344030,32.734511,-79.964967,0.000000,5.728959
0.020000,195.514452,29.202108,168.982728,31.135211,-79.964967,0.000000,5.734432
0.020000,196.032912,28.886991,169.589439,29.535912,-79.964967,-0.000000,5.739685
0.020000,196.525564,28.591016,170.164164,27.936613,-79.964967,0.000000,5.744710
0.020000,196.992164,28.313800,170.706903,26.337313,-79.964967,0.000000,5.749498
0.020000,197.432478,28.054972,171.217657,24.738014,-79.964967,-0.000000,5.754041
0.020000,197.846286,27.814180,171.696424,23.138715,-79.964967,0.000000,5.758333
0.020000,198.233381,27.591083,172.143205,21.539415,-79.964967,0.000000,5.762366
0.020000,198.593565,27.385364,172.558001,19.940116,-79.964967,-0.000000,5.766135
0.020000,198.926664,27.196716,172.940810,18.340817,-79.964967,0.000000,5.769634
0.020000,199.232510,27.024858,173.291633,16.741517,-79.964967,0.000000,5.772857
0.020000,199.510951,26.869527,173.610471,15.142218,-79.964967,-0.000000,5.775801
0.020000,199.761849,26.730482,173.897322,13.542919,-79.964967,0.000000,5.778461
0.020000,199.985081,26.607502,174.152187,11.943619,-79.964967,-0.000000,5.780833
0.020000,200.180537,26.500391,174.375067,10.344320,-79.964967,0.000000,5.782915
0.020000,200.348117,26.408977,174.565960,8.745020,-79.964967,0.000000,5.784703
0.020000,200.487744,26.333108,174.724868,7.145721,-79.964967,0.000000,5.786194
0.020000,200.599347,26.272661,174.851789,5.546422,-79.964967,-0.000000,5.787388
0.020000,200.682870,26.227535,174.946724,3.947122,-79.964967,-0.000000,5.788283
0.020000,200.738276,26.197653,175.009674,2.347823,-79.964967,-0.000000,5.788876
0.020000,200.765761,26.182846,175.040893,0.774087,-78.686820,63.907336,5.789171
0.020000,200.772577,26.179175,175.048634,0.000000,-38.704337,1999.124174,5.789244
0.020000,200.772577,26.179175,175.048634,0.000000,0.000000,1935.216838,5.789244
