dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,57.860236,103.444578,0.007996,0.799650,39.982483,1999.124174,6.281911
0.020000,57.855423,103.444585,0.012809,0.240645,-27.950243,-3396.636347,6.281605
0.020000,57.845795,103.444603,0.022437,0.481395,12.037514,1999.387876,6.280994
0.020000,57.831348,103.444642,0.036884,0.722355,12.048017,0.525157,6.280077
0.020000,57.936923,103.444247,0.142460,5.278767,227.820599,10788.629089,6.278852
0.020000,58.072714,103.443555,0.278253,6.789668,75.545027,-7613.778586,6.277320
0.020000,58.235607,103.442449,0.441149,8.144799,67.756551,-389.423833,6.275478
0.020000,58.425574,103.440780,0.631124,9.498733,67.696716,-2.991716,6.273323
0.020000,58.642569,103.438373,0.848132,10.850426,67.584646,-5.603511,6.270855
0.020000,58.886555,103.435025,1.092141,12.200452,67.501296,-4.167519,6.268071
0.020000,59.157500,103.430509,1.363124,13.549142,67.434475,-3.341045,6.264967
0.020000,59.455336,103.424572,1.661019,14.894749,67.280389,-7.704268,6.261541
0.020000,59.779996,103.416935,1.985769,16.237481,67.136604,-7.189269,6.257790
0.020000,60.131422,103.407292,2.337327,17.577897,67.020762,-5.792090,6.253710
0.020000,60.509532,103.395309,2.715626,18.914988,66.854577,-8.309241,6.249297
0.020000,60.914250,103.380628,3.120611,20.249229,66.712016,-7.128047,6.244548
0.020000,61.345505,103.362859,3.552232,21.581034,66.590264,-6.087624,6.239459
0.020000,61.803184,103.341589,4.010405,22.908646,66.380595,-10.483457,6.234024
0.020000,62.287180,103.316374,4.495057,24.232637,66.199557,-9.051897,6.228241
0.020000,62.797390,103.286743,5.006127,25.553490,66.042671,-7.844307,6.222103
0.020000,63.333685,103.252198,5.543534,26.870322,65.841583,-10.054407,6.215608
0.020000,63.895949,103.212208,6.107218,28.184205,65.694162,-7.371054,6.208749
0.020000,64.484038,103.166217,6.697103,29.494244,65.501947,-9.610724,6.201524
0.020000,65.097818,103.113638,7.313130,30.801392,65.357402,-7.227236,6.193927
0.020000,65.737115,103.053857,7.955217,32.104302,65.145502,-10.595029,6.185954
0.020000,66.401766,102.986227,8.623299,33.404147,64.992230,-7.663587,6.177601
0.020000,67.091606,102.910073,9.317330,34.701529,64.869091,-6.156957,6.168864
0.020000,67.806458,102.824691,10.037263,35.996664,64.756757,-5.616691,6.159741
0.020000,68.546116,102.729347,10.783040,37.288847,64.609154,-7.380160,6.150228
0.020000,69.310377,102.623278,11.554627,38.579322,64.523753,-4.270029,6.140323
0.020000,70.099037,102.505692,12.352005,39.868903,64.479041,-2.235604,6.130025
0.020000,70.911867,102.375767,13.175153,41.157413,64.425529,-2.675591,6.119332
0.020000,71.748652,102.232651,14.024089,42.446790,64.468829,2.164973,6.108246
0.020000,72.609134,102.075470,14.898809,43.735997,64.460356,-0.423625,6.096767
0.020000,73.493101,101.903311,15.799384,45.028780,64.639132,8.938797,6.084897
0.020000,74.400277,101.715246,16.725848,46.323206,64.721320,4.109406,6.072641
0.020000,75.330425,101.510310,17.678305,47.622826,64.980995,12.983750,6.060003
0.020000,76.283250,101.287528,18.656829,48.926197,65.168570,9.378734,6.046991
0.020000,77.258516,101.045882,19.661585,50.237818,65.581006,20.621793,6.033612
0.020000,78.255929,100.784346,20.692718,51.556634,65.940832,17.991289,6.019878
0.020000,79.275219,100.501869,21.750425,52.885374,66.437012,24.809013,6.005801
0.020000,80.316104,100.197377,22.834933,54.225380,67.000258,28.162320,5.991394
0.020000,81.378319,99.869779,23.946518,55.579261,67.694088,34.691484,5.976675
0.020000,82.461564,99.517975,25.085459,56.947016,68.387742,34.682687,5.961663
0.020000,83.565560,99.140848,26.252091,58.331627,69.230537,42.139760,5.946378
0.020000,84.690023,98.737273,27.446784,59.734625,70.149899,45.968104,5.930844
0.020000,85.834667,98.306121,28.669936,61.157643,71.150888,50.049443,5.915086
0.020000,86.999220,97.846253,29.921999,62.603139,72.274831,56.197142,5.899133
0.020000,88.183389,97.356542,31.203433,64.071697,73.427900,57.653450,5.883013
0.020000,89.386895,96.835864,32.514743,65.565468,74.688560,63.033008,5.866760
0.020000,90.609457,96.283103,33.856459,67.085804,76.016770,66.410520,5.850407
0.020000,91.850806,95.697161,35.229148,68.634456,77.432612,70.792097,5.833989
0.020000,93.110658,95.076966,36.633380,70.211632,78.858769,71.307839,5.817543
0.020000,94.388749,94.421467,38.069764,71.819179,80.377373,75.930207,5.801108
0.020000,95.684814,93.729650,39.538911,73.457368,81.909457,76.604211,5.784722
0.020000,96.998594,93.000541,41.041448,75.126832,83.473185,78.186361,5.768425
0.020000,98.329835,92.233212,42.578002,76.827680,85.042431,78.462333,5.752257
0.020000,99.678301,91.426783,44.149207,78.560292,86.630564,79.406651,5.736259
0.020000,101.043764,90.580434,45.755693,80.324286,88.199715,78.457537,5.720469
0.020000,102.426016,89.693406,47.398082,82.119421,89.756763,77.852423,5.704928
0.020000,103.824868,88.765006,49.076984,83.945128,91.285333,76.428469,5.689675
0.020000,105.240157,87.794613,50.792998,85.800703,92.778761,74.671416,5.674747
0.020000,106.671748,86.781682,52.546704,87.685277,94.228710,72.497418,5.660181
0.020000,108.119543,85.725745,54.338662,89.597908,95.631555,70.142265,5.646014
0.020000,109.583485,84.626415,56.169414,91.537596,96.984367,67.640623,5.632278
0.020000,111.063562,83.483387,58.039478,93.503224,98.281401,64.851699,5.619007
0.020000,112.559816,82.296439,59.949353,95.493714,99.524522,62.156024,5.606233
0.020000,114.072343,81.065437,61.899508,97.507765,100.702540,58.900937,5.593986
0.020000,115.601315,79.790325,63.890403,99.544765,101.849990,57.372495,5.582295
0.020000,117.146967,78.471136,65.922471,101.603395,102.931484,54.074694,5.571187
0.020000,118.709615,77.107986,67.996127,103.682789,103.969727,51.912119,5.560688
0.020000,120.289663,75.701073,70.111772,105.782263,104.973703,50.198802,5.550824
0.020000,121.887606,74.250676,72.269798,107.901273,105.950495,48.839624,5.541621
0.020000,123.498511,72.762308,74.463027,109.661450,88.008845,-897.082513,5.533129
0.020000,125.111877,71.247251,76.676248,110.661067,49.980877,-1901.398419,5.525415
0.020000,126.717355,69.717390,78.893912,110.883198,11.106508,-1943.718450,5.518523
0.020000,128.305015,68.184795,81.100609,110.334853,-27.417251,-1926.187947,5.512474
0.020000,129.870455,66.656521,83.288353,109.387209,-47.382197,-998.247286,5.507253
0.020000,131.414580,65.134440,85.456544,108.409533,-48.883774,-75.078823,5.502821
0.020000,132.938245,63.620302,87.604605,107.403079,-50.322721,-71.947354,5.499142
0.020000,134.442261,62.115738,89.731993,106.369378,-51.685039,-68.115904,5.496181
0.020000,135.927391,60.622275,91.838185,105.309582,-52.989789,-65.237509,5.493905
0.020000,137.394344,59.141333,93.922684,104.224995,-54.229369,-61.979017,5.492282
0.020000,138.843779,57.674241,95.985019,103.116715,-55.414015,-59.232299,5.491284
0.020000,140.276303,56.222235,98.024735,101.985828,-56.544332,-56.515816,5.490879
0.020000,141.692468,54.786471,100.041401,100.833304,-57.626187,-54.092777,5.491043
0.020000,143.092772,53.368022,102.034602,99.660043,-58.663039,-51.842597,5.491747
0.020000,144.477661,51.967889,104.003940,98.466872,-59.658589,-49.777505,5.492967
0.020000,145.847526,50.587004,105.949029,97.254473,-60.619927,-48.066912,5.494678
0.020000,147.202703,49.226232,107.869499,96.023502,-61.548547,-46.430989,5.496857
0.020000,148.543478,47.886377,109.764991,94.774596,-62.445287,-44.836983,5.499481
0.020000,149.870081,46.568184,111.635154,93.508152,-63.322216,-43.846470,5.502528
0.020000,151.182692,45.272340,113.479648,92.224683,-64.173453,-42.561831,5.505976
0.020000,152.481437,43.999483,115.298137,90.924475,-65.010404,-41.847546,5.509803
0.020000,153.766395,42.750197,117.090296,89.607929,-65.827318,-40.845714,5.513990
0.020000,155.037593,41.525018,118.855801,88.275246,-66.634140,-40.341101,5.518515
0.020000,156.295009,40.324435,120.594334,86.926643,-67.430131,-39.799556,5.523358
0.020000,157.538579,39.148888,122.305584,85.562495,-68.207389,-38.862884,5.528501
0.020000,158.768186,37.998778,123.989236,84.182638,-68.992870,-39.274039,5.533921
0.020000,159.983674,36.874461,125.644984,82.787368,-69.763483,-38.530652,5.539601
0.020000,161.184842,35.776250,127.272520,81.376797,-70.528572,-38.254479,5.545521
0.020000,162.371449,34.704418,128.871538,79.950917,-71.293991,-38.270940,5.551661
0.020000,163.543218,33.659196,130.441738,78.510017,-72.044998,-37.550330,5.558002
0.020000,164.699827,32.640780,131.982815,77.053820,-72.809838,-38.242021,5.564524
0.020000,165.840930,31.649321,133.494472,75.582873,-73.547380,-36.877107,5.571210
0.020000,166.966141,30.684939,134.976407,74.096764,-74.305438,-37.902871,5.578039
0.020000,168.075045,29.747713,136.428323,72.595795,-75.048444,-37.150303,5.584994
0.020000,169.167205,28.837684,137.849930,71.080317,-75.773892,-36.272401,5.592054
0.020000,170.242148,27.954866,139.240927,69.549849,-76.523413,-37.476088,5.599203
0.020000,171.299391,27.099227,140.601030,68.005170,-77.233954,-35.527006,5.606420
0.020000,172.338423,26.270711,141.929949,66.445941,-77.961447,-36.374648,5.613688
0.020000,173.358718,25.469226,143.227401,64.872583,-78.667910,-35.323149,5.620990
0.020000,174.359736,24.694649,144.493105,63.285210,-79.368666,-35.037845,5.628306
0.020000,175.340929,23.946825,145.726790,61.684253,-80.047813,-33.957333,5.635621
0.020000,176.301731,23.225577,146.928181,60.069553,-80.734998,-34.359237,5.642915
0.020000,177.241582,22.530693,148.097019,58.441904,-81.382467,-32.373441,5.650174
0.020000,178.159908,21.861943,149.233042,56.801162,-82.037119,-32.732643,5.657380
0.020000,179.056138,21.219070,150.336000,55.147865,-82.664816,-31.384824,5.664518
0.020000,179.929705,20.601795,151.405648,53.482438,-83.271338,-30.326126,5.671571
0.020000,180.780041,20.009822,152.441748,51.804990,-83.872405,-30.053351,5.678526
0.020000,181.606588,19.442834,153.444073,50.116240,-84.437515,-28.255488,5.685367
0.020000,182.408794,18.900503,154.412400,48.416340,-84.995025,-27.875473,5.692080
0.020000,183.186116,18.382484,155.346516,46.705833,-85.525341,-26.515830,5.698651
0.020000,183.938027,17.888423,156.246219,44.985148,-86.034237,-25.444778,5.705069
0.020000,184.664008,17.417957,157.111314,43.254712,-86.521810,-24.378660,5.711320
0.020000,185.363560,16.970715,157.941613,41.514992,-86.985984,-23.208710,5.717393
0.020000,186.036197,16.546325,158.736942,39.766449,-87.427153,-22.058459,5.723276
0.020000,186.681452,16.144409,159.497133,38.009524,-87.846264,-20.955543,5.728959
0.020000,187.298875,15.764594,160.222027,36.244698,-88.241272,-19.750387,5.734432
0.020000,187.888038,15.406504,160.911477,34.472498,-88.610015,-18.437164,5.739685
