dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,55.837418,133.651477,0.007959,0.795920,39.795993,1989.799648,6.281988
0.020000,55.833415,133.651481,0.011962,0.200139,-29.789048,-3479.252050,6.282242
0.020000,55.825413,133.651486,0.019964,0.400104,9.998236,1989.364184,6.282751
0.020000,55.854415,133.651494,0.048966,1.450098,52.499716,2125.074026,0.000327
0.020000,55.965781,133.651587,0.160332,5.568277,205.908943,7670.461335,0.001341
0.020000,56.105012,133.651862,0.299563,6.961577,69.664991,-6812.197573,0.002608
0.020000,56.272123,133.652424,0.466675,8.355589,69.700603,1.780590,0.004126
0.020000,56.467125,133.653401,0.661680,9.750243,69.732734,1.606542,0.005895
0.020000,56.690041,133.654940,0.884601,11.146055,69.790585,2.892561,0.007912
0.020000,56.940890,133.657209,1.135461,12.542995,69.846972,2.819329,0.010177
0.020000,57.219703,133.660397,1.414291,13.941530,69.926771,3.989959,0.012687
0.020000,57.526505,133.664713,1.721124,15.341623,70.004644,3.893648,0.015441
0.020000,57.861322,133.670385,2.055989,16.743261,70.081916,3.863623,0.018436
0.020000,58.224193,133.677663,2.418933,18.147180,70.195947,5.701551,0.021670
0.020000,58.615147,133.686816,2.809994,19.553068,70.294406,4.922943,0.025140
0.020000,59.034226,133.698131,3.229225,20.961573,70.425228,6.541065,0.028843
0.020000,59.481468,133.711915,3.676680,22.372729,70.557829,6.630094,0.032776
0.020000,59.956911,133.728494,4.152412,23.786611,70.694070,6.812019,0.036934
0.020000,60.460611,133.748212,4.656498,25.204286,70.883781,9.485554,0.041313
0.020000,60.992604,133.771429,5.188997,26.624968,71.034089,7.515409,0.045910
0.020000,61.552941,133.798524,5.749989,28.049594,71.231274,9.859238,0.050719
0.020000,62.141672,133.829892,6.339555,29.478291,71.434889,10.180746,0.055735
0.020000,62.758853,133.865944,6.957788,30.911664,71.668629,11.687021,0.060953
0.020000,63.404532,133.907106,7.604778,32.349496,71.891602,11.148654,0.066366
0.020000,64.078772,133.953818,8.280634,33.792795,72.164944,13.667063,0.071967
0.020000,64.781626,134.006535,8.985462,35.241420,72.431257,13.315648,0.077751
0.020000,65.513157,134.065724,9.719384,36.696073,72.732639,15.069148,0.083709
0.020000,66.273420,134.131863,10.482518,38.156703,73.031529,14.944489,0.089833
0.020000,67.062482,134.205443,11.275003,39.624262,73.377927,17.319911,0.096115
0.020000,67.880403,134.286962,12.096977,41.098680,73.720885,17.147873,0.102546
0.020000,68.727249,134.376928,12.948588,42.580574,74.094730,18.692235,0.109117
0.020000,69.603086,134.475856,13.829994,44.070290,74.485794,19.553238,0.115818
0.020000,70.507983,134.584267,14.741362,45.568399,74.905420,20.981278,0.122637
0.020000,71.442005,134.702686,15.682862,47.074975,75.328800,21.169019,0.129565
0.020000,72.405224,134.831642,16.654674,48.590642,75.783380,22.729002,0.136590
0.020000,73.397711,134.971662,17.656989,50.115743,76.255046,23.583287,0.143699
0.020000,74.419536,135.123277,18.690002,51.650611,76.743386,24.417012,0.150880
0.020000,75.470777,135.287014,19.753918,53.195807,77.259796,25.820463,0.158121
0.020000,76.551507,135.463394,20.848946,54.751415,77.780414,26.030913,0.165408
0.020000,77.661804,135.652935,21.975305,56.317962,78.327333,27.345956,0.172727
0.020000,78.801748,135.856146,23.133220,57.895737,78.888762,28.071464,0.180064
0.020000,79.971421,136.073526,24.322921,59.485076,79.466975,28.910635,0.187404
0.020000,81.170909,136.305562,25.544647,61.086257,80.059012,29.601839,0.194732
0.020000,82.400301,136.552726,26.798638,62.699576,80.665951,30.346975,0.202032
0.020000,83.659690,136.815474,28.085144,64.325271,81.284766,30.940752,0.209290
0.020000,84.949173,137.094243,29.404416,65.963606,81.916730,31.598190,0.216489
0.020000,86.268853,137.389449,30.756711,67.614790,82.559208,32.123881,0.223612
0.020000,87.618841,137.701485,32.142292,69.279031,83.212062,32.642690,0.230644
0.020000,88.999253,138.030717,33.561422,70.956511,83.874003,33.097084,0.237567
0.020000,90.410214,138.377483,35.014370,72.647387,84.543807,33.490172,0.244364
0.020000,91.851859,138.742090,36.501406,74.351823,85.221774,33.898352,0.251018
0.020000,93.324333,139.124812,38.022806,76.069958,85.906757,34.249142,0.257511
0.020000,94.827793,139.525886,39.578843,77.801883,86.596276,34.475993,0.263827
0.020000,96.362410,139.945512,41.169798,79.547741,87.292886,34.830462,0.269947
0.020000,97.928372,140.383848,42.795951,81.307653,87.995595,35.135487,0.275854
0.020000,99.525879,140.841008,44.457585,83.081671,88.700918,35.266116,0.281529
0.020000,101.155155,141.317061,46.154984,84.869963,89.414583,35.683255,0.286955
0.020000,102.816439,141.812025,47.888436,86.672593,90.131482,35.844977,0.292114
0.020000,104.509996,142.325868,49.658230,88.489708,90.855754,36.213587,0.296986
0.020000,106.236114,142.858503,51.464658,90.321410,91.585111,36.467854,0.301554
0.020000,107.995108,143.409783,53.308015,92.167869,92.322940,36.891449,0.305798
0.020000,109.787317,143.979502,55.188599,94.029179,93.065529,37.129457,0.309700
0.020000,111.613116,144.567392,57.106712,95.905630,93.822531,37.850085,0.313241
0.020000,113.472909,145.173114,59.062658,97.797338,94.585386,38.142764,0.316401
0.020000,115.367134,145.796259,61.056750,99.704570,95.361624,38.811902,0.319161
0.020000,117.296268,146.436345,63.089302,101.627617,96.152332,39.535391,0.321500
0.020000,119.260825,147.092810,65.160638,103.566776,96.957941,40.280423,0.323398
0.020000,121.261359,147.765009,67.271085,105.522356,97.779006,41.053295,0.324834
0.020000,123.298467,148.452207,69.420980,107.494770,98.620736,42.086497,0.325786
0.020000,125.365260,149.151033,71.602720,109.087003,79.611606,-950.456518,0.326233
0.020000,127.444561,149.854523,73.797804,109.754185,33.359137,-2312.623464,0.326161
0.020000,129.518950,150.555583,75.987456,109.482593,-13.579629,-2346.938295,0.325572
0.020000,131.576088,151.248891,78.158283,108.541382,-47.060533,-1674.045210,0.324484
0.020000,133.611072,151.931726,80.304774,107.324548,-60.841684,-689.057540,0.322920
0.020000,135.623873,152.603105,82.426594,106.090985,-61.678188,-41.825215,0.320902
0.020000,137.614441,153.262124,84.523417,104.841125,-62.492963,-40.738743,0.318449
0.020000,139.582699,153.907950,86.594921,103.575238,-63.294381,-40.070865,0.315582
0.020000,141.528549,154.539824,88.640794,102.293648,-64.079476,-39.254778,0.312321
0.020000,143.451867,155.157055,90.660726,100.996601,-64.852382,-38.645274,0.308685
0.020000,145.352506,155.759022,92.654414,99.684401,-65.609960,-37.878938,0.304695
0.020000,147.230292,156.345169,94.621557,98.357115,-66.364342,-37.719067,0.300369
0.020000,149.085030,156.915003,96.561857,97.015021,-67.104663,-37.016047,0.295725
0.020000,150.916502,157.468095,98.475022,95.658258,-67.838174,-36.675577,0.290783
0.020000,152.724467,158.004075,100.360761,94.286931,-68.566343,-36.408418,0.285561
0.020000,154.508662,158.522632,102.218785,92.901202,-69.286430,-36.004395,0.280077
0.020000,156.268804,159.023514,104.048808,91.501146,-70.002832,-35.820060,0.274350
0.020000,158.004593,159.506524,105.850547,90.086945,-70.710029,-35.359864,0.268397
0.020000,159.715710,159.971519,107.623719,88.658631,-71.415713,-35.284212,0.262237
0.020000,161.401820,160.418409,109.368046,87.216342,-72.114432,-34.935956,0.255886
0.020000,163.062572,160.847156,111.083249,85.760137,-72.810264,-34.791598,0.249363
0.020000,164.697605,161.257770,112.769054,84.290250,-73.494323,-34.202948,0.242686
0.020000,166.306546,161.650309,114.425188,82.806692,-74.177946,-34.181137,0.235871
0.020000,167.889013,162.024880,116.051381,81.309655,-74.851820,-33.693715,0.228935
0.020000,169.444616,162.381631,117.647367,79.799302,-75.517648,-33.291380,0.221896
0.020000,170.972960,162.720754,119.212882,78.275778,-76.176227,-32.928981,0.214770
0.020000,172.473646,163.042480,120.747668,76.739285,-76.824621,-32.419676,0.207574
0.020000,173.946274,163.347082,122.251469,75.190032,-77.462659,-31.901892,0.200324
0.020000,175.390445,163.634865,123.724034,73.628251,-78.089067,-31.320388,0.193036
0.020000,176.805759,163.906170,125.165117,72.054159,-78.704561,-30.774717,0.185725
0.020000,178.191823,164.161371,126.574478,70.468074,-79.304260,-29.984976,0.178407
0.020000,179.548246,164.400869,127.951883,68.870208,-79.893292,-29.451580,0.171097
0.020000,180.874646,164.625095,129.297102,67.260953,-80.462771,-28.473947,0.163808
0.020000,182.170649,164.834500,130.609914,65.640608,-81.017266,-27.724762,0.156556
0.020000,183.435888,165.029563,131.890101,64.009349,-81.562932,-27.283286,0.149354
0.020000,184.670012,165.210777,133.137458,62.367871,-82.073921,-25.549438,0.142215
0.020000,185.872676,165.378656,134.351782,60.716208,-82.583140,-25.460963,0.135152
0.020000,187.043549,165.533726,135.532880,59.054860,-83.067393,-24.212634,0.128177
0.020000,188.182314,165.676526,136.680563,57.384174,-83.534280,-23.344365,0.121303
0.020000,189.288671,165.807605,137.794658,55.704763,-83.970590,-21.815521,0.114539
0.020000,190.362328,165.927518,138.874991,54.016633,-84.406470,-21.793964,0.107898
0.020000,191.403014,166.036825,139.921402,52.320546,-84.804383,-19.895670,0.101389
0.020000,192.410470,166.136088,140.933736,50.616705,-85.192009,-19.381284,0.095023
0.020000,193.384454,166.225870,141.911849,48.905659,-85.552333,-18.016211,0.088808
0.020000,194.324730,166.306731,142.855596,47.187350,-85.915418,-18.154244,0.082753
0.020000,195.231094,166.379226,143.764855,45.462925,-86.221269,-15.292566,0.076867
0.020000,196.103343,166.443904,144.639498,43.732172,-86.537667,-15.819914,0.071157
0.020000,196.941292,166.501308,145.479411,41.995622,-86.827484,-14.490846,0.065631
0.020000,197.744773,166.551967,146.284487,40.253845,-87.088840,-13.067768,0.060296
0.020000,198.513627,166.596402,147.054624,38.506839,-87.350314,-13.073724,0.055157
0.020000,199.247714,166.635118,147.789732,36.755371,-87.573413,-11.154957,0.050221
0.020000,199.946899,166.668606,148.489718,34.999338,-87.801620,-11.410313,0.045494
0.020000,200.611063,166.697342,149.154504,33.239269,-88.003439,-10.090994,0.040980
0.020000,201.240103,166.721783,149.784018,31.475719,-88.177500,-8.703038,0.036685
0.020000,201.833915,166.742366,150.378187,29.708451,-88.363412,-9.295580,0.032612
0.020000,202.392419,166.759512,150.936953,27.938312,-88.506936,-7.176189,0.028765
0.020000,202.915530,166.773618,151.460255,26.165087,-88.661292,-7.717816,0.025149
0.020000,203.403181,166.785059,151.948041,24.389276,-88.790528,-6.461803,0.021767
0.020000,203.855317,166.794191,152.400269,22.611402,-88.893714,-5.159295,0.018621
0.020000,204.271869,166.801343,152.816882,20.830679,-89.036163,-7.122465,0.015714
0.020000,204.652803,166.806822,153.197855,19.048657,-89.101052,-3.244461,0.013049
0.020000,204.998073,166.810910,153.543150,17.264710,-89.197374,-4.816099,0.010628
0.020000,205.307645,166.813864,153.852736,15.479308,-89.270096,-3.636085,0.008453
0.020000,205.581487,166.815915,154.126585,13.692461,-89.342355,-3.612963,0.006525
0.020000,205.819573,166.817268,154.364675,11.904492,-89.398466,-2.805540,0.004847
0.020000,206.021879,166.818105,154.566982,10.115376,-89.455766,-2.864987,0.003419
0.020000,206.188392,166.818576,154.733497,8.325706,-89.483501,-1.386777,0.002242
0.020000,206.319099,166.818809,154.864203,6.535342,-89.518216,-1.735751,0.001318
0.020000,206.413977,166.818902,154.959082,4.743932,-89.570523,-2.615334,0.000646
0.020000,206.473036,166.818928,155.018140,2.952925,-89.550328,1.009742,0.000228
0.020000,206.499415,166.818931,155.044520,1.318959,-81.698304,392.601189,0.000041
0.020000,206.505222,166.818931,155.050326,0.290338,-51.431023,1513.364064,6.283185
0.020000,206.505222,166.818931,155.050326,0.000000,-14.516920,1845.705182,6.283185
