dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,55.799713,102.151499,0.007959,0.795920,39.795993,1989.799648,6.281988
0.020000,55.803716,102.151495,0.011962,0.200139,-29.789048,-3479.252050,6.282242
0.020000,55.811718,102.151489,0.019964,0.400104,9.998236,1989.364184,6.282751
0.020000,55.864710,102.151495,0.072956,2.649607,112.475189,5123.847693,0.000327
0.020000,56.008033,102.151615,0.216279,7.166152,225.827214,5667.601205,0.001341
0.020000,56.187169,102.151969,0.395416,8.956830,89.533940,-6814.663678,0.002608
0.020000,56.402103,102.152693,0.610351,10.746769,89.496940,-1.849991,0.004126
0.020000,56.652810,102.153949,0.861062,12.535520,89.437528,-2.970623,0.005895
0.020000,56.939271,102.155926,1.147529,14.323370,89.392513,-2.250716,0.007912
0.020000,57.261456,102.158841,1.469727,16.109892,89.326082,-3.321554,0.010177
0.020000,57.619338,102.162932,1.827632,17.895276,89.269230,-2.842640,0.012687
0.020000,58.012880,102.168468,2.221213,19.679043,89.188337,-4.044651,0.015441
0.020000,58.442033,102.175738,2.650428,21.460723,89.083990,-5.217336,0.018436
0.020000,58.906755,102.185059,3.115243,23.240779,89.002827,-4.058150,0.021670
0.020000,59.406984,102.196770,3.615609,25.018308,88.876449,-6.318905,0.025140
0.020000,59.942661,102.211233,4.151482,26.793606,88.764865,-5.579174,0.028843
0.020000,60.513713,102.228833,4.722805,28.566155,88.627466,-6.869939,0.032776
0.020000,61.120053,102.249976,5.329514,30.335459,88.465202,-8.113205,0.036934
0.020000,61.761607,102.275090,5.971559,32.102260,88.340062,-6.257009,0.041313
0.020000,62.438261,102.304620,6.648857,33.864903,88.132120,-10.397128,0.045910
0.020000,63.149908,102.339031,7.361335,35.623899,87.949824,-9.114805,0.050719
0.020000,63.896423,102.378805,8.108909,37.378702,87.740117,-10.485342,0.055735
0.020000,64.677678,102.424441,8.891496,39.129333,87.531585,-10.426569,0.060953
0.020000,65.493517,102.476450,9.708991,40.874754,87.271028,-13.027852,0.066366
0.020000,66.343788,102.535357,10.561300,42.615443,87.034455,-11.828673,0.071967
0.020000,67.228311,102.601699,11.448308,44.350404,86.748046,-14.320433,0.077751
0.020000,68.146903,102.676022,12.369901,46.079680,86.463804,-14.212106,0.083709
0.020000,69.099353,102.758880,13.325948,47.802350,86.133494,-16.515477,0.089833
0.020000,70.085449,102.850832,14.316323,49.518730,85.819009,-15.724265,0.096115
0.020000,71.104956,102.952440,15.340880,51.227846,85.455809,-18.160013,0.102546
0.020000,72.157624,103.064271,16.399471,52.929574,85.086401,-18.470410,0.109117
0.020000,73.243190,103.186886,17.491940,54.623442,84.693401,-19.650006,0.115818
0.020000,74.361379,103.320849,18.618125,56.309258,84.290783,-20.130902,0.122637
0.020000,75.511893,103.466713,19.777850,57.986218,83.848027,-22.137798,0.129565
0.020000,76.694427,103.625028,20.970934,59.654208,83.399479,-22.427360,0.136590
0.020000,77.908659,103.796330,22.197189,61.312774,82.928287,-23.559605,0.143699
0.020000,79.154252,103.981144,23.456419,62.961471,82.434847,-24.672019,0.150880
0.020000,80.430863,104.179980,24.748422,64.600153,81.934097,-25.037482,0.158121
0.020000,81.738130,104.393329,26.072984,66.228118,81.398296,-26.790068,0.165408
0.020000,83.075686,104.621663,27.429889,67.845235,80.855823,-27.123651,0.172727
0.020000,84.443151,104.865429,28.818911,69.451115,80.294013,-28.090512,0.180064
0.020000,85.840140,105.125051,30.239821,71.045464,79.717453,-28.827971,0.187404
0.020000,87.266262,105.400924,31.692380,72.627956,79.124565,-29.644433,0.194732
0.020000,88.721118,105.693412,33.176346,74.198330,78.518707,-30.292883,0.202032
0.020000,90.204310,106.002847,34.691472,75.756298,77.898422,-31.014268,0.209290
0.020000,91.715434,106.329528,36.237505,77.301646,77.267383,-31.551923,0.216489
0.020000,93.254091,106.673713,37.814188,78.834139,76.624639,-32.137202,0.223612
0.020000,94.819881,107.035624,39.421259,80.353581,75.972142,-32.624867,0.230644
0.020000,96.412410,107.415442,41.058455,81.859789,75.310406,-33.086791,0.237567
0.020000,98.031289,107.813301,42.725507,83.352588,74.639907,-33.524962,0.244364
0.020000,99.676138,108.229295,44.422144,84.831842,73.962707,-33.859974,0.251018
0.020000,101.346584,108.663468,46.148092,86.297421,73.278986,-34.186081,0.257511
0.020000,103.042269,109.115816,47.903076,87.749165,72.587201,-34.589237,0.263827
0.020000,104.762847,109.586285,49.686815,89.186990,71.891239,-34.798097,0.269947
0.020000,106.507986,110.074770,51.499031,90.610803,71.190627,-35.030594,0.275854
0.020000,108.277371,110.581111,53.339440,92.020439,70.481829,-35.439890,0.281529
0.020000,110.070706,111.105094,55.207758,93.415864,69.771209,-35.530987,0.286955
0.020000,111.887713,111.646449,57.103696,94.796918,69.052708,-35.925088,0.292114
0.020000,113.728137,112.204848,59.026966,96.163520,68.330118,-36.129501,0.296986
0.020000,115.591742,112.779902,60.977277,97.515516,67.599771,-36.517326,0.301554
0.020000,117.478316,113.371162,62.954332,98.852791,66.863794,-36.798870,0.305798
0.020000,119.387669,113.978115,64.957835,100.175117,66.116274,-37.375987,0.309700
0.020000,121.319637,114.600186,66.987483,101.482421,65.365217,-37.552830,0.313241
0.020000,123.274079,115.236730,69.042971,102.774398,64.598827,-38.319518,0.316401
0.020000,125.250878,115.887036,71.123988,104.050840,63.822131,-38.834813,0.319161
0.020000,127.249942,116.550322,73.230218,105.311499,63.032936,-39.459734,0.321500
0.020000,129.271203,117.225733,75.361339,106.556062,62.228138,-40.239900,0.323398
0.020000,131.314618,117.912337,77.517022,107.784154,61.404607,-41.176554,0.324834
0.020000,133.380165,118.609128,79.696931,108.995430,60.563820,-42.039333,0.325786
0.020000,135.460295,119.312463,81.892750,109.790968,39.776873,-1039.347380,0.326233
0.020000,137.537426,120.015218,84.085542,109.639609,-7.567943,-2367.240805,0.326161
0.020000,139.594241,120.710341,86.256644,108.555092,-54.225835,-2332.894559,0.325572
0.020000,141.618914,121.392708,88.393213,106.828437,-86.332745,-1605.345531,0.324484
0.020000,143.607198,122.059875,90.490445,104.861604,-98.341671,-600.446275,0.322920
0.020000,145.559674,122.711136,92.548674,102.911439,-97.508227,41.672188,0.320902
0.020000,147.476887,123.345872,94.568227,100.977640,-96.689989,40.911888,0.318449
0.020000,149.359337,123.963546,96.549423,99.059812,-95.891365,39.931183,0.315582
0.020000,151.207488,124.563697,98.492577,97.157694,-95.105934,39.271566,0.312321
0.020000,153.021770,125.145941,100.397997,95.271007,-94.334351,38.579164,0.308685
0.020000,154.802578,125.709960,102.265989,93.399594,-93.570650,38.185045,0.304695
0.020000,156.550273,126.255504,104.096851,91.543124,-92.823498,37.357605,0.300369
0.020000,158.265190,126.782386,105.890882,89.701518,-92.080297,37.160058,0.295725
0.020000,159.947635,127.290477,107.648374,87.874601,-91.345818,36.723950,0.290783
0.020000,161.597888,127.779707,109.369618,86.062208,-90.619695,36.306124,0.285561
0.020000,163.216207,128.250059,111.054903,84.264245,-89.898102,36.079677,0.280077
0.020000,164.802825,128.701567,112.704514,82.480564,-89.184092,35.700489,0.274350
0.020000,166.357960,129.134312,114.318736,80.711122,-88.472089,35.600120,0.268397
0.020000,167.881810,129.548422,115.897851,78.955746,-87.768777,35.165645,0.262237
0.020000,169.374555,129.944068,117.442139,77.214360,-87.069318,34.972907,0.255886
0.020000,170.836362,130.321459,118.951875,75.486805,-86.377724,34.579745,0.249363
0.020000,172.267385,130.680843,120.427336,73.773069,-85.686842,34.544098,0.242686
0.020000,173.667767,131.022505,121.868794,72.072917,-85.007584,33.962866,0.235871
0.020000,175.037639,131.346758,123.276520,70.386258,-84.332924,33.732995,0.228935
0.020000,176.377124,131.653951,124.650778,68.712944,-83.665740,33.359228,0.221896
0.020000,177.686337,131.944455,125.991834,67.052779,-83.008233,32.875340,0.214770
0.020000,178.965385,132.218669,127.299946,65.405589,-82.359519,32.435724,0.207574
0.020000,180.214369,132.477015,128.575369,63.771165,-81.721202,31.915808,0.200324
0.020000,181.433386,132.719935,129.818355,62.149285,-81.094001,31.360072,0.193036
0.020000,182.622528,132.947889,131.029148,60.539678,-80.480333,30.683408,0.185725
0.020000,183.781883,133.161351,132.207991,58.942120,-79.877899,30.121705,0.178407
0.020000,184.911534,133.360812,133.355116,57.356265,-79.292764,29.256741,0.171097
0.020000,186.011564,133.546773,134.470754,55.781881,-78.719199,28.678255,0.163808
0.020000,187.082052,133.719743,135.555126,54.218628,-78.162633,27.828279,0.156556
0.020000,188.123073,133.880240,136.608447,52.666037,-77.629568,26.653238,0.149354
0.020000,189.134706,134.028787,137.630928,51.124035,-77.100059,26.475471,0.142215
0.020000,190.117022,134.165909,138.622767,49.591988,-76.602358,24.885069,0.135152
0.020000,191.070091,134.292136,139.584160,48.069621,-76.118371,24.199318,0.128177
0.020000,191.993986,134.407993,140.515290,46.556518,-75.655161,23.160489,0.121303
0.020000,192.888777,134.514008,141.416339,45.052464,-75.202666,22.624773,0.114539
0.020000,193.754529,134.610702,142.287474,43.556750,-74.785731,20.846764,0.107898
0.020000,194.591311,134.698593,143.128860,42.069265,-74.374243,20.574364,0.101389
0.020000,195.399188,134.778194,143.940649,40.589452,-73.990643,19.180017,0.095023
0.020000,196.178225,134.850007,144.722989,39.117030,-73.621126,18.475849,0.088808
0.020000,196.928481,134.914527,145.476014,37.651241,-73.289449,16.583861,0.082753
0.020000,197.650023,134.972239,146.199860,36.192295,-72.947268,17.109056,0.076867
0.020000,198.342907,135.023618,146.894647,34.739333,-72.648126,14.957067,0.071157
0.020000,199.007192,135.069126,147.560489,33.292099,-72.361661,14.323267,0.065631
0.020000,199.642937,135.109210,148.197496,31.850387,-72.085631,13.801499,0.060296
0.020000,200.250195,135.144306,148.805767,30.413552,-71.841741,12.194528,0.055157
0.020000,200.829022,135.174834,149.385399,28.981581,-71.598533,12.160357,0.050221
0.020000,201.379467,135.201199,149.936475,27.553796,-71.389277,10.462839,0.045494
0.020000,201.901579,135.223789,150.459076,26.130036,-71.187973,10.065176,0.040980
0.020000,202.395410,135.242976,150.953280,24.710187,-70.992443,9.776499,0.036685
0.020000,202.861002,135.259115,151.419150,23.293536,-70.832596,7.992359,0.032612
0.020000,203.298400,135.272543,151.856755,21.880242,-70.664656,8.397012,0.028765
0.020000,203.707645,135.283579,152.266148,20.469659,-70.529168,6.774383,0.025149
0.020000,204.088774,135.292521,152.647383,19.061724,-70.396772,6.619809,0.021767
0.020000,204.441831,135.299652,153.000511,17.656411,-70.265641,6.556566,0.018621
0.020000,204.766837,135.305232,153.325565,16.252698,-70.185644,3.999849,0.015714
0.020000,205.063834,135.309504,153.622593,14.851408,-70.064519,6.056216,0.013049
0.020000,205.332849,135.312689,153.891627,13.451681,-69.986336,3.909147,0.010628
0.020000,205.573909,135.314989,154.132697,12.053537,-69.907201,3.956781,0.008453
0.020000,205.787036,135.316585,154.345830,10.656651,-69.844273,3.146397,0.006525
0.020000,205.972252,135.317638,154.531050,9.260961,-69.784537,2.986766,0.004847
0.020000,206.129573,135.318289,154.688373,7.866145,-69.740770,2.188393,0.003419
0.020000,206.259020,135.318655,154.817820,6.472377,-69.688421,2.617420,0.002242
0.020000,206.360606,135.318836,154.919405,5.079269,-69.655370,1.652570,0.001318
0.020000,206.434331,135.318908,154.993131,3.686282,-69.649394,0.298795,0.000646
0.020000,206.480217,135.318928,155.039017,2.294279,-69.600133,2.463041,0.000228
0.020000,206.500711,135.318931,155.059511,1.024693,-63.479280,306.042662,0.000041
0.020000,206.505222,135.318931,155.064022,0.225557,-39.956838,1176.122112,6.283185
0.020000,206.505222,135.318931,155.064022,0.000000,-11.277826,1433.950590,6.283185
