dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.291000,41.519689,0.007943,0.794335,39.716738,1985.836904,6.281988
0.020000,6.288210,41.519692,0.010734,0.139528,-32.740326,-3622.853181,6.282165
0.020000,6.282631,41.519697,0.016313,0.278962,6.971667,1985.599621,6.282519
0.020000,6.274266,41.519701,0.024677,0.418205,6.962163,-0.475180,6.283050
0.020000,6.365951,41.519728,0.116362,4.584231,208.301318,10066.957753,0.000572
0.020000,6.510898,41.519875,0.261309,7.247340,133.155424,-3757.294739,0.001456
0.020000,6.684852,41.520220,0.435263,8.697717,72.518875,-3031.827447,0.002515
0.020000,6.887826,41.520856,0.638238,10.148739,72.551071,1.609805,0.003749
0.020000,7.119830,41.521889,0.870245,11.600340,72.580092,1.451059,0.005158
0.020000,7.380875,41.523442,1.131294,13.052468,72.606358,1.313294,0.006740
0.020000,7.670968,41.525652,1.421395,14.505074,72.630344,1.199325,0.008494
0.020000,7.990137,41.528670,1.740579,15.959179,72.705208,3.743208,0.010420
0.020000,8.338387,41.532664,2.088851,17.413617,72.721898,0.834491,0.012515
0.020000,8.715740,41.537815,2.466240,18.869410,72.789670,3.388584,0.014779
0.020000,9.122218,41.544317,2.872770,20.326513,72.855128,3.272915,0.017211
0.020000,9.557841,41.552382,3.308468,21.784893,72.919029,3.195047,0.019808
0.020000,10.022628,41.562232,3.773358,23.244537,72.982171,3.157109,0.022569
0.020000,10.516594,41.574105,4.267467,24.705444,73.045392,3.161042,0.025492
0.020000,11.039775,41.588252,4.790839,26.168608,73.158155,5.638135,0.028575
0.020000,11.592182,41.604938,5.343499,27.632972,73.218208,3.002640,0.031815
0.020000,12.173845,41.624439,5.925489,29.099502,73.326530,5.416117,0.035210
0.020000,12.784791,41.647045,6.536853,30.568198,73.434767,5.411838,0.038758
0.020000,13.425044,41.673059,7.177634,32.039077,73.543984,5.460879,0.042455
0.020000,14.094628,41.702794,7.847878,33.512183,73.655261,5.563851,0.046299
0.020000,14.793564,41.736576,8.547630,34.987576,73.769683,5.721056,0.050287
0.020000,15.521891,41.774741,9.276956,36.466319,73.937136,8.372697,0.054415
0.020000,16.279623,41.817636,10.035901,37.947270,74.047544,5.520364,0.058679
0.020000,17.066791,41.865619,10.824530,39.431422,74.207617,8.003668,0.063076
0.020000,17.883421,41.919055,11.642906,40.918829,74.370323,8.135284,0.067601
0.020000,18.729539,41.978320,12.491098,42.409566,74.536881,8.327904,0.072251
0.020000,19.605169,42.043799,13.369172,43.903736,74.708477,8.579820,0.077021
0.020000,20.510339,42.115883,14.277208,45.401765,74.901484,9.650355,0.081906
0.020000,21.445071,42.194970,15.215280,46.903611,75.092262,9.538858,0.086901
0.020000,22.409394,42.281465,16.183474,48.409708,75.304846,10.629244,0.092002
0.020000,23.403328,42.375779,17.181873,49.919930,75.511111,10.313244,0.097201
0.020000,24.426897,42.478327,18.210566,51.434682,75.737616,11.325245,0.102495
0.020000,25.480125,42.589528,19.269648,52.954088,75.970290,11.633694,0.107876
0.020000,26.563035,42.709804,20.359217,54.478444,76.217794,12.375192,0.113339
0.020000,27.675649,42.839580,21.479374,56.007838,76.469723,12.596433,0.118878
0.020000,28.817987,42.979279,22.630222,57.542432,76.729695,12.998600,0.124485
0.020000,29.990070,43.129329,23.811871,59.082453,77.001017,13.566101,0.130154
0.020000,31.191921,43.290153,25.024435,60.628156,77.285193,14.208819,0.135877
0.020000,32.423559,43.462174,26.268028,62.179669,77.575651,14.522894,0.141648
0.020000,33.685005,43.645812,27.542771,63.737135,77.873279,14.881427,0.147458
0.020000,34.976279,43.841482,28.848785,65.300712,78.178834,15.277723,0.153300
0.020000,36.297401,44.049595,30.186198,66.870679,78.498370,15.976787,0.159166
0.020000,37.648392,44.270553,31.555140,68.447061,78.819106,16.036804,0.165047
0.020000,39.029276,44.504752,32.955743,70.030164,79.155141,16.801751,0.170936
0.020000,40.440074,44.752580,34.388143,71.619996,79.491604,16.823141,0.176823
0.020000,41.880810,45.014413,35.852478,73.216763,79.838368,17.338209,0.182700
0.020000,43.351511,45.290616,37.348890,74.820608,80.192241,17.693669,0.188557
0.020000,44.852205,45.581540,38.877523,76.431629,80.551033,17.939581,0.194386
0.020000,46.382921,45.887524,40.438522,78.049963,80.916724,18.284578,0.200178
0.020000,47.943694,46.208890,42.032037,79.675719,81.287806,18.554079,0.205922
0.020000,49.534560,46.545944,43.658216,81.308993,81.663656,18.792504,0.211610
0.020000,51.155562,46.898972,45.317214,82.949899,82.045307,19.082536,0.217231
0.020000,52.806744,47.268242,47.009185,84.598522,82.431152,19.292271,0.222776
0.020000,54.488159,47.654001,48.734283,86.254932,82.820494,19.467097,0.228235
0.020000,56.199863,48.056471,50.492667,87.919198,83.213309,19.640726,0.233599
0.020000,57.941922,48.475855,52.284497,89.591473,83.613748,20.021997,0.238856
0.020000,59.714407,48.912325,54.109931,91.271697,84.011221,19.873619,0.243996
0.020000,61.517399,49.366031,55.969131,92.960029,84.416592,20.268561,0.249011
0.020000,63.350986,49.837092,57.862262,94.656518,84.824470,20.393901,0.253888
0.020000,65.215270,50.325599,59.789486,96.361212,85.234699,20.511438,0.258618
0.020000,67.110361,50.831610,61.750969,98.074165,85.647646,20.647372,0.263190
0.020000,69.036381,51.355153,63.746877,99.795386,86.061045,20.669917,0.267594
0.020000,70.993467,51.896219,65.777379,101.525108,86.486090,21.252280,0.271819
0.020000,72.981767,52.454765,67.842642,103.263154,86.902288,20.809893,0.275854
0.020000,75.001447,53.030712,69.942838,105.009788,87.331692,21.470203,0.279688
0.020000,77.052688,53.623939,72.078138,106.765008,87.761033,21.467047,0.283311
0.020000,79.135687,54.234286,74.248716,108.528897,88.194417,21.669198,0.286712
0.020000,81.250659,54.861553,76.454747,110.301558,88.633088,21.933558,0.289879
0.020000,83.397839,55.505492,78.696407,112.082987,89.071419,21.916554,0.292801
0.020000,85.577483,56.165811,80.973877,113.873503,89.525834,22.720751,0.295467
0.020000,87.789866,56.842170,83.287337,115.672985,89.974093,22.412923,0.297865
0.020000,90.035285,57.534179,85.636972,117.481750,90.438222,23.206479,0.299984
0.020000,92.314062,58.241397,88.022969,119.299848,90.904903,23.334042,0.301811
0.020000,94.626542,58.963325,90.445518,121.127454,91.380307,23.770187,0.303335
0.020000,96.973094,59.699412,92.904813,122.964749,91.864732,24.221257,0.304543
0.020000,99.354114,60.449044,95.401051,124.811896,92.357385,24.632642,0.305423
0.020000,101.770023,61.211547,97.934433,126.669136,92.861958,25.228670,0.305962
0.020000,104.221270,61.986181,100.505167,128.536662,93.376304,25.717261,0.306147
0.020000,106.708331,62.772137,103.113461,130.414720,93.902916,26.330613,0.305964
0.020000,109.231710,63.568536,105.759532,132.303555,94.441760,26.942192,0.305401
0.020000,111.791938,64.374425,108.443601,134.203435,94.993977,27.610882,0.304442
0.020000,114.389576,65.188769,111.165893,136.114626,95.559583,28.280305,0.303073
0.020000,117.025209,66.010454,113.926642,138.037430,96.140180,29.029838,0.301280
0.020000,119.699455,66.838278,116.726085,139.972145,96.735756,29.778779,0.299048
0.020000,122.412953,67.670946,119.564466,141.919057,97.345602,30.492323,0.296361
0.020000,125.166369,68.507070,122.442035,143.878459,97.970097,31.224744,0.293203
0.020000,127.960395,69.345157,125.359049,145.850677,98.610892,32.039768,0.289558
0.020000,130.795740,70.183612,128.315768,147.835981,99.265197,32.715225,0.285409
