dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.253275,10.019712,0.007943,0.794335,39.716738,1985.836904,6.281988
0.020000,6.256065,10.019709,0.010734,0.139528,-32.740326,-3622.853181,6.282165
0.020000,6.261645,10.019704,0.016313,0.278962,6.971667,1985.599621,6.282519
0.020000,6.270009,10.019701,0.024677,0.418205,6.962163,-0.475180,6.283050
0.020000,6.383982,10.019733,0.138651,5.698665,264.023031,12853.043368,0.000572
0.020000,6.556763,10.019908,0.311432,8.639066,147.020051,-5850.148990,0.001456
0.020000,6.764083,10.020320,0.518752,10.366004,86.346884,-3033.658344,0.002515
0.020000,7.005934,10.021077,0.760604,12.092625,86.331066,-0.790893,0.003749
0.020000,7.282305,10.022308,1.036978,13.818662,86.301816,-1.462507,0.005158
0.020000,7.593176,10.024158,1.347855,15.543849,86.259367,-2.122471,0.006740
0.020000,7.938525,10.026788,1.693213,17.267929,86.203986,-2.769017,0.008494
0.020000,8.318346,10.030380,2.073051,18.991901,86.198593,-0.269670,0.010420
0.020000,8.732602,10.035131,2.487334,20.714161,86.113001,-4.279599,0.012515
0.020000,9.181274,10.041255,2.936048,22.435697,86.076837,-1.808185,0.014779
0.020000,9.664337,10.048982,3.419173,24.156219,86.026098,-2.536933,0.017211
0.020000,10.181757,10.058561,3.936682,25.875444,85.961236,-3.243097,0.019808
0.020000,10.733495,10.070254,4.488544,27.593099,85.882734,-3.925133,0.022569
0.020000,11.319504,10.084339,5.074722,29.308921,85.791102,-4.581592,0.025492
0.020000,11.939754,10.101111,5.695198,31.023810,85.744466,-2.331811,0.028575
0.020000,12.594180,10.120878,6.349923,32.736230,85.621015,-6.172557,0.031815
0.020000,13.282733,10.143963,7.038864,34.447030,85.539953,-4.053072,0.035210
0.020000,14.005357,10.170701,7.761981,36.155897,85.443370,-4.829145,0.038758
0.020000,14.761983,10.201443,8.519232,37.862537,85.332005,-5.568271,0.042455
0.020000,15.552538,10.236551,9.310566,39.566669,85.206615,-6.269503,0.046299
0.020000,16.376936,10.276396,10.135926,41.268029,85.067973,-6.932067,0.050287
0.020000,17.235109,10.321365,10.995276,42.967516,84.974341,-4.681635,0.054415
0.020000,18.126949,10.371851,11.888545,44.663424,84.795431,-8.945513,0.058679
0.020000,19.052363,10.428260,12.815676,46.356556,84.656572,-6.942909,0.063076
0.020000,20.011244,10.491004,13.776608,48.046593,84.501840,-7.736594,0.067601
0.020000,21.003478,10.560504,14.771273,49.733238,84.332285,-8.477764,0.072251
0.020000,22.028939,10.637186,15.799597,51.416217,84.148952,-9.166638,0.077021
0.020000,23.087500,10.721484,16.861510,53.095631,83.970675,-8.913892,0.081906
0.020000,24.179021,10.813836,17.956930,54.771020,83.769477,-10.059894,0.086901
0.020000,25.303357,10.914684,19.085780,56.442485,83.573232,-9.812251,0.092002
0.020000,26.460349,11.024470,20.247969,58.109464,83.348935,-11.214842,0.097201
0.020000,27.649835,11.143639,21.443409,59.772013,83.127464,-11.073526,0.102495
0.020000,28.871641,11.272638,22.672006,61.429860,82.892359,-11.755245,0.107876
0.020000,30.125589,11.411910,23.933665,63.082934,82.653695,-11.933245,0.113339
0.020000,31.411490,11.561896,25.228284,64.730924,82.399487,-12.710366,0.118878
0.020000,32.729146,11.723035,26.555756,66.373606,82.134123,-13.268190,0.124485
0.020000,34.078352,11.895758,27.915973,68.010839,81.861655,-13.623414,0.130154
0.020000,35.458897,12.080492,29.308823,69.642521,81.584089,-13.878327,0.135877
0.020000,36.870563,12.277656,30.734191,71.268406,81.294225,-14.493176,0.141648
0.020000,38.313123,12.487659,32.191957,72.888277,80.993554,-15.033545,0.147458
0.020000,39.786344,12.710898,33.681996,74.501946,80.683463,-15.504542,0.153300
0.020000,41.289990,12.947761,35.204183,76.109374,80.371411,-15.602610,0.159166
0.020000,42.823816,13.198620,36.758388,77.710243,80.043446,-16.398264,0.165047
0.020000,44.387576,13.463834,38.344479,79.304569,79.716279,-16.358331,0.170936
0.020000,45.981019,13.743744,39.962320,80.892043,79.373737,-17.127115,0.176823
0.020000,47.603889,14.038675,41.611772,82.472599,79.027775,-17.298083,0.182700
0.020000,49.255931,14.348931,43.292694,84.046110,78.675536,-17.611981,0.188557
0.020000,50.936884,14.674798,45.004943,85.612417,78.315348,-18.009363,0.194386
0.020000,52.646491,15.016539,46.748371,87.171421,77.950241,-18.255373,0.200178
0.020000,54.384492,15.374395,48.522831,88.723008,77.579311,-18.546522,0.205922
0.020000,56.150630,15.748580,50.328172,90.267061,77.202649,-18.833087,0.211610
0.020000,57.944648,16.139286,52.164242,91.803504,76.822157,-19.024595,0.217231
0.020000,59.766295,16.546675,54.030887,93.332239,76.436767,-19.269497,0.222776
0.020000,61.615321,16.970885,55.927951,94.853167,76.046389,-19.518895,0.228235
0.020000,63.491481,17.412021,57.855275,96.366199,75.651624,-19.738259,0.233599
0.020000,65.394538,17.870161,59.812702,97.871350,75.257556,-19.703407,0.238856
0.020000,67.324261,18.345348,61.800070,99.368412,74.853068,-20.224390,0.243996
0.020000,69.280426,18.837595,63.817218,100.857420,74.450433,-20.131767,0.249011
0.020000,71.262818,19.346882,65.863984,102.338301,74.044032,-20.320038,0.253888
0.020000,73.271232,19.873153,67.940204,103.810979,73.633895,-20.506838,0.258618
0.020000,75.305473,20.416316,70.045712,105.275389,73.220506,-20.669449,0.263190
0.020000,77.365356,20.976243,72.180340,106.731417,72.801410,-20.954780,0.267594
0.020000,79.450713,21.552768,74.343924,108.179185,72.388408,-20.650116,0.271819
0.020000,81.561382,22.145687,76.536291,109.618372,71.959330,-21.453908,0.275854
0.020000,83.697219,22.754755,78.757273,111.049118,71.537287,-21.102173,0.279688
0.020000,85.858093,23.379686,81.006699,112.471270,71.107591,-21.484757,0.283311
0.020000,88.043887,24.020151,83.284394,113.884749,70.673956,-21.681783,0.286712
0.020000,90.254502,24.675781,85.590184,115.289486,70.236885,-21.853517,0.289879
0.020000,92.489848,25.346159,87.923889,116.685278,69.789600,-22.364249,0.292801
0.020000,94.749861,26.030823,90.285334,118.072242,69.348171,-22.071469,0.295467
0.020000,97.034484,26.729265,92.674334,119.450008,68.888305,-22.993286,0.297865
0.020000,99.343681,27.440928,95.090707,120.818640,68.431614,-22.834554,0.299984
0.020000,101.677433,28.165205,97.534265,122.177899,67.962941,-23.433671,0.301811
0.020000,104.035736,28.901438,100.004818,123.527644,67.487237,-23.785176,0.303335
0.020000,106.418603,29.648915,102.502172,124.867710,67.003293,-24.197194,0.304543
0.020000,108.826063,30.406871,105.026130,126.197885,66.508755,-24.726906,0.305423
0.020000,111.258163,31.174483,107.576490,127.518000,66.005785,-25.148532,0.305962
0.020000,113.714962,31.950871,110.153046,128.827813,65.490616,-25.758412,0.306147
0.020000,116.196538,32.735094,112.755588,130.127097,64.964208,-26.320432,0.305964
0.020000,118.702981,33.526149,115.383900,131.415597,64.425016,-26.959575,0.305401
0.020000,121.234395,34.322969,118.037761,132.693053,63.872776,-27.612022,0.304442
0.020000,123.790897,35.124419,120.716944,133.959178,63.306240,-28.326785,0.303073
0.020000,126.372615,35.929297,123.421218,135.213696,62.725923,-29.015857,0.301280
0.020000,128.979688,36.736330,126.150345,136.456316,62.130991,-29.746588,0.299048
0.020000,131.612263,37.544169,128.904079,137.686721,61.520272,-30.535951,0.296361
0.020000,134.270493,38.351391,131.682171,138.904603,60.894069,-31.310170,0.293203
0.020000,136.954538,39.156494,134.484365,140.109691,60.254391,-31.983891,0.289558
0.020000,139.664561,39.957895,137.310399,141.301682,59.599558,-32.741664,0.285409
0.020000,142.400724,40.753927,140.160004,142.480283,58.930052,-33.475286,0.280740
0.020000,145.163188,41.542838,143.032911,143.645325,58.252100,-33.897600,0.275532
0.020000,147.952110,42.322790,145.928841,144.796493,57.558424,-34.683801,0.269769
0.020000,150.767640,43.091853,148.847516,145.933765,56.863608,-34.740810,0.263433
0.020000,153.609914,43.848006,151.788654,147.056905,56.156971,-35.331827,0.256506
0.020000,156.479059,44.589137,154.751973,148.165973,55.453419,-35.177615,0.248970
0.020000,159.375178,45.313038,157.737194,149.261028,54.752755,-35.033204,0.240807
0.020000,162.290980,46.015666,160.736459,149.963225,35.109836,-982.145919,0.232023
0.020000,165.206626,46.690343,163.729146,149.634383,-16.442111,-2577.597383,0.222671
0.020000,168.102308,47.331170,166.694890,148.287174,-67.360450,-2545.916944,0.212820
0.020000,170.968566,47.935250,169.624113,146.461150,-91.301189,-1197.036938,0.202516
0.020000,173.803287,48.501612,172.514858,144.537277,-96.193644,-244.622778,0.191787
