dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.982677,42.748116,0.007905,0.790537,39.526871,1976.343561,6.282117
0.020000,18.979607,42.748119,0.010976,0.153528,-31.850474,-3568.867244,6.282312
0.020000,18.973471,42.748123,0.017112,0.306814,7.664324,1975.739879,6.282701
0.020000,18.980514,42.748125,0.024156,0.352190,2.268787,-269.776847,0.000100
0.020000,19.094766,42.748181,0.138408,5.712602,268.020597,13287.590523,0.000877
0.020000,19.237618,42.748375,0.281259,7.142568,71.498280,-9826.115864,0.001845
0.020000,19.409092,42.748791,0.452734,8.573748,71.559014,3.036668,0.003004
0.020000,19.609219,42.749527,0.652862,10.006389,71.632050,3.651817,0.004352
0.020000,19.838030,42.750699,0.881677,11.440722,71.716664,4.230686,0.005885
0.020000,20.095565,42.752436,1.139217,12.877027,71.815250,4.929343,0.007603
0.020000,20.381864,42.754885,1.425527,14.315513,71.924297,5.452311,0.009502
0.020000,20.696976,42.758207,1.740657,15.756469,72.047807,6.175512,0.011578
0.020000,21.040951,42.762577,2.084659,17.200129,72.182997,6.759505,0.013830
0.020000,21.413844,42.768187,2.457595,18.646759,72.331480,7.424133,0.016251
0.020000,21.815714,42.775239,2.859526,20.096571,72.490631,7.957544,0.018840
0.020000,22.246624,42.783952,3.290524,21.549913,72.667074,8.822153,0.021591
0.020000,22.706640,42.794556,3.750663,23.006922,72.850431,9.167868,0.024499
0.020000,23.195834,42.807294,4.240022,24.467970,73.052414,10.099138,0.027560
0.020000,23.714279,42.822420,4.758687,25.933269,73.264975,10.628052,0.030767
0.020000,24.262051,42.840198,5.306749,27.403058,73.489429,11.222708,0.034116
0.020000,24.839232,42.860906,5.884301,28.877613,73.727755,11.916287,0.037601
0.020000,25.445905,42.884829,6.491446,30.357232,73.980964,12.660471,0.041214
0.020000,26.082157,42.912259,7.128288,31.842137,74.245240,13.213791,0.044949
0.020000,26.748076,42.943500,7.794939,33.332554,74.520827,13.779363,0.048799
0.020000,27.443753,42.978859,8.491515,34.828766,74.810612,14.489242,0.052757
0.020000,28.169284,43.018653,9.218136,36.331066,75.115025,15.220630,0.056816
0.020000,28.924765,43.063200,9.974929,37.839665,75.429912,15.744379,0.060966
0.020000,29.710295,43.112825,10.762025,39.354781,75.755797,16.294254,0.065200
0.020000,30.525973,43.167853,11.579558,40.876646,76.093248,16.872513,0.069509
0.020000,31.371906,43.228615,12.427669,42.405584,76.446949,17.685057,0.073884
0.020000,32.248197,43.295437,13.306505,43.941775,76.809550,18.130068,0.078316
0.020000,33.154952,43.368649,14.216211,45.485279,77.175156,18.280316,0.082796
0.020000,34.092284,43.448576,15.156944,47.036696,77.570852,19.784775,0.087314
0.020000,35.060301,43.535540,16.128860,48.595763,77.953384,19.126597,0.091860
0.020000,36.059119,43.629859,17.132121,50.163072,78.365439,20.602779,0.096423
0.020000,37.088854,43.731845,18.166894,51.738631,78.777938,20.624954,0.100993
0.020000,38.149624,43.841801,19.233347,53.322681,79.202512,21.228655,0.105559
0.020000,39.241548,43.960021,20.331653,54.915259,79.628899,21.319380,0.110111
0.020000,40.364753,44.086789,21.461989,56.516807,80.077406,22.425347,0.114636
0.020000,41.519363,44.222375,22.624532,58.127186,80.518937,22.076560,0.119125
0.020000,42.705511,44.367036,23.819469,59.746823,80.981876,23.146913,0.123564
0.020000,43.923330,44.521013,25.046983,61.375727,81.445169,23.164658,0.127943
0.020000,45.172959,44.684528,26.307266,63.014102,81.918757,23.679426,0.132249
0.020000,46.454539,44.857787,27.600504,64.661930,82.391423,23.633278,0.136470
0.020000,47.768222,45.040971,28.926897,66.319664,82.886653,24.761528,0.140594
0.020000,49.114158,45.234239,30.286639,67.987075,83.370564,24.195517,0.144609
0.020000,50.492511,45.437728,31.679931,69.664621,83.877319,25.337753,0.148500
0.020000,51.903447,45.651545,33.106977,71.352281,84.382975,25.282789,0.152257
0.020000,53.347144,45.875768,34.567982,73.050246,84.898255,25.764007,0.155865
0.020000,54.823781,46.110445,36.063151,74.758472,85.411292,25.651877,0.159311
0.020000,56.333558,46.355593,37.592702,76.477513,85.952092,27.039996,0.162583
0.020000,57.876674,46.611189,39.156842,78.207044,86.476551,26.222942,0.165666
0.020000,59.453348,46.877178,40.755795,79.947620,87.028795,27.612203,0.168546
0.020000,61.063806,47.153460,42.389780,81.699250,87.581458,27.633173,0.171210
0.020000,62.708289,47.439897,44.059022,83.462127,88.143852,28.119665,0.173643
0.020000,64.387051,47.736303,45.763751,85.236423,88.714803,28.547563,0.175830
0.020000,66.100364,48.042448,47.504201,87.022520,89.304891,29.504414,0.177757
0.020000,67.848514,48.358047,49.280611,88.820480,89.897969,29.653867,0.179409
0.020000,69.631804,48.682767,51.093224,90.630664,90.509185,30.560820,0.180770
0.020000,71.450557,49.016215,52.942291,92.453366,91.135100,31.295725,0.181824
0.020000,73.305114,49.357940,54.828069,94.288857,91.774550,31.972520,0.182555
0.020000,75.195836,49.707427,56.750819,96.137534,92.433861,32.965566,0.182946
0.020000,77.123105,50.064096,58.710814,97.999740,93.110306,33.822210,0.182980
0.020000,79.087326,50.427294,60.708332,99.875880,93.807019,34.835652,0.182640
0.020000,81.088925,50.796293,62.743660,101.766404,94.526192,35.958689,0.181906
0.020000,83.128352,51.170288,64.817095,103.671789,95.269233,37.152043,0.180761
0.020000,85.206080,51.548387,66.928946,105.592516,96.036381,38.357372,0.179185
0.020000,87.322604,51.929608,69.079527,107.529079,96.828122,39.587079,0.177156
0.020000,89.478444,52.312875,71.269172,109.482210,97.656554,41.421585,0.174656
