dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.965851,26.998125,0.007905,0.790537,39.526871,1976.343561,6.282117
0.020000,18.965851,26.998125,0.039527,2.371612,79.053742,1976.343561,6.282312
0.020000,18.965851,26.998125,0.102770,3.952687,79.053742,0.000000,6.282701
0.020000,18.982087,26.998125,0.197634,5.533762,79.053742,0.000000,0.000100
0.020000,19.108573,26.998187,0.324120,7.114837,79.053742,0.000000,0.000877
0.020000,19.266680,26.998402,0.482228,8.695912,79.053742,0.000000,0.001845
0.020000,19.456408,26.998862,0.671957,10.276987,79.053742,-0.000000,0.003004
0.020000,19.677757,26.999677,0.893307,11.858061,79.053742,0.000000,0.004352
0.020000,19.930726,27.000972,1.146279,13.439136,79.053742,0.000000,0.005885
0.020000,20.215313,27.002891,1.430873,15.020211,79.053742,0.000000,0.007603
0.020000,20.531516,27.005596,1.747088,16.601286,79.053742,0.000000,0.009502
0.020000,20.879333,27.009262,2.094924,18.182361,79.053742,-0.000000,0.011578
0.020000,21.258760,27.014083,2.474382,19.763436,79.053742,0.000000,0.013830
0.020000,21.669793,27.020267,2.885462,21.344510,79.053742,-0.000000,0.016251
0.020000,22.112425,27.028034,3.328163,22.925585,79.053742,0.000000,0.018840
0.020000,22.586651,27.037623,3.802485,24.506660,79.053742,-0.000000,0.021591
0.020000,23.092460,27.049283,4.308429,26.087735,79.053742,0.000000,0.024499
0.020000,23.629843,27.063275,4.845994,27.668810,79.053742,-0.000000,0.027560
0.020000,24.198788,27.079874,5.415181,29.249885,79.053742,0.000000,0.030767
0.020000,24.799280,27.099364,6.015990,30.830960,79.053742,0.000000,0.034116
0.020000,25.431302,27.122039,6.648420,32.412034,79.053742,-0.000000,0.037601
0.020000,26.094838,27.148203,7.312471,33.993109,79.053742,0.000000,0.041214
0.020000,26.789865,27.178167,8.008144,35.574184,79.053742,-0.000000,0.044949
0.020000,27.516360,27.212249,8.735439,37.155259,79.053742,0.000000,0.048799
0.020000,28.274296,27.250773,9.494354,38.736334,79.053742,0.000000,0.052757
0.020000,29.063647,27.294066,10.284892,40.317409,79.053742,0.000000,0.056816
0.020000,29.884380,27.342461,11.107051,41.898484,79.053742,-0.000000,0.060966
0.020000,30.736461,27.396289,11.960831,43.479558,79.053742,0.000000,0.065200
0.020000,31.619854,27.455886,12.846233,45.060633,79.053742,0.000000,0.069509
0.020000,32.534520,27.521583,13.763257,46.641708,79.053742,0.000000,0.073884
0.020000,33.480419,27.593713,14.711901,48.222783,79.053742,-0.000000,0.078316
0.020000,34.457504,27.672603,15.692168,49.803858,79.053742,0.000000,0.082796
0.020000,35.465733,27.758574,16.704056,51.384933,79.053742,0.000000,0.087314
0.020000,36.505055,27.851944,17.747565,52.966007,79.053742,-0.000000,0.091860
0.020000,37.575423,27.953019,18.822696,54.547082,79.053742,0.000000,0.096423
