dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.949024,11.248134,0.007905,0.790537,39.526871,1976.343561,6.282117
0.020000,18.952094,11.248131,0.010976,0.153528,-31.850474,-3568.867244,6.282312
0.020000,18.958230,11.248126,0.017112,0.306814,7.664324,1975.739879,6.282701
0.020000,18.983659,11.248125,0.042541,1.271425,48.230552,2028.311394,0.000100
0.020000,19.122379,11.248193,0.181261,6.935992,283.228342,11749.889500,0.000877
0.020000,19.295742,11.248429,0.354624,8.668174,86.609108,-9830.961690,0.001845
0.020000,19.503724,11.248933,0.562607,10.399146,86.548555,-3.027660,0.003004
0.020000,19.746296,11.249826,0.805180,12.128661,86.475787,-3.638394,0.004352
0.020000,20.023421,11.251244,1.082309,13.856457,86.389778,-4.300459,0.005885
0.020000,20.335061,11.253346,1.393956,15.582322,86.293266,-4.825568,0.007603
0.020000,20.681167,11.256307,1.740075,17.305959,86.181825,-5.572067,0.009502
0.020000,21.061689,11.260318,2.120618,19.027161,86.060121,-6.085212,0.011578
0.020000,21.476569,11.265589,2.535531,20.745653,85.924605,-6.775768,0.013830
0.020000,21.925742,11.272346,2.984755,22.461194,85.777053,-7.377633,0.016251
0.020000,22.409137,11.280829,3.468225,24.173477,85.614140,-8.145630,0.018840
0.020000,22.926678,11.291294,3.985872,25.882351,85.443690,-8.522509,0.021591
0.020000,23.478280,11.304009,4.537620,27.587413,85.253103,-9.529376,0.024499
0.020000,24.063852,11.319256,5.123391,29.288540,85.056349,-9.837653,0.027560
0.020000,24.683297,11.337328,5.743099,30.985414,84.843705,-10.632219,0.030767
0.020000,25.336508,11.358529,6.396654,32.677749,84.616742,-11.348157,0.034116
0.020000,26.023372,11.383171,7.083960,34.365306,84.377852,-11.944498,0.037601
0.020000,26.743770,11.411577,7.804918,36.047872,84.128302,-12.477497,0.041214
0.020000,27.497573,11.444075,8.559420,37.725146,83.863680,-13.231111,0.044949
0.020000,28.284644,11.480999,9.347357,39.396835,83.584488,-13.959565,0.048799
0.020000,29.104840,11.522687,10.168612,41.062723,83.294400,-14.504439,0.052757
0.020000,29.958009,11.569480,11.023064,42.722607,82.994210,-15.009465,0.056816
0.020000,30.843995,11.621722,11.910588,44.376196,82.679400,-15.740497,0.060966
0.020000,31.762628,11.679754,12.831052,46.023217,82.351050,-16.417540,0.065200
0.020000,32.713734,11.743918,13.784320,47.663423,82.010341,-17.035440,0.069509
0.020000,33.697135,11.814552,14.770254,49.296689,81.663281,-17.352982,0.073884
0.020000,34.712641,11.891990,15.788709,50.922727,81.301898,-18.069140,0.078316
0.020000,35.760055,11.976557,16.839531,52.541129,80.920103,-19.089787,0.082796
0.020000,36.839182,12.068573,17.922574,54.152127,80.549887,-18.510767,0.087314
0.020000,37.949808,12.168348,19.037673,55.754968,80.142078,-20.390491,0.091860
