dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,184.666139,16.769983,0.007959,0.795876,39.793811,1989.690564,3.141349
0.020000,184.666996,16.769983,0.008816,0.042871,-37.650265,-3872.203797,3.141403
0.020000,184.668710,16.769982,0.010530,0.085688,2.140865,1989.556488,3.141512
0.020000,184.623045,16.769980,0.056195,2.283240,109.877608,5386.837130,3.141675
0.020000,184.499124,16.769957,0.180116,6.196058,195.640865,4288.162884,3.141892
0.020000,184.344214,16.769889,0.335025,7.745478,77.470998,-5908.493391,3.142163
0.020000,184.158311,16.769753,0.520929,9.295162,77.484196,0.659898,3.142487
0.020000,183.941408,16.769518,0.737832,10.845153,77.499550,0.767735,3.142864
0.020000,183.693498,16.769150,0.985743,12.395545,77.519627,1.003844,3.143294
0.020000,183.414571,16.768608,1.264669,13.946342,77.539869,1.012105,3.143776
0.020000,183.104620,16.767848,1.574622,15.497626,77.564185,1.215790,3.144309
0.020000,182.763633,16.766822,1.915611,17.049440,77.590687,1.325099,3.144893
0.020000,182.391598,16.765477,2.287648,18.601866,77.621316,1.531433,3.145527
0.020000,181.988503,16.763753,2.690746,20.154908,77.652110,1.539708,3.146210
0.020000,181.554335,16.761589,3.124920,21.708660,77.687558,1.772420,3.146941
0.020000,181.089080,16.758919,3.590183,23.263164,77.725220,1.883089,3.147720
0.020000,180.592721,16.755673,4.086552,24.818467,77.765159,1.996971,3.148545
0.020000,180.065243,16.751776,4.614045,26.374639,77.808601,2.172086,3.149415
0.020000,179.506627,16.747151,5.172679,27.931717,77.853911,2.265491,3.150329
0.020000,178.916857,16.741716,5.762475,29.489773,77.902784,2.443654,3.151286
0.020000,178.295912,16.735386,6.383452,31.048853,77.953971,2.559359,3.152284
0.020000,177.643773,16.728074,7.035632,32.609004,78.007550,2.678958,3.153323
0.020000,176.960419,16.719690,7.719038,34.170301,78.064879,2.866426,3.154400
0.020000,176.245827,16.710138,8.433693,35.732778,78.123859,2.948987,3.155514
0.020000,175.499975,16.699325,9.179624,37.296505,78.186336,3.123870,3.156664
0.020000,174.722840,16.687151,9.956854,38.861530,78.251241,3.245265,3.157848
0.020000,173.914397,16.673515,10.765412,40.427912,78.319086,3.392256,3.159064
0.020000,173.074620,16.658317,11.605326,41.995703,78.389596,3.525480,3.160310
0.020000,172.203484,16.641453,12.476626,43.564965,78.463098,3.675095,3.161585
0.020000,171.300962,16.622817,13.379341,45.135744,78.538907,3.790473,3.162887
0.020000,170.367025,16.602306,14.313503,46.708107,78.618149,3.962086,3.164213
0.020000,169.401645,16.579811,15.279145,48.282094,78.699370,4.061048,3.165562
0.020000,168.404792,16.555228,16.276300,49.857777,78.784129,4.237946,3.166931
0.020000,167.376437,16.528449,17.305004,51.435199,78.871111,4.349122,3.168319
0.020000,166.316547,16.499368,18.365293,53.014421,78.961112,4.500031,3.169722
0.020000,165.225091,16.467882,19.457203,54.595499,79.053908,4.639808,3.171139
0.020000,164.102036,16.433884,20.580772,56.178487,79.149405,4.774848,3.172567
0.020000,162.947348,16.397273,21.736041,57.763440,79.247644,4.911940,3.174004
0.020000,161.760991,16.357948,22.923049,59.350412,79.348610,5.048302,3.175447
0.020000,160.542930,16.315811,24.141839,60.939460,79.452370,5.187980,3.176893
0.020000,159.293129,16.270765,25.392451,62.530639,79.558957,5.329386,3.178340
0.020000,158.011549,16.222718,26.674931,64.124000,79.668072,5.455751,3.179785
0.020000,156.698153,16.171581,27.989323,65.719603,79.780149,5.603830,3.181225
0.020000,155.352899,16.117268,29.335673,67.317499,79.894764,5.730749,3.182657
0.020000,153.975746,16.059699,30.714028,68.917742,80.012193,5.871443,3.184078
0.020000,152.566654,15.998797,32.124436,70.520388,80.132283,6.004518,3.185486
0.020000,151.125578,15.934493,33.566946,72.125490,80.255093,6.140511,3.186877
0.020000,149.652474,15.866722,35.041608,73.733102,80.380601,6.275371,3.188247
0.020000,148.147297,15.795425,36.548473,75.343278,80.508784,6.409182,3.189594
0.020000,146.609997,15.720551,38.087595,76.956071,80.639677,6.544620,3.190914
0.020000,145.040528,15.642057,39.659025,78.571534,80.773129,6.672589,3.192205
0.020000,143.438839,15.559906,41.262820,80.189722,80.909432,6.815165,3.193461
0.020000,141.804879,15.474070,42.899034,81.810688,81.048260,6.941411,3.194681
0.020000,140.138593,15.384533,44.567723,83.434483,81.189789,7.076460,3.195860
0.020000,138.439927,15.291284,46.268947,85.061164,81.334038,7.212453,3.196994
0.020000,136.708825,15.194326,48.002762,86.690780,81.480769,7.336525,3.198081
0.020000,134.945227,15.093671,49.769230,88.323387,81.630395,7.481306,3.199116
0.020000,133.149073,14.989344,51.568411,89.959038,81.782521,7.606288,3.200094
0.020000,131.320302,14.881380,53.400366,91.597785,81.937372,7.742563,3.201014
0.020000,129.458848,14.769829,55.265160,93.239683,82.094886,7.875694,3.201869
0.020000,127.564644,14.654752,57.162856,94.884784,82.255034,8.007400,3.202657
0.020000,125.637623,14.536227,59.093519,96.533142,82.417921,8.144345,3.203373
0.020000,123.677713,14.414346,61.057215,98.184812,82.583517,8.279826,3.204013
0.020000,121.684841,14.289214,63.054012,99.839848,82.751763,8.412307,3.204572
0.020000,119.658930,14.160956,65.083978,101.498303,82.922750,8.549332,3.205047
0.020000,117.599904,14.029711,67.147183,103.160233,83.096509,8.687964,3.205432
