dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,184.673824,48.269982,0.007959,0.795876,39.793811,1989.690564,3.141349
0.020000,184.672967,48.269982,0.008816,0.042871,-37.650265,-3872.203797,3.141403
0.020000,184.671253,48.269982,0.010530,0.085688,2.140865,1989.556488,3.141512
0.020000,184.620452,48.269980,0.061331,2.540038,122.717470,6028.830256,3.141675
0.020000,184.489693,48.269955,0.192090,6.537955,199.895871,3858.920061,3.141892
0.020000,184.326252,48.269884,0.355531,8.172049,81.704718,-5909.557690,3.142163
0.020000,184.130135,48.269741,0.551648,9.805874,81.691220,-0.674890,3.142487
0.020000,183.901348,48.269493,0.780436,11.439364,81.674500,-0.835986,3.142864
0.020000,183.639898,48.269104,1.041886,13.072509,81.657257,-0.862138,3.143294
0.020000,183.345794,48.268533,1.335990,14.705203,81.634677,-1.129011,3.143776
0.020000,183.019047,48.267732,1.662738,16.337420,81.610873,-1.190201,3.144309
0.020000,182.659666,48.266651,2.022120,17.969097,81.583845,-1.351404,3.144893
0.020000,182.267665,48.265233,2.414124,19.600209,81.555628,-1.410873,3.145527
0.020000,181.843056,48.263417,2.838737,21.230650,81.522036,-1.679592,3.146210
0.020000,181.385853,48.261139,3.295945,22.860406,81.487788,-1.712378,3.146941
0.020000,180.896073,48.258328,3.785734,24.489412,81.450301,-1.874361,3.147720
0.020000,180.373732,48.254912,4.308086,26.117605,81.409631,-2.033519,3.148545
0.020000,179.818848,48.250812,4.862985,27.744946,81.367054,-2.128833,3.149415
0.020000,179.231441,48.245949,5.450412,29.371362,81.320839,-2.310728,3.150329
0.020000,178.611531,48.240236,6.070348,30.996818,81.272758,-2.404048,3.151286
0.020000,177.959140,48.233586,6.722773,32.621247,81.221486,-2.563637,3.152284
0.020000,177.274291,48.225907,7.407665,34.244589,81.167093,-2.719638,3.153323
0.020000,176.557009,48.217106,8.125001,35.866809,81.110995,-2.804888,3.154400
0.020000,175.807320,48.207086,8.874758,37.487829,81.050980,-3.000780,3.155514
0.020000,175.025250,48.195747,9.656910,39.107608,80.988976,-3.100178,3.156664
0.020000,174.210828,48.182989,10.471432,40.726085,80.923854,-3.256107,3.157848
0.020000,173.364084,48.168708,11.318296,42.343208,80.856144,-3.385517,3.159064
0.020000,172.485050,48.152799,12.197474,43.958919,80.785551,-3.529631,3.160310
0.020000,171.573757,48.135158,13.108938,45.573167,80.712415,-3.656796,3.161585
0.020000,170.630240,48.115676,14.052655,47.185888,80.636017,-3.819917,3.162887
0.020000,169.654535,48.094247,15.028596,48.797038,80.557531,-3.924297,3.164213
0.020000,168.646678,48.070763,16.036727,50.406547,80.475439,-4.104608,3.165562
0.020000,167.606706,48.045116,17.077014,52.014375,80.391370,-4.203414,3.166931
0.020000,166.534661,48.017199,18.149424,53.620454,80.303956,-4.370695,3.168319
0.020000,165.430581,47.986907,19.253918,55.224734,80.214031,-4.496264,3.169722
0.020000,164.294511,47.954133,20.390461,56.827162,80.121368,-4.633157,3.171139
