dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,184.821977,175.795852,0.007969,0.796893,39.844658,1992.232919,1.583908
0.020000,184.822003,175.793874,0.009947,0.098908,-34.899239,-3737.194862,1.584034
0.020000,184.822056,175.789916,0.013905,0.197893,4.949253,1992.424598,1.584285
0.020000,184.822137,175.783976,0.019846,0.297032,4.956924,0.383570,1.584662
0.020000,184.822249,175.776049,0.027774,0.396401,4.968442,0.575885,1.585166
0.020000,184.820500,175.894563,0.146301,5.926373,276.498619,13576.508840,1.585796
0.020000,184.817744,176.073815,0.325574,8.963646,151.863635,-6231.749195,1.586554
0.020000,184.814354,176.283002,0.534788,10.460713,74.853368,-3850.513362,1.587441
0.020000,184.810256,176.521937,0.773758,11.948504,74.389560,-23.190396,1.588457
0.020000,184.805355,176.790647,1.042513,13.437755,74.462528,3.648379,1.589605
0.020000,184.799548,177.089181,1.341104,14.929522,74.588346,6.290940,1.590886
0.020000,184.792720,177.417455,1.669449,16.417234,74.385607,-10.136985,1.592301
0.020000,184.784744,177.775416,2.027498,17.902475,74.262060,-6.177320,1.593853
0.020000,184.775476,178.163113,2.415307,19.390429,74.397699,6.781921,1.595543
0.020000,184.764764,178.580430,2.832760,20.872688,74.112933,-14.238292,1.597374
0.020000,184.752444,179.027272,3.279773,22.350617,73.896435,-10.824888,1.599348
0.020000,184.738333,179.503694,3.756403,23.831533,74.045815,7.468984,1.601469
0.020000,184.722238,180.009574,4.262539,25.306801,73.763431,-14.119190,1.603738
0.020000,184.703949,180.544922,4.798200,26.783033,73.811583,2.407591,1.606159
0.020000,184.683245,181.109574,5.363231,28.251540,73.425341,-19.312069,1.608735
0.020000,184.659889,181.703506,5.957622,29.719545,73.400272,-1.253444,1.611471
0.020000,184.633625,182.326679,6.581348,31.186310,73.338210,-3.103144,1.614369
0.020000,184.604183,182.978998,7.234332,32.649181,73.143565,-9.732246,1.617435
0.020000,184.571277,183.660389,7.916517,34.109260,73.003942,-6.981127,1.620673
0.020000,184.534605,184.370720,8.627794,35.563850,72.729494,-13.722415,1.624087
0.020000,184.493850,185.109840,9.368036,37.012121,72.413579,-15.795747,1.627683
0.020000,184.448668,185.877703,10.137228,38.459576,72.372753,-2.041281,1.631465
0.020000,184.398702,186.674168,10.935258,39.901536,72.097983,-13.738530,1.635440
0.020000,184.343574,187.499127,11.762057,41.339917,71.919071,-8.945602,1.639615
0.020000,184.282889,188.352365,12.617451,42.769702,71.489214,-21.492838,1.643994
0.020000,184.216227,189.233772,13.501375,44.196200,71.324918,-8.214804,1.648586
0.020000,184.143143,190.143199,14.413734,45.617957,71.087863,-11.852727,1.653398
0.020000,184.063174,191.080464,15.354404,47.033482,70.776231,-15.581620,1.658438
0.020000,183.975835,192.045344,16.323229,48.441249,70.388350,-19.394039,1.663714
0.020000,183.880618,193.037580,17.320023,49.839703,69.922723,-23.281359,1.669234
0.020000,183.776974,194.057052,18.344749,51.236336,69.831646,-4.553834,1.675008
0.020000,183.664352,195.103385,19.397126,52.618848,69.125584,-35.303129,1.681046
0.020000,183.542145,196.176463,20.477141,54.000722,69.093694,-1.594502,1.687360
0.020000,183.409744,197.275873,21.584495,55.367707,68.349262,-37.221576,1.693958
0.020000,183.266496,198.401333,22.719035,56.726979,67.963581,-19.284028,1.700854
0.020000,183.111722,199.552507,23.880566,58.076598,67.480968,-24.130699,1.708060
0.020000,182.944711,200.729004,25.068858,59.414593,66.899750,-29.060893,1.715588
0.020000,182.764705,201.930512,26.283775,60.745841,66.562415,-16.866745,1.723454
0.020000,182.570939,203.156518,27.524999,62.061189,65.767380,-39.751743,1.731671
0.020000,182.362586,204.406627,28.792352,63.367653,65.323187,-22.209651,1.740255
0.020000,182.138806,205.680278,30.085513,64.658041,64.519443,-40.187177,1.749222
0.020000,181.898705,206.976973,31.404249,65.936826,63.939231,-29.010640,1.758589
0.020000,181.641355,208.296137,32.748281,67.201590,63.238179,-35.052584,1.768375
0.020000,181.365797,209.637116,34.117280,68.449924,62.416718,-41.073033,1.778599
0.020000,181.071020,210.999268,35.510962,69.684143,61.710950,-35.288409,1.789279
0.020000,180.755979,212.381864,36.928997,70.901723,60.879016,-41.596680,1.800437
0.020000,180.419582,213.784153,38.371071,72.103695,60.098560,-39.022798,1.812094
0.020000,180.060711,215.205255,39.836786,73.285770,59.103755,-49.740281,1.824272
0.020000,179.678195,216.644283,41.325786,74.449968,58.209927,-44.691386,1.836995
0.020000,179.270821,218.100284,42.837703,75.595846,57.293897,-45.801516,1.850287
0.020000,178.837325,219.572281,44.372203,76.725043,56.459837,-41.702974,1.864171
0.020000,178.376434,221.059104,45.928823,77.830979,55.296788,-58.152482,1.878673
0.020000,177.886812,222.559609,47.507191,78.918399,54.370993,-46.289728,1.893818
0.020000,177.367083,224.072569,49.106930,79.986971,53.428635,-47.117917,1.909630
0.020000,176.815853,225.596641,50.727624,81.034689,52.385871,-52.138175,1.926134
