dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,209.347777,185.933406,0.007980,0.798047,39.902346,1995.117311,2.249412
0.020000,209.347715,185.933483,0.008079,0.004933,-39.655676,-3977.901092,2.249418
0.020000,209.347590,185.933638,0.008278,0.009937,0.250183,1995.292940,2.249431
0.020000,209.347401,185.933873,0.008580,0.015081,0.257209,0.351269,2.249450
0.020000,209.291412,186.003297,0.097768,4.459409,222.216409,11097.960009,2.249476
0.020000,209.190885,186.127942,0.257898,8.006523,177.355692,-2243.035830,2.249509
0.020000,209.070238,186.277523,0.450071,9.608633,80.105493,-4862.509969,2.249550
0.020000,208.929462,186.452045,0.674293,11.211132,80.124950,0.972838,2.249598
0.020000,208.768546,186.651511,0.930576,12.814119,80.149362,1.220606,2.249656
0.020000,208.587480,186.875927,1.218929,14.417675,80.177807,1.422272,2.249723
0.020000,208.386249,187.125300,1.539367,16.021897,80.211086,1.663931,2.249800
0.020000,208.164838,187.399632,1.891902,17.626758,80.243019,1.596679,2.249889
0.020000,207.923230,187.698932,2.276552,19.232462,80.285227,2.110367,2.249990
0.020000,207.661405,188.023205,2.693331,20.838953,80.324533,1.965300,2.250104
0.020000,207.379342,188.372456,3.142258,22.446386,80.371644,2.355557,2.250232
0.020000,207.077017,188.746693,3.623355,24.054821,80.421793,2.507442,2.250376
0.020000,206.754401,189.145920,4.136641,25.664318,80.474823,2.651522,2.250537
0.020000,206.411468,189.570143,4.682140,27.274929,80.530569,2.787293,2.250717
0.020000,206.048184,190.019366,5.259874,28.886706,80.588854,2.914262,2.250916
0.020000,205.664513,190.493596,5.869871,30.499864,80.657887,3.451640,2.251137
0.020000,205.260418,190.992832,6.512156,32.114254,80.719497,3.080517,2.251381
0.020000,204.835856,191.517080,7.186759,33.730119,80.793241,3.687173,2.251651
0.020000,204.390781,192.066340,7.893709,35.347508,80.869475,3.811733,2.251947
0.020000,203.925142,192.640611,8.633037,36.966414,80.945272,3.789820,2.252273
0.020000,203.438886,193.239892,9.404778,38.587041,81.031353,4.304069,2.252629
0.020000,202.931953,193.864180,10.208964,40.209316,81.113752,4.119953,2.253019
0.020000,202.404281,194.513467,11.045631,41.833341,81.201265,4.375635,2.253444
0.020000,201.855799,195.187748,11.914819,43.459392,81.302558,5.064675,2.253907
0.020000,201.286435,195.887011,12.816564,45.087271,81.393924,4.568293,2.254411
0.020000,200.696107,196.611243,13.750908,46.717198,81.496375,5.122552,2.254958
0.020000,200.084730,197.360428,14.717894,48.349259,81.603051,5.333794,2.255550
0.020000,199.452210,198.134546,15.717564,49.983506,81.712320,5.463436,2.256191
0.020000,198.798449,198.933574,16.749963,51.619984,81.823893,5.578647,2.256883
0.020000,198.123338,199.757485,17.815141,53.258885,81.945090,6.059839,2.257629
0.020000,197.426765,200.606248,18.913145,54.900188,82.065124,6.001701,2.258433
0.020000,196.708605,201.479826,20.044026,56.544062,82.193699,6.428757,2.259297
0.020000,195.968729,202.378178,21.207836,58.190477,82.320742,6.352179,2.260226
0.020000,195.206996,203.301257,22.404629,59.839646,82.458479,6.886853,2.261222
0.020000,194.423257,204.249013,23.634461,61.491626,82.598977,7.024875,2.262288
0.020000,193.617352,205.221385,24.897390,63.146464,82.741915,7.146910,2.263430
0.020000,192.789112,206.218307,26.193475,64.804235,82.888521,7.330278,2.264649
0.020000,191.938354,207.239712,27.522782,66.465354,83.055979,8.372919,2.265952
0.020000,191.064889,208.285515,28.885369,68.129354,83.200006,7.201339,2.267340
0.020000,190.168512,209.355628,30.281304,69.796743,83.369457,8.472587,2.268819
0.020000,189.249004,210.449958,31.710658,71.467693,83.547455,8.899894,2.270393
0.020000,188.306138,211.568396,33.173498,73.141984,83.714562,8.355311,2.272067
0.020000,187.339667,212.710828,34.669899,74.820088,83.905229,9.533352,2.273844
