dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,55.515541,223.735542,0.007980,0.798030,39.901523,1995.076129,6.276426
0.020000,55.511043,223.735572,0.012478,0.224896,-28.656733,-3427.912754,6.276712
0.020000,55.502046,223.735628,0.021476,0.449872,11.248824,1995.277819,6.277283
0.020000,55.488546,223.735702,0.034976,0.675009,11.256853,0.401465,6.278140
0.020000,55.597448,223.735215,0.143879,5.445167,238.507878,11362.551221,6.279284
0.020000,55.734507,223.734778,0.280939,6.852982,70.390755,-8405.856112,6.280716
0.020000,55.898933,223.734514,0.445364,8.221275,68.414670,-98.804285,6.282437
0.020000,56.090704,223.734563,0.637136,9.588577,68.365099,-2.478537,0.001263
0.020000,56.309783,223.735092,0.856215,10.953964,68.269307,-4.789585,0.003566
0.020000,56.556154,223.736290,1.102589,12.318708,68.237205,-1.605108,0.006164
0.020000,56.829766,223.738373,1.376209,13.681008,68.115005,-6.110024,0.009059
0.020000,57.130596,223.741578,1.677057,15.042354,68.067292,-2.385605,0.012252
0.020000,57.458575,223.746170,2.005067,16.400535,67.909064,-7.911429,0.015747
0.020000,57.813656,223.752436,2.360204,17.756816,67.814054,-4.750474,0.019546
0.020000,58.195773,223.760690,2.742410,19.110311,67.674744,-6.965529,0.023653
0.020000,58.604901,223.771272,3.151675,20.463239,67.646434,-1.415487,0.028070
0.020000,59.040916,223.784545,3.587891,21.810835,67.379762,-13.333624,0.032800
0.020000,59.503800,223.800902,4.051065,23.158667,67.391600,0.591901,0.037848
0.020000,59.993432,223.820757,4.541099,24.501732,67.153269,-11.916506,0.043216
0.020000,60.509729,223.844554,5.057944,25.842262,67.026497,-6.338643,0.048908
0.020000,61.052602,223.872763,5.601549,27.180225,66.898135,-6.418061,0.054928
0.020000,61.621968,223.905881,6.171878,28.516460,66.811765,-4.318526,0.061279
0.020000,62.217682,223.944428,6.768837,29.847960,66.574980,-11.839221,0.067964
0.020000,62.839641,223.988957,7.392389,31.177565,66.480279,-4.735053,0.074988
0.020000,63.487736,224.040047,8.042495,32.505293,66.386385,-4.694713,0.082353
0.020000,64.161834,224.098301,8.719105,33.830507,66.260705,-6.283987,0.090063
0.020000,64.861778,224.164353,9.422158,35.152677,66.108489,-7.610811,0.098120
0.020000,65.587418,224.238860,10.151613,36.472751,66.003701,-5.239433,0.106527
0.020000,66.338604,224.322512,10.907443,37.791497,65.937329,-3.318560,0.115286
0.020000,67.115185,224.416024,11.689634,39.109540,65.902134,-1.759781,0.124399
0.020000,67.916970,224.520137,12.498150,40.425790,65.812485,-4.482441,0.133866
0.020000,68.743801,224.635622,13.333007,41.742848,65.852898,2.020660,0.143689
0.020000,69.595451,224.763269,14.194170,43.058181,65.766674,-4.311181,0.153867
0.020000,70.471762,224.903905,15.081694,44.376198,65.900849,6.708741,0.164399
0.020000,71.372504,225.058374,15.995585,45.694538,65.916981,0.806581,0.175283
0.020000,72.297470,225.227547,16.935895,47.015494,66.047804,6.541165,0.186517
0.020000,73.246435,225.412320,17.902681,48.339282,66.189414,7.080504,0.198095
