dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,55.302640,192.236262,0.007980,0.798030,39.901523,1995.076129,6.276426
0.020000,55.307138,192.236232,0.012478,0.224896,-28.656733,-3427.912754,6.276712
0.020000,55.316135,192.236176,0.021476,0.449872,11.248824,1995.277819,6.277283
0.020000,55.329635,192.236102,0.034976,0.675009,11.256853,0.401465,6.278140
0.020000,55.474573,192.235455,0.179915,7.246938,328.596449,15866.979805,6.279284
0.020000,55.656727,192.234874,0.362070,9.107756,93.040897,-11777.777597,6.280716
0.020000,55.875354,192.234523,0.580697,10.931351,91.179726,-93.058589,6.282437
0.020000,56.130481,192.234588,0.835824,12.756383,91.251621,3.594791,0.001263
0.020000,56.422122,192.235292,1.127466,14.582058,91.283752,1.606520,0.003566
0.020000,56.750328,192.236889,1.455675,16.410494,91.421802,6.902529,0.006164
0.020000,57.115111,192.239665,1.820469,18.239700,91.460296,1.924702,0.009059
0.020000,57.516529,192.243942,2.221911,20.072053,91.617643,7.867309,0.012252
0.020000,57.954586,192.250075,2.660010,21.904975,91.646114,1.423583,0.015747
0.020000,58.429322,192.258453,3.134820,23.740501,91.776262,6.507405,0.019546
0.020000,58.940758,192.269501,3.646375,25.577765,91.863213,4.347525,0.023653
0.020000,59.488975,192.283681,4.194776,27.420032,92.113341,12.506406,0.028070
0.020000,60.073928,192.301488,4.779999,29.261168,92.056821,-2.825992,0.032800
0.020000,60.695717,192.323460,5.402176,31.108857,92.384421,16.379971,0.037848
0.020000,61.354306,192.350168,6.061307,32.956551,92.384700,0.013993,0.043216
0.020000,62.049715,192.382221,6.757455,34.807358,92.540379,7.783942,0.048908
0.020000,62.781953,192.420270,7.490681,36.661295,92.696828,7.822419,0.054928
0.020000,63.551043,192.465005,8.261070,38.519488,92.909654,10.641299,0.061279
0.020000,64.356913,192.517152,9.068626,40.377790,92.915118,0.273215,0.067964
0.020000,65.199554,192.577482,9.913424,42.239873,93.104148,9.451487,0.074988
0.020000,66.078936,192.646804,10.795534,44.105508,93.281760,8.880643,0.082353
0.020000,66.994991,192.725969,11.715003,45.973480,93.398572,5.840580,0.090063
0.020000,67.947611,192.815866,12.671855,47.842596,93.455815,2.862171,0.098120
0.020000,68.936682,192.917423,13.666126,49.713556,93.547992,4.608840,0.106527
0.020000,69.962077,193.031612,14.697860,51.586688,93.656620,5.431405,0.115286
0.020000,71.023648,193.159442,15.767100,53.461988,93.764966,5.417299,0.124399
0.020000,72.121173,193.301958,16.873839,55.336953,93.748278,-0.834421,0.133866
0.020000,73.254451,193.460247,18.018118,57.213970,93.850863,5.129247,0.143689
0.020000,74.423161,193.635416,19.199883,59.088223,93.712618,-6.912248,0.153867
0.020000,75.627041,193.828624,20.419167,60.964231,93.800399,4.389074,0.164399
0.020000,76.865699,194.041043,21.675908,62.837044,93.640646,-7.987667,0.175283
0.020000,78.138740,194.273879,22.970066,64.707909,93.543254,-4.869628,0.186517
0.020000,79.445696,194.528357,24.301567,66.575025,93.355818,-9.371789,0.198095
0.020000,80.786104,194.805732,25.670372,68.440267,93.262081,-4.686843,0.210013
0.020000,82.159343,195.107252,27.076324,70.297599,92.866594,-19.774351,0.222265
0.020000,83.564813,195.434189,28.519319,72.149720,92.606072,-13.026114,0.234841
0.020000,85.001831,195.787814,29.999208,73.994482,92.238074,-18.399873,0.247733
0.020000,86.469642,196.169389,31.515805,75.829857,91.768773,-23.465035,0.260929
0.020000,87.967443,196.580173,33.068916,77.655507,91.282521,-24.312628,0.274417
0.020000,89.494355,197.021398,34.658299,79.469177,90.683473,-29.952383,0.288182
0.020000,91.049459,197.494279,36.283712,81.270627,90.072505,-30.548399,0.302207
0.020000,92.631762,197.999994,37.944865,83.057684,89.352869,-35.981792,0.316474
0.020000,94.240205,198.539674,39.641433,84.828385,88.535051,-40.890903,0.330963
0.020000,95.873689,199.114406,41.373076,86.582144,87.687915,-42.356804,0.345653
0.020000,97.531060,199.725216,43.139419,88.317155,86.750548,-46.868382,0.360519
0.020000,99.211129,200.373068,44.940070,90.032546,85.769568,-49.048991,0.375537
0.020000,100.912661,201.058848,46.774601,91.726561,84.700745,-53.441145,0.390679
0.020000,102.634386,201.783361,48.642556,93.397739,83.558883,-57.093085,0.405917
0.020000,104.375033,202.547335,50.543479,95.046174,82.421783,-56.855035,0.421220
0.020000,106.133296,203.351391,52.476869,96.669492,81.165900,-62.794144,0.436559
0.020000,107.907878,204.196066,54.442223,98.267682,79.909499,-62.820032,0.451901
0.020000,109.697485,205.081788,56.439020,99.839834,78.607611,-65.094412,0.467212
0.020000,111.500845,206.008890,58.466734,101.385722,77.294378,-65.661637,0.482459
0.020000,113.316705,206.977593,60.524824,102.904474,75.937617,-67.838044,0.497609
0.020000,115.143858,207.988018,62.612752,104.396441,74.598339,-66.963912,0.512626
0.020000,116.981140,209.040177,64.729978,105.861269,73.241407,-67.846617,0.527476
0.020000,118.827444,210.133984,66.875963,107.299249,71.898968,-67.121945,0.542126
0.020000,120.681729,211.269248,69.050174,108.710584,70.566761,-66.610343,0.556541
0.020000,122.543029,212.445681,71.252090,110.095785,69.260039,-65.336108,0.570688
0.020000,124.410458,213.662904,73.481198,111.455394,67.980461,-63.978894,0.584535
0.020000,126.283218,214.920443,75.736998,112.790026,66.731633,-62.441401,0.598050
0.020000,128.160603,216.217743,78.019007,114.100427,65.520025,-60.580380,0.611202
