dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,104.076916,221.299698,0.007863,0.786292,39.314623,1965.731175,0.001920
0.020000,104.088198,221.299715,0.019145,0.564113,-11.108956,-2521.178965,0.001203
0.020000,104.120826,221.299725,0.051773,1.631404,53.364550,3223.675296,6.282956
0.020000,104.249033,221.299558,0.179980,6.410350,238.947273,9279.136124,6.280807
0.020000,104.420009,221.298906,0.350957,8.548855,106.925275,-6601.099904,6.277939
0.020000,104.633756,221.297402,0.564709,10.687599,106.937202,0.596384,6.274352
0.020000,104.890309,221.294583,0.821278,12.828455,107.042807,5.280219,6.270044
0.020000,105.189678,221.289895,1.120684,14.970281,107.091288,2.424065,6.265012
0.020000,105.531868,221.282691,1.462950,17.113311,107.151494,3.010316,6.259257
0.020000,105.916871,221.272228,1.848095,19.257249,107.196892,2.269877,6.252775
0.020000,106.344648,221.257672,2.276120,21.401221,107.198599,0.085350,6.245568
0.020000,106.815173,221.238095,2.747052,23.546620,107.269960,3.568054,6.237634
0.020000,107.328327,221.212477,3.260844,25.689614,107.149672,-6.014397,6.228975
0.020000,107.884004,221.179709,3.817487,27.832114,107.125042,-1.231474,6.219593
0.020000,108.481993,221.138596,4.416888,29.970071,106.897847,-11.359787,6.209493
0.020000,109.122059,221.087862,5.058961,32.103653,106.679084,-10.938133,6.198680
0.020000,109.803882,221.026149,5.743572,34.230528,106.343739,-16.767262,6.187163
0.020000,110.527061,220.952034,6.470539,36.348343,105.890744,-22.649717,6.174954
0.020000,111.291100,220.864030,7.239629,38.454507,105.308193,-29.127550,6.162067
0.020000,112.095403,220.760599,8.050555,40.546298,104.589576,-35.930861,6.148521
0.020000,112.939255,220.640166,8.902957,42.620136,103.691906,-44.883513,6.134339
0.020000,113.821824,220.501132,9.796411,44.672692,102.627812,-53.204697,6.119546
0.020000,114.742155,220.341888,10.730417,46.700293,101.380021,-62.389544,6.104176
0.020000,115.699158,220.160837,11.704396,48.698924,99.931564,-72.422863,6.088265
0.020000,116.691595,219.956416,12.717667,50.663576,98.232578,-84.949287,6.071856
0.020000,117.718117,219.727109,13.769489,52.591077,96.375067,-92.875535,6.054996
0.020000,118.777229,219.471476,14.859015,54.476294,94.260826,-105.712069,6.037740
0.020000,119.867318,219.188173,15.985316,56.315093,91.939975,-116.042542,6.020145
0.020000,120.986664,218.875972,17.147385,58.103451,89.417916,-126.102972,6.002275
0.020000,122.133453,218.533786,18.344138,59.837618,86.708312,-135.480195,5.984201
0.020000,123.305792,218.160682,19.574416,61.513931,83.815657,-144.632731,5.965995
0.020000,124.501737,217.755903,20.837006,63.129461,80.776499,-151.957923,5.947735
0.020000,125.719317,217.318875,22.130641,64.681771,77.615531,-158.048395,5.929500
0.020000,126.956553,216.849224,23.454018,66.168842,74.353521,-163.100478,5.911373
0.020000,128.211496,216.346777,24.805807,67.589464,71.031134,-166.119383,5.893440
0.020000,129.482245,215.811568,26.184666,68.942933,67.673450,-167.884168,5.875785
0.020000,130.766974,215.243833,27.589249,70.229145,64.310559,-168.144557,5.858494
0.020000,132.063962,214.644012,29.018221,71.448636,60.974556,-166.800135,5.841651
0.020000,133.371603,214.012738,30.470265,72.602199,57.678138,-164.820905,5.825340
0.020000,134.688431,213.350832,31.944089,73.691157,54.447947,-161.509592,5.809643
0.020000,136.013133,212.659288,33.438434,74.717254,51.304805,-157.157057,5.794640
0.020000,137.344552,211.939275,34.952071,75.681853,48.229947,-153.742915,5.780410
0.020000,138.681700,211.192113,36.483806,76.586784,45.246587,-149.167996,5.767027
0.020000,140.023758,210.419278,38.032482,77.433776,42.349609,-144.848916,5.754566
