dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,104.137386,189.799756,0.007863,0.786292,39.314623,1965.731175,0.001920
0.020000,104.126104,189.799738,0.019145,0.564113,-11.108956,-2521.178965,0.001203
0.020000,104.113606,189.799726,0.031643,0.624868,3.037757,707.335642,6.282956
0.020000,104.174111,189.799647,0.092147,3.025222,120.017695,5848.996889,6.280807
0.020000,104.254757,189.799340,0.172794,4.032328,50.355289,-3483.120310,6.277939
0.020000,104.355512,189.798631,0.273552,5.037905,50.278836,-3.822637,6.274352
0.020000,104.476358,189.797303,0.394404,6.042641,50.236796,-2.102010,6.270044
0.020000,104.617259,189.795097,0.535323,7.045949,50.165407,-3.569452,6.265012
0.020000,104.778185,189.791709,0.696285,8.048071,50.106107,-2.964992,6.259257
0.020000,104.959103,189.786792,0.877269,9.049212,50.057062,-2.452235,6.252775
0.020000,105.159977,189.779957,1.078260,10.049555,50.017134,-1.996415,6.245568
0.020000,105.380799,189.770769,1.299273,11.050630,50.053746,1.830633,6.237634
0.020000,105.621536,189.758751,1.540310,12.051836,50.060283,0.326849,6.228975
0.020000,105.882196,189.743380,1.801422,13.055625,50.189461,6.458866,6.219593
0.020000,106.162774,189.724090,2.082663,14.062044,50.320957,6.574834,6.209493
0.020000,106.463302,189.700268,2.384134,15.073543,50.574976,12.700940,6.198680
0.020000,106.783829,189.671257,2.705971,16.091854,50.915503,17.026356,6.187163
0.020000,107.124428,189.636349,3.048354,17.119168,51.365744,22.512041,6.174954
0.020000,107.485204,189.594793,3.411515,18.158058,51.944475,28.936521,6.162067
0.020000,107.866296,189.545784,3.795746,19.211521,52.673166,36.434557,6.148521
0.020000,108.267879,189.488469,4.201398,20.282630,53.555455,44.114462,6.134339
0.020000,108.690171,189.421940,4.628899,21.375029,54.619922,53.223351,6.119546
0.020000,109.133436,189.345238,5.078751,22.492606,55.878850,62.946411,6.104176
0.020000,109.597984,189.257348,5.551540,23.639434,57.341414,73.128176,6.088265
0.020000,110.084163,189.157198,6.047927,24.819358,58.996220,82.740318,6.071856
0.020000,110.592381,189.043663,6.568672,26.037276,60.895861,94.982036,6.054996
0.020000,111.123082,188.915559,7.114616,27.297156,62.994032,104.908549,6.037740
0.020000,111.676753,188.771653,7.686683,28.603353,65.309811,115.788951,6.020145
0.020000,112.253920,188.610659,8.285883,29.960019,67.833311,126.174989,6.002275
0.020000,112.855142,188.431246,8.913304,31.371044,70.551263,135.897604,5.984201
0.020000,113.481001,188.232043,9.570100,32.839805,73.438058,144.339765,5.965995
0.020000,114.132099,188.011650,10.257487,34.369366,76.478038,151.999004,5.947735
0.020000,114.809050,187.768645,10.976732,35.962246,79.643999,158.298070,5.929500
0.020000,115.512471,187.501601,11.729138,37.620289,82.902167,162.908401,5.911373
0.020000,116.242981,187.209093,12.516035,39.344838,86.227433,166.263290,5.893440
0.020000,117.001194,186.889718,13.338766,41.136554,89.585806,167.918624,5.875785
0.020000,117.787715,186.542112,14.198676,42.995511,92.947857,168.102539,5.858494
0.020000,118.603145,186.164960,15.097102,44.921304,96.289636,167.088985,5.841651
0.020000,119.448080,185.757022,16.035361,46.912929,99.581269,164.581642,5.825340
