dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.846157,314.639257,0.007950,0.794966,39.748319,1987.415937,0.001048
0.020000,5.848653,314.639259,0.010446,0.124824,-33.507112,-3662.771527,0.000890
0.020000,5.853644,314.639263,0.015437,0.249551,6.236333,1987.172241,0.000573
0.020000,5.861126,314.639265,0.022919,0.374082,6.226576,-0.487829,0.000098
0.020000,5.978682,314.639234,0.140475,5.877825,275.187144,13448.028402,6.282650
0.020000,6.150119,314.639075,0.311912,8.571841,134.700810,-7024.316740,6.281860
0.020000,6.355824,314.638705,0.517617,10.285243,85.670080,-2451.536478,6.280913
0.020000,6.595787,314.638027,0.757581,11.998217,85.648702,-1.068916,6.279810
0.020000,6.869996,314.636929,1.031792,13.710541,85.616181,-1.626022,6.278551
0.020000,7.178431,314.635282,1.340232,15.421995,85.572715,-2.173306,6.277139
0.020000,7.521072,314.632941,1.682881,17.132462,85.523344,-2.468564,6.275573
0.020000,7.897911,314.629749,2.059733,18.842587,85.506282,-0.853113,6.273854
0.020000,8.308912,314.625529,2.470757,20.551174,85.429312,-3.848472,6.271985
0.020000,8.754054,314.620094,2.915931,22.258747,85.378651,-2.533065,6.269966
0.020000,9.233308,314.613239,3.395235,23.965166,85.320960,-2.884551,6.267800
0.020000,9.746642,314.604746,3.908639,25.670202,85.251800,-3.458009,6.265487
0.020000,10.294017,314.594385,4.456111,27.373633,85.171570,-4.011500,6.263030
0.020000,10.875400,314.581909,5.037628,29.075841,85.110363,-3.060338,6.260431
0.020000,11.490738,314.567061,5.653145,30.775860,85.000991,-5.468613,6.257692
0.020000,12.139995,314.549570,6.302638,32.474643,84.939134,-3.092846,6.254815
0.020000,12.823111,314.529154,6.986060,34.171059,84.820772,-5.918082,6.251802
0.020000,13.540031,314.505517,7.703369,35.865455,84.719825,-5.047360,6.248657
0.020000,14.290692,314.478356,8.454521,37.557599,84.607217,-5.630410,6.245382
0.020000,15.075034,314.447353,9.239476,39.247754,84.507754,-4.973162,6.241979
0.020000,15.892977,314.412184,10.058174,40.934934,84.358987,-7.438306,6.238453
0.020000,16.744451,314.372513,10.910572,42.619868,84.246673,-5.615712,6.234807
0.020000,17.629367,314.327998,11.796607,44.301763,84.094754,-7.595964,6.231044
0.020000,18.547640,314.278287,12.716224,45.980845,83.954098,-7.032771,6.227167
0.020000,19.499173,314.223023,13.669361,47.656871,83.801329,-7.638458,6.223182
0.020000,20.483867,314.161842,14.655954,49.329616,83.637260,-8.203460,6.219091
0.020000,21.501612,314.094375,15.675932,50.998942,83.466280,-8.548994,6.214899
0.020000,22.552300,314.020249,16.729232,52.664955,83.300625,-8.282775,6.210611
0.020000,23.635804,313.939085,17.815772,54.327023,83.103431,-9.859669,6.206231
0.020000,24.752001,313.850506,18.935478,55.985302,82.913957,-9.473695,6.201764
0.020000,25.900758,313.754130,20.088271,57.639622,82.716003,-9.897723,6.197215
0.020000,27.081935,313.649576,21.274066,59.289762,82.507002,-10.450071,6.192590
0.020000,28.295385,313.536462,22.492776,60.935521,82.287934,-10.953360,6.187894
0.020000,29.540954,313.414411,23.744311,62.576759,82.061893,-11.302056,6.183133
0.020000,30.818488,313.283045,25.028581,64.213494,81.836760,-11.256649,6.178313
0.020000,32.127818,313.141992,26.345487,65.845292,81.589893,-12.343380,6.173439
0.020000,33.468774,312.990885,27.694930,67.472160,81.343389,-12.325196,6.168519
0.020000,34.841181,312.829363,29.076809,69.093939,81.088972,-12.720858,6.163558
0.020000,36.244855,312.657072,30.491018,70.710451,80.825597,-13.168754,6.158563
0.020000,37.679611,312.473668,31.937449,72.321537,80.554291,-13.565259,6.153541
0.020000,39.145258,312.278814,33.415992,73.927133,80.279792,-13.724976,6.148500
0.020000,40.641599,312.072186,34.926531,75.526978,79.992252,-14.377002,6.143446
0.020000,42.168435,311.853474,36.468953,77.121072,79.704706,-14.377269,6.138386
0.020000,43.725563,311.622377,38.043136,78.709174,79.405103,-14.980147,6.133329
0.020000,45.312778,311.378614,39.648960,80.291215,79.102030,-15.153655,6.128282
0.020000,46.929872,311.121915,41.286302,81.867069,78.792693,-15.466873,6.123253
0.020000,48.576635,310.852030,42.955034,83.436610,78.477079,-15.780699,6.118250
0.020000,50.252857,310.568726,44.655029,84.999747,78.156852,-16.011365,6.113281
0.020000,51.958328,310.271792,46.386156,86.556340,77.829662,-16.359490,6.108354
0.020000,53.692837,309.961034,48.148282,88.106333,77.499610,-16.502600,6.103478
0.020000,55.456173,309.636281,49.941274,89.649600,77.163375,-16.811749,6.098661
0.020000,57.248130,309.297388,51.764995,91.186055,76.822741,-17.031670,6.093912
