dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.879169,283.139274,0.007950,0.794966,39.748319,1987.415937,0.001048
0.020000,5.876673,283.139272,0.010446,0.124824,-33.507112,-3662.771527,0.000890
0.020000,5.871682,283.139268,0.015437,0.249551,6.236333,1987.172241,0.000573
0.020000,5.864200,283.139265,0.022919,0.374082,6.226576,-0.487829,0.000098
0.020000,5.961822,283.139239,0.120541,4.881111,225.351435,10956.242924,6.282650
0.020000,6.108369,283.139102,0.267088,7.327334,122.311166,-5152.013467,6.281860
0.020000,6.284244,283.138786,0.442963,8.793784,73.322499,-2449.433326,6.280913
0.020000,6.489461,283.138207,0.648181,10.260865,73.354027,1.576394,6.279810
0.020000,6.724030,283.137267,0.882752,11.728559,73.384703,1.533809,6.278551
0.020000,6.987964,283.135858,1.146689,13.196856,73.414856,1.507640,6.277139
0.020000,7.281273,283.133854,1.440006,14.665836,73.448979,1.706176,6.275573
0.020000,7.603987,283.131120,1.762730,16.136236,73.520011,3.551555,6.273854
0.020000,7.956112,283.127505,2.114875,17.607220,73.549223,1.460635,6.271985
0.020000,8.337673,283.122846,2.496464,19.079434,73.610673,3.072505,6.269966
0.020000,8.748690,283.116967,2.907523,20.552956,73.676087,3.270673,6.267800
0.020000,9.189185,283.109679,3.348078,22.027794,73.741925,3.291902,6.265487
0.020000,9.659181,283.100782,3.818158,23.503970,73.808802,3.343835,6.263030
0.020000,10.158706,283.090063,4.317798,24.982027,73.902861,4.702960,6.260431
0.020000,10.687779,283.077297,4.847026,26.461361,73.966690,3.191462,6.257692
0.020000,11.246437,283.062246,5.405886,27.943018,74.082825,5.806752,6.254815
0.020000,11.834700,283.044665,5.994411,29.426260,74.162144,3.965935,6.251802
0.020000,12.452596,283.024293,6.612644,30.911631,74.268518,5.318695,6.248657
0.020000,13.100156,283.000862,7.260627,32.399176,74.377248,5.436497,6.245382
0.020000,13.777415,282.974092,7.938415,33.889377,74.510046,6.639933,6.241979
0.020000,14.484394,282.943693,8.646048,35.381642,74.613292,5.162278,6.238453
0.020000,15.221133,282.909368,9.383585,36.876869,74.761317,7.401266,6.234807
0.020000,15.987656,282.870808,10.151078,38.374642,74.888675,6.367883,6.231044
