dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.483040,313.410832,0.007913,0.791324,39.566216,1978.310798,0.001112
0.020000,7.486069,313.410835,0.010942,0.151452,-31.993596,-3577.990579,0.000920
0.020000,7.492122,313.410839,0.016996,0.302682,7.561497,1977.754608,0.000536
0.020000,7.507795,313.410841,0.032668,0.783614,24.046602,824.255261,6.283145
0.020000,7.646478,313.410783,0.171352,6.934182,307.528398,14174.089800,6.282379
0.020000,7.819799,313.410560,0.344673,8.666053,86.593557,-11046.742027,6.281423
0.020000,8.027735,313.410075,0.552609,10.396813,86.537980,-2.778879,6.280279
0.020000,8.270258,313.409208,0.795134,12.126232,86.470965,-3.350729,6.278948
0.020000,8.547336,313.407824,1.072216,13.854085,86.392639,-3.916300,6.277434
0.020000,8.858932,313.405768,1.383818,15.580135,86.302489,-4.507523,6.275737
0.020000,9.205003,313.402865,1.729902,17.304167,86.201625,-5.043190,6.273860
0.020000,9.585502,313.398926,2.110420,19.025937,86.088471,-5.657679,6.271807
0.020000,10.000373,313.393743,2.525324,20.745208,85.963543,-6.246436,6.269581
0.020000,10.449559,313.387092,2.974560,22.461751,85.827142,-6.820018,6.267184
0.020000,10.932993,313.378736,3.458066,24.175321,85.678522,-7.430989,6.264621
0.020000,11.450605,313.368419,3.975780,25.885722,85.520035,-7.924379,6.261896
0.020000,12.002315,313.355875,4.527633,27.592621,85.344960,-8.753717,6.259013
0.020000,12.588039,313.340823,5.113550,29.295882,85.163079,-9.094076,6.255977
0.020000,13.207686,313.322971,5.733454,30.995197,84.965750,-9.866446,6.252793
0.020000,13.861157,313.302015,6.387261,32.690337,84.756991,-10.437960,6.249466
0.020000,14.548346,313.277640,7.074883,34.381086,84.537461,-10.976506,6.246002
0.020000,15.269141,313.249526,7.796226,36.067138,84.302572,-11.744436,6.242406
0.020000,16.023422,313.217342,8.551192,37.748342,84.060226,-12.117296,6.238685
0.020000,16.811059,313.180751,9.339679,39.424325,83.799122,-13.055188,6.234846
0.020000,17.631918,313.139411,10.161579,41.095001,83.533795,-13.266361,6.230895
0.020000,18.485858,313.092977,11.016780,42.760057,83.252815,-14.049012,6.226839
0.020000,19.372727,313.041100,11.905165,44.419240,82.959140,-14.683731,6.222686
0.020000,20.292366,312.983432,12.826611,46.072286,82.652307,-15.341679,6.218444
0.020000,21.244614,312.919622,13.780994,47.719146,82.342979,-15.466381,6.214120
0.020000,22.229296,312.849325,14.768182,49.359429,82.014191,-16.439382,6.209723
0.020000,23.246233,312.772196,15.788040,50.992880,81.672514,-17.083849,6.205262
0.020000,24.295240,312.687895,16.840429,52.619443,81.328169,-17.217295,6.200744
0.020000,25.376124,312.596092,17.925204,54.238763,80.965985,-18.109195,6.196180
0.020000,26.488688,312.496459,19.042221,55.850856,80.604652,-18.066641,6.191579
0.020000,27.632728,312.388683,20.191326,57.455265,80.220436,-19.210783,6.186950
0.020000,28.808036,312.272459,21.372367,59.052038,79.838675,-19.088031,6.182303
0.020000,30.014397,312.147495,22.585183,60.640799,79.438061,-20.030721,6.177649
0.020000,31.251593,312.013515,23.829612,62.221434,79.031732,-20.316459,6.172997
0.020000,32.519401,311.870257,25.105489,63.793842,78.620384,-20.567398,6.168358
0.020000,33.817601,311.717478,26.412647,65.357932,78.204533,-20.792566,6.163742
0.020000,35.145961,311.554952,27.750913,66.913272,77.767006,-21.876311,6.159161
0.020000,36.504256,311.382475,29.120114,68.460085,77.340614,-21.319617,6.154626
0.020000,37.892254,311.199866,30.520073,69.997938,76.892654,-22.397993,6.150148
0.020000,39.309723,311.006966,31.950608,71.526763,76.441288,-22.568331,6.145738
0.020000,40.756436,310.803642,33.411538,73.046499,75.986755,-22.726644,6.141407
0.020000,42.232162,310.589788,34.902680,74.557080,75.529062,-22.884652,6.137169
0.020000,43.736676,310.365327,36.423845,76.058253,75.058640,-23.521090,6.133034
0.020000,45.269750,310.130208,37.974844,77.549966,74.585655,-23.649220,6.129014
0.020000,46.831162,309.884417,39.555483,79.031957,74.099570,-24.304257,6.125122
0.020000,48.420695,309.627969,41.165570,80.504350,73.619626,-23.997227,6.121370
0.020000,50.038134,309.360914,42.804908,81.966890,73.126998,-24.631407,6.117771
0.020000,51.683268,309.083339,44.473294,83.419298,72.620422,-25.328779,6.114337
0.020000,53.355894,308.795366,46.170530,84.861770,72.123606,-24.840827,6.111081
0.020000,55.055813,308.497159,47.896407,86.293869,71.604964,-25.932097,6.108016
0.020000,56.782834,308.188919,49.650720,87.715631,71.088096,-25.843369,6.105156
0.020000,58.536770,307.870891,51.433255,89.126758,70.556314,-26.589115,6.102513
0.020000,60.317441,307.543365,53.243797,90.527120,70.018119,-26.909761,6.100102
0.020000,62.124677,307.206674,55.082128,91.916558,69.471878,-27.312011,6.097936
0.020000,63.958312,306.861198,56.948025,93.294854,68.914826,-27.852643,6.096030
0.020000,65.818187,306.507368,58.841258,94.661655,68.340049,-28.738851,6.094397
0.020000,67.704153,306.145664,60.761596,96.016895,67.762009,-28.901983,6.093054
0.020000,69.616066,305.776620,62.708800,97.360184,67.164422,-29.879361,6.092014
