dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,15.485041,281.918010,0.007977,0.797719,39.885939,1994.296932,0.001270
0.020000,15.481212,281.918006,0.011806,0.191440,-30.313930,-3509.993455,0.001027
0.020000,15.473561,281.918000,0.019458,0.382589,9.557457,1993.569394,0.000541
0.020000,15.486695,281.917995,0.032592,0.656709,13.705978,207.426017,6.282998
0.020000,15.599073,281.917920,0.144970,5.618884,248.108779,11720.140082,6.282030
0.020000,15.739588,281.917673,0.285485,7.025773,70.344428,-8888.217571,6.280822
0.020000,15.908269,281.917152,0.454167,8.434081,70.415417,3.549428,6.279376
0.020000,16.105150,281.916236,0.651050,9.844159,70.503886,4.423472,6.277695
0.020000,16.330270,281.914785,0.876175,11.256274,70.605762,5.093801,6.275781
0.020000,16.583675,281.912636,1.129589,12.670704,70.721506,5.787184,6.273637
0.020000,16.865415,281.909612,1.411345,14.087797,70.854611,6.655250,6.271267
0.020000,17.175545,281.905513,1.721503,15.507865,71.003437,7.441302,6.268674
0.020000,17.514127,281.900122,2.060127,16.931203,71.166891,8.172700,6.265862
0.020000,17.881224,281.893206,2.427289,18.358120,71.345856,8.948247,6.262837
0.020000,18.276907,281.884512,2.823068,19.788959,71.541919,9.803166,6.259602
0.020000,18.701253,281.873772,3.247549,21.224048,71.754443,10.626187,6.256164
0.020000,19.154338,281.860701,3.700824,22.663715,71.983355,11.445599,6.252528
0.020000,19.636248,281.844997,4.182989,24.108290,72.228790,12.271742,6.248701
0.020000,20.147070,281.826347,4.694152,25.558107,72.490807,13.100871,6.244688
0.020000,20.686895,281.804420,5.234422,27.013523,72.770814,14.000338,6.240498
0.020000,21.255819,281.778874,5.803919,28.474860,73.066870,14.802820,6.236138
0.020000,21.853941,281.749354,6.402769,29.942482,73.381070,15.709983,6.231615
0.020000,22.481362,281.715494,7.031103,31.416700,73.710895,16.491237,6.226938
0.020000,23.138187,281.676918,7.689060,32.897867,74.058367,17.373633,6.222117
0.020000,23.824526,281.633239,8.376787,34.386354,74.424342,18.298743,6.217159
0.020000,24.540488,281.584064,9.094435,35.882411,74.802877,18.926760,6.212075
0.020000,25.286186,281.528993,9.842165,37.386486,75.203746,20.043437,6.206875
0.020000,26.061738,281.467619,10.620141,38.898784,75.614899,20.557667,6.201570
0.020000,26.867258,281.399532,11.428534,40.419645,76.043048,21.407411,6.196170
0.020000,27.702868,281.324319,12.267522,41.949420,76.488752,22.285243,6.190687
0.020000,28.568692,281.241567,13.137292,43.488468,76.952380,23.181385,6.185131
0.020000,29.464850,281.150861,14.038028,45.036836,77.418400,23.300994,6.179517
0.020000,30.391471,281.051790,14.969930,46.595086,77.912522,24.706088,6.173855
0.020000,31.348681,280.943946,15.933196,48.163297,78.410550,24.901426,6.168158
0.020000,32.336610,280.826926,16.928031,49.741771,78.923710,25.658003,6.162440
0.020000,33.355391,280.700335,17.954648,51.330812,79.452026,26.415810,6.156714
0.020000,34.405156,280.563788,19.013255,52.930388,79.978783,26.337835,6.150993
0.020000,35.486044,280.416910,20.104078,54.541113,80.536262,27.873926,6.145291
0.020000,36.598194,280.259338,21.227335,56.162858,81.087279,27.550885,6.139623
0.020000,37.741748,280.090726,22.383252,57.795869,81.650539,28.162958,6.134002
0.020000,38.916852,279.910745,23.572060,59.440387,82.225889,28.767501,6.128444
0.020000,40.123661,279.719085,24.793993,61.096647,82.812981,29.354606,6.122963
0.020000,41.362325,279.515456,26.049284,62.764539,83.394645,29.083199,6.117575
0.020000,42.633011,279.299593,27.338174,64.444509,83.998495,30.192529,6.112293
0.020000,43.935882,279.071257,28.660903,66.136452,84.597129,29.931686,6.107134
0.020000,45.271115,278.830237,30.017714,67.840570,85.205926,30.439831,6.102113
0.020000,46.638893,278.576353,31.408856,69.557064,85.824668,30.937131,6.097246
0.020000,48.039410,278.309455,32.834577,71.286086,86.451084,31.320802,6.092548
0.020000,49.472865,278.029432,34.295127,73.027470,87.069242,30.907889,6.088036
0.020000,50.939475,277.736209,35.790762,74.781751,87.714043,32.240063,6.083725
0.020000,52.439466,277.429750,37.321739,76.548866,88.355730,32.084336,6.079632
0.020000,53.973081,277.110064,38.888319,78.329000,89.006711,32.549067,6.075774
0.020000,55.540576,276.777205,40.490766,80.122363,89.668150,33.071928,6.072167
0.020000,57.142223,276.431274,42.129345,81.928953,90.329511,33.068042,6.068829
0.020000,58.778319,276.072426,43.804332,83.749345,91.019574,34.503164,6.065776
0.020000,60.449175,275.700868,45.516002,85.583500,91.707741,34.408327,6.063026
0.020000,62.155125,275.316865,47.264637,87.431738,92.411916,35.208774,6.060597
0.020000,63.896528,274.920745,49.050525,89.294408,93.133518,36.080073,6.058507
0.020000,65.673769,274.512898,50.873963,91.171870,93.873080,36.978115,6.056776
0.020000,67.487257,274.093786,52.735251,93.064434,94.628190,37.755523,6.055422
0.020000,69.337432,273.663939,54.634703,94.972573,95.406945,38.937713,6.054465
0.020000,71.224763,273.223970,56.572637,96.896706,96.206691,39.987310,6.053925
0.020000,73.149749,272.774570,58.549385,98.837398,97.034562,41.393540,6.053824
0.020000,75.112924,272.316519,60.565289,100.795205,97.890366,42.790242,6.054183
0.020000,77.114856,271.850689,62.620703,102.770725,98.776015,44.282413,6.055024
0.020000,79.156147,271.378053,64.715997,104.764665,99.696972,46.047854,6.056372
0.020000,81.237435,270.899689,66.851551,106.777702,100.651857,47.744243,6.058250
0.020000,83.359394,270.416787,69.027764,108.810667,101.648248,49.819553,6.060683
0.020000,85.522735,269.930661,71.245051,110.864368,102.685064,51.840834,6.063698
0.020000,87.728203,269.442751,73.503844,112.939619,103.762558,53.874698,6.067323
