dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,188.196356,290.533080,0.007913,0.791251,39.562551,1978.127547,3.141792
0.020000,188.196356,290.533080,0.039563,2.373753,79.125102,1978.127547,3.141750
0.020000,188.196356,290.533080,0.102863,3.956255,79.125102,-0.000000,3.141666
0.020000,188.156320,290.533081,0.197813,5.538757,79.125102,0.000000,3.141539
0.020000,188.029720,290.533098,0.324413,7.121259,79.125102,-0.000000,3.141371
0.020000,187.871470,290.533150,0.482663,8.703761,79.125102,0.000000,3.141161
0.020000,187.681570,290.533256,0.672563,10.286263,79.125102,-0.000000,3.140909
0.020000,187.460019,290.533440,0.894114,11.868765,79.125102,0.000000,3.140616
0.020000,187.206819,290.533729,1.147314,13.451267,79.125102,0.000000,3.140282
0.020000,186.921969,290.534156,1.432164,15.033769,79.125102,-0.000000,3.139907
0.020000,186.605470,290.534755,1.748665,16.616271,79.125102,0.000000,3.139493
0.020000,186.257320,290.535565,2.096815,18.198773,79.125102,0.000000,3.139038
0.020000,185.877521,290.536629,2.476616,19.781275,79.125102,0.000000,3.138545
0.020000,185.466073,290.537993,2.888066,21.363778,79.125102,0.000000,3.138013
0.020000,185.022976,290.539706,3.331167,22.946280,79.125102,0.000000,3.137442
0.020000,184.548230,290.541820,3.805917,24.528782,79.125102,-0.000000,3.136835
0.020000,184.041835,290.544393,4.312318,26.111284,79.125102,0.000000,3.136190
0.020000,183.503794,290.547483,4.850369,27.693786,79.125102,0.000000,3.135510
0.020000,182.934105,290.551152,5.420069,29.276288,79.125102,0.000000,3.134794
0.020000,182.332770,290.555466,6.021420,30.858790,79.125102,0.000000,3.134044
0.020000,181.699789,290.560493,6.654421,32.441292,79.125102,-0.000000,3.133261
0.020000,181.035163,290.566302,7.319072,34.023794,79.125102,0.000000,3.132445
0.020000,180.338894,290.572967,8.015373,35.606296,79.125102,-0.000000,3.131597
0.020000,179.610983,290.580563,8.743324,37.188798,79.125102,-0.000000,3.130719
0.020000,178.851431,290.589167,9.502925,38.771300,79.125102,0.000000,3.129812
0.020000,178.060239,290.598860,10.294176,40.353802,79.125102,-0.000000,3.128875
0.020000,177.237410,290.609722,11.117077,41.936304,79.125102,0.000000,3.127912
0.020000,176.382945,290.621835,11.971628,43.518806,79.125102,-0.000000,3.126923
0.020000,175.496846,290.635286,12.857829,45.101308,79.125102,0.000000,3.125909
0.020000,174.579115,290.650158,13.775680,46.683810,79.125102,0.000000,3.124871
0.020000,173.629755,290.666538,14.725181,48.266312,79.125102,-0.000000,3.123811
0.020000,172.648769,290.684515,15.706333,49.848814,79.125102,0.000000,3.122731
0.020000,171.636158,290.704175,16.719134,51.431316,79.125102,-0.000000,3.121631
0.020000,170.591927,290.725607,17.763585,53.013818,79.125102,0.000000,3.120514
0.020000,169.516078,290.748900,18.839687,54.596320,79.125102,0.000000,3.119380
0.020000,168.408614,290.774142,19.947438,56.178822,79.125102,-0.000000,3.118231
0.020000,167.269539,290.801422,21.086840,57.761324,79.125102,0.000000,3.117070
0.020000,166.098857,290.830825,22.257891,59.343826,79.125102,-0.000000,3.115897
0.020000,164.896571,290.862439,23.460593,60.926328,79.125102,0.000000,3.114714
0.020000,163.662685,290.896350,24.694944,62.508830,79.125102,-0.000000,3.113524
0.020000,162.397204,290.932640,25.960946,64.091333,79.125102,0.000000,3.112327
0.020000,161.100131,290.971393,27.258598,65.673835,79.125102,-0.000000,3.111126
0.020000,159.771471,291.012688,28.587899,67.256337,79.125102,0.000000,3.109923
0.020000,158.411228,291.056602,29.948851,68.838839,79.125102,0.000000,3.108720
0.020000,157.019407,291.103212,31.341453,70.421341,79.125102,-0.000000,3.107519
0.020000,155.596011,291.152589,32.765705,72.003843,79.125102,0.000000,3.106321
0.020000,154.141046,291.204802,34.221607,73.586345,79.125102,-0.000000,3.105129
0.020000,152.654515,291.259916,35.709158,75.168847,79.125102,0.000000,3.103945
0.020000,151.136424,291.317992,37.228360,76.751349,79.125102,-0.000000,3.102771
0.020000,149.586776,291.379088,38.779212,78.333851,79.125102,0.000000,3.101610
0.020000,148.005576,291.443256,40.361714,79.916353,79.125102,0.000000,3.100463
0.020000,146.392827,291.510542,41.975867,81.498855,79.125102,0.000000,3.099334
0.020000,144.748533,291.580990,43.621669,83.081357,79.125102,-0.000000,3.098224
0.020000,143.072698,291.654634,45.299121,84.663859,79.125102,0.000000,3.097136
0.020000,141.365326,291.731505,47.008223,86.246361,79.125102,0.000000,3.096072
0.020000,139.626418,291.811627,48.748975,87.828863,79.125102,0.000000,3.095035
0.020000,137.855979,291.895015,50.521378,89.411365,79.125102,0.000000,3.094027
0.020000,136.054010,291.981680,52.325430,90.993867,79.125102,-0.000000,3.093052
0.020000,134.220512,292.071622,54.161132,92.576369,79.125102,0.000000,3.092111
0.020000,132.355488,292.164834,56.028485,94.158871,79.125102,-0.000000,3.091208
0.020000,130.458937,292.261303,57.927487,95.741373,79.125102,0.000000,3.090344
0.020000,128.530861,292.361002,59.858140,97.323875,79.125102,-0.000000,3.089524
0.020000,126.571258,292.463899,61.820442,98.906377,79.125102,0.000000,3.088750
0.020000,124.580127,292.569949,63.814395,100.488879,79.125102,-0.000000,3.088024
0.020000,122.557468,292.679100,65.839997,102.071381,79.125102,0.000000,3.087349
0.020000,120.503276,292.791285,67.897250,103.653883,79.125102,0.000000,3.086730
0.020000,118.417549,292.906429,69.986153,105.236385,79.125102,-0.000000,3.086168
0.020000,116.300283,293.024443,72.106705,106.818888,79.125102,0.000000,3.085666
0.020000,114.151473,293.145229,74.258908,108.401390,79.125102,-0.000000,3.085228
0.020000,111.971111,293.268673,76.442761,109.983892,79.125102,0.000000,3.084858
0.020000,109.767093,293.394197,78.650351,110.775143,39.562551,-1978.127547,3.084558
0.020000,107.561255,293.520405,80.859797,110.169412,-30.286551,-3492.455121,3.084334
0.020000,105.375434,293.645875,83.049215,108.772430,-69.849102,-1978.127547,3.084186
0.020000,103.219374,293.769875,85.208839,107.189928,-79.125102,-463.799973,3.084113
0.020000,101.094915,293.892136,87.336812,105.607425,-79.125102,-0.000000,3.084112
0.020000,99.002050,294.012509,89.433136,104.024923,-79.125102,0.000000,3.084180
0.020000,96.940772,294.130857,91.497809,102.442421,-79.125102,0.000000,3.084313
0.020000,94.911072,294.247057,93.530833,100.859919,-79.125102,0.000000,3.084508
0.020000,92.912944,294.360997,95.532206,99.277417,-79.125102,0.000000,3.084763
0.020000,90.946384,294.472578,97.501929,97.694915,-79.125102,-0.000000,3.085075
0.020000,89.011386,294.581711,99.440003,96.112413,-79.125102,0.000000,3.085440
0.020000,87.107946,294.688317,101.346426,94.529911,-79.125102,0.000000,3.085857
0.020000,85.236060,294.792330,103.221199,92.947409,-79.125102,0.000000,3.086321
0.020000,83.395726,294.893690,105.064322,91.364907,-79.125102,-0.000000,3.086830
0.020000,81.586942,294.992349,106.875795,89.782405,-79.125102,0.000000,3.087382
0.020000,79.809705,295.088268,108.655618,88.199903,-79.125102,-0.000000,3.087974
0.020000,78.064015,295.181415,110.403791,86.617401,-79.125102,0.000000,3.088604
0.020000,76.349872,295.271767,112.120314,85.034899,-79.125102,0.000000,3.089267
0.020000,74.667275,295.359309,113.805187,83.452397,-79.125102,0.000000,3.089964
0.020000,73.016224,295.444032,115.458410,81.869895,-79.125102,-0.000000,3.090689
0.020000,71.396721,295.525935,117.079983,80.287393,-79.125102,0.000000,3.091443
0.020000,69.808767,295.605024,118.669906,78.704891,-79.125102,0.000000,3.092221
0.020000,68.252362,295.681310,120.228179,77.122389,-79.125102,-0.000000,3.093021
0.020000,66.727510,295.754810,121.754802,75.539887,-79.125102,0.000000,3.093842
0.020000,65.234212,295.825547,123.249774,73.957385,-79.125102,-0.000000,3.094681
0.020000,63.772470,295.893549,124.713097,72.374883,-79.125102,0.000000,3.095535
0.020000,62.342287,295.958847,126.144770,70.792381,-79.125102,0.000000,3.096404
0.020000,60.943667,296.021480,127.544792,69.209879,-79.125102,0.000000,3.097283
0.020000,59.576610,296.081487,128.913165,67.627377,-79.125102,-0.000000,3.098173
0.020000,58.241122,296.138913,130.249887,66.044875,-79.125102,0.000000,3.099069
0.020000,56.937205,296.193807,131.554960,64.462372,-79.125102,-0.000000,3.099972
0.020000,55.664861,296.246219,132.828382,62.879870,-79.125102,0.000000,3.100878
0.020000,54.424095,296.296204,134.070155,61.297368,-79.125102,0.000000,3.101785
0.020000,53.214910,296.343816,135.280277,59.714866,-79.125102,-0.000000,3.102693
0.020000,52.037309,296.389117,136.458749,58.132364,-79.125102,0.000000,3.103598
0.020000,50.891295,296.432164,137.605572,56.549862,-79.125102,-0.000000,3.104500
0.020000,49.776871,296.473022,138.720744,54.967360,-79.125102,0.000000,3.105396
0.020000,48.694042,296.511753,139.804266,53.384858,-79.125102,0.000000,3.106286
0.020000,47.642809,296.548422,140.856138,51.802356,-79.125102,0.000000,3.107167
0.020000,46.623176,296.583095,141.876360,50.219854,-79.125102,-0.000000,3.108038
0.020000,45.635147,296.615837,142.864932,48.637352,-79.125102,0.000000,3.108897
0.020000,44.678723,296.646715,143.821854,47.054850,-79.125102,0.000000,3.109743
0.020000,43.753908,296.675797,144.747126,45.472348,-79.125102,-0.000000,3.110574
0.020000,42.860705,296.703147,145.640748,43.889846,-79.125102,0.000000,3.111390
0.020000,41.999116,296.728834,146.502720,42.307344,-79.125102,-0.000000,3.112188
0.020000,41.169143,296.752923,147.333042,40.724842,-79.125102,0.000000,3.112969
0.020000,40.370790,296.775478,148.131714,39.142340,-79.125102,0.000000,3.113729
0.020000,39.604058,296.796564,148.898736,37.559838,-79.125102,-0.000000,3.114468
0.020000,38.868950,296.816245,149.634107,35.977336,-79.125102,0.000000,3.115186
0.020000,38.165467,296.834582,150.337829,34.394834,-79.125102,0.000000,3.115880
0.020000,37.493612,296.851636,151.009901,32.812332,-79.125102,0.000000,3.116551
0.020000,36.853386,296.867465,151.650322,31.229830,-79.125102,-0.000000,3.117196
0.020000,36.244791,296.882127,152.259094,29.647328,-79.125102,0.000000,3.117815
0.020000,35.667829,296.895678,152.836215,28.064826,-79.125102,0.000000,3.118408
0.020000,35.122500,296.908170,153.381687,26.482324,-79.125102,0.000000,3.118972
0.020000,34.608807,296.919654,153.895508,24.899822,-79.125102,-0.000000,3.119509
