dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,188.193210,306.283079,0.007913,0.791251,39.562551,1978.127547,3.141792
0.020000,188.193875,306.283079,0.008578,0.033252,-37.899968,-3873.125950,3.141750
0.020000,188.195204,306.283080,0.009907,0.066467,1.660772,1978.036996,3.141666
0.020000,188.157160,306.283081,0.047951,1.902195,91.786420,4506.282400,3.141539
0.020000,188.033213,306.283098,0.171898,6.197358,214.758146,6148.586321,3.141371
0.020000,187.878273,306.283148,0.326837,7.746974,77.480789,-6863.867873,3.141161
0.020000,187.692338,306.283252,0.512773,9.296770,77.489795,0.450326,3.140909
0.020000,187.475403,306.283432,0.729708,10.846774,77.500218,0.521151,3.140616
0.020000,187.227462,306.283716,0.977649,12.397033,77.512945,0.636311,3.140282
0.020000,186.948511,306.284134,1.256601,13.947580,77.527313,0.718422,3.139907
0.020000,186.638542,306.284720,1.566570,15.498458,77.543937,0.831190,3.139493
0.020000,186.297549,306.285514,1.907564,17.049698,77.561986,0.902440,3.139038
0.020000,185.925524,306.286556,2.279590,18.601328,77.581489,0.975156,3.138545
0.020000,185.522458,306.287892,2.682658,20.153395,77.603381,1.094620,3.138013
0.020000,185.088343,306.289570,3.116777,21.705931,77.626754,1.168654,3.137442
0.020000,184.623168,306.291642,3.581956,23.258979,77.652443,1.284431,3.136835
0.020000,184.126923,306.294163,4.078208,24.812571,77.679598,1.357757,3.136190
0.020000,183.599597,306.297192,4.605543,26.366737,77.708261,1.433144,3.135510
0.020000,183.041178,306.300789,5.163973,27.921525,77.739410,1.557443,3.134794
0.020000,182.451654,306.305018,5.753512,29.476961,77.771833,1.621185,3.134044
0.020000,181.831012,306.309946,6.374174,31.033094,77.806652,1.740947,3.133261
0.020000,181.179237,306.315643,7.025973,32.589954,77.842992,1.816998,3.132445
0.020000,180.496317,306.322180,7.708925,34.147572,77.880903,1.895556,3.131597
0.020000,179.782236,306.329632,8.423045,35.706000,77.921382,2.023941,3.130719
0.020000,179.036979,306.338074,9.168350,37.265259,77.962928,2.077285,3.129812
0.020000,178.260529,306.347586,9.944858,38.825398,78.006946,2.200878,3.128875
0.020000,177.452871,306.358248,10.752587,40.386448,78.052546,2.280000,3.127912
0.020000,176.613986,306.370141,11.591556,41.948444,78.099783,2.361888,3.126923
0.020000,175.743857,306.383349,12.461784,43.511437,78.149626,2.492158,3.125909
0.020000,174.842467,306.397956,13.363293,45.075444,78.200378,2.537558,3.124871
0.020000,173.909795,306.414048,14.296104,46.640517,78.253647,2.663466,3.123811
0.020000,172.945823,306.431713,15.260237,48.206688,78.308560,2.745676,3.122731
0.020000,171.950531,306.451037,16.255717,49.773992,78.365181,2.831002,3.121631
0.020000,170.923898,306.472108,17.282567,51.342479,78.424349,2.958449,3.120514
0.020000,169.865902,306.495015,18.340810,52.912167,78.484403,3.002700,3.119380
0.020000,168.776523,306.519845,19.430472,54.483106,78.546941,3.126887,3.118231
0.020000,167.655738,306.546686,20.551579,56.055330,78.611185,3.212191,3.117070
0.020000,166.503524,306.575626,21.704156,57.628876,78.677307,3.306084,3.115897
0.020000,165.319857,306.606750,22.888232,59.203783,78.745383,3.403832,3.114714
0.020000,164.104714,306.640146,24.103834,60.780086,78.815138,3.487726,3.113524
0.020000,162.858071,306.675896,25.350990,62.357822,78.886815,3.583835,3.112327
0.020000,161.579900,306.714084,26.629731,63.937030,78.960361,3.677339,3.111126
0.020000,160.270178,306.754790,27.940086,65.517747,79.035848,3.774315,3.109923
0.020000,158.928876,306.798093,29.282086,67.100006,79.112990,3.857136,3.108720
0.020000,157.555969,306.844070,30.655763,68.683850,79.192186,3.959781,3.107519
0.020000,156.151428,306.892793,32.061149,70.269311,79.273042,4.042802,3.106321
0.020000,154.715224,306.944332,33.498278,71.856428,79.355828,4.139320,3.105129
0.020000,153.247327,306.998755,34.967182,73.445237,79.440490,4.233088,3.103945
0.020000,151.747709,307.056125,36.467898,75.035774,79.526854,4.318197,3.102771
0.020000,150.216337,307.116501,38.000459,76.628078,79.615167,4.415631,3.101610
0.020000,148.653180,307.179936,39.564903,78.222183,79.705244,4.503850,3.100463
0.020000,147.058205,307.246481,41.161266,79.818126,79.797149,4.595273,3.099334
0.020000,145.431379,307.316180,42.789584,81.415943,79.890876,4.686326,3.098224
0.020000,143.772666,307.389072,44.449898,83.015672,79.986421,4.777265,3.097136
0.020000,142.082032,307.465190,46.142245,84.617347,80.083775,4.867715,3.096072
0.020000,140.359439,307.544560,47.866665,86.221005,80.182918,4.957144,3.095035
0.020000,138.604851,307.627202,49.623199,87.826683,80.283884,5.048294,3.094027
0.020000,136.818227,307.713128,51.411887,89.434417,80.386688,5.140196,3.093052
0.020000,134.999530,307.802344,53.232772,91.044241,80.491207,5.225929,3.092111
0.020000,133.148716,307.894847,55.085896,92.656194,80.597633,5.321336,3.091208
0.020000,131.265744,307.990624,56.971302,94.270309,80.705790,5.407854,3.090344
0.020000,129.350570,308.089657,58.889034,95.886625,80.815783,5.499607,3.089524
0.020000,127.403150,308.191914,60.839138,97.505177,80.927590,5.590373,3.088750
0.020000,125.423436,308.297356,62.821658,99.126000,81.041131,5.677045,3.088024
0.020000,123.411380,308.405934,64.836640,100.749131,81.156587,5.772787,3.087349
0.020000,121.366935,308.517587,66.884133,102.374607,81.273807,5.861037,3.086730
0.020000,119.290048,308.632243,68.964182,104.002464,81.392854,5.952327,3.086168
0.020000,117.180668,308.749819,71.076837,105.632738,81.513678,6.041208,3.085666
0.020000,115.038739,308.870217,73.222146,107.265467,81.636430,6.137609,3.085228
0.020000,112.864208,308.993331,75.400160,108.900685,81.760898,6.223400,3.084858
0.020000,110.664901,309.118587,77.603031,110.143544,62.142975,-980.896165,3.084558
0.020000,108.462590,309.244593,79.808944,110.295654,7.605492,-2726.874125,3.084334
0.020000,106.279091,309.369930,81.996037,109.354662,-47.049606,-2732.754941,3.084186
0.020000,104.124176,309.493864,84.154513,107.923808,-71.542700,-1224.654704,3.084113
0.020000,101.999734,309.616124,86.282469,106.397814,-76.299686,-237.849259,3.084112
0.020000,99.905808,309.736558,88.379856,104.869355,-76.422964,-6.163943,3.084180
0.020000,97.842437,309.855026,90.446626,103.338467,-76.544382,-6.070869,3.084313
0.020000,95.809661,309.971402,92.482730,101.805188,-76.663945,-5.978157,3.084508
0.020000,93.807523,310.085571,94.488121,100.269555,-76.781650,-5.885269,3.084763
0.020000,91.836062,310.197430,96.462753,98.731606,-76.897485,-5.791725,3.085075
0.020000,89.895318,310.306887,98.406580,97.191375,-77.011530,-5.702267,3.085440
0.020000,87.985334,310.413860,100.319558,95.648901,-77.123693,-5.608137,3.085857
0.020000,86.106148,310.518278,102.201643,94.104221,-77.234020,-5.516356,3.086321
0.020000,84.257802,310.620079,104.052790,92.557370,-77.342543,-5.426131,3.086830
0.020000,82.440336,310.719212,105.872958,91.008385,-77.449237,-5.334702,3.087382
0.020000,80.653790,310.815633,107.662104,89.457304,-77.554063,-5.241314,3.087974
0.020000,78.898204,310.909308,109.420187,87.904162,-77.657105,-5.152112,3.088604
0.020000,77.173618,311.000211,111.147167,86.348995,-77.758345,-5.062001,3.089267
0.020000,75.480072,311.088322,112.843004,84.791841,-77.857708,-4.968131,3.089964
0.020000,73.817604,311.173631,114.507658,83.232735,-77.955303,-4.879738,3.090689
0.020000,72.186255,311.256133,116.141093,81.671713,-78.051070,-4.788374,3.091443
0.020000,70.586062,311.335832,117.743269,80.108813,-78.145021,-4.697554,3.092221
0.020000,69.017064,311.412735,119.314150,78.544070,-78.237138,-4.605818,3.093021
