dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,216.319271,147.117680,0.007972,0.797246,39.862299,1993.114954,4.699287
0.020000,216.319245,147.115710,0.009943,0.098525,-34.936067,-3739.918291,4.699162
0.020000,216.319192,147.111768,0.013885,0.197127,4.930110,1993.308836,4.698912
0.020000,216.319112,147.105850,0.019803,0.295884,4.937870,0.387987,4.698536
0.020000,216.319000,147.097954,0.027701,0.394875,4.949520,0.582536,4.698035
0.020000,216.317019,146.963464,0.162205,6.725202,316.516356,15578.341757,4.697407
0.020000,216.313898,146.760302,0.365391,10.159326,171.706235,-7240.506030,4.696652
0.020000,216.310061,146.523137,0.602587,11.859767,85.022029,-4334.210301,4.695768
0.020000,216.305419,146.252140,0.873624,13.551881,84.605692,-20.816866,4.694755
0.020000,216.299867,145.947227,1.178587,15.248155,84.813708,10.400813,4.693612
0.020000,216.293285,145.608255,1.517623,16.951805,85.182481,18.438660,4.692335
0.020000,216.285543,145.235328,1.890630,18.650346,84.927091,-12.769482,4.690925
0.020000,216.276493,144.828416,2.297643,20.350618,85.013563,4.323570,4.689379
0.020000,216.265973,144.387435,2.738750,22.055345,85.236355,11.139592,4.687694
0.020000,216.253805,143.912336,3.214004,23.762721,85.368802,6.622341,4.685869
0.020000,216.239798,143.403191,3.723342,25.466880,85.207958,-8.042174,4.683901
0.020000,216.223744,142.859938,4.266832,27.174539,85.382934,8.748807,4.681788
0.020000,216.205413,142.282429,4.844632,28.889984,85.772242,19.465376,4.679525
0.020000,216.184565,141.670748,5.456668,30.601822,85.591940,-9.015099,4.677111
0.020000,216.160940,141.024871,6.102977,32.315439,85.680844,4.445228,4.674541
0.020000,216.134252,140.344580,6.783791,34.040684,86.262257,29.070620,4.671812
0.020000,216.104206,139.629963,7.499040,35.762432,86.087405,-8.742585,4.668921
0.020000,216.070482,138.880971,8.248791,37.487566,86.256687,8.464101,4.665862
0.020000,216.032740,138.097558,9.033112,39.216053,86.424365,8.383877,4.662631
0.020000,215.990611,137.279605,9.852149,40.951875,86.791086,18.336083,4.659223
0.020000,215.943711,136.427066,10.705978,42.691427,86.977589,9.325145,4.655633
0.020000,215.891635,135.540025,11.594546,44.428381,86.847686,-6.495164,4.651857
0.020000,215.833934,134.618219,12.518156,46.180513,87.606610,37.946203,4.647886
0.020000,215.770159,133.661816,13.476683,47.926358,87.292236,-15.718671,4.643716
0.020000,215.699804,132.670552,14.470441,49.687886,88.076408,39.208595,4.639340
0.020000,215.622353,131.644465,15.499446,51.450274,88.119415,2.150350,4.634750
0.020000,215.537255,130.583519,16.563799,53.217657,88.369131,12.485803,4.629940
0.020000,215.443922,129.487654,17.663632,54.991628,88.698540,16.470411,4.624900
0.020000,215.341735,128.356838,18.799056,56.771198,88.978548,14.000403,4.619623
0.020000,215.230021,127.190869,19.970364,58.565428,89.711486,36.646928,4.614099
0.020000,215.108098,125.989875,21.177531,60.358348,89.645991,-3.274780,4.608320
0.020000,214.975218,124.753734,22.420794,62.163110,90.238080,29.604461,4.602274
0.020000,214.830609,123.482495,23.700232,63.971904,90.439700,10.081029,4.595951
0.020000,214.673416,122.175927,25.016221,65.799461,91.377863,46.908110,4.589339
0.020000,214.502776,120.834158,26.368797,67.628801,91.467027,4.458205,4.582427
