dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,103.529190,131.727485,0.007941,0.794060,39.702977,1985.148850,0.002169
0.020000,103.535947,131.727498,0.014697,0.337831,-22.811423,-3125.720023,0.001740
0.020000,103.549470,131.727516,0.028220,0.676161,16.916515,1986.396938,0.000882
0.020000,103.599924,131.727514,0.078675,2.522714,92.327653,3770.556876,6.282777
0.020000,103.754114,131.727319,0.232864,7.709466,259.337591,8350.496908,6.281053
0.020000,103.947019,131.726699,0.425771,9.645325,96.792953,-8127.231904,6.278889
0.020000,104.178674,131.725401,0.657429,11.582929,96.880193,4.362019,6.276279
0.020000,104.449279,131.723118,0.928044,13.530746,97.390825,25.531609,6.273216
0.020000,104.758825,131.719488,1.237611,15.478329,97.379165,-0.583020,6.269693
0.020000,105.107575,131.714086,1.586403,17.439600,98.063561,34.219800,6.265699
0.020000,105.495608,131.706433,1.974511,19.405426,98.291303,11.387090,6.261224
0.020000,105.923116,131.695981,2.402147,21.381814,98.819381,26.403921,6.256255
0.020000,106.390256,131.682120,2.869492,23.367247,99.271666,22.614235,6.250780
0.020000,106.897348,131.664162,3.376902,25.370487,100.162009,44.517160,6.244783
0.020000,107.444457,131.641353,3.924487,27.379249,100.438066,13.802825,6.238248
0.020000,108.031872,131.612855,4.512593,29.405283,101.301704,43.181926,6.231157
0.020000,108.659829,131.577745,5.141530,31.446874,102.079559,38.892756,6.223492
0.020000,109.328511,131.535015,5.811576,33.502300,102.771305,34.587275,6.215232
0.020000,110.038190,131.483556,6.523118,35.577110,103.740481,48.458820,6.206355
0.020000,110.789048,131.422166,7.276482,37.668166,104.552800,40.615947,6.196838
0.020000,111.581337,131.349526,8.072094,39.780602,105.621825,53.451236,6.186656
0.020000,112.415228,131.264212,8.910338,41.912218,106.580789,47.948191,6.175784
0.020000,113.290871,131.164680,9.791620,44.064085,107.593364,50.628747,6.164195
0.020000,114.208407,131.049253,10.716388,46.238387,108.715077,56.085664,6.151861
0.020000,115.167964,130.916122,11.685136,48.437431,109.952208,61.856543,6.138753
