dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,103.597527,100.227559,0.007941,0.794060,39.702977,1985.148850,0.002169
0.020000,103.590770,100.227546,0.014697,0.337831,-22.811423,-3125.720023,0.001740
0.020000,103.577247,100.227528,0.028220,0.676161,16.916515,1986.396938,0.000882
0.020000,103.587068,100.227517,0.038041,0.491048,-9.255667,-1308.609091,6.282777
0.020000,103.686947,100.227390,0.137920,4.993933,225.144224,11719.994506,6.281053
0.020000,103.811679,100.226989,0.262653,6.236636,62.135174,-8150.452485,6.278889
0.020000,103.961134,100.226152,0.412111,7.472898,61.813081,-16.104660,6.276279
0.020000,104.135260,100.224684,0.586243,8.706612,61.685743,-6.366897,6.273216
0.020000,104.333836,100.222355,0.784832,9.929463,61.142531,-27.160606,6.269693
0.020000,104.556785,100.218902,1.007808,11.148772,60.965428,-8.855146,6.265699
0.020000,104.803877,100.214029,1.254948,12.357024,60.412643,-27.639244,6.261224
0.020000,105.074924,100.207403,1.526076,13.556380,59.967796,-22.242332,6.256255
0.020000,105.369677,100.198657,1.820959,14.744160,59.388991,-28.940279,6.250780
0.020000,105.687960,100.187387,2.139441,15.924126,58.998269,-19.536101,6.244783
0.020000,106.029399,100.173153,2.481177,17.086774,58.132409,-43.292960,6.238248
0.020000,106.393725,100.155480,2.845931,18.237689,57.545774,-29.331766,6.231157
0.020000,106.780600,100.133851,3.233410,19.373966,56.813859,-36.595740,6.223492
0.020000,107.189621,100.107715,3.643265,20.492750,55.939155,-43.735231,6.215232
0.020000,107.620403,100.076482,4.075178,21.595662,55.145621,-39.676665,6.206355
0.020000,108.072476,100.039523,4.528759,22.679053,54.169553,-48.803438,6.196838
0.020000,108.545380,99.996170,5.003647,23.744364,53.265525,-45.201389,6.186656
0.020000,109.038581,99.945716,5.499421,24.788715,52.217586,-52.396948,6.175784
0.020000,109.551506,99.887417,6.015649,25.811380,51.133233,-54.217624,6.164195
0.020000,110.083562,99.820490,6.551898,26.812479,50.054963,-53.913514,6.151861
0.020000,110.634138,99.744108,7.107747,27.792446,48.998337,-52.831326,6.138753
0.020000,111.202548,99.657412,7.682730,28.749146,47.834980,-58.167823,6.124842
0.020000,111.788030,99.559511,8.276341,29.680545,46.569993,-63.249359,6.110101
0.020000,112.389911,99.449457,8.888201,30.593021,45.623801,-47.309618,6.094499
0.020000,113.007373,99.326287,9.517828,31.481324,44.415124,-60.433823,6.078010
0.020000,113.639669,99.188979,10.164861,32.351655,43.516574,-44.927489,6.060607
0.020000,114.285943,99.036493,10.828880,33.200973,42.465859,-52.535774,6.042269
0.020000,114.945424,98.867733,11.509612,34.036596,41.781155,-34.235194,6.022974
0.020000,115.617311,98.681564,12.206815,34.860127,41.176585,-30.228524,6.002708
0.020000,116.300814,98.476810,12.920327,35.675627,40.774982,-20.080120,5.981462
