dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,102.401352,130.050464,0.007913,0.791350,39.567479,1978.373973,6.281136
0.020000,102.390009,130.050483,0.019257,0.567168,-11.209067,-2538.827320,6.281856
0.020000,102.372201,130.050497,0.037065,0.890402,16.161683,1368.537494,0.000111
0.020000,102.433114,130.050569,0.097978,3.045650,107.762403,4580.035998,0.002273
0.020000,102.514288,130.050871,0.179153,4.058743,50.654658,-2855.387238,0.005159
0.020000,102.615665,130.051577,0.280531,5.068930,50.509357,-7.265054,0.008770
0.020000,102.737209,130.052907,0.402083,6.077564,50.431688,-3.883444,0.013111
0.020000,102.878855,130.055123,0.543747,7.083208,50.282220,-7.473413,0.018185
0.020000,103.040541,130.058533,0.705468,8.086082,50.143702,-6.925896,0.023996
0.020000,103.222195,130.063488,0.887190,9.086058,49.998791,-7.245534,0.030546
0.020000,103.423738,130.070382,1.088851,10.083069,49.850549,-7.412131,0.037839
0.020000,103.645116,130.079653,1.310423,11.078601,49.776600,-3.697457,0.045879
0.020000,103.886241,130.091785,1.551852,12.071471,49.643473,-6.656311,0.054668
0.020000,104.147049,130.107304,1.813122,13.063488,49.600870,-2.130171,0.064206
0.020000,104.427495,130.126784,2.094244,14.056097,49.630467,1.479874,0.074494
0.020000,104.727527,130.150841,2.395239,15.049720,49.681110,2.532147,0.085529
0.020000,105.047118,130.180139,2.716170,16.046578,49.842934,8.091178,0.097309
0.020000,105.386275,130.215391,3.057154,17.049198,50.130996,14.403124,0.109825
0.020000,105.745012,130.257355,3.418337,18.059137,50.496947,18.297548,0.123069
0.020000,106.123385,130.306843,3.799932,19.079774,51.031863,26.745804,0.137026
0.020000,106.521490,130.364715,4.202223,20.114514,51.736952,35.254414,0.151679
0.020000,106.939461,130.431889,4.625556,21.166683,52.608493,43.577072,0.167006
0.020000,107.377476,130.509336,5.070366,22.240480,53.689844,54.067557,0.182979
0.020000,107.835761,130.598085,5.537165,23.339940,54.972992,64.157364,0.199565
0.020000,108.314593,130.699227,6.026563,24.469915,56.498768,76.288832,0.216726
0.020000,108.814311,130.813915,6.539273,25.635479,58.278194,88.971284,0.234417
0.020000,109.335292,130.943361,7.076094,26.841078,60.279952,100.087920,0.252587
0.020000,109.877969,131.088841,7.637933,28.091937,62.542927,113.148748,0.271178
0.020000,110.442825,131.251694,8.225796,29.393165,65.061393,125.923280,0.290127
0.020000,111.030374,131.433313,8.840776,30.748969,67.790194,136.440047,0.309363
0.020000,111.641172,131.635146,9.484057,32.164061,70.754613,148.220948,0.328813
0.020000,112.275792,131.858685,10.156896,33.641954,73.894642,157.001475,0.348395
0.020000,112.934829,132.105458,10.860619,35.186137,77.209153,165.725558,0.368026
0.020000,113.618882,132.377015,11.596603,36.799214,80.653848,172.234722,0.387619
0.020000,114.328551,132.674918,12.366263,38.482986,84.188629,176.739078,0.407083
0.020000,115.064427,133.000719,13.171035,40.238639,87.782645,179.700797,0.426328
0.020000,115.827087,133.355946,14.012366,42.066522,91.394138,180.574628,0.445261
0.020000,116.617094,133.742086,14.891692,43.966303,94.989027,179.744457,0.463792
0.020000,117.434994,134.160562,15.810432,45.936985,98.534100,177.253655,0.481830
0.020000,118.281323,134.612717,16.769972,47.977000,102.000794,173.334693,0.499287
0.020000,119.156614,135.099795,17.771660,50.084426,105.371298,168.525178,0.516078
