dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,15.486088,42.277413,0.007922,0.792176,39.608790,1980.439499,6.281849
0.020000,15.482028,42.277418,0.011982,0.203008,-29.458366,-3453.357789,6.282107
0.020000,15.473914,42.277425,0.020096,0.405714,10.135285,1979.682524,6.282622
0.020000,15.487451,42.277430,0.033634,0.676865,13.557565,171.114003,0.000209
0.020000,15.598019,42.277510,0.144201,5.528373,242.575397,11450.891602,0.001236
0.020000,15.736273,42.277769,0.282455,6.912716,69.217125,-8667.913601,0.002517
0.020000,15.902242,42.278314,0.448426,8.298513,69.289872,3.637346,0.004051
0.020000,16.095963,42.279272,0.642149,9.686167,69.382689,4.640853,0.005834
0.020000,16.317476,42.280789,0.863667,11.075907,69.486989,5.215005,0.007864
0.020000,16.566827,42.283034,1.113028,12.468066,69.607950,6.048074,0.010139
0.020000,16.844069,42.286194,1.390288,13.862980,69.745692,6.887070,0.012654
0.020000,17.149259,42.290476,1.695508,15.260998,69.900911,7.760958,0.015405
0.020000,17.482459,42.296108,2.028756,16.662419,70.071069,8.507917,0.018389
0.020000,17.843739,42.303333,2.390108,18.067563,70.257193,9.306170,0.021600
0.020000,18.233169,42.312416,2.779644,19.476827,70.463183,10.299513,0.025034
0.020000,18.650829,42.323638,3.197454,20.890505,70.683932,11.037448,0.028685
0.020000,19.096799,42.337297,3.643634,22.308997,70.924589,12.032878,0.032546
0.020000,19.571168,42.353708,4.118287,23.732635,71.181911,12.866083,0.036611
0.020000,20.074026,42.373202,4.621522,25.161777,71.457098,13.759364,0.040873
0.020000,20.605468,42.396123,5.153458,26.596803,71.751301,14.710123,0.045325
0.020000,21.165593,42.422831,5.714220,28.038059,72.062772,15.573584,0.049959
0.020000,21.754503,42.453700,6.303938,29.485939,72.394016,16.562167,0.054765
0.020000,22.372305,42.489112,6.922754,30.940799,72.742980,17.448200,0.059737
0.020000,23.019108,42.529464,7.570815,32.403014,73.110752,18.388626,0.064863
0.020000,23.695023,42.575162,8.248273,33.872917,73.495174,19.221105,0.070135
0.020000,24.400166,42.626620,8.955291,35.350917,73.899990,20.240762,0.075542
0.020000,25.134654,42.684260,9.692038,36.837312,74.319719,20.986453,0.081073
0.020000,25.898608,42.748510,10.458688,38.332520,74.760433,22.035721,0.086717
0.020000,26.692149,42.819803,11.255425,39.836843,75.216159,22.786295,0.092463
0.020000,27.515401,42.898573,12.082438,41.350633,75.689461,23.665111,0.098299
0.020000,28.368490,42.985259,12.939919,42.874075,76.172100,24.131944,0.104211
0.020000,29.251545,43.080298,13.828074,44.407745,76.683519,25.570944,0.110189
0.020000,30.164696,43.184126,14.747109,45.951729,77.199224,25.785223,0.116217
0.020000,31.108073,43.297173,15.697235,47.506321,77.729583,26.517993,0.122284
0.020000,32.081811,43.419868,16.678672,49.071842,78.276040,27.322830,0.128374
0.020000,33.086045,43.552630,17.691644,50.648614,78.838580,28.127025,0.134474
0.020000,34.120912,43.695867,18.736377,52.236651,79.401869,28.164451,0.140569
0.020000,35.186555,43.849980,19.813106,53.836440,79.989450,29.379008,0.146644
0.020000,36.283114,44.015353,20.922065,55.447958,80.575895,29.322262,0.152685
0.020000,37.410736,44.192356,22.063494,57.071456,81.174913,29.950914,0.158677
0.020000,38.569570,44.381342,23.237638,58.707182,81.786279,30.568285,0.164603
0.020000,39.759774,44.582643,24.444744,60.355328,82.407303,31.051207,0.170448
0.020000,40.981500,44.796568,25.685059,62.015717,83.019458,30.607736,0.176196
0.020000,42.234918,45.023405,26.958837,63.688903,83.659321,31.993147,0.181832
0.020000,43.520197,45.263411,28.266333,65.374808,84.295228,31.795362,0.187339
0.020000,44.837517,45.516817,29.607805,67.073582,84.938715,32.174333,0.192700
0.020000,46.187064,45.783822,30.983511,68.785327,85.587246,32.426595,0.197900
0.020000,47.569033,46.064589,32.393713,70.510080,86.237649,32.520129,0.202921
0.020000,48.983634,46.359247,33.838676,72.248189,86.905439,33.389516,0.207748
0.020000,50.431087,46.667885,35.318669,73.999617,87.571422,33.299124,0.212362
0.020000,51.911625,46.990550,36.833959,75.764490,88.243623,33.610061,0.216746
