dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,15.443994,10.777442,0.007922,0.792176,39.608790,1980.439499,6.281849
0.020000,15.448055,10.777437,0.011982,0.203008,-29.458366,-3453.357789,6.282107
0.020000,15.456169,10.777430,0.020096,0.405714,10.135285,1979.682524,6.282622
0.020000,15.494019,10.777431,0.057946,1.892502,74.339396,3210.205558,0.000209
0.020000,15.636947,10.777534,0.200875,7.146424,262.696110,9417.835687,0.001236
0.020000,15.815563,10.777869,0.379491,8.930820,89.219779,-8673.816510,0.002517
0.020000,16.029836,10.778573,0.593764,10.713666,89.142282,-3.874885,0.004051
0.020000,16.279728,10.779808,0.843660,12.494775,89.055494,-4.339384,0.005834
0.020000,16.565196,10.781763,1.129135,14.273732,88.947855,-5.381947,0.007864
0.020000,16.886188,10.784653,1.450139,16.050243,88.825525,-6.116512,0.010139
0.020000,17.242645,10.788716,1.806620,17.824005,88.688077,-6.872373,0.012654
0.020000,17.634501,10.794214,2.198514,19.594720,88.535795,-7.614096,0.015405
0.020000,18.061680,10.801433,2.625754,21.362016,88.364788,-8.550395,0.018389
0.020000,18.524098,10.810681,3.088265,23.125531,88.175747,-9.452027,0.021600
0.020000,19.021663,10.822286,3.585965,24.884992,87.973039,-10.135396,0.025034
0.020000,19.554270,10.836596,4.118764,26.639982,87.749520,-11.175938,0.028685
0.020000,20.121808,10.853978,4.686569,28.390206,87.511206,-11.915713,0.032546
0.020000,20.724153,10.874816,5.289274,30.135275,87.253441,-12.888270,0.036611
0.020000,21.361171,10.899510,5.926770,31.874822,86.977322,-13.805940,0.040873
0.020000,22.032717,10.928474,6.598940,33.608501,86.683951,-14.668544,0.045325
0.020000,22.738633,10.962133,7.305659,35.335918,86.370866,-15.654254,0.049959
0.020000,23.478752,11.000926,8.046794,37.056740,86.041089,-16.488846,0.054765
0.020000,24.252893,11.045299,8.822205,38.770580,85.692021,-17.453423,0.059737
0.020000,25.060864,11.095705,9.631747,40.477083,85.325160,-18.343034,0.064863
0.020000,25.902460,11.152603,10.475264,42.175845,84.938092,-19.353386,0.070135
0.020000,26.777464,11.216456,11.352595,43.866564,84.535921,-20.108543,0.075542
0.020000,27.685648,11.287725,12.263571,45.548812,84.112426,-21.174749,0.081073
0.020000,28.626773,11.366874,13.208018,47.222330,83.675891,-21.826772,0.086717
0.020000,29.600585,11.454360,14.185752,48.886727,83.219829,-22.803110,0.092463
0.020000,30.606824,11.550637,15.196586,50.541696,82.748483,-23.567272,0.098299
0.020000,31.645212,11.656150,16.240322,52.186757,82.253035,-24.772429,0.104211
0.020000,32.715470,11.771334,17.316760,53.821927,81.758522,-24.725656,0.110189
0.020000,33.817304,11.896613,18.425693,55.446659,81.236570,-26.097596,0.116217
0.020000,34.950411,12.032394,19.566907,57.060688,80.701459,-26.755554,0.122284
0.020000,36.114484,12.179069,20.740183,58.663819,80.156547,-27.245568,0.128374
0.020000,37.309207,12.337010,21.945301,60.255888,79.603452,-27.654759,0.134474
0.020000,38.534256,12.506568,23.182029,61.836402,79.025699,-28.887639,0.140569
0.020000,39.789309,12.688069,24.450138,63.405462,78.453017,-28.634101,0.146644
0.020000,41.074034,12.881816,25.749390,64.962602,77.857004,-29.800650,0.152685
0.020000,42.388099,13.088082,27.079545,66.507714,77.255595,-30.070457,0.158677
0.020000,43.731170,13.307110,28.440359,68.040714,76.649994,-30.280053,0.164603
0.020000,45.102919,13.539112,29.831589,69.561483,76.038429,-30.578256,0.170448
0.020000,46.503009,13.784265,31.252979,71.069502,75.400949,-31.873978,0.176196
0.020000,47.931114,14.042711,32.704281,72.565116,74.780736,-31.010669,0.181832
0.020000,49.386909,14.314555,34.185240,74.047961,74.142205,-31.926550,0.187339
0.020000,50.870076,14.599860,35.695599,75.517946,73.499269,-32.146811,0.192700
0.020000,52.380302,14.898651,37.235098,76.974934,72.849390,-32.493932,0.197900
0.020000,53.917278,15.210905,38.803472,78.418716,72.189116,-33.013716,0.202921
0.020000,55.480710,15.536560,40.400461,79.849424,71.535391,-32.686232,0.207748
0.020000,57.070311,15.875504,42.025796,81.266747,70.866167,-33.461213,0.212362
0.020000,58.685802,16.227577,43.679206,82.670536,70.189453,-33.835698,0.216746
0.020000,60.326919,16.592568,45.360421,84.060715,69.508952,-34.025028,0.220885
0.020000,61.993408,16.970217,47.069164,85.437172,68.822855,-34.304867,0.224759
0.020000,63.685023,17.360206,48.805152,86.799419,68.112313,-35.527074,0.228351
0.020000,65.401541,17.762166,50.568106,88.147674,67.412779,-34.976700,0.231643
0.020000,67.142743,18.175668,52.357734,89.481396,66.686081,-36.334939,0.234617
0.020000,68.908426,18.600222,54.173741,90.800377,65.949038,-36.852155,0.237254
0.020000,70.698401,19.035277,56.015828,92.104346,65.198466,-37.528572,0.239535
0.020000,72.512491,19.480220,57.883687,93.392938,64.429616,-38.442492,0.241441
0.020000,74.350530,19.934368,59.777000,94.665664,63.636302,-39.665718,0.242951
0.020000,76.212364,20.396970,61.695445,95.922208,62.827171,-40.456526,0.244044
0.020000,78.097851,20.867203,63.638684,97.161995,61.989384,-41.889381,0.244700
0.020000,80.006858,21.344169,65.606374,98.384477,61.124090,-43.264709,0.244896
0.020000,81.939258,21.826890,67.598155,99.589036,60.227938,-44.807577,0.244611
0.020000,83.894933,22.314310,69.613655,100.775032,59.299802,-46.406804,0.243819
0.020000,85.873768,22.805284,71.652489,101.941675,58.332148,-48.382721,0.242497
0.020000,87.875649,23.298581,73.714253,103.088208,57.326660,-50.274362,0.240619
0.020000,89.900465,23.792877,75.798529,104.213790,56.279077,-52.379186,0.238158
0.020000,91.948097,24.286749,77.904878,105.317477,55.184350,-54.736350,0.235087
0.020000,94.018421,24.778677,80.032843,106.398239,54.038116,-57.311665,0.231377
0.020000,96.111306,25.267035,82.181950,107.455346,52.855361,-59.137779,0.226997
0.020000,98.226599,25.750087,84.351698,108.487389,51.602130,-62.661530,0.221915
0.020000,100.364134,26.225985,86.541568,109.493527,50.306896,-64.761730,0.216100
0.020000,102.523717,26.692764,88.751021,110.472644,48.955859,-67.551839,0.209516
0.020000,104.697771,27.146833,90.971987,111.048294,28.782492,-1008.668325,0.202154
0.020000,106.866154,27.582263,93.183657,110.583504,-23.239495,-2601.099348,0.194063
0.020000,109.008967,27.993823,95.365635,109.098896,-74.230396,-2549.545085,0.185318
0.020000,111.117095,28.378983,97.508659,107.151202,-97.384673,-1157.713849,0.175973
0.020000,113.188769,28.736900,99.611024,105.118269,-101.646684,-213.100525,0.166058
0.020000,115.224214,29.067236,101.673100,103.103796,-100.723648,46.151797,0.155597
0.020000,117.223625,29.369757,103.695269,101.108414,-99.769081,47.728335,0.144614
0.020000,119.187173,29.644329,105.677921,99.132614,-98.790004,48.953852,0.133134
0.020000,121.115018,29.890916,107.621472,97.177557,-97.752830,51.858685,0.121184
0.020000,123.007299,30.109576,109.526344,95.243610,-96.697363,52.773364,0.108789
0.020000,124.864150,30.300458,111.392981,93.331839,-95.588553,55.440511,0.095979
0.020000,126.685701,30.463803,113.221841,91.443015,-94.441225,57.366414,0.082782
0.020000,128.472080,30.599933,115.013400,89.577929,-93.254278,59.347342,0.069229
0.020000,130.223421,30.709253,116.768149,87.737463,-92.023290,61.549393,0.055350
0.020000,131.939859,30.792242,118.486592,85.922146,-90.765861,62.871456,0.041179
0.020000,133.621541,30.849456,120.169247,84.132734,-89.470629,64.761596,0.026747
0.020000,135.268622,30.881513,121.816641,82.369691,-88.152123,65.925314,0.012088
0.020000,136.881273,30.889097,123.429309,80.633427,-86.813207,66.945793,6.280421
0.020000,138.459676,30.872948,125.007795,78.924277,-85.457493,67.785692,6.265411
0.020000,140.004023,30.833858,126.552636,77.242072,-84.110277,67.360803,6.250276
0.020000,141.514526,30.772668,128.064378,75.587100,-82.748591,68.084299,6.235052
0.020000,142.991408,30.690257,129.543558,73.958967,-81.406642,67.097452,6.219772
0.020000,144.434905,30.587544,130.990705,72.357361,-80.080274,66.318408,6.204470
0.020000,145.845261,30.465477,132.406333,70.781398,-78.798167,64.105333,6.189179
0.020000,147.222741,30.325031,133.790955,69.231092,-77.515295,64.143597,6.173930
0.020000,148.567602,30.167204,135.145045,67.704523,-76.328435,59.343000,6.158756
0.020000,149.880128,29.993008,136.469080,66.201751,-75.138621,59.490693,6.143685
0.020000,151.160594,29.803472,137.763497,64.720840,-74.045559,54.653122,6.128745
0.020000,152.409288,29.599630,139.028720,63.261139,-72.985060,53.024933,6.113964
0.020000,153.626500,29.382521,140.265142,61.821130,-72.000454,49.230327,6.099365
0.020000,154.812520,29.153188,141.473132,60.399483,-71.082307,45.907347,6.084973
0.020000,155.967637,28.912672,142.653023,58.994534,-70.247494,41.740632,6.070810
0.020000,157.092142,28.662004,143.805128,57.605256,-69.463887,39.180356,6.056893
0.020000,158.186326,28.402214,144.929730,56.230097,-68.757924,35.298161,6.043243
0.020000,159.250469,28.134317,146.027076,54.867325,-68.138641,30.964147,6.029873
0.020000,160.284850,27.859319,147.097388,53.515617,-67.585383,27.662911,6.016799
0.020000,161.289757,27.578206,148.140874,52.174288,-67.066440,25.947106,6.004034
0.020000,162.265446,27.291956,149.157687,50.840636,-66.682593,19.192393,5.991587
0.020000,163.212202,27.001517,150.147990,49.515159,-66.273855,20.436860,5.979469
0.020000,164.130273,26.707829,151.111893,48.195131,-66.001424,13.621545,5.967686
0.020000,165.019927,26.411801,152.049505,46.880611,-65.725999,13.771269,5.956246
0.020000,165.881410,26.114325,152.960902,45.569846,-65.538252,9.387373,5.945153
0.020000,166.714974,25.816265,153.846153,44.262563,-65.364134,8.705872,5.934412
0.020000,167.520834,25.518472,154.705275,42.956078,-65.324238,1.994833,5.924024
0.020000,168.299254,25.221751,155.538330,41.652788,-65.164495,7.987121,5.913993
