dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,103.529132,193.676494,0.007980,0.798043,39.902135,1995.106730,6.281012
0.020000,103.536258,193.676480,0.015107,0.356312,-22.086555,-3099.434483,6.281465
0.020000,103.550522,193.676462,0.029371,0.713202,17.844545,1996.554989,6.282370
0.020000,103.610358,193.676470,0.089207,2.991807,113.930226,4804.284066,0.000546
0.020000,103.766673,193.676697,0.245522,7.815738,241.196531,6363.315222,0.002365
0.020000,103.962263,193.677383,0.441113,9.779551,98.190654,-7150.293822,0.004650
0.020000,104.197233,193.678799,0.676087,11.748743,98.459629,13.448767,0.007407
0.020000,104.471658,193.681276,0.950523,13.721786,98.652148,9.625924,0.010643
0.020000,104.785672,193.685202,1.264562,15.701934,99.007387,17.761945,0.014369
0.020000,105.139450,193.691033,1.618388,17.691310,99.468808,23.071060,0.018594
0.020000,105.533225,193.699288,2.012250,19.693088,100.088871,31.003168,0.023334
0.020000,105.967192,193.710557,2.446363,21.705673,100.629265,27.019704,0.028600
0.020000,106.441507,193.725503,2.920913,23.727480,101.090369,23.055190,0.034409
0.020000,106.956447,193.744868,3.436217,25.765225,101.887261,39.844575,0.040778
0.020000,107.512232,193.769476,3.992547,27.816491,102.563253,33.799591,0.047727
0.020000,108.109151,193.800240,4.590258,29.885540,103.452498,44.462249,0.055275
0.020000,108.747437,193.838168,5.229670,31.970606,104.253300,40.040128,0.063445
0.020000,109.427398,193.884370,5.911199,34.076439,105.291632,51.916614,0.072261
0.020000,110.149262,193.940059,6.635208,36.200437,106.199887,45.412720,0.081749
0.020000,110.913345,194.006573,7.402180,38.348620,107.409179,60.464626,0.091937
0.020000,111.719881,194.085364,8.212555,40.518766,108.507277,54.904908,0.102853
0.020000,112.569051,194.178014,9.066765,42.710478,109.585597,53.915975,0.114528
0.020000,113.461123,194.286255,9.965380,44.930740,111.013083,71.374300,0.126995
0.020000,114.396231,194.411956,10.908899,47.175948,112.260398,62.365733,0.140286
0.020000,115.374511,194.557150,11.897895,49.449817,113.693471,71.653647,0.154435
0.020000,116.395881,194.724008,12.932805,51.745485,114.783390,54.495963,0.169477
0.020000,117.460353,194.914895,14.014256,54.072583,116.354914,78.576214,0.185445
0.020000,118.567743,195.132336,15.142793,56.426809,117.711293,67.818948,0.202375
0.020000,119.717641,195.379007,16.318850,58.802887,118.803924,54.631537,0.220297
0.020000,120.909573,195.657770,17.542946,61.204768,120.094027,64.505137,0.239242
0.020000,122.142767,195.971623,18.815452,63.625316,121.027428,46.670049,0.259235
0.020000,123.416284,196.323724,20.136747,66.064763,121.972335,47.245359,0.280297
0.020000,124.728807,196.717323,21.507016,68.513452,122.434449,23.105720,0.302444
0.020000,126.078778,197.155776,22.926404,70.969405,122.797628,18.158930,0.325682
0.020000,127.464192,197.642456,24.394814,73.420490,122.554276,-12.167578,0.350007
0.020000,128.882716,198.180745,25.912037,75.861151,122.033018,-26.062884,0.375404
0.020000,130.331522,198.773924,27.477572,78.276761,120.780525,-62.624679,0.401843
0.020000,131.807414,199.425150,29.090753,80.659028,119.113351,-83.358677,0.429279
0.020000,133.306670,200.137309,30.750554,82.990046,116.550889,-128.123109,0.457649
0.020000,134.825192,200.912985,32.455718,85.258184,113.406899,-157.199500,0.486874
0.020000,136.358474,201.754338,34.204668,87.447527,109.467147,-196.987594,0.516851
0.020000,137.901683,202.663032,35.995540,89.543578,104.802548,-233.229942,0.547464
0.020000,139.449744,203.640155,37.826184,91.532239,99.433081,-268.473388,0.578576
0.020000,140.997430,204.686159,39.694194,93.400472,93.411647,-301.071690,0.610034
0.020000,142.539520,205.800844,41.596972,95.138886,86.920685,-324.548104,0.641672
0.020000,144.070900,206.983337,43.531762,96.739496,80.030496,-344.509460,0.673316
0.020000,145.586706,208.232120,45.495719,98.197854,72.917890,-355.630273,0.704785
0.020000,147.082466,209.545093,47.485994,99.513755,65.795044,-356.142302,0.735899
0.020000,148.554192,210.919639,49.499785,100.689546,58.789544,-350.274984,0.766478
0.020000,149.998477,212.352723,51.534407,101.731128,52.079149,-335.519790,0.796354
0.020000,151.412553,213.840999,53.587351,102.647206,45.803889,-313.762983,0.825365
0.020000,152.794327,215.380917,55.656323,103.448572,40.068298,-286.779565,0.853367
0.020000,154.142375,216.968819,57.739270,104.147343,34.938519,-256.488933,0.880230
0.020000,155.455929,218.601031,59.834393,104.756187,30.442206,-224.815663,0.905838
0.020000,156.734836,220.273942,61.940155,105.288079,26.594597,-192.380458,0.930094
0.020000,157.979498,221.984042,64.055250,105.754737,23.332906,-163.084537,0.952917
0.020000,159.190821,223.727983,66.178604,106.167725,20.649401,-134.175247,0.974236
0.020000,160.370141,225.502569,68.309320,106.535811,18.404312,-112.254431,0.993996
0.020000,161.519174,227.304789,70.446672,106.867601,16.589507,-90.740263,1.012149
0.020000,162.639941,229.131779,72.590037,107.168219,15.030877,-77.931518,1.028658
0.020000,163.734732,230.980822,74.738880,107.442143,13.696198,-66.733924,1.043487
0.020000,164.801741,232.841671,76.883937,107.252847,-9.464758,-1158.047821,1.056555
0.020000,165.835137,234.695691,79.006505,106.128396,-56.222569,-2337.890518,1.067765
0.020000,166.830242,236.524884,81.088855,104.117521,-100.543761,-2216.059614,1.077078
0.020000,167.784326,238.314206,83.116649,101.389715,-136.390274,-1792.325659,1.084523
0.020000,168.698815,240.056667,85.084506,98.392858,-149.842864,-672.629484,1.090189
0.020000,169.578101,241.751894,86.994202,95.484759,-145.404961,221.895118,1.094189
0.020000,170.426047,243.399630,88.847320,92.655899,-141.442999,198.098110,1.096624
0.020000,171.246045,244.999713,90.645280,89.898033,-137.893288,177.485574,1.097583
0.020000,172.041066,246.552047,92.389356,87.203792,-134.712041,159.062331,1.097148
0.020000,172.813699,248.056593,94.080693,84.566829,-131.848143,143.194908,1.095391
0.020000,173.566192,249.513352,95.720325,81.981616,-129.260679,129.373192,1.092378
0.020000,174.300485,250.922372,97.309199,79.443714,-126.895085,118.279714,1.088169
0.020000,175.018236,252.283729,98.848180,76.949025,-124.734446,108.031948,1.082819
0.020000,175.720853,253.597549,100.338077,74.494857,-122.708406,101.302010,1.076380
0.020000,176.409515,254.863996,101.779654,72.078833,-120.801186,95.360973,1.068899
0.020000,177.085190,256.083279,103.173636,69.699136,-118.984894,90.814606,1.060424
0.020000,177.748660,257.255660,104.520733,67.354818,-117.215891,88.450149,1.050998
0.020000,178.400536,258.381460,105.821643,65.045525,-115.464644,87.562342,1.040667
0.020000,179.041277,259.461067,107.077072,62.771426,-113.704923,87.986064,1.029474
0.020000,179.671204,260.494935,108.287729,60.532870,-111.927805,88.855922,1.017466
0.020000,180.290515,261.483593,109.454344,58.330721,-110.107458,91.017339,1.004689
0.020000,180.899307,262.427656,110.577680,56.166814,-108.195355,95.605148,0.991190
0.020000,181.497582,263.327820,111.658525,54.042282,-106.226625,98.436501,0.977021
0.020000,182.085268,264.184866,112.697709,51.959184,-104.154888,103.586842,0.962233
0.020000,182.662229,264.999664,113.696098,49.919445,-101.986929,108.397963,0.946881
0.020000,183.228278,265.773168,114.654597,47.924947,-99.724926,113.100110,0.931024
0.020000,183.783194,266.506417,115.574154,45.977849,-97.354870,118.502816,0.914721
0.020000,184.326728,267.200527,116.455753,44.079963,-94.894317,123.027643,0.898035
0.020000,184.858616,267.856681,117.300409,42.232811,-92.357601,126.835809,0.881030
0.020000,185.378591,268.476134,118.109171,40.438097,-89.735689,131.095602,0.863773
0.020000,185.886382,269.060183,118.883099,38.696392,-87.085264,132.521255,0.846330
0.020000,186.381726,269.610170,119.623269,37.008482,-84.395506,134.487913,0.828772
0.020000,186.864373,270.127467,120.330761,35.374598,-81.694171,135.066753,0.811165
0.020000,187.334083,270.613460,121.006643,33.794113,-79.024270,133.495017,0.793578
0.020000,187.790633,271.069541,121.651970,32.266372,-76.387068,131.860111,0.776078
0.020000,188.233811,271.497095,122.267770,30.789966,-73.820301,128.338351,0.758729
0.020000,188.663420,271.897486,122.855032,29.363100,-71.343285,123.850779,0.741596
0.020000,189.079272,272.272050,123.414703,27.983575,-68.976241,118.352223,0.724737
0.020000,189.481190,272.622086,123.947679,26.648778,-66.739839,111.820102,0.708211
0.020000,189.869000,272.948848,124.454798,25.355959,-64.640957,104.944094,0.692069
0.020000,190.242528,273.253538,124.936834,24.101821,-62.706914,96.702150,0.676361
0.020000,190.601607,273.537302,125.394503,22.883403,-60.920872,89.302106,0.661133
0.020000,190.946064,273.801232,125.828449,21.697319,-59.304219,80.832668,0.646426
0.020000,191.275719,274.046351,126.239248,20.539942,-57.868873,71.767288,0.632276
0.020000,191.590396,274.273630,126.627420,19.408589,-56.567628,65.062254,0.618716
0.020000,191.889908,274.483972,126.993413,18.299669,-55.446021,56.080329,0.605774
0.020000,192.174068,274.678225,127.337624,17.210551,-54.455877,49.507189,0.593476
0.020000,192.442677,274.857167,127.660379,16.137763,-53.639422,40.822789,0.581843
0.020000,192.695545,275.021531,127.961972,15.079617,-52.907276,36.607276,0.570893
0.020000,192.932477,275.171987,128.242638,14.033340,-52.313880,29.669811,0.560640
0.020000,193.153270,275.309147,128.502566,12.996396,-51.847155,23.336260,0.551098
0.020000,193.357741,275.433580,128.741923,11.967855,-51.427095,21.003003,0.542277
0.020000,193.545696,275.545795,128.960828,10.945247,-51.130382,14.835637,0.534184
