dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,15.445041,313.417985,0.007977,0.797719,39.885939,1994.296932,0.001270
0.020000,15.448870,313.417989,0.011806,0.191440,-30.313930,-3509.993455,0.001027
0.020000,15.456522,313.417995,0.019458,0.382589,9.557457,1993.569394,0.000541
0.020000,15.492583,313.417995,0.055518,1.803027,71.021863,3073.220261,6.282998
0.020000,15.635475,313.417899,0.198411,7.144610,267.079178,9802.865777,6.282030
0.020000,15.814047,313.417585,0.376983,8.928616,89.200271,-8893.945342,6.280822
0.020000,16.028269,313.416923,0.591206,10.711143,89.126353,-3.695917,6.279376
0.020000,16.278105,313.415761,0.841045,12.491964,89.041093,-4.263019,6.277695
0.020000,16.563514,313.413921,1.126460,14.270743,88.938939,-5.107687,6.275781
0.020000,16.884445,313.411200,1.447403,16.047145,88.820068,-5.943563,6.273637
0.020000,17.240843,313.407374,1.803821,17.820914,88.688455,-6.580614,6.271267
0.020000,17.632644,313.402196,2.195656,19.591745,88.541541,-7.345699,6.268674
0.020000,18.059776,313.395396,2.622842,21.359294,88.377457,-8.204221,6.265862
0.020000,18.522158,313.386685,3.085306,23.123230,88.196833,-9.031181,6.262837
0.020000,19.019703,313.375753,3.582971,24.883254,88.001190,-9.782157,6.259602
0.020000,19.552313,313.362273,4.115752,26.639039,87.789260,-10.596498,6.256164
0.020000,20.119882,313.345899,4.683557,28.390250,87.560530,-11.436528,6.252528
0.020000,20.722293,313.326270,5.286288,30.136546,87.314795,-12.286737,6.248701
0.020000,21.359421,313.303008,5.923840,31.877582,87.051821,-13.148699,6.244688
0.020000,22.031128,313.275725,6.596101,33.613045,86.773122,-13.934933,6.240498
0.020000,22.737268,313.244018,7.302952,35.342567,86.476126,-14.849788,6.236138
0.020000,23.477683,313.207476,8.044269,37.065835,86.163382,-15.637218,6.231615
0.020000,24.252205,313.165679,8.819918,38.782471,85.831818,-16.578186,6.226938
0.020000,25.060655,313.118198,9.629761,40.492154,85.484114,-17.385226,6.222117
0.020000,25.902844,313.064602,10.473653,42.194585,85.121593,-18.126019,6.217159
0.020000,26.778567,313.004456,11.351440,43.889333,84.737386,-19.210365,6.212075
0.020000,27.687616,312.937322,12.262964,45.576213,84.344017,-19.668442,6.206875
0.020000,28.629766,312.862766,13.208059,47.254762,83.927432,-20.829260,6.201570
0.020000,29.604783,312.780354,14.186553,48.924696,83.496673,-21.537959,6.196170
0.020000,30.612425,312.689658,15.198268,50.585762,83.053326,-22.167339,6.190687
0.020000,31.652440,312.590259,16.243023,52.237739,82.598833,-22.724653,6.185131
0.020000,32.724564,312.481745,17.320624,53.880053,82.115737,-24.154810,6.179517
0.020000,33.828528,312.363715,18.430880,55.512777,81.636156,-23.979046,6.173855
0.020000,34.964052,312.235783,19.573588,57.135425,81.132429,-25.186354,6.168158
0.020000,36.130852,312.097579,20.748544,58.747814,80.619421,-25.650404,6.162440
0.020000,37.328637,311.948748,21.955540,60.349784,80.098538,-26.044161,6.156714
0.020000,38.557105,311.788960,23.194356,61.940817,79.551638,-27.344964,6.150993
0.020000,39.815959,311.617901,24.464780,63.521178,79.018046,-26.679598,6.145291
0.020000,41.104893,311.435285,25.766586,65.090291,78.455639,-28.120380,6.139623
0.020000,42.423597,311.240851,27.099547,66.648046,77.887772,-28.393335,6.134002
0.020000,43.771763,311.034367,28.463434,68.194356,77.315486,-28.614299,6.128444
0.020000,45.149085,310.815630,29.858017,69.729145,76.739468,-28.800905,6.122963
0.020000,46.555251,310.584468,31.283056,71.251970,76.141214,-29.912706,6.117575
0.020000,47.989957,310.340745,32.738317,72.763032,75.553101,-29.405660,6.112293
0.020000,49.452899,310.084359,34.223555,74.261925,74.944673,-30.421369,6.107134
0.020000,50.943778,309.815248,35.738527,75.748603,74.333909,-30.538204,6.102113
0.020000,52.462301,309.533386,37.282988,77.223017,73.720695,-30.660702,6.097246
0.020000,54.008182,309.238790,38.856689,78.685065,73.102394,-30.915051,6.092548
0.020000,55.581137,308.931520,40.459375,80.134290,72.461228,-32.058288,6.088036
0.020000,57.180897,308.611679,42.090795,81.570990,71.835032,-31.309813,6.083725
0.020000,58.807199,308.279417,43.750690,82.994792,71.190069,-32.248160,6.079632
0.020000,60.459788,307.934934,45.438802,84.405567,70.538759,-32.565513,6.075774
0.020000,62.138422,307.578478,47.154865,85.803181,69.880703,-32.902790,6.072167
0.020000,63.842865,307.210348,48.898610,87.187235,69.202723,-33.898998,6.068829
0.020000,65.572900,306.830899,50.669768,88.557899,68.533185,-33.476891,6.065776
0.020000,67.328313,306.440540,52.468061,89.914635,67.836782,-34.820139,6.063026
0.020000,69.108906,306.039738,54.293205,91.257227,67.129608,-35.358705,6.060597
0.020000,70.914490,305.629021,56.144914,92.585421,66.409684,-35.996216,6.058507
0.020000,72.744890,305.208977,58.022892,93.898896,65.673781,-36.795147,6.056776
0.020000,74.599939,304.780261,59.926836,95.197204,64.915380,-37.920057,6.055422
