dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,207.589643,137.577710,0.001000,0.200000,20.000000,2000.000000,4.269673
0.010000,207.589635,137.577693,0.001019,0.001934,-19.806599,-3980.659855,4.269671
0.010000,207.589616,137.577653,0.001063,0.004356,0.242233,2004.883172,4.269669
0.010000,207.589583,137.577583,0.001141,0.007761,0.340473,9.823943,4.269664
0.010000,207.589531,137.577473,0.001262,0.012169,0.440777,10.030480,4.269656
0.010000,207.589455,137.577314,0.001438,0.017613,0.544464,10.368688,4.269645
0.010000,207.589352,137.577096,0.001680,0.024145,0.653179,10.871504,4.269630
0.010000,207.586668,137.571436,0.007943,0.626347,60.220215,5956.703575,4.269609
0.010000,207.551788,137.497879,0.089352,8.140836,751.448862,69122.864720,4.269583
0.010000,207.508720,137.407063,0.189862,10.051030,191.019349,-56042.951362,4.269551
0.010000,207.456599,137.297167,0.311492,12.162971,211.194136,2017.478725,4.269511
0.010000,207.394558,137.166371,0.456256,14.476433,231.346239,2015.210279,4.269463
0.010000,207.321729,137.012851,0.626175,16.991872,251.543823,2019.758430,4.269404
0.010000,207.237240,136.834783,0.823270,19.709526,271.765405,2022.158155,4.269335
0.010000,207.140218,136.630340,1.049567,22.629667,292.014135,2024.873056,4.269252
0.010000,207.030218,136.398603,1.306087,25.651993,302.232601,1021.846604,4.269156
0.010000,206.907222,136.139558,1.592848,28.676123,302.412999,18.039774,4.269044
0.010000,206.771211,135.853190,1.909874,31.702639,302.651614,23.861543,4.268915
0.010000,206.622164,135.539485,2.257187,34.731246,302.860686,20.907136,4.268769
0.010000,206.460054,135.198426,2.634812,37.762506,303.126011,26.532506,4.268602
0.010000,206.284854,134.829995,3.042778,40.796605,303.409922,28.391154,4.268414
0.010000,206.096532,134.434174,3.481115,43.833719,303.711342,30.141934,4.268202
0.010000,205.895054,134.010944,3.949855,46.874010,304.029112,31.777072,4.267964
0.010000,205.680378,133.560284,4.449034,49.917927,304.391737,36.262430,4.267699
0.010000,205.452462,133.082176,4.978688,52.965378,304.745064,35.332726,4.267403
0.010000,205.211257,132.576596,5.538859,56.017067,305.168874,42.381026,4.267075
0.010000,204.957146,132.044436,6.128576,58.971726,295.465947,-970.292712,4.266712
0.010000,204.690943,131.487500,6.745862,61.728576,275.685041,-1978.090640,4.266313
0.010000,204.413463,130.907593,7.388736,64.287387,255.881087,-1980.395399,4.265877
0.010000,204.125520,130.306522,8.055217,66.648186,236.079866,-1980.122045,4.265402
0.010000,203.827930,129.686101,8.743318,68.810052,216.186562,-1989.330422,4.264887
0.010000,203.521508,129.048142,9.451051,70.773310,196.325855,-1986.070688,4.264333
0.010000,203.207073,128.394465,10.176422,72.537072,176.376160,-1994.969515,4.263738
0.010000,202.885446,127.726886,10.917439,74.101682,156.460989,-1991.517118,4.263102
0.010000,202.557452,127.047232,11.672097,75.465875,136.419375,-2004.161337,4.262425
0.010000,202.223918,126.357329,12.438394,76.629668,116.379309,-2004.006626,4.261708
0.010000,201.885679,125.659006,13.214320,77.592582,96.291335,-2008.797381,4.260951
0.010000,201.543572,124.954095,13.997861,78.354120,76.153805,-2013.753027,4.260154
0.010000,201.198443,124.244429,14.786999,78.913830,55.970984,-2018.282119,4.259320
0.010000,200.851144,123.531846,15.579711,79.271119,35.728968,-2024.201603,4.258450
0.010000,200.502535,122.818186,16.373965,79.425430,15.431056,-2029.791204,4.257545
0.010000,200.153036,122.104372,17.168747,79.478218,5.278807,-1015.224904,4.256606
0.010000,199.802622,121.390418,17.964059,79.531213,5.299475,2.066847,4.255634
0.010000,199.451267,120.676332,18.759903,79.584421,5.320865,2.138999,4.254628
0.010000,199.098946,119.962128,19.556282,79.637851,5.342976,2.211110,4.253588
0.010000,198.745632,119.247815,20.353197,79.691509,5.365808,2.283164,4.252514
0.010000,198.391299,118.533405,21.150651,79.745403,5.389359,2.355144,4.251406
0.010000,198.035921,117.818910,21.948646,79.799539,5.413630,2.427032,4.250263
0.010000,197.679473,117.104341,22.747186,79.853925,5.438618,2.498807,4.249086
0.010000,197.321926,116.389709,23.546271,79.908569,5.464322,2.570447,4.247874
0.010000,196.963255,115.675027,24.345906,79.963476,5.490742,2.641931,4.246628
0.010000,196.603433,114.960305,25.146093,80.018655,5.517874,2.713233,4.245346
0.010000,196.242432,114.245557,25.946834,80.074112,5.545717,2.784329,4.244029
0.010000,195.880226,113.530794,26.748132,80.129855,5.574269,2.855190,4.242677
0.010000,195.516787,112.816029,27.549991,80.185890,5.603527,2.925789,4.241289
0.010000,195.152088,112.101273,28.352413,80.242225,5.633488,2.996093,4.239865
0.010000,194.786100,111.386540,29.155402,80.298866,5.664149,3.066073,4.238406
0.010000,194.418796,110.671841,29.958960,80.355821,5.695506,3.135692,4.236910
0.010000,194.050148,109.957191,30.763091,80.413097,5.727555,3.204916,4.235378
0.010000,193.680128,109.242601,31.567798,80.470700,5.760292,3.273707,4.233809
0.010000,193.308707,108.528086,32.373085,80.528637,5.793712,3.342025,4.232204
0.010000,192.935856,107.813657,33.178954,80.586915,5.827810,3.409829,4.230561
0.010000,192.561547,107.099330,33.985409,80.645541,5.862581,3.477075,4.228882
0.010000,192.185751,106.385118,34.792454,80.704521,5.898018,3.543718,4.227164
0.010000,191.808438,105.671035,35.600093,80.763862,5.934115,3.609708,4.225410
0.010000,191.429580,104.957094,36.408329,80.823571,5.970865,3.674997,4.223617
0.010000,191.049145,104.243311,37.217165,80.883653,6.008261,3.739531,4.221786
0.010000,190.667106,103.529700,38.026606,80.944116,6.046293,3.803255,4.219917
0.010000,190.283431,102.816276,38.836656,81.004966,6.084954,3.866113,4.218009
0.010000,189.898091,102.103053,39.647318,81.066208,6.124235,3.928044,4.216062
0.010000,189.511055,101.390049,40.458597,81.127849,6.164125,3.988985,4.214076
0.010000,189.122293,100.677277,41.270496,81.189896,6.204613,4.048871,4.212051
0.010000,188.731774,99.964754,42.083019,81.252352,6.245690,4.107635,4.209986
0.010000,188.339466,99.252495,42.896171,81.315226,6.287342,4.165204,4.207881
0.010000,187.945340,98.540519,43.709957,81.378521,6.329557,4.221506,4.205736
0.010000,187.549362,97.828841,44.524379,81.442245,6.372321,4.276463,4.203550
0.010000,187.151503,97.117478,45.339443,81.506401,6.415621,4.329996,4.201324
0.010000,186.751730,96.406447,46.155153,81.570995,6.459442,4.382021,4.199056
0.010000,186.350011,95.695767,46.971513,81.636033,6.503766,4.432451,4.196748
0.010000,185.946314,94.985456,47.788529,81.701533,6.549964,4.619780,4.194397
0.010000,185.540605,94.275528,48.606206,81.767718,6.618544,6.857984,4.192005
0.010000,185.132854,93.566007,49.424547,81.834133,6.641546,2.300279,4.189571
0.010000,184.723027,92.856909,50.243557,81.901011,6.687740,4.619384,4.187094
0.010000,184.311091,92.148255,51.063241,81.968354,6.734341,4.660101,4.184575
0.010000,183.897014,91.440065,51.883603,82.036168,6.781327,4.698613,4.182012
0.010000,183.480761,90.732359,52.704647,82.104454,6.828676,4.734810,4.179406
0.010000,183.062300,90.025157,53.526379,82.173218,6.876361,4.768577,4.176756
0.010000,182.641597,89.318481,54.348804,82.242461,6.924359,4.799792,4.174063
0.010000,182.218619,88.612352,55.171926,82.312188,6.972643,4.828333,4.171325
0.010000,181.793330,87.906792,55.995750,82.382400,7.021183,4.854073,4.168542
0.010000,181.365697,87.201822,56.820281,82.453099,7.069952,4.876880,4.165715
0.010000,180.935686,86.497467,57.645524,82.524288,7.118918,4.896618,4.162842
0.010000,180.503259,85.793746,58.471487,82.596340,7.205192,8.627390,4.159924
0.010000,180.068385,85.090685,59.298174,82.668650,7.230995,2.580321,4.156960
0.010000,179.631028,84.388310,60.125587,82.741339,7.268862,3.786658,4.153949
0.010000,179.191154,83.686644,60.953732,82.814522,7.318257,4.939469,4.150893
0.010000,178.748727,82.985713,61.782614,82.888198,7.367668,4.941088,4.147789
0.010000,178.303713,82.285543,62.612238,82.962369,7.417055,4.938713,4.144638
0.010000,177.856076,81.586161,63.442608,83.037032,7.466376,4.932177,4.141440
0.010000,177.405780,80.887592,64.273730,83.112188,7.515590,4.921311,4.138194
0.010000,176.952789,80.189863,65.105611,83.188138,7.595005,7.941508,4.134900
0.010000,176.497066,79.493001,65.938258,83.264638,7.649924,5.491938,4.131557
0.010000,176.038579,78.797037,66.771671,83.341279,7.664103,1.417913,4.128166
0.010000,175.577290,78.102001,67.605855,83.418402,7.712337,4.823392,4.124726
0.010000,175.113164,77.407922,68.440815,83.496004,7.760211,4.787416,4.121236
0.010000,174.646166,76.714831,69.276555,83.574081,7.807671,4.745981,4.117697
0.010000,174.176259,76.022759,70.113082,83.652628,7.854660,4.698887,4.114108
0.010000,173.703404,75.331732,70.950405,83.732281,7.965310,11.064965,4.110468
0.010000,173.227568,74.641788,71.788524,83.811905,7.962485,-0.282434,4.106778
0.010000,172.748715,73.952960,72.627442,83.891842,7.993688,3.120319,4.103038
0.010000,172.266810,73.265281,73.467164,83.972223,8.038056,4.436801,4.099246
0.010000,171.781817,72.578788,74.307695,84.053039,8.081631,4.357440,4.095402
0.010000,171.293700,71.893514,75.149039,84.134393,8.135343,5.371206,4.091507
0.010000,170.802418,71.209489,75.991207,84.216821,8.242823,10.748031,4.087560
0.010000,170.307941,70.526757,76.834196,84.298899,8.207838,-3.498555,4.083561
0.010000,169.810233,69.845355,77.678009,84.381373,8.247349,3.951085,4.079509
0.010000,169.309260,69.165321,78.522652,84.464230,8.285688,3.833914,4.075405
0.010000,168.804984,68.486694,79.368127,84.547514,8.328467,4.277906,4.071248
0.010000,168.297367,67.809507,80.214447,84.631981,8.446632,11.816549,4.067037
0.010000,167.786379,67.133808,81.061606,84.715911,8.393063,-5.356955,4.062773
0.010000,167.271986,66.459637,81.909608,84.800168,8.425668,3.260488,4.058455
0.010000,166.754152,65.787038,82.758455,84.884735,8.456666,3.099896,4.054084
0.010000,166.232842,65.116049,83.608155,84.970027,8.529258,7.259101,4.049658
0.010000,165.708020,64.446714,84.458712,85.055699,8.567146,3.788815,4.045179
0.010000,165.179657,63.779081,85.310123,85.141082,8.538336,-2.880999,4.040645
0.010000,164.647721,63.113197,86.162390,85.226699,8.561707,2.337130,4.036056
