dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,179.126516,151.072167,0.001000,0.200000,20.000000,2000.000000,4.269673
0.010000,179.126524,151.072184,0.001019,0.001934,-19.806599,-3980.659855,4.269671
0.010000,179.126542,151.072224,0.001063,0.004356,0.242233,2004.883172,4.269669
0.010000,179.126576,151.072294,0.001141,0.007761,0.340473,9.823943,4.269664
0.010000,179.126628,151.072404,0.001262,0.012169,0.440777,10.030480,4.269656
0.010000,179.126703,151.072563,0.001438,0.017613,0.544464,10.368688,4.269645
0.010000,179.126807,151.072781,0.001680,0.024145,0.653179,10.871504,4.269630
0.010000,179.124396,151.067697,0.007307,0.562679,53.853354,5320.017464,4.269609
0.010000,179.089865,150.994877,0.087899,8.059288,749.660901,69580.754675,4.269583
0.010000,179.047235,150.904984,0.187388,9.948863,188.957517,-56070.338363,4.269551
0.010000,178.995653,150.796225,0.307760,12.037145,208.828193,1987.067627,4.269511
0.010000,178.934267,150.666810,0.450995,14.323546,228.640132,1981.193835,4.269463
0.010000,178.862226,150.514951,0.619076,16.808082,248.453557,1981.342545,4.269404
0.010000,178.778676,150.338862,0.813981,19.490475,268.239286,1978.572876,4.269335
0.010000,178.682766,150.136761,1.037684,22.370393,287.991847,1975.256140,4.269252
0.010000,178.574069,149.907769,1.291165,25.348051,297.765830,977.398248,4.269156
0.010000,178.452585,149.651908,1.574402,28.323723,297.567123,-19.870703,4.269044
0.010000,178.318312,149.369199,1.887378,31.297535,297.381224,-18.589924,4.268915
0.010000,178.171249,149.059672,2.230065,34.268748,297.121331,-25.989298,4.268769
0.010000,178.011393,148.723355,2.602440,37.237468,296.872006,-24.932460,4.268602
0.010000,177.838741,148.360281,3.004474,40.203427,296.595852,-27.615382,4.268414
0.010000,177.653286,147.970486,3.436137,43.166343,296.291593,-30.425893,4.268202
0.010000,177.455023,147.554011,3.897397,46.125921,295.957848,-33.374489,4.267964
0.010000,177.243942,147.110896,4.388218,49.082145,295.622356,-33.549278,4.267699
0.010000,177.020032,146.641191,4.908563,52.034460,295.231501,-39.085425,4.267403
0.010000,176.783279,146.144943,5.458394,54.983093,294.863298,-36.820301,4.267075
0.010000,176.534095,145.623101,6.036677,57.828317,284.522447,-1034.085121,4.266712
0.010000,176.273314,145.077508,6.641391,60.471388,264.307061,-2021.538587,4.266313
0.010000,176.001768,144.510004,7.270515,62.912475,244.108707,-2019.835428,4.265877
0.010000,175.720288,143.922425,7.922036,65.152085,223.961009,-2014.769834,4.265402
0.010000,175.429705,143.316613,8.593935,67.189876,203.779113,-2018.189536,4.264887
0.010000,175.130845,142.694397,9.284203,69.026798,183.692159,-2008.695391,4.264333
0.010000,174.824536,142.057611,9.990830,70.662679,163.588082,-2010.407773,4.263738
0.010000,174.511603,141.408077,10.711816,72.098613,143.593404,-1999.467727,4.263102
0.010000,174.192873,140.747622,11.445158,73.334182,123.556916,-2003.648870,4.262425
0.010000,173.869174,140.078060,12.188860,74.370264,103.608266,-1994.864909,4.261708
0.010000,173.541333,139.401204,12.940933,75.207302,83.703714,-1990.455247,4.260951
0.010000,173.210178,138.718860,13.699391,75.845757,63.845558,-1985.815638,4.260154
0.010000,172.876541,138.032824,14.462253,76.286170,44.041252,-1980.430516,4.259320
