dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,174.914210,168.337752,0.001000,0.200000,20.000000,2000.000000,2.013804
0.010000,174.914178,168.337820,0.001076,0.007558,-19.244217,-3924.421722,2.013799
0.010000,174.914105,168.337973,0.001246,0.016998,0.944043,2018.826038,2.013789
0.010000,174.913976,168.338246,0.001548,0.030196,1.319744,37.570079,2.013769
0.010000,174.913774,168.338672,0.002019,0.047121,1.692505,37.276073,2.013739
0.010000,174.913484,168.339284,0.002696,0.067725,2.060452,36.794716,2.013696
0.010000,174.913090,168.340115,0.003615,0.091938,2.421245,36.079268,2.013638
0.010000,174.908236,168.350351,0.014944,1.132855,104.091732,10167.048776,2.013562
0.010000,174.872891,168.424902,0.097450,8.250573,711.771799,60768.006689,2.013466
0.010000,174.829267,168.516940,0.199302,10.185258,193.468515,-51830.328402,2.013349
0.010000,174.776506,168.628294,0.322524,12.322132,213.687392,2021.887684,2.013208
0.010000,174.713744,168.760806,0.469147,14.662355,234.022311,2033.491944,2.013041
0.010000,174.640128,168.916309,0.641195,17.204826,254.247114,2022.480248,2.012848
0.010000,174.554806,169.096635,0.840688,19.949258,274.443186,2019.607229,2.012626
0.010000,174.456933,169.303615,1.069641,22.895323,294.606486,2016.329972,2.012375
0.010000,174.346103,169.538156,1.329050,25.940932,304.560879,995.439296,2.012095
0.010000,174.222350,169.800246,1.618888,28.983800,304.286794,-27.408535,2.011788
0.010000,174.085710,170.089868,1.939124,32.023590,303.979036,-30.775726,2.011455
0.010000,173.936223,170.407003,2.289725,35.060082,303.649160,-32.987647,2.011100
0.010000,173.773930,170.751632,2.670656,38.093082,303.299984,-34.917536,2.010723
0.010000,173.598875,171.123732,3.081877,41.122114,302.903287,-39.669720,2.010328
0.010000,173.411106,171.523280,3.523347,44.146985,302.487027,-41.626032,2.009917
0.010000,173.210668,171.950245,3.995019,47.167158,302.017376,-46.965106,2.009494
0.010000,172.997611,172.404598,4.496845,50.182657,301.549846,-46.752976,2.009060
0.010000,172.771984,172.886304,5.028775,53.192944,301.028695,-52.115085,2.008620
0.010000,172.533835,173.395329,5.590754,56.197940,300.499574,-52.912129,2.008177
0.010000,172.283643,173.930714,6.181714,59.095983,289.804306,-1069.526754,2.007735
0.010000,172.022307,174.490585,6.799574,61.786063,269.008051,-2079.625514,2.007300
0.010000,171.750722,175.073067,7.442260,64.268549,248.248574,-2075.947755,2.006875
