dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,203.373403,181.840505,0.001000,0.200000,20.000000,2000.000000,2.013804
0.010000,203.373435,181.840437,0.001076,0.007558,-19.244217,-3924.421722,2.013799
0.010000,203.373508,181.840283,0.001246,0.016998,0.944043,2018.826038,2.013789
0.010000,203.373638,181.840010,0.001548,0.030196,1.319744,37.570079,2.013769
0.010000,203.373840,181.839585,0.002019,0.047121,1.692505,37.276073,2.013739
0.010000,203.374130,181.838973,0.002696,0.067725,2.060452,36.794716,2.013696
0.010000,203.374524,181.838142,0.003615,0.091938,2.421245,36.079268,2.013638
0.010000,203.370696,181.846216,0.012551,0.893540,80.160212,7773.896738,2.013562
0.010000,203.336642,181.918043,0.092042,7.949076,705.553651,62539.343959,2.013466
0.010000,203.294604,182.006736,0.190193,9.815159,186.608222,-51894.542965,2.013349
0.010000,203.243746,182.114072,0.308968,11.877480,206.232120,1962.389840,2.013208
0.010000,203.183231,182.241842,0.450345,14.137668,226.018859,1978.673911,2.013041
0.010000,203.112223,182.391836,0.616297,16.595274,245.760541,1974.168215,2.012848
0.010000,203.029888,182.565848,0.808805,19.250739,265.546520,1978.597828,2.012626
0.010000,202.935396,182.765679,1.029851,22.104586,285.384699,1983.817899,2.012375
0.010000,202.828333,182.992248,1.280442,25.059132,295.454571,1006.987206,2.012095
0.010000,202.708710,183.245589,1.560605,28.016308,295.717639,26.306824,2.011788
0.010000,202.576539,183.525740,1.870369,30.976400,296.009165,29.152643,2.011455
0.010000,202.431828,183.832741,2.209767,33.939800,296.339996,33.083031,2.011100
0.010000,202.274589,184.166640,2.578836,36.906925,296.712552,37.255601,2.010723
0.010000,202.104831,184.527482,2.977615,39.877917,297.099151,38.659954,2.010328
0.010000,201.922564,184.915320,3.406147,42.853182,297.526516,42.736493,2.009917
0.010000,201.727797,185.330206,3.864475,45.832796,297.961460,43.494360,2.009494
0.010000,201.520536,185.772197,4.352649,48.817372,298.457549,49.608933,2.009060
0.010000,201.300788,186.241353,4.870719,51.806975,298.960320,50.277055,2.008620
0.010000,201.068555,186.737735,5.418740,54.802114,299.513887,55.356682,2.008177
0.010000,200.824255,187.260509,5.995780,57.704039,290.192526,-932.136033,2.007735
0.010000,200.568723,187.807947,6.599920,60.413937,270.989809,-1920.271693,2.007300
0.010000,200.302788,188.378312,7.229235,62.931547,251.761011,-1922.879789,2.006875
0.010000,200.027275,188.969862,7.881799,65.256380,232.483279,-1927.773254,2.006467
0.010000,199.743005,189.580850,8.555679,67.388020,213.163930,-1931.934915,2.006078
0.010000,199.450797,190.209520,9.248941,69.326174,193.815393,-1934.853718,2.005714
0.010000,199.151463,190.854110,9.959642,71.070163,174.398980,-1941.641285,2.005377
0.010000,198.845816,191.512849,10.685836,72.619366,154.920307,-1947.867280,2.005072
0.010000,198.534664,192.183960,11.425570,73.973440,135.407392,-1951.291518,2.004801
0.010000,198.218811,192.865659,12.176887,75.131613,115.817244,-1959.014806,2.004567
0.010000,197.899064,193.556152,12.937819,76.093264,96.165122,-1965.212211,2.004373
0.010000,197.576226,194.253638,13.706397,76.857746,76.448253,-1971.686892,2.004219
0.010000,197.251102,194.956310,14.480641,77.424392,56.664552,-1978.370055,2.004107
0.010000,196.924495,195.662352,15.258566,77.792518,36.812559,-1985.199311,2.004039
0.010000,196.597211,196.369942,16.038180,77.961431,16.891371,-1992.118793,2.004015
0.010000,196.269639,197.078161,16.818485,78.030521,6.908924,-998.244703,2.004034
0.010000,195.941748,197.786992,17.599481,78.099615,6.909469,0.054475,2.004097
0.010000,195.613507,198.496423,18.381169,78.168728,6.911255,0.178590,2.004204
0.010000,195.284883,199.206440,19.163547,78.237871,6.914282,0.302693,2.004355
0.010000,194.955846,199.917027,19.946618,78.307056,6.918549,0.426782,2.004550
