dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,297.422492,72.759903,0.007684,0.768380,38.419023,1920.951160,4.161810
0.020000,297.427823,72.768592,0.017878,0.509686,-12.934722,-2567.687274,4.162457
0.020000,297.420370,72.756398,0.032169,0.714584,10.244904,1158.981332,4.163749
0.020000,297.388200,72.703653,0.093950,3.089034,118.722501,5423.879823,4.165681
0.020000,297.345371,72.633075,0.176507,4.127837,51.940160,-3339.117059,4.168245
0.020000,297.291938,72.544446,0.279997,5.174496,52.332956,19.639830,4.171431
0.020000,297.227966,72.437497,0.404618,6.231079,52.829117,24.808014,4.175228
0.020000,297.153537,72.311900,0.550612,7.299699,53.430996,30.093953,4.179618
0.020000,297.068744,72.167275,0.718261,8.382469,54.138499,35.375145,4.184585
0.020000,296.973692,72.003184,0.907894,9.481627,54.957916,40.970895,4.190108
0.020000,296.868499,71.819137,1.119882,10.599402,55.888729,46.540607,4.196163
0.020000,296.753293,71.614587,1.354644,11.738103,56.935073,52.317246,4.202723
0.020000,296.628215,71.388933,1.612645,12.900058,58.097728,58.132711,4.209759
0.020000,296.493414,71.141519,1.894398,14.087621,59.378181,64.022662,4.217239
0.020000,296.349053,70.871641,2.200460,15.303139,60.775907,69.886299,4.225127
0.020000,296.195301,70.578541,2.531440,16.548989,62.292488,75.829032,4.233384
0.020000,296.032337,70.261413,2.887989,17.827462,63.923637,81.557477,4.241969
0.020000,295.860346,69.919408,3.270806,19.140813,65.667549,87.195591,4.250837
0.020000,295.679520,69.551633,3.680630,20.491225,67.520592,92.652162,4.259943
0.020000,295.490054,69.157159,4.118246,21.880783,69.477895,97.865131,4.269235
0.020000,295.292144,68.735020,4.584475,23.311458,71.533782,102.794336,4.278662
0.020000,295.085983,68.284225,5.080175,24.784993,73.676744,107.148116,4.288169
0.020000,294.871760,67.803756,5.606238,26.303148,75.907724,111.549015,4.297700
0.020000,294.649651,67.292576,6.163586,27.867413,78.213296,115.278607,4.307195
0.020000,294.419819,66.749636,6.753168,29.479073,80.582952,118.482807,4.316596
0.020000,294.182401,66.173877,7.375957,31.139447,83.018719,121.788325,4.325840
0.020000,293.937504,65.564237,8.032947,32.849502,85.502742,124.201179,4.334864
0.020000,293.685198,64.919653,8.725151,34.610206,88.035223,126.624014,4.343603
0.020000,293.425502,64.239067,9.453601,36.422499,90.614625,128.970110,4.351992
0.020000,293.158376,63.521428,10.219343,38.287124,93.231280,130.832741,4.359966
0.020000,292.883706,62.765696,11.023442,40.204918,95.889663,132.919180,4.367455
0.020000,292.601294,61.970842,11.866976,42.176731,98.590689,135.051263,4.374392
0.020000,292.310838,61.135846,12.751048,44.203587,101.342775,137.604302,4.380706
0.020000,292.011921,60.259702,13.676779,46.286567,104.149018,140.312163,4.386327
0.020000,291.703989,59.341416,14.645320,48.427044,107.023861,143.742142,4.391181
0.020000,291.386332,58.380001,15.657854,50.626683,109.981930,147.903455,4.395194
0.020000,291.058064,57.374480,16.715604,52.887489,113.040309,152.918975,4.398287
0.020000,290.718094,56.323879,17.819841,55.211887,116.219892,158.979135,4.400380
0.020000,290.365106,55.227233,18.971897,57.602810,119.546140,166.312378,4.401389
0.020000,289.997524,54.083580,20.173171,60.063695,123.044273,174.906666,4.401224
0.020000,289.613482,52.891965,21.425143,62.598587,126.744593,185.016026,4.399791
0.020000,289.210784,51.651448,22.729385,65.212106,130.675950,196.567822,4.396991
0.020000,288.786868,50.361109,24.087575,67.909506,134.869991,209.702065,4.392717
0.020000,288.338759,49.020064,25.501507,70.696592,139.354326,224.216751,4.386856
0.020000,287.863019,47.627492,26.973100,73.579624,144.151573,239.862352,4.379285
0.020000,287.355696,46.182666,28.504406,76.565318,149.284710,256.656833,4.369873
0.020000,286.815295,44.693201,30.088875,79.223430,132.905616,-818.954688,4.358550
0.020000,286.245903,43.181753,31.704016,80.757074,76.682172,-2811.172223,4.345408
0.020000,285.653098,41.672344,33.325661,81.082237,16.258139,-3021.201648,4.330648
0.020000,285.039217,40.177739,34.941426,80.788240,-14.699839,-1547.898897,4.314439
0.020000,284.404054,38.702673,36.547430,80.300226,-24.400713,-485.043702,4.296898
0.020000,283.746894,37.249748,38.142062,79.731605,-28.431033,-201.516001,4.278127
0.020000,283.067381,35.821614,39.723613,79.077553,-32.702586,-213.577655,4.258235
0.020000,282.365548,34.420955,41.290271,78.332881,-37.233589,-226.550127,4.237337
0.020000,281.641826,33.050460,42.840119,77.492389,-42.024610,-239.551060,4.215555
0.020000,280.897060,31.712789,44.371145,76.551327,-47.053096,-251.424319,4.193017
0.020000,280.132502,30.410524,45.881259,75.505677,-52.282501,-261.470240,4.169854
0.020000,279.349805,29.146125,47.368309,74.352520,-57.657865,-268.768191,4.146205
0.020000,278.550996,27.921879,48.830114,73.090240,-63.114012,-272.807362,4.122207
0.020000,277.738441,26.739848,50.264493,71.718968,-68.563573,-272.478058,4.097998
0.020000,276.914800,25.601825,51.669300,70.240336,-73.931590,-268.400817,4.073716
0.020000,276.082971,24.509302,53.042452,68.657572,-79.138232,-260.332119,4.049493
0.020000,275.246031,23.463436,54.381968,66.975809,-84.088121,-247.494432,4.025453
0.020000,274.407173,22.465036,55.685994,65.201335,-88.723743,-231.781120,4.001716
0.020000,273.569639,21.514562,56.952827,63.341612,-92.986138,-213.119739,3.978389
0.020000,272.736663,20.612127,58.180930,61.405166,-96.822307,-191.808448,3.955569
0.020000,271.911418,19.757522,59.368945,59.400759,-100.220310,-169.900172,3.933344
0.020000,271.096965,18.950235,60.515699,57.337706,-103.152693,-146.619150,3.911786
