dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,284.000000,81.000000,0.007684,0.768380,38.419023,1920.951160,4.161810
0.020000,284.000000,81.000000,0.038419,2.305141,76.838046,1920.951160,4.162457
0.020000,283.981924,80.970451,0.099889,3.841902,76.838046,0.000000,4.163749
0.020000,283.933912,80.891731,0.192095,5.378663,76.838046,0.000000,4.165681
0.020000,283.870133,80.786628,0.315036,6.915424,76.838046,-0.000000,4.168245
0.020000,283.790787,80.655021,0.468712,8.452185,76.838046,-0.000000,4.171431
0.020000,283.696123,80.496761,0.653123,9.988946,76.838046,0.000000,4.175228
0.020000,283.586440,80.311673,0.868270,11.525707,76.838046,0.000000,4.179618
0.020000,283.462079,80.099560,1.114152,13.062468,76.838046,-0.000000,4.184585
0.020000,283.323426,79.860202,1.390769,14.599229,76.838046,0.000000,4.190108
0.020000,283.170910,79.593361,1.698121,16.135990,76.838046,-0.000000,4.196163
0.020000,283.004998,79.298784,2.036208,17.672751,76.838046,0.000000,4.202723
0.020000,282.826192,78.976204,2.405031,19.209512,76.838046,-0.000000,4.209759
0.020000,282.635028,78.625345,2.804589,20.746273,76.838046,0.000000,4.217239
0.020000,282.432070,78.245926,3.234882,22.283033,76.838046,-0.000000,4.225127
0.020000,282.217904,77.837663,3.695910,23.819794,76.838046,0.000000,4.233384
0.020000,281.993136,77.400274,4.187674,25.356555,76.838046,-0.000000,4.241969
0.020000,281.758386,76.933481,4.710172,26.893316,76.838046,0.000000,4.250837
0.020000,281.514281,76.437015,5.263406,28.430077,76.838046,-0.000000,4.259943
0.020000,281.261447,75.910620,5.847375,29.966838,76.838046,0.000000,4.269235
0.020000,281.000505,75.354051,6.462080,31.503599,76.838046,-0.000000,4.278662
0.020000,280.732063,74.767086,7.107519,33.040360,76.838046,0.000000,4.288169
0.020000,280.456706,74.149521,7.783694,34.577121,76.838046,-0.000000,4.297700
0.020000,280.174990,73.501173,8.490604,36.113882,76.838046,0.000000,4.307195
0.020000,279.887433,72.821889,9.228249,37.650643,76.838046,0.000000,4.316596
0.020000,279.594505,72.111538,9.996630,39.187404,76.838046,-0.000000,4.325840
0.020000,279.296624,71.370021,10.795746,40.724165,76.838046,0.000000,4.334864
0.020000,278.994139,70.597266,11.625596,42.260926,76.838046,0.000000,4.343603
0.020000,278.687329,69.793231,12.486183,43.797686,76.838046,0.000000,4.351992
0.020000,278.376387,68.957908,13.377504,45.334447,76.838046,-0.000000,4.359966
0.020000,278.061417,68.091318,14.299560,46.871208,76.838046,0.000000,4.367455
0.020000,277.742418,67.193516,15.252352,48.407969,76.838046,0.000000,4.374392
0.020000,277.419280,66.264590,16.235879,49.944730,76.838046,-0.000000,4.380706
