dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,270.577508,89.240097,0.007684,0.768380,38.419023,1920.951160,4.161810
0.020000,270.572177,89.231408,0.017878,0.509686,-12.934722,-2567.687274,4.162457
0.020000,270.543478,89.184504,0.072866,2.749404,111.985920,6246.032088,4.163749
0.020000,270.479624,89.079810,0.195496,6.131498,169.104665,2855.937271,4.165681
0.020000,270.394894,88.940182,0.358821,8.166256,101.737919,-3368.337312,4.168245
0.020000,270.289635,88.765596,0.562683,10.193102,101.342311,-19.780377,4.171431
0.020000,270.164281,88.556024,0.806883,12.210022,100.845979,-24.816599,4.175228
0.020000,270.019342,88.311446,1.091182,14.214950,100.246393,-29.979307,4.179618
0.020000,269.855413,88.031845,1.415295,16.205664,99.535728,-35.533265,4.184585
0.020000,269.673160,87.717220,1.778896,18.180034,98.718475,-40.862656,4.190108
0.020000,269.473321,87.367585,2.181611,20.135759,97.786240,-46.611733,4.196163
0.020000,269.256703,86.982981,2.623023,22.070569,96.740510,-52.286510,4.202723
0.020000,269.024170,86.563475,3.102665,23.982122,95.577676,-58.141668,4.209759
0.020000,268.776642,86.109170,3.620027,25.868070,94.297372,-64.015241,4.217239
0.020000,268.515086,85.620210,4.174547,27.726026,92.897798,-69.978668,4.225127
0.020000,268.240506,85.096785,4.765621,29.553698,91.383638,-75.708006,4.233384
0.020000,267.953935,84.539134,5.392596,31.348736,89.751857,-81.589033,4.241969
0.020000,267.656426,83.947554,6.054773,33.108878,88.007132,-87.236282,4.250837
0.020000,267.349041,83.322397,6.751412,34.831957,86.153947,-92.659257,4.259943
0.020000,267.032840,82.664080,7.481731,36.515909,84.197589,-97.817886,4.269235
0.020000,266.708867,81.973082,8.244907,38.158802,82.144629,-102.647992,4.278662
0.020000,266.378143,81.249947,9.040080,39.758691,79.994478,-107.507572,4.288169
0.020000,266.041653,80.495285,9.866362,41.314059,77.768416,-111.303099,4.297700
0.020000,265.700329,79.709770,10.722829,42.823361,75.465064,-115.167580,4.307195
0.020000,265.355047,78.894142,11.608532,44.285132,73.088571,-118.824658,4.316596
0.020000,265.006610,78.049199,12.522499,45.698352,70.661007,-121.378204,4.325840
0.020000,264.655744,77.175805,13.463735,47.061804,68.172580,-124.421365,4.334864
0.020000,264.303080,76.274879,14.431226,48.374565,65.638079,-126.725050,4.343603
0.020000,263.949155,75.347395,15.423943,49.635869,63.065198,-128.644019,4.351992
0.020000,263.594399,74.394387,16.440839,50.844791,60.446071,-130.956361,4.359966
0.020000,263.239128,73.416939,17.480850,52.000538,57.787344,-132.936332,4.367455
