dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,277.587741,242.545376,0.007768,0.776764,38.838219,1941.910950,2.331156
0.020000,277.582255,242.551147,0.015730,0.398111,-18.932682,-2888.545027,2.330651
0.020000,277.542773,242.592752,0.073087,2.867840,123.486474,7120.957786,2.329642
0.020000,277.462344,242.677698,0.190069,5.849101,149.063049,1278.828759,2.328132
0.020000,277.355396,242.791051,0.345910,7.792064,97.148133,-2595.745818,2.326129
0.020000,277.222180,242.932882,0.540493,9.729167,96.855135,-14.649924,2.323638
0.020000,277.063004,243.103281,0.773673,11.658995,96.491403,-18.186573,2.320669
0.020000,276.878240,243.302349,1.045272,13.579923,96.046424,-22.248951,2.317234
0.020000,276.668315,243.530191,1.355079,15.490374,95.522520,-26.195199,2.313346
0.020000,276.433715,243.786923,1.702855,17.388814,94.922048,-30.023605,2.309019
0.020000,276.174983,244.072658,2.088325,19.273485,94.233517,-34.426563,2.304272
0.020000,275.892711,244.387507,2.511181,21.142798,93.465646,-38.393527,2.299124
0.020000,275.587543,244.731570,2.971080,22.994946,92.607394,-42.912615,2.293597
0.020000,275.260171,245.104939,3.467645,24.828250,91.665200,-47.109715,2.287715
0.020000,274.911328,245.507683,4.000462,26.640867,90.630863,-51.716810,2.281503
0.020000,274.541787,245.939851,4.569084,28.431066,89.509964,-56.044947,2.274991
0.020000,274.152352,246.401462,5.173024,30.197010,88.297171,-60.639646,2.268210
0.020000,273.743857,246.892501,5.811762,31.936920,86.995540,-65.081583,2.261191
0.020000,273.317159,247.412915,6.484743,33.649030,85.605464,-69.503780,2.253971
0.020000,272.873127,247.962610,7.191375,35.331586,84.127813,-73.882543,2.246588
0.020000,272.412641,248.541442,7.931032,36.982892,82.565310,-78.125175,2.239080
0.020000,271.936579,249.149215,8.703058,38.601281,80.919422,-82.294408,2.231490
0.020000,271.445814,249.785681,9.506761,40.185159,79.193919,-86.275121,2.223861
0.020000,270.941202,250.450530,10.341422,41.733020,77.393058,-90.043078,2.216239
0.020000,270.423576,251.143394,11.206289,43.243396,75.518796,-93.713110,2.208673
0.020000,269.893737,251.863837,12.100587,44.714886,73.574522,-97.213662,2.201210
0.020000,269.352445,252.611361,13.023511,46.146209,71.566149,-100.418657,2.193903
0.020000,268.800413,253.385399,13.974234,47.536120,69.495503,-103.532315,2.186803
0.020000,268.238299,254.185313,14.951902,48.883406,67.364350,-106.557646,2.179965
0.020000,267.666695,255.010396,15.955641,50.186961,65.177737,-109.330640,2.173445
0.020000,267.086127,255.859867,16.984554,51.445640,62.933918,-112.190972,2.167299
0.020000,266.497042,256.732872,18.037720,52.658323,60.634187,-114.986526,2.161586
0.020000,265.899808,257.628482,19.114198,53.823893,58.278477,-117.785498,2.156366
0.020000,265.294707,258.545686,20.213021,54.941119,55.861324,-120.857655,2.151700
0.020000,264.681932,259.483396,21.333196,56.008776,53.382830,-123.924714,2.147650
0.020000,264.061583,260.440436,22.473705,57.025426,50.832477,-127.517647,2.144283
0.020000,263.433665,261.415545,23.633496,57.989584,48.207924,-131.227633,2.141664
0.020000,262.798090,262.407364,24.811487,58.899513,45.496447,-135.573851,2.139862
0.020000,262.154673,263.414438,26.006553,59.753327,42.690726,-140.286056,2.138948
0.020000,261.503135,264.435206,27.217531,60.548893,39.778294,-145.621610,2.138998
0.020000,260.843107,265.467992,28.443208,61.283858,36.748224,-151.503481,2.140086
0.020000,260.174130,266.511002,29.682321,61.955643,33.589270,-157.947733,2.142295
0.020000,259.495662,267.562313,30.933550,62.561439,30.289805,-164.973242,2.145706
0.020000,258.811070,268.613773,32.188235,62.734246,8.640312,-1082.474644,2.150378
0.020000,258.128412,269.650228,33.429307,62.053633,-34.030607,-2133.545970,2.156295
0.020000,257.455530,270.657527,34.640679,60.568586,-74.252363,-2011.087763,2.163379
0.020000,256.798384,271.625241,35.810428,58.487422,-104.058216,-1490.292675,2.171513
0.020000,256.159060,272.549490,36.934247,56.190993,-114.821421,-538.160223,2.180591
0.020000,255.536756,273.431086,38.013356,53.955414,-111.778967,152.122700,2.190534
0.020000,254.930820,274.270923,39.048964,51.780418,-108.749827,151.456982,2.201267
0.020000,254.340728,275.069969,40.042283,49.665926,-105.724600,151.261364,2.212713
0.020000,253.766067,275.829260,40.994521,47.611942,-102.699173,151.271361,2.224793
0.020000,253.206514,276.549897,41.906891,45.618468,-99.673690,151.274132,2.237433
0.020000,252.661824,277.233037,42.780599,43.685431,-96.651863,151.091329,2.250554
0.020000,252.131817,277.879884,43.616852,41.812608,-93.641138,150.536280,2.264080
0.020000,251.616365,278.491681,44.416843,39.999565,-90.652178,149.447981,2.277937
0.020000,251.115382,279.069699,45.181755,38.245590,-87.698716,147.673095,2.292047
0.020000,250.628814,279.615230,45.912749,36.549701,-84.794447,145.213464,2.306339
0.020000,250.156638,280.129573,46.610960,34.910562,-81.956948,141.874959,2.320739
0.020000,249.698851,280.614025,47.277490,33.326498,-79.203221,137.686357,2.335178
0.020000,249.255471,281.069872,47.913401,31.795535,-76.548160,132.753023,2.349589
0.020000,248.826530,281.498379,48.519708,30.315389,-74.007283,127.043849,2.363906
0.020000,248.412074,281.900784,49.097379,28.883515,-71.593704,120.678952,2.378069
0.020000,248.012167,282.278287,49.647319,27.497010,-69.325232,113.423612,2.392020
0.020000,247.626880,282.632046,50.170379,26.153016,-67.199703,106.276457,2.405704
0.020000,247.256298,282.963175,50.667347,24.848404,-65.230631,98.453582,2.419073
0.020000,246.900520,283.272734,51.138945,23.579879,-63.426236,90.219741,2.432079
0.020000,246.559654,283.561731,51.585833,22.344406,-61.773633,82.630183,2.444682
0.020000,246.233820,283.831119,52.008607,21.138684,-60.286103,74.376485,2.456844
0.020000,245.923149,284.081793,52.407798,19.959581,-58.955173,66.546518,2.468529
0.020000,245.627779,284.314595,52.783884,18.804303,-57.763908,59.563234,2.479709
0.020000,245.347857,284.530310,53.137281,17.669822,-56.724046,51.993090,2.490357
0.020000,245.083536,284.729666,53.468352,16.553559,-55.813142,45.545191,2.500450
0.020000,244.834975,284.913340,53.777413,15.453054,-55.025232,39.395500,2.509968
0.020000,244.602335,285.081955,54.064733,14.365988,-54.353304,33.596419,2.518893
0.020000,244.385775,285.236084,54.330541,13.290390,-53.779911,28.669649,2.527211
0.020000,244.185456,285.376250,54.575029,12.224393,-53.299831,24.003976,2.534910
0.020000,244.001536,285.502930,54.798354,11.166294,-52.904990,19.742083,2.541980
0.020000,243.834162,285.616553,55.000652,10.114869,-52.571215,16.688731,2.548413
0.020000,243.683479,285.717507,55.182027,9.068772,-52.304857,13.317893,2.554201
0.020000,243.549622,285.806131,55.342564,8.026824,-52.097394,10.373140,2.559340
0.020000,243.432712,285.882729,55.482332,6.988410,-51.920727,8.833390,2.563824
0.020000,243.332861,285.947559,55.601383,5.952553,-51.792821,6.395287,2.567651
0.020000,243.250167,286.000838,55.699755,4.918593,-51.697997,4.741188,2.570818
0.020000,243.184707,286.042752,55.777483,3.886397,-51.609835,4.408119,2.573324
0.020000,243.136551,286.073438,55.834585,2.855125,-51.563571,2.313200,2.575166
0.020000,243.105746,286.093003,55.871079,1.824669,-51.522791,2.038980,2.576344
0.020000,243.091328,286.102143,55.888149,0.853522,-48.557384,148.270338,2.576895
0.020000,243.087971,286.104269,55.892123,0.198694,-32.741367,790.800890,2.577023
0.020000,243.087971,286.104269,55.892123,0.000000,-9.934722,1140.332225,2.577023
