dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,300.412259,264.254624,0.007768,0.776764,38.838219,1941.910950,2.331156
0.020000,300.417745,264.248853,0.015730,0.398111,-18.932682,-2888.545027,2.330651
0.020000,300.400148,264.267401,0.041296,1.278327,44.010789,3147.173518,2.329642
0.020000,300.352405,264.317825,0.110738,3.472065,109.686904,3283.805742,2.328132
0.020000,300.288773,264.385268,0.203461,4.636169,58.205204,-2574.084998,2.326129
0.020000,300.209273,264.469909,0.319583,5.806076,58.495374,14.508494,2.323638
0.020000,300.113933,264.571973,0.459250,6.983351,58.863749,18.418770,2.320669
0.020000,300.002781,264.691729,0.622639,8.169483,59.306607,22.142902,2.317234
0.020000,299.875853,264.829491,0.809960,9.366046,59.828153,26.077323,2.313346
0.020000,299.733186,264.985619,1.021454,10.574703,60.432855,30.235059,2.309019
0.020000,299.574819,265.160513,1.257395,11.797040,61.116825,34.198496,2.304272
0.020000,299.400796,265.354622,1.518091,13.034807,61.888354,38.576486,2.299124
0.020000,299.211157,265.568433,1.803885,14.289676,62.743453,42.754939,2.293597
0.020000,299.005947,265.802478,2.115154,15.563446,63.688473,47.251002,2.287715
0.020000,298.785207,266.057329,2.452311,16.857849,64.720188,51.585731,2.281503
0.020000,298.548977,266.333596,2.815805,18.174715,65.843302,56.155699,2.274991
0.020000,298.297294,266.631928,3.206121,19.515813,67.054890,60.579433,2.268210
0.020000,298.030189,266.953011,3.623780,20.882942,68.356446,65.077798,2.261191
0.020000,297.747690,267.297562,4.069338,22.277879,69.746861,69.520729,2.253971
0.020000,297.449812,267.666330,4.543385,23.702366,71.224345,73.874201,2.246588
0.020000,297.136563,268.060091,5.046547,25.158114,72.787380,78.151741,2.239080
0.020000,296.807938,268.479645,5.579483,26.646768,74.432708,82.266392,2.231490
0.020000,296.463915,268.925813,6.142881,28.169925,76.157835,86.256349,2.223861
0.020000,296.104452,269.399432,6.737464,29.729125,77.960032,90.109848,2.216239
0.020000,295.729485,269.901351,7.363980,31.325816,79.834545,93.725666,2.208673
0.020000,295.338923,270.432427,8.023207,32.961365,81.777419,97.143720,2.201210
0.020000,294.932638,270.993519,8.715949,34.637099,83.786741,100.466078,2.193903
0.020000,294.510467,271.585485,9.443034,36.354262,85.858142,103.570058,2.186803
0.020000,294.072198,272.209177,10.205315,38.114021,87.987966,106.491187,2.179965
0.020000,293.617564,272.865434,11.003666,39.917549,90.176351,109.419272,2.173445
0.020000,293.146239,273.555079,11.838985,41.765944,92.419795,112.172179,2.167299
