dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,60.180922,146.696312,0.007695,0.769548,38.477414,1923.870710,6.282795
0.020000,60.182224,146.696311,0.008997,0.065076,-35.223627,-3685.052048,6.282878
0.020000,60.184825,146.696311,0.011598,0.130073,3.249871,1923.674868,6.283043
0.020000,60.228006,146.696313,0.054779,2.159032,101.447938,4909.903350,0.000105
0.020000,60.356324,146.696347,0.183097,6.415896,212.843200,5569.763125,0.000435
0.020000,60.516710,146.696450,0.343483,8.019308,80.170601,-6633.629973,0.000846
0.020000,60.709156,146.696660,0.535930,9.622332,80.151188,-0.970657,0.001338
0.020000,60.933653,146.697025,0.760427,11.224864,80.126637,-1.227544,0.001911
0.020000,61.190190,146.697599,1.016964,12.826863,80.099919,-1.335862,0.002564
0.020000,61.478753,146.698445,1.305529,14.428233,80.068492,-1.571371,0.003296
0.020000,61.799330,146.699631,1.626108,16.028925,80.034621,-1.693529,0.004106
0.020000,62.151903,146.701236,1.978684,17.628836,79.995560,-1.953062,0.004993
0.020000,62.536454,146.703341,2.363242,19.227864,79.951395,-2.208248,0.005957
0.020000,62.952965,146.706039,2.779761,20.825973,79.905429,-2.298286,0.006995
0.020000,63.401413,146.709425,3.228222,22.423047,79.853700,-2.586486,0.008107
0.020000,63.881776,146.713605,3.708603,24.019042,79.799757,-2.697144,0.009292
0.020000,64.394028,146.718686,4.220880,25.613855,79.740638,-2.955954,0.010547
0.020000,64.938141,146.724786,4.765028,27.207384,79.676469,-3.208417,0.011871
0.020000,65.514088,146.732024,5.341020,28.799602,79.610888,-3.279080,0.013262
0.020000,66.121836,146.740528,5.948827,30.390367,79.538245,-3.632139,0.014719
0.020000,66.761352,146.750429,6.588420,31.979641,79.463714,-3.726568,0.016240
0.020000,67.432601,146.761864,7.259766,33.567322,79.384061,-3.982622,0.017823
0.020000,68.135545,146.774972,7.962832,35.153311,79.299450,-4.230582,0.019465
0.020000,68.870145,146.789898,8.697584,36.737585,79.213707,-4.287139,0.021165
0.020000,69.636358,146.806791,9.463984,38.319979,79.119698,-4.700464,0.022919
0.020000,70.434141,146.825801,10.261993,39.900462,79.024114,-4.779157,0.024726
0.020000,71.263447,146.847083,11.091572,41.478932,78.923523,-5.029581,0.026583
0.020000,72.124226,146.870792,11.952678,43.055305,78.818657,-5.243305,0.028488
0.020000,73.016429,146.897088,12.845268,44.629515,78.710503,-5.407684,0.030437
0.020000,73.940002,146.926129,13.769297,46.201448,78.596644,-5.692961,0.032427
0.020000,74.894888,146.958077,14.724718,47.771032,78.479190,-5.872679,0.034457
0.020000,75.881030,146.993091,15.711481,49.338181,78.357453,-6.086849,0.036522
0.020000,76.898368,147.031334,16.729538,50.902824,78.232152,-6.265048,0.038619
0.020000,77.946839,147.072965,17.778835,52.464847,78.101128,-6.551194,0.040746
0.020000,79.026378,147.118143,18.859319,54.024200,77.967659,-6.673469,0.042898
0.020000,80.136918,147.167025,19.970934,55.580767,77.828382,-6.963836,0.045072
0.020000,81.278390,147.219767,21.113624,57.134484,77.685814,-7.128423,0.047265
0.020000,82.450722,147.276521,22.287329,58.685263,77.538951,-7.343139,0.049473
0.020000,83.653841,147.337435,23.491989,60.233011,77.387412,-7.576970,0.051692
0.020000,84.887672,147.402653,24.727542,61.777657,77.232301,-7.755536,0.053918
0.020000,86.152137,147.472316,25.993925,63.319116,77.072933,-7.968410,0.056147
0.020000,87.447157,147.546557,27.291071,64.857301,76.909284,-8.182449,0.058375
0.020000,88.772650,147.625505,28.618913,66.392132,76.741536,-8.387376,0.060597
0.020000,90.128535,147.709281,29.977384,67.923531,76.569961,-8.578747,0.062810
0.020000,91.514727,147.797999,31.366412,69.451414,76.394139,-8.791113,0.065008
0.020000,92.931141,147.891766,32.785926,70.975702,76.214420,-8.985972,0.067188
0.020000,94.377690,147.990678,34.235852,72.496316,76.030701,-9.185918,0.069344
0.020000,95.854285,148.094822,35.716116,74.013177,75.843019,-9.384140,0.071471
0.020000,97.360838,148.204277,37.226640,75.526205,75.651405,-9.580659,0.073566
0.020000,98.897259,148.319109,38.767347,77.035322,75.455845,-9.778019,0.075623
0.020000,100.463458,148.439373,40.338156,78.540453,75.256537,-9.965412,0.077636
0.020000,102.059343,148.565110,41.938986,80.041518,75.053256,-10.164047,0.079601
