dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,62.287180,178.196309,0.007706,0.770585,38.529251,1926.462570,0.000446
0.020000,62.288756,178.196310,0.009282,0.078821,-34.588214,-3655.873271,0.000346
0.020000,62.291907,178.196310,0.012433,0.157545,3.936210,1926.221213,0.000146
0.020000,62.344167,178.196307,0.064693,2.612989,122.772217,5941.800340,6.283031
0.020000,62.473747,178.196261,0.194273,6.478995,193.300305,3526.404399,6.282632
0.020000,62.635708,178.196131,0.356234,8.098051,80.952801,-5617.375208,6.282134
0.020000,62.830040,178.195869,0.550566,9.716621,80.928496,-1.215239,6.281538
0.020000,63.056731,178.195416,0.777258,11.334573,80.897593,-1.545173,6.280844
0.020000,63.315769,178.194708,1.036297,12.951964,80.869528,-1.403232,6.280053
0.020000,63.607137,178.193666,1.327667,14.568504,80.827013,-2.125774,6.279167
0.020000,63.930818,178.192206,1.651351,16.184199,80.784753,-2.112970,6.278186
0.020000,64.286791,178.190235,2.007330,17.798935,80.736807,-2.397308,6.277112
0.020000,64.675036,178.187651,2.395583,19.412661,80.686296,-2.525539,6.275945
0.020000,65.095526,178.184342,2.816087,21.025174,80.625656,-3.032029,6.274688
0.020000,65.548236,178.180190,3.268816,22.636451,80.563852,-3.090185,6.273342
0.020000,66.033137,178.175069,3.753743,24.246376,80.496237,-3.380744,6.271909
0.020000,66.550196,178.168844,4.270839,25.854816,80.422022,-3.710733,6.270390
0.020000,67.099380,178.161376,4.820075,27.461768,80.347574,-3.722398,6.268787
0.020000,67.680653,178.152516,5.401415,29.066989,80.261063,-4.325567,6.267104
0.020000,68.293974,178.142111,6.014824,30.670470,80.174039,-4.351180,6.265341
0.020000,68.939302,178.129999,6.660265,32.272077,80.080329,-4.685534,6.263501
0.020000,69.616592,178.116016,7.337700,33.871709,79.981629,-4.935004,6.261587
0.020000,70.325796,178.099991,8.047085,35.469275,79.878272,-5.167831,6.259602
0.020000,71.066865,178.081748,8.788378,37.064652,79.768874,-5.469920,6.257548
0.020000,71.839743,178.061107,9.561533,38.657723,79.653536,-5.766898,6.255427
0.020000,72.644377,178.037886,10.366501,40.248410,79.534378,-5.957897,6.253244
0.020000,73.480705,178.011897,11.203233,41.836593,79.409111,-6.263334,6.251002
0.020000,74.348665,177.982952,12.071676,43.422152,79.277966,-6.557262,6.248702
0.020000,75.248193,177.950860,12.971776,45.004991,79.141934,-6.801596,6.246350
0.020000,76.179219,177.915428,13.903476,46.585003,79.000622,-7.065615,6.243949
0.020000,77.141672,177.876463,14.866717,48.162065,78.853125,-7.374827,6.241502
0.020000,78.135478,177.833772,15.861439,49.736115,78.702499,-7.531284,6.239013
0.020000,79.160558,177.787162,16.887579,51.306977,78.543093,-7.970340,6.236487
0.020000,80.216833,177.736441,17.945071,52.874589,78.380607,-8.124279,6.233927
0.020000,81.304218,177.681419,19.033847,54.438830,78.212044,-8.428162,6.231338
0.020000,82.422628,177.621909,20.153839,55.999591,78.038043,-8.700052,6.228723
0.020000,83.571973,177.557728,21.304975,57.556779,77.859400,-8.932114,6.226089
0.020000,84.752161,177.488695,22.487180,59.110269,77.674475,-9.246277,6.223439
0.020000,85.963098,177.414637,23.700379,60.659962,77.484666,-9.490426,6.220778
0.020000,87.204686,177.335383,24.944494,62.205756,77.289697,-9.748443,6.218111
0.020000,88.476826,177.250771,26.219445,63.747552,77.089792,-9.995273,6.215443
0.020000,89.779417,177.160645,27.525150,65.285232,76.884001,-10.289561,6.212780
0.020000,91.112354,177.064859,28.861524,66.818706,76.673685,-10.515811,6.210127
0.020000,92.475531,176.963272,30.228481,68.347868,76.458129,-10.777763,6.207488
0.020000,93.868841,176.855758,31.625934,69.872618,76.237509,-11.031004,6.204871
0.020000,95.292175,176.742197,33.053791,71.392858,76.011967,-11.277093,6.202280
0.020000,96.745423,176.622482,34.511961,72.908487,75.781490,-11.523888,6.199722
0.020000,98.228471,176.496521,36.000349,74.419409,75.546083,-11.770339,6.197202
