dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,62.294202,162.446311,0.007706,0.770585,38.529251,1926.462570,0.000446
0.020000,62.294202,162.446311,0.038529,2.311755,77.058503,1926.462570,0.000346
0.020000,62.294202,162.446311,0.100176,3.852925,77.058503,-0.000000,0.000146
0.020000,62.341740,162.446307,0.192646,5.394095,77.058503,0.000000,6.283031
0.020000,62.465034,162.446263,0.315940,6.935265,77.058503,0.000000,6.282632
0.020000,62.619151,162.446140,0.470057,8.476435,77.058503,-0.000000,6.282134
0.020000,62.804091,162.445890,0.654997,10.017605,77.058503,0.000000,6.281538
0.020000,63.019854,162.445460,0.870761,11.558775,77.058503,0.000000,6.280844
0.020000,63.266441,162.444785,1.117348,13.099945,77.058503,-0.000000,6.280053
0.020000,63.543849,162.443793,1.394759,14.641116,77.058503,0.000000,6.279167
0.020000,63.852080,162.442403,1.702993,16.182286,77.058503,0.000000,6.278186
0.020000,64.191132,162.440526,2.042050,17.723456,77.058503,0.000000,6.277112
0.020000,64.561005,162.438063,2.411931,19.264626,77.058503,0.000000,6.275945
0.020000,64.961697,162.434910,2.812635,20.805796,77.058503,-0.000000,6.274688
0.020000,65.393206,162.430953,3.244163,22.346966,77.058503,0.000000,6.273342
0.020000,65.855531,162.426070,3.706514,23.888136,77.058503,-0.000000,6.271909
0.020000,66.348670,162.420134,4.199688,25.429306,77.058503,0.000000,6.270390
0.020000,66.872619,162.413009,4.723686,26.970476,77.058503,-0.000000,6.268787
0.020000,67.427376,162.404553,5.278507,28.511646,77.058503,0.000000,6.267104
0.020000,68.012936,162.394618,5.864152,30.052816,77.058503,0.000000,6.265341
0.020000,68.629296,162.383051,6.480620,31.593986,77.058503,-0.000000,6.263501
0.020000,69.276449,162.369690,7.127912,33.135156,77.058503,0.000000,6.261587
0.020000,69.954390,162.354371,7.806026,34.676326,77.058503,0.000000,6.259602
0.020000,70.663114,162.336924,8.514965,36.217496,77.058503,0.000000,6.257548
0.020000,71.402612,162.317175,9.254726,37.758666,77.058503,0.000000,6.255427
0.020000,72.172876,162.294945,10.025311,39.299836,77.058503,-0.000000,6.253244
0.020000,72.973897,162.270053,10.826720,40.841006,77.058503,0.000000,6.251002
0.020000,73.805667,162.242315,11.658951,42.382177,77.058503,0.000000,6.248702
0.020000,74.668173,162.211544,12.522007,43.923347,77.058503,0.000000,6.246350
0.020000,75.561405,162.177550,13.415885,45.464517,77.058503,0.000000,6.243949
0.020000,76.485349,162.140144,14.340587,47.005687,77.058503,0.000000,6.241502
0.020000,77.439994,162.099135,15.296113,48.546857,77.058503,0.000000,6.239013
0.020000,78.425325,162.054332,16.282462,50.088027,77.058503,0.000000,6.236487
0.020000,79.441326,162.005544,17.299634,51.629197,77.058503,-0.000000,6.233927
0.020000,80.487982,161.952583,18.347630,53.170367,77.058503,0.000000,6.231338
0.020000,81.565277,161.895261,19.426449,54.711537,77.058503,0.000000,6.228723
0.020000,82.673193,161.833393,20.536091,56.252707,77.058503,-0.000000,6.226089
0.020000,83.811713,161.766798,21.676557,57.793877,77.058503,0.000000,6.223439
0.020000,84.980817,161.695298,22.847846,59.335047,77.058503,-0.000000,6.220778
0.020000,86.180488,161.618719,24.049959,60.876217,77.058503,0.000000,6.218111
0.020000,87.410705,161.536895,25.282895,62.417387,77.058503,-0.000000,6.215443
0.020000,88.671450,161.449665,26.546654,63.958557,77.058503,0.000000,6.212780
0.020000,89.962703,161.356873,27.841237,65.499727,77.058503,0.000000,6.210127
0.020000,91.284444,161.258375,29.166643,67.040897,77.058503,-0.000000,6.207488
0.020000,92.636653,161.154031,30.522873,68.582067,77.058503,0.000000,6.204871
0.020000,94.019312,161.043715,31.909926,70.123238,77.058503,-0.000000,6.202280
0.020000,95.432401,160.927309,33.327802,71.664408,77.058503,0.000000,6.199722
0.020000,96.875903,160.804706,34.776502,73.205578,77.058503,0.000000,6.197202
0.020000,98.349801,160.675812,36.256026,74.746748,77.058503,0.000000,6.194727
0.020000,99.854078,160.540546,37.766372,76.287918,77.058503,0.000000,6.192302
0.020000,101.388719,160.398841,39.307542,77.829088,77.058503,0.000000,6.189934
0.020000,102.953711,160.250646,40.879536,79.370258,77.058503,0.000000,6.187630
0.020000,104.549043,160.095925,42.482353,80.911428,77.058503,0.000000,6.185396
0.020000,106.174703,159.934658,44.115993,82.452598,77.058503,0.000000,6.183239
0.020000,107.830686,159.766844,45.780457,83.993768,77.058503,0.000000,6.181166
0.020000,109.516984,159.592501,47.475744,85.534938,77.058503,0.000000,6.179183
0.020000,111.233596,159.411668,49.201854,87.076108,77.058503,0.000000,6.177298
0.020000,112.980521,159.224403,50.958788,88.617278,77.058503,-0.000000,6.175517
0.020000,114.757762,159.030787,52.746545,90.158448,77.058503,0.000000,6.173849
0.020000,116.565327,158.830924,54.565126,91.699618,77.058503,-0.000000,6.172301
0.020000,118.403224,158.624943,56.414530,93.240788,77.058503,0.000000,6.170879
0.020000,120.271468,158.412998,58.294757,94.781958,77.058503,0.000000,6.169592
0.020000,122.170075,158.195270,60.205808,96.323129,77.058503,0.000000,6.168448
0.020000,124.099068,157.971968,62.147683,97.864299,77.058503,0.000000,6.167454
0.020000,126.058470,157.743327,64.120380,99.405469,77.058503,0.000000,6.166619
0.020000,128.048314,157.509617,66.123901,100.946639,77.058503,0.000000,6.165950
0.020000,130.068632,157.271137,68.158246,102.487809,77.058503,-0.000000,6.165457
0.020000,132.119463,157.028218,70.223414,104.028979,77.058503,0.000000,6.165147
0.020000,134.193199,156.782136,72.311699,104.799564,38.529251,-1926.462570,6.165029
0.020000,136.267918,156.535896,74.400980,104.128544,-33.550980,-3604.011588,6.165108
0.020000,138.321701,156.292506,76.469135,102.686940,-72.080232,-1926.462570,6.165380
0.020000,140.345952,156.053366,78.507462,101.145770,-77.058503,-248.913552,6.165836
0.020000,142.339720,155.818928,80.514966,99.604599,-77.058503,-0.000000,6.166470
0.020000,144.303040,155.589500,82.491646,98.063429,-77.058503,0.000000,6.167271
0.020000,146.235944,155.365352,84.437503,96.522259,-77.058503,-0.000000,6.168231
0.020000,148.138457,155.146728,86.352536,94.981089,-77.058503,0.000000,6.169344
0.020000,150.010602,154.933841,88.236746,93.439919,-77.058503,-0.000000,6.170600
0.020000,151.852396,154.726877,90.090133,91.898749,-77.058503,0.000000,6.171993
0.020000,153.663855,154.525993,91.912696,90.357579,-77.058503,0.000000,6.173513
0.020000,155.444988,154.331323,93.704436,88.816409,-77.058503,0.000000,6.175155
0.020000,157.195802,154.142975,95.465353,87.275239,-77.058503,0.000000,6.176909
0.020000,158.916302,153.961034,97.195446,85.734069,-77.058503,0.000000,6.178770
0.020000,160.606487,153.785563,98.894716,84.192899,-77.058503,0.000000,6.180729
0.020000,162.266356,153.616604,100.563162,82.651729,-77.058503,0.000000,6.182780
0.020000,163.895904,153.454178,102.200785,81.110559,-77.058503,0.000000,6.184916
0.020000,165.495123,153.298287,103.807584,79.569389,-77.058503,0.000000,6.187129
0.020000,167.064004,153.148916,105.383560,78.028219,-77.058503,-0.000000,6.189414
0.020000,168.602535,153.006031,106.928713,76.487049,-77.058503,0.000000,6.191764
0.020000,170.110705,152.869584,108.443042,74.945879,-77.058503,0.000000,6.194171
0.020000,171.588497,152.739510,109.926548,73.404709,-77.058503,0.000000,6.196631
0.020000,173.035896,152.615732,111.379231,71.863538,-77.058503,0.000000,6.199136
0.020000,174.452885,152.498158,112.801090,70.322368,-77.058503,0.000000,6.201680
0.020000,175.839446,152.386683,114.192125,68.781198,-77.058503,0.000000,6.204258
0.020000,177.195561,152.281193,115.552338,67.240028,-77.058503,0.000000,6.206863
0.020000,178.521211,152.181561,116.881726,65.698858,-77.058503,0.000000,6.209490
0.020000,179.816376,152.087653,118.180292,64.157688,-77.058503,-0.000000,6.212133
0.020000,181.081037,151.999323,119.448034,62.616518,-77.058503,0.000000,6.214787
0.020000,182.315174,151.916419,120.684953,61.075348,-77.058503,-0.000000,6.217446
0.020000,183.518767,151.838782,121.891048,59.534178,-77.058503,0.000000,6.220105
0.020000,184.691798,151.766246,123.066320,57.993008,-77.058503,-0.000000,6.222759
0.020000,185.834248,151.698638,124.210768,56.451838,-77.058503,0.000000,6.225404
0.020000,186.946097,151.635784,125.324393,54.910668,-77.058503,-0.000000,6.228033
0.020000,188.027329,151.577501,126.407195,53.369498,-77.058503,0.000000,6.230643
0.020000,189.077925,151.523607,127.459173,51.828328,-77.058503,-0.000000,6.233229
0.020000,190.097870,151.473916,128.480328,50.287158,-77.058503,0.000000,6.235786
0.020000,191.087147,151.428238,129.470659,48.745988,-77.058503,0.000000,6.238311
0.020000,192.045742,151.386384,130.430168,47.204818,-77.058503,-0.000000,6.240798
0.020000,192.973639,151.348163,131.358852,45.663647,-77.058503,0.000000,6.243245
0.020000,193.870827,151.313387,132.256713,44.122477,-77.058503,0.000000,6.245647
0.020000,194.737291,151.281864,133.123751,42.581307,-77.058503,0.000000,6.248000
0.020000,195.573021,151.253406,133.959966,41.040137,-77.058503,0.000000,6.250300
0.020000,196.378005,151.227828,134.765357,39.498967,-77.058503,0.000000,6.252545
0.020000,197.152235,151.204943,135.539924,37.957797,-77.058503,-0.000000,6.254731
0.020000,197.895700,151.184571,136.283669,36.416627,-77.058503,0.000000,6.256855
0.020000,198.608392,151.166534,136.996589,34.875457,-77.058503,0.000000,6.258913
0.020000,199.290305,151.150658,137.678687,33.334287,-77.058503,-0.000000,6.260904
0.020000,199.941431,151.136771,138.329961,31.793117,-77.058503,0.000000,6.262823
0.020000,200.561764,151.124710,138.950412,30.251947,-77.058503,0.000000,6.264668
0.020000,201.151299,151.114313,139.540039,28.710777,-77.058503,0.000000,6.266437
0.020000,201.710033,151.105426,140.098843,27.169607,-77.058503,0.000000,6.268128
0.020000,202.237959,151.097901,140.626823,25.628437,-77.058503,0.000000,6.269737
0.020000,202.735076,151.091594,141.123980,24.087267,-77.058503,-0.000000,6.271264
0.020000,203.201380,151.086371,141.590314,22.546097,-77.058503,0.000000,6.272706
0.020000,203.636870,151.082101,142.025824,21.004927,-77.058503,0.000000,6.274061
0.020000,204.041542,151.078665,142.430511,19.463757,-77.058503,0.000000,6.275327
0.020000,204.415395,151.075946,142.804374,17.922586,-77.058503,0.000000,6.276503
0.020000,204.758429,151.073840,143.147414,16.381416,-77.058503,-0.000000,6.277587
0.020000,205.070642,151.072246,143.459631,14.840246,-77.058503,0.000000,6.278578
0.020000,205.352032,151.071076,143.741024,13.299076,-77.058503,-0.000000,6.279475
0.020000,205.602601,151.070247,143.991594,11.757906,-77.058503,0.000000,6.280276
0.020000,205.822346,151.069685,144.211340,10.216736,-77.058503,0.000000,6.280981
0.020000,206.011269,151.069326,144.400263,8.675566,-77.058503,-0.000000,6.281589
0.020000,206.169368,151.069114,144.558363,7.134396,-77.058503,0.000000,6.282099
0.020000,206.296644,151.069002,144.685639,5.593226,-77.058503,0.000000,6.282510
0.020000,206.393097,151.068952,144.782092,4.052056,-77.058503,-0.000000,6.282822
0.020000,206.458727,151.068935,144.847722,2.510886,-77.058503,0.000000,6.283035
0.020000,206.493533,151.068931,144.882528,0.969716,-77.058503,0.000000,6.283147
0.020000,206.504226,151.068931,144.893220,0.099565,-43.507522,1677.549018,6.283182
0.020000,206.505222,151.068931,144.894216,0.000000,-4.978271,1926.462570,6.283185
