dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,62.301224,146.696312,0.007706,0.770585,38.529251,1926.462570,0.000446
0.020000,62.299648,146.696311,0.009282,0.078821,-34.588214,-3655.873271,0.000346
0.020000,62.296497,146.696311,0.012433,0.157545,3.936210,1926.221213,0.000146
0.020000,62.339314,146.696307,0.055250,2.140833,99.164390,4761.409009,6.283031
0.020000,62.456321,146.696266,0.172257,5.850344,185.475582,4315.559585,6.282632
0.020000,62.602594,146.696148,0.318530,7.313658,73.165673,-5615.495440,6.282134
0.020000,62.778142,146.695911,0.494079,8.777436,73.188902,1.161452,6.281538
0.020000,62.982977,146.695503,0.698913,10.241742,73.215282,1.318964,6.280844
0.020000,63.217112,146.694862,0.933050,11.706809,73.253380,1.904905,6.280053
0.020000,63.480561,146.693920,1.196501,13.172562,73.287618,1.711925,6.279167
0.020000,63.773342,146.692600,1.489285,14.639188,73.331338,2.185965,6.278186
0.020000,64.095473,146.690816,1.811420,16.106773,73.379223,2.394262,6.277112
0.020000,64.446974,146.688476,2.162929,17.575456,73.434159,2.746825,6.275945
0.020000,64.827867,146.685479,2.543834,19.045243,73.489361,2.760090,6.274688
0.020000,65.238176,146.681716,2.954160,20.516303,73.553010,3.182465,6.273342
0.020000,65.677926,146.677071,3.393935,21.988723,73.620968,3.397890,6.271909
0.020000,66.147143,146.671423,3.863186,23.462574,73.692586,3.580882,6.270390
0.020000,66.645858,146.664641,4.361947,24.938049,73.773712,4.056292,6.268787
0.020000,67.174099,146.656590,4.890249,26.415122,73.853677,3.998250,6.267104
0.020000,67.731899,146.647126,5.448129,27.893983,73.943035,4.467933,6.265341
0.020000,68.319289,146.636102,6.035623,29.374708,74.036248,4.660638,6.263501
0.020000,68.936306,146.623363,6.652771,30.857406,74.134921,4.933644,6.261587
0.020000,69.582985,146.608750,7.299615,32.342195,74.239419,5.224918,6.259602
0.020000,70.259363,146.592100,7.976199,33.829165,74.348537,5.455907,6.257548
0.020000,70.965480,146.573242,8.682567,35.318414,74.462417,5.693983,6.255427
0.020000,71.701375,146.552004,9.418768,36.810075,74.583041,6.031174,6.253244
0.020000,72.467090,146.528210,10.184853,38.304242,74.708358,6.265872,6.251002
0.020000,73.262668,146.501678,10.980873,39.801014,74.838609,6.512561,6.248702
0.020000,74.088153,146.472228,11.806884,41.300508,74.974727,6.805888,6.246350
0.020000,74.943591,146.439672,12.662940,42.802836,75.116369,7.082082,6.243949
0.020000,75.829027,146.403825,13.549102,44.308090,75.262711,7.317114,6.241502
0.020000,76.744511,146.364498,14.465431,45.816421,75.416565,7.692682,6.239013
0.020000,77.690092,146.321502,15.411988,47.327876,75.572717,7.807606,6.236487
0.020000,78.665819,146.274648,16.388840,48.842604,75.736398,8.184065,6.233927
