dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,60.193209,178.196309,0.007695,0.769548,38.477414,1923.870710,6.282795
0.020000,60.191908,178.196310,0.008997,0.065076,-35.223627,-3685.052048,6.282878
0.020000,60.189306,178.196310,0.011598,0.130073,3.249871,1923.674868,6.283043
0.020000,60.224690,178.196313,0.046983,1.769202,81.956440,3935.328481,0.000105
0.020000,60.342627,178.196344,0.164919,5.896849,206.382354,6221.295695,0.000435
0.020000,60.490060,178.196439,0.312353,7.371658,73.740457,-6632.094852,0.000846
0.020000,60.666997,178.196632,0.489290,8.846854,73.759770,0.965666,0.001338
0.020000,60.873447,178.196968,0.695740,10.322490,73.781834,1.103198,0.001911
0.020000,61.109420,178.197496,0.931713,11.798678,73.809403,1.378449,0.002564
0.020000,61.374928,178.198274,1.197223,13.275482,73.840164,1.538031,0.003296
0.020000,61.669987,178.199366,1.492283,14.753006,73.876231,1.803326,0.004106
0.020000,61.994609,178.200843,1.816909,16.231308,73.915106,1.943789,0.004993
0.020000,62.348813,178.202782,2.171118,17.710446,73.956903,2.089827,0.005957
0.020000,62.732616,178.205268,2.554929,19.190540,74.004697,2.389726,0.006995
0.020000,63.146037,178.208390,2.968362,20.671638,74.054877,2.508962,0.008107
0.020000,63.589097,178.212245,3.411439,22.153853,74.110751,2.793707,0.009292
0.020000,64.061819,178.216934,3.884183,23.637245,74.169628,2.943854,0.010547
0.020000,64.564225,178.222566,4.386621,25.121879,74.231662,3.101690,0.011871
0.020000,65.096340,178.229254,4.918779,26.607884,74.300249,3.429357,0.013262
0.020000,65.658191,178.237116,5.480684,28.095288,74.370212,3.498182,0.014719
0.020000,66.249804,178.246275,6.072369,29.584215,74.446368,3.807788,0.016240
0.020000,66.871209,178.256861,6.693863,31.074731,74.525766,3.969874,0.017823
0.020000,67.522434,178.269004,7.345201,32.566902,74.608586,4.141020,0.019465
0.020000,68.203511,178.282843,8.026419,34.060870,74.698409,4.491146,0.021165
0.020000,68.914471,178.298518,8.737552,35.556644,74.788651,4.512124,0.022919
0.020000,69.655347,178.316172,9.478639,37.054354,74.885542,4.844526,0.024726
0.020000,70.426175,178.335953,10.249720,38.554073,74.985920,5.018879,0.026583
0.020000,71.226989,178.358011,11.050838,40.055882,75.090483,5.228167,0.028488
0.020000,72.057826,178.382499,11.882036,41.559886,75.200166,5.484141,0.030437
0.020000,72.918723,178.409569,12.743358,43.066140,75.312727,5.628085,0.032427
0.020000,73.809720,178.439379,13.634853,44.574743,75.430137,5.870501,0.034457
0.020000,74.730855,178.472086,14.556569,46.085778,75.551755,6.080892,0.036522
0.020000,75.682170,178.507847,15.508556,47.599343,75.678249,6.324698,0.038619
0.020000,76.663706,178.546820,16.490866,49.115495,75.807591,6.467085,0.040746
0.020000,77.675507,178.589164,17.503553,50.634352,75.942831,6.762010,0.042898
0.020000,78.717618,178.635034,18.546672,52.155968,76.080803,6.898606,0.045072
0.020000,79.790082,178.684588,19.620281,53.680444,76.223838,7.151759,0.047265
0.020000,80.892948,178.737979,20.724438,55.207864,76.370969,7.356511,0.049473
0.020000,82.026262,178.795359,21.859204,56.738300,76.521799,7.541515,0.051692
0.020000,83.190075,178.856877,23.024641,58.271846,76.677331,7.776613,0.053918
0.020000,84.384435,178.922677,24.220813,59.808584,76.836879,7.977372,0.056147
0.020000,85.609396,178.992903,25.447785,61.348591,77.000373,8.174730,0.058375
0.020000,86.865009,179.067689,26.705624,62.891950,77.167939,8.378272,0.060597
0.020000,88.151331,179.147167,27.994399,64.438746,77.339782,8.592179,0.062810
0.020000,89.468418,179.231463,29.314180,65.989055,77.515455,8.783639,0.065008
0.020000,90.816326,179.320695,30.665039,67.542960,77.695237,8.989092,0.067188
0.020000,92.195118,179.414974,32.047050,69.100539,77.878980,9.187143,0.069344
0.020000,93.604853,179.514403,33.460287,70.661873,78.066666,9.384294,0.071471
0.020000,95.045596,179.619077,34.904828,72.227038,78.258278,9.580629,0.073566
0.020000,96.517414,179.729081,36.380750,73.796113,78.453755,9.773857,0.075623
0.020000,98.020373,179.844489,37.888134,75.369178,78.653246,9.974532,0.077636
0.020000,99.554544,179.965365,39.427060,76.946308,78.856498,10.162579,0.079601
0.020000,101.120002,180.091759,40.997611,78.527577,79.063454,10.347823,0.081513
0.020000,102.716820,180.223713,42.599873,80.113071,79.274673,10.560933,0.083366
0.020000,104.345079,180.361249,44.233930,81.702857,79.489334,10.733087,0.085154
0.020000,106.004859,180.504380,45.899870,83.297014,79.707844,10.925489,0.086873
0.020000,107.696246,180.653102,47.597783,84.895621,79.930325,11.124038,0.088516
0.020000,109.419327,180.807394,49.327758,86.498756,80.156790,11.323245,0.090077
