dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,60.187066,162.446311,0.007695,0.769548,38.477414,1923.870710,6.282795
0.020000,60.187066,162.446311,0.038477,2.308645,76.954828,1923.870710,6.282878
0.020000,60.187066,162.446311,0.100041,3.847741,76.954828,-0.000000,6.283043
0.020000,60.226348,162.446313,0.192387,5.386838,76.954828,0.000000,0.000105
0.020000,60.349475,162.446346,0.315515,6.925935,76.954828,-0.000000,0.000435
0.020000,60.503385,162.446444,0.469424,8.465031,76.954828,0.000000,0.000846
0.020000,60.688077,162.446646,0.654116,10.004128,76.954828,-0.000000,0.001338
0.020000,60.903550,162.446996,0.869590,11.543224,76.954828,0.000000,0.001911
0.020000,61.149805,162.447547,1.115845,13.082321,76.954828,0.000000,0.002564
0.020000,61.426841,162.448359,1.392882,14.621417,76.954828,0.000000,0.003296
0.020000,61.734658,162.449499,1.700702,16.160514,76.954828,0.000000,0.004106
0.020000,62.073256,162.451039,2.039303,17.699611,76.954828,0.000000,0.004993
0.020000,62.442634,162.453062,2.408686,19.238707,76.954828,-0.000000,0.005957
0.020000,62.842790,162.455653,2.808851,20.777804,76.954828,0.000000,0.006995
0.020000,63.273725,162.458908,3.239798,22.316900,76.954828,0.000000,0.008107
0.020000,63.735436,162.462925,3.701527,23.855997,76.954828,-0.000000,0.009292
0.020000,64.227923,162.467810,4.194038,25.395093,76.954828,0.000000,0.010547
0.020000,64.751183,162.473676,4.717331,26.934190,76.954828,0.000000,0.011871
0.020000,65.305214,162.480639,5.271406,28.473287,76.954828,0.000000,0.013262
0.020000,65.890013,162.488822,5.856262,30.012383,76.954828,-0.000000,0.014719
0.020000,66.505578,162.498352,6.471901,31.551480,76.954828,0.000000,0.016240
0.020000,67.151905,162.509362,7.118322,33.090576,76.954828,0.000000,0.017823
0.020000,67.828989,162.521988,7.795524,34.629673,76.954828,0.000000,0.019465
0.020000,68.536828,162.536371,8.503509,36.168769,76.954828,-0.000000,0.021165
0.020000,69.275414,162.552654,9.242275,37.707866,76.954828,0.000000,0.022919
0.020000,70.044744,162.570987,10.011823,39.246962,76.954828,-0.000000,0.024726
0.020000,70.844811,162.591518,10.812153,40.786059,76.954828,0.000000,0.026583
0.020000,71.675608,162.614402,11.643266,42.325156,76.954828,0.000000,0.028488
0.020000,72.537128,162.639793,12.505160,43.864252,76.954828,0.000000,0.030437
0.020000,73.429362,162.667849,13.397836,45.403349,76.954828,0.000000,0.032427
0.020000,74.352304,162.698728,14.321294,46.942445,76.954828,0.000000,0.034457
0.020000,75.305942,162.732589,15.275533,48.481542,76.954828,-0.000000,0.036522
0.020000,76.290269,162.769590,16.260555,50.020638,76.954828,0.000000,0.038619
0.020000,77.305272,162.809892,17.276359,51.559735,76.954828,0.000000,0.040746
0.020000,78.350943,162.853653,18.322945,53.098832,76.954828,0.000000,0.042898
0.020000,79.427268,162.901030,19.400312,54.637928,76.954828,-0.000000,0.045072
0.020000,80.534236,162.952178,20.508462,56.177025,76.954828,0.000000,0.047265
0.020000,81.671835,163.007250,21.647393,57.716121,76.954828,-0.000000,0.049473
0.020000,82.840052,163.066397,22.817107,59.255218,76.954828,0.000000,0.051692
0.020000,84.038873,163.129765,24.017602,60.794314,76.954828,-0.000000,0.053918
0.020000,85.268286,163.197497,25.248879,62.333411,76.954828,0.000000,0.056147
0.020000,86.528276,163.269730,26.510938,63.872508,76.954828,-0.000000,0.058375
0.020000,87.818830,163.346597,27.803780,65.411604,76.954828,0.000000,0.060597
0.020000,89.139933,163.428224,29.127403,66.950701,76.954828,0.000000,0.062810
0.020000,90.491572,163.514731,30.481808,68.489797,76.954828,-0.000000,0.065008
0.020000,91.873734,163.606230,31.866994,70.028894,76.954828,0.000000,0.067188
0.020000,93.286404,163.702826,33.282963,71.567990,76.954828,-0.000000,0.069344
0.020000,94.729569,163.804613,34.729714,73.107087,76.954828,0.000000,0.071471
0.020000,96.203217,163.911677,36.207247,74.646184,76.954828,-0.000000,0.073566
0.020000,97.707336,164.024095,37.715561,76.185280,76.954828,0.000000,0.075623
0.020000,99.241915,164.141931,39.254658,77.724377,76.954828,0.000000,0.077636
0.020000,100.806944,164.265237,40.824536,79.263473,76.954828,0.000000,0.079601
0.020000,102.402412,164.394055,42.425197,80.802570,76.954828,-0.000000,0.081513
0.020000,104.028312,164.528411,44.056639,82.341666,76.954828,0.000000,0.083366
0.020000,105.684638,164.668318,45.718864,83.880763,76.954828,0.000000,0.085154
0.020000,107.371384,164.813775,47.411870,85.419860,76.954828,-0.000000,0.086873
0.020000,109.088546,164.964762,49.135658,86.958956,76.954828,0.000000,0.088516
0.020000,110.836124,165.121247,50.890228,88.498053,76.954828,-0.000000,0.090077
0.020000,112.614117,165.283177,52.675580,90.037149,76.954828,0.000000,0.091552
0.020000,114.422529,165.450482,54.491714,91.576246,76.954828,-0.000000,0.092933
0.020000,116.261363,165.623072,56.338630,93.115342,76.954828,0.000000,0.094215
0.020000,118.130627,165.800838,58.216328,94.654439,76.954828,-0.000000,0.095392
0.020000,120.030331,165.983648,60.124807,96.193536,76.954828,0.000000,0.096457
0.020000,121.960487,166.171351,62.064069,97.732632,76.954828,0.000000,0.097405
0.020000,123.921111,166.363769,64.034113,99.271729,76.954828,0.000000,0.098228
0.020000,125.912221,166.560704,66.034938,100.810825,76.954828,0.000000,0.098920
0.020000,127.933838,166.761930,68.066546,102.349922,76.954828,-0.000000,0.099475
0.020000,129.985987,166.967197,70.128935,103.889018,76.954828,0.000000,0.099886
0.020000,132.068696,167.176225,72.222106,105.428115,76.954828,-0.000000,0.100146
0.020000,134.181993,167.388710,74.346060,106.967211,76.954828,0.000000,0.100247
0.020000,136.318258,167.603546,76.493099,107.736760,38.477414,-1923.870710,0.100184
0.020000,138.454646,167.818078,78.640232,106.976466,-38.014704,-3824.605925,0.099954
0.020000,140.568312,168.029665,80.764463,105.446623,-76.492119,-1923.870710,0.099562
0.020000,142.651540,168.237218,82.858004,103.907527,-76.954828,-23.135495,0.099017
0.020000,144.704264,168.440448,84.920764,102.368430,-76.954828,-0.000000,0.098324
0.020000,146.726507,168.639103,86.952741,100.829334,-76.954828,0.000000,0.097492
0.020000,148.718292,168.832956,88.953937,99.290237,-76.954828,-0.000000,0.096526
0.020000,150.679634,169.021808,90.924351,97.751140,-76.954828,0.000000,0.095433
0.020000,152.610550,169.205482,92.863983,96.212044,-76.954828,0.000000,0.094220
0.020000,154.511050,169.383828,94.772833,94.672947,-76.954828,0.000000,0.092893
0.020000,156.381143,169.556716,96.650901,93.133851,-76.954828,-0.000000,0.091459
0.020000,158.220836,169.724037,98.498187,91.594754,-76.954828,0.000000,0.089923
0.020000,160.030131,169.885707,100.314691,90.055658,-76.954828,-0.000000,0.088293
0.020000,161.809030,170.041656,102.100413,88.516561,-76.954828,0.000000,0.086573
0.020000,163.557533,170.191838,103.855353,86.977464,-76.954828,0.000000,0.084771
0.020000,165.275635,170.336222,105.579511,85.438368,-76.954828,-0.000000,0.082891
0.020000,166.963331,170.474795,107.272888,83.899271,-76.954828,0.000000,0.080940
0.020000,168.620616,170.607561,108.935482,82.360175,-76.954828,-0.000000,0.078923
0.020000,170.247480,170.734539,110.567295,80.821078,-76.954828,0.000000,0.076846
0.020000,171.843915,170.855761,112.168325,79.281982,-76.954828,-0.000000,0.074714
0.020000,173.409909,170.971275,113.738574,77.742885,-76.954828,0.000000,0.072533
0.020000,174.945450,171.081141,115.278041,76.203789,-76.954828,-0.000000,0.070307
0.020000,176.450525,171.185432,116.786726,74.664692,-76.954828,0.000000,0.068043
0.020000,177.925122,171.284231,118.264629,73.125595,-76.954828,0.000000,0.065745
0.020000,179.369225,171.377632,119.711749,71.586499,-76.954828,0.000000,0.063418
0.020000,180.782820,171.465740,121.128088,70.047402,-76.954828,0.000000,0.061067
0.020000,182.165893,171.548669,122.513646,68.508306,-76.954828,-0.000000,0.058697
0.020000,183.518428,171.626539,123.868421,66.969209,-76.954828,0.000000,0.056312
0.020000,184.840410,171.699481,125.192414,65.430113,-76.954828,-0.000000,0.053918
0.020000,186.131824,171.767631,126.485625,63.891016,-76.954828,0.000000,0.051518
0.020000,187.392655,171.831133,127.748055,62.351919,-76.954828,-0.000000,0.049117
0.020000,188.622888,171.890134,128.979702,60.812823,-76.954828,0.000000,0.046719
0.020000,189.822509,171.944788,130.180567,59.273726,-76.954828,-0.000000,0.044328
0.020000,190.991503,171.995253,131.350651,57.734630,-76.954828,0.000000,0.041949
0.020000,192.129858,172.041691,132.489953,56.195533,-76.954828,-0.000000,0.039585
0.020000,193.237560,172.084266,133.598472,54.656437,-76.954828,0.000000,0.037241
0.020000,194.314596,172.123146,134.676210,53.117340,-76.954828,-0.000000,0.034919
0.020000,195.360954,172.158500,135.723166,51.578243,-76.954828,0.000000,0.032624
0.020000,196.376624,172.190498,136.739340,50.039147,-76.954828,0.000000,0.030359
0.020000,197.361594,172.219313,137.724732,48.500050,-76.954828,0.000000,0.028127
0.020000,198.315855,172.245115,138.679342,46.960954,-76.954828,0.000000,0.025932
0.020000,199.239398,172.268077,139.603170,45.421857,-76.954828,-0.000000,0.023777
0.020000,200.132213,172.288369,140.496216,43.882761,-76.954828,0.000000,0.021666
0.020000,200.994294,172.306160,141.358480,42.343664,-76.954828,-0.000000,0.019600
0.020000,201.825632,172.321619,142.189963,40.804567,-76.954828,0.000000,0.017583
0.020000,202.626222,172.334912,142.990663,39.265471,-76.954828,0.000000,0.015618
0.020000,203.396057,172.346202,143.760582,37.726374,-76.954828,0.000000,0.013707
0.020000,204.135133,172.355649,144.499718,36.187278,-76.954828,0.000000,0.011853
0.020000,204.843446,172.363410,145.208073,34.648181,-76.954828,0.000000,0.010058
0.020000,205.520989,172.369638,145.885645,33.109085,-76.954828,-0.000000,0.008324
0.020000,206.167762,172.374483,146.532436,31.569988,-76.954828,0.000000,0.006655
0.020000,206.783760,172.378089,147.148445,30.030891,-76.954828,0.000000,0.005051
0.020000,207.368981,172.380597,147.733672,28.491795,-76.954828,0.000000,0.003516
0.020000,207.923424,172.382140,148.288117,26.952698,-76.954828,-0.000000,0.002050
0.020000,208.447086,172.382849,148.811780,25.413602,-76.954828,0.000000,0.000656
0.020000,208.939968,172.382847,149.304661,23.874505,-76.954828,-0.000000,6.282520
0.020000,209.402066,172.382252,149.766760,22.335409,-76.954828,0.000000,6.281274
0.020000,209.833382,172.381175,150.198077,20.796312,-76.954828,0.000000,6.280104
0.020000,210.233915,172.379723,150.598612,19.257215,-76.954828,-0.000000,6.279012
