dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,211.048015,138.112661,0.007721,0.772121,38.606028,1930.301397,4.083020
0.020000,211.047681,138.112202,0.008289,0.028395,-37.186295,-3789.616124,4.082984
0.020000,211.047011,138.111283,0.009426,0.056837,1.422137,1930.421599,4.082912
0.020000,211.046006,138.109903,0.011133,0.085376,1.426946,0.240451,4.082803
0.020000,211.001810,138.049248,0.086182,3.752451,183.353722,9096.338775,4.082658
0.020000,210.909172,137.922144,0.243463,7.864048,205.579865,1111.307151,4.082477
0.020000,210.797966,137.769629,0.432216,9.437631,78.679150,-6345.035741,4.082258
0.020000,210.668176,137.591715,0.652440,11.011217,78.679319,0.008448,4.082003
0.020000,210.519777,137.388410,0.904145,12.585211,78.699694,1.018745,4.081709
0.020000,210.352743,137.159725,1.187336,14.159595,78.719160,0.973312,4.081377
0.020000,210.167042,136.905671,1.502023,15.734349,78.737742,0.929088,4.081006
0.020000,209.962636,136.626256,1.848224,17.310022,78.783620,2.293896,4.080596
0.020000,209.739493,136.321503,2.225937,18.885641,78.780974,-0.132314,4.080145
0.020000,209.497564,135.991421,2.635185,20.462395,78.837679,2.835280,4.079653
0.020000,209.236808,135.636033,3.075973,22.039420,78.851265,0.679268,4.079120
0.020000,208.957172,135.255357,3.548318,23.617275,78.892743,2.073933,4.078544
0.020000,208.658602,134.849414,4.052237,25.195943,78.933407,2.033177,4.077924
0.020000,208.341038,134.418227,4.587745,26.775406,78.973161,1.987686,4.077260
0.020000,208.004419,133.961823,5.154858,28.355644,79.011905,1.937245,4.076549
0.020000,207.648675,133.480230,5.753595,29.936836,79.059589,2.384154,4.075792
0.020000,207.273732,132.973474,6.383979,31.519185,79.117454,2.893293,4.074987
0.020000,206.879514,132.441592,7.046026,33.102342,79.157855,2.020037,4.074132
0.020000,206.465939,131.884619,7.739757,34.686579,79.211824,2.698420,4.073226
0.020000,206.032918,131.302590,8.465199,36.272083,79.275208,3.169238,4.072268
0.020000,205.580355,130.695545,9.222376,37.858840,79.337826,3.130893,4.071256
0.020000,205.108152,130.063528,10.011312,39.446830,79.399542,3.085795,4.070188
