dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,185.583444,156.654658,0.007721,0.772121,38.606028,1930.301397,4.083020
0.020000,185.583779,156.655117,0.008289,0.028395,-37.186295,-3789.616124,4.082984
0.020000,185.584448,156.656036,0.009426,0.056837,1.422137,1930.421599,4.082912
0.020000,185.585453,156.657416,0.011133,0.085376,1.426946,0.240451,4.082803
0.020000,185.543944,156.600448,0.081620,3.524324,171.947379,8526.021652,4.082658
0.020000,185.454673,156.477965,0.233183,7.578161,202.691856,1537.223802,4.082477
0.020000,185.347523,156.331012,0.415053,9.093472,75.765535,-6346.316018,4.082258
0.020000,185.222483,156.159610,0.627217,10.608203,75.736546,-1.449436,4.082003
0.020000,185.079539,155.963777,0.869669,12.122645,75.722121,-0.721260,4.081709
0.020000,184.918673,155.743537,1.142403,13.636683,75.701890,-1.011543,4.081377
0.020000,184.739867,155.498915,1.445407,15.150200,75.675854,-1.301837,4.081006
0.020000,184.543093,155.229934,1.778680,16.663622,75.671110,-0.237179,4.080596
0.020000,184.328336,154.936634,2.142198,18.175915,75.614634,-2.823783,4.080145
0.020000,184.095562,154.619042,2.535960,19.688120,75.610233,-0.220059,4.079653
0.020000,183.844745,154.277201,2.959946,21.199304,75.559238,-2.549766,4.079120
0.020000,183.575853,153.911151,3.414144,22.709903,75.529943,-1.464758,4.078544
0.020000,183.288850,153.520934,3.898540,24.219797,75.494669,-1.763703,4.077924
0.020000,182.983699,153.106601,4.413118,25.728862,75.453276,-2.069653,4.077260
0.020000,182.660359,152.668203,4.957857,27.236974,75.405616,-2.382971,4.076549
0.020000,182.318788,152.205796,5.532741,28.744198,75.361184,-2.221628,4.075792
0.020000,181.958935,151.719436,6.137753,30.250620,75.321092,-2.004570,4.074987
0.020000,181.580754,151.209190,6.772869,31.755795,75.258735,-3.117849,4.074132
0.020000,181.184190,150.675125,7.438067,33.259871,75.203829,-2.745325,4.073226
0.020000,180.769185,150.117313,8.133325,34.762917,75.152288,-2.577031,4.072268
0.020000,180.335677,149.535827,8.858621,36.264802,75.094256,-2.901610,4.071256
0.020000,179.883602,148.930750,9.613929,37.765392,75.029517,-3.236971,4.070188
0.020000,179.412891,148.302170,10.399220,39.264549,74.957849,-3.583372,4.069063
0.020000,178.923474,147.650177,11.214464,40.762206,74.882834,-3.750742,4.067880
0.020000,178.415267,146.974862,12.059642,42.258882,74.833784,-2.452534,4.066635
0.020000,177.888192,146.276333,12.934713,43.753580,74.734909,-4.943735,4.065328
