dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,6.290566,41.519690,0.001000,0.200000,20.000000,2000.000000,6.282015
0.010000,6.290258,41.519690,0.001308,0.030804,-16.919636,-3691.963563,6.282035
0.010000,6.289565,41.519691,0.002001,0.069304,3.850078,2076.971376,6.282079
0.010000,6.288333,41.519692,0.003233,0.123195,5.389054,153.897589,6.282157
0.010000,6.286409,41.519694,0.005158,0.192459,6.926410,153.735623,6.282279
0.010000,6.283638,41.519696,0.007928,0.277070,8.461113,153.470285,6.282455
0.010000,6.279868,41.519699,0.011698,0.376989,9.991869,153.075545,6.282694
0.010000,6.274947,41.519700,0.016620,0.492160,11.517120,152.525188,6.283007
0.010000,6.313182,41.519705,0.054855,3.823512,333.135240,32161.811931,0.000217
0.010000,6.405503,41.519748,0.147177,9.232158,540.864587,20772.934696,0.000705
0.010000,6.517216,41.519859,0.258889,11.171273,193.911464,-34695.312314,0.001294
0.010000,6.650180,41.520078,0.391853,13.296380,212.510743,1859.927984,0.001995
0.010000,6.806241,41.520453,0.547915,15.606188,230.980801,1847.005732,0.002816
0.010000,6.987255,41.521049,0.728930,18.101462,249.527401,1854.659978,0.003768
0.010000,7.195079,41.521946,0.936756,20.782671,268.120821,1859.342026,0.004858
0.010000,7.430651,41.523235,1.172332,23.557543,277.487221,936.640030,0.006091
0.010000,7.693983,41.525021,1.435669,26.333748,277.620513,13.329176,0.007467
0.010000,7.985086,41.527415,1.726782,29.111317,277.756947,13.643401,0.008983
0.010000,8.303978,41.530544,2.045690,31.890764,277.944633,18.768586,0.010640
0.010000,8.650680,41.534545,2.392415,34.672467,278.170304,22.567108,0.012435
0.010000,9.025206,41.539565,2.766975,37.455995,278.352788,18.248471,0.014368
0.010000,9.427576,41.545763,3.169392,40.241766,278.577082,22.429325,0.016437
0.010000,9.857813,41.553310,3.599695,43.030277,278.851152,27.406977,0.018640
0.010000,10.315939,41.562385,4.057911,45.821579,279.130207,27.905501,0.020975
0.010000,10.801976,41.573182,4.544068,48.615742,279.416308,28.610188,0.023441
0.010000,11.315947,41.585900,5.058197,51.412858,279.711582,29.527389,0.026036
0.010000,11.856952,41.600725,5.599404,54.120735,270.787673,-892.390878,0.028753
0.010000,12.423163,41.617812,6.165873,56.646872,252.613722,-1817.395147,0.031581
0.010000,13.012746,41.637302,6.755779,58.990579,234.370656,-1824.306582,0.034507
0.010000,13.623869,41.659322,7.367298,61.151907,216.132801,-1823.785520,0.037522
0.010000,14.254697,41.683981,7.998608,63.131043,197.913602,-1821.919857,0.040613
0.010000,14.903394,41.711368,8.647883,64.927446,179.640317,-1827.328574,0.043770
0.010000,15.568116,41.741553,9.313290,66.540688,161.324239,-1831.607788,0.046983
0.010000,16.247020,41.774582,9.992996,67.970669,142.998123,-1832.611564,0.050239
0.010000,16.938259,41.810481,10.685167,69.217076,124.640696,-1835.742684,0.053530
0.010000,17.639986,41.849248,11.387964,70.279725,106.264881,-1837.581492,0.056844
0.010000,18.350347,41.890859,12.099543,71.157832,87.810709,-1845.417284,0.060173
0.010000,19.067485,41.935265,12.818054,71.851191,69.335833,-1847.487591,0.063505
0.010000,19.789543,41.982389,13.541648,72.359400,50.820928,-1851.490464,0.066833
0.010000,20.514661,42.032132,14.268470,72.682188,32.278816,-1854.211198,0.070146
0.010000,21.240975,42.084366,14.996661,72.819037,13.684871,-1859.394492,0.073435
0.010000,21.967550,42.139011,15.725287,72.862649,4.361226,-932.364523,0.076697
0.010000,22.694380,42.196050,16.454352,72.906525,4.387606,2.638058,0.079931
0.010000,23.421465,42.255466,17.183861,72.950833,4.430771,4.316502,0.083137
0.010000,24.148799,42.317239,17.913814,72.995283,4.444990,1.421869,0.086314
0.010000,24.876379,42.381352,18.644212,73.039854,4.457156,1.216631,0.089463
0.010000,25.604199,42.447787,19.375059,73.084652,4.479746,2.258996,0.092584
0.010000,26.332260,42.516524,20.106357,73.129849,4.519692,3.994551,0.095676
0.010000,27.060556,42.587546,20.838108,73.175059,4.521083,0.139143,0.098740
0.010000,27.789084,42.660834,21.570312,73.220445,4.538537,1.745350,0.101774
0.010000,28.517840,42.736368,22.302973,73.266046,4.560162,2.162540,0.104780
0.010000,29.246823,42.814131,23.036092,73.311907,4.586075,2.591299,0.107757
0.010000,29.976029,42.894103,23.769670,73.357805,4.589751,0.367587,0.110704
0.010000,30.705455,42.976264,24.503708,73.403867,4.606251,1.650009,0.113622
0.010000,31.435099,43.060596,25.238210,73.450125,4.625794,1.954297,0.116511
0.010000,32.164958,43.147079,25.973175,73.496514,4.638891,1.309660,0.119370
0.010000,32.895030,43.235695,26.708605,73.542993,4.647931,0.903993,0.122200
0.010000,33.625312,43.326422,27.444501,73.589606,4.661269,1.333809,0.125000
0.010000,34.355802,43.419242,28.180864,73.636361,4.675489,1.422059,0.127771
0.010000,35.086498,43.514135,28.917696,73.683199,4.683773,0.828375,0.130512
0.010000,35.817398,43.611081,29.654998,73.730140,4.694181,1.040799,0.133223
0.010000,36.548500,43.710061,30.392770,73.777185,4.704429,1.024828,0.135904
0.010000,37.279802,43.811054,31.131013,73.824296,4.711173,0.674342,0.138555
0.010000,38.011303,43.914040,31.869728,73.871507,4.721094,0.992103,0.141176
0.010000,38.743002,44.019000,32.608916,73.918803,4.729560,0.846570,0.143768
0.010000,39.474896,44.125912,33.348577,73.966149,4.734600,0.504010,0.146329
0.010000,40.206984,44.234758,34.088713,74.013538,4.738937,0.433744,0.148860
0.010000,40.939265,44.345516,34.829323,74.061029,4.749105,1.016833,0.151361
0.010000,41.671739,44.458166,35.570409,74.108581,4.755144,0.603820,0.153831
0.010000,42.404404,44.572688,36.311970,74.156109,4.752798,-0.234531,0.156272
0.010000,43.137259,44.689062,37.054007,74.203716,4.760670,0.787186,0.158682
0.010000,43.870304,44.807266,37.796521,74.251397,4.768130,0.745997,0.161062
0.010000,44.603538,44.927280,38.539512,74.299117,4.772012,0.388215,0.163412
0.010000,45.336959,45.049085,39.282979,74.346725,4.760820,-1.119237,0.165732
0.010000,46.070569,45.172658,40.026924,74.394492,4.776705,1.588489,0.168021
0.010000,46.804368,45.297979,40.771347,74.442285,4.779237,0.253170,0.170280
0.010000,47.538354,45.425029,41.516248,74.490050,4.776566,-0.267053,0.172508
0.010000,48.272526,45.553784,42.261625,74.537748,4.769748,-0.681761,0.174706
0.010000,49.006887,45.684226,43.007481,74.585575,4.782698,1.294933,0.176874
0.010000,49.741436,45.816334,43.753815,74.633409,4.783468,0.076996,0.179012
0.010000,50.476173,45.950085,44.500626,74.681143,4.773366,-1.010218,0.181119
0.010000,51.211097,46.085459,45.247915,74.728885,4.774207,0.084181,0.183196
0.010000,51.946212,46.222437,45.995682,74.776710,4.782503,0.829609,0.185242
0.010000,52.681516,46.360995,46.743928,74.824528,4.781830,-0.067360,0.187259
0.010000,53.417010,46.501114,47.492649,74.872169,4.764092,-1.773755,0.189244
0.010000,54.152694,46.642772,48.241848,74.919913,4.774384,1.029224,0.191200
0.010000,54.888572,46.785949,48.991525,74.967685,4.777161,0.277607,0.193125
0.010000,55.624643,46.930624,49.741680,75.015433,4.774853,-0.230796,0.195020
0.010000,56.360907,47.076774,50.492309,75.062944,4.751088,-2.376412,0.196885
0.010000,57.097367,47.224380,51.243416,75.110646,4.770202,1.911356,0.198720
0.010000,57.834025,47.373419,51.994999,75.158322,4.767590,-0.261225,0.200524
0.010000,58.570881,47.523872,52.747058,75.205917,4.759481,-0.810921,0.202298
0.010000,59.307936,47.675716,53.499591,75.253353,4.743611,-1.586921,0.204042
0.010000,60.045193,47.828932,54.252601,75.300934,4.758087,1.447558,0.205755
0.010000,60.782655,47.983496,55.006086,75.348480,4.754655,-0.343210,0.207439
0.010000,61.520321,48.139389,55.760045,75.395894,4.741307,-1.334799,0.209092
