dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,6.253709,10.019711,0.001000,0.200000,20.000000,2000.000000,6.282015
0.010000,6.254017,10.019711,0.001308,0.030804,-16.919636,-3691.963563,6.282035
0.010000,6.254710,10.019710,0.002001,0.069304,3.850078,2076.971376,6.282079
0.010000,6.255942,10.019709,0.003233,0.123195,5.389054,153.897589,6.282157
0.010000,6.257867,10.019707,0.005158,0.192459,6.926410,153.735623,6.282279
0.010000,6.260637,10.019705,0.007928,0.277070,8.461113,153.470285,6.282455
0.010000,6.264407,10.019703,0.011698,0.376989,9.991869,153.075545,6.282694
0.010000,6.269329,10.019701,0.016620,0.492160,11.517120,152.525188,6.283007
0.010000,6.320015,10.019706,0.067306,5.068586,457.642635,44612.551462,0.000217
0.010000,6.427696,10.019756,0.174987,10.768169,569.958296,11231.566056,0.000705
0.010000,6.557978,10.019886,0.305269,13.028174,226.000412,-34395.788376,0.001294
0.010000,6.713018,10.020141,0.460310,15.504041,247.586718,2158.630578,0.001995
0.010000,6.894957,10.020578,0.642249,18.193914,268.987376,2140.065848,0.002816
0.010000,7.105938,10.021273,0.853231,21.098272,290.435770,2144.839397,0.003768
0.010000,7.348108,10.022317,1.095403,24.217172,311.889951,2145.418059,0.004858
0.010000,7.622529,10.023820,1.369829,27.442575,322.540365,1065.041387,0.006091
0.010000,7.929187,10.025899,1.676494,30.666477,322.390207,-15.015706,0.007467
0.010000,8.268061,10.028686,2.015379,33.888532,322.205475,-18.473202,0.008983
0.010000,8.639133,10.032327,2.386468,37.108947,322.041437,-16.403842,0.010640
0.010000,9.042383,10.036980,2.789746,40.327764,321.881785,-15.965165,0.012435
0.010000,9.477785,10.042816,3.225187,43.544077,321.631263,-25.052235,0.014368
0.010000,9.945309,10.050018,3.692766,46.757956,321.387883,-24.338016,0.016437
0.010000,10.444928,10.058782,4.192462,49.969555,321.159891,-22.799196,0.018640
0.010000,10.976609,10.069315,4.724247,53.178497,320.894239,-26.565160,0.020975
0.010000,11.540314,10.081836,5.288091,56.384421,320.592366,-30.187356,0.023441
0.010000,12.136001,10.096576,5.883961,59.586978,320.255766,-33.659955,0.026036
0.010000,12.762556,10.113746,6.510751,62.678977,309.199892,-1105.587406,0.028753
0.010000,13.417790,10.133519,7.166284,65.553288,287.431086,-2176.880596,0.031581
0.010000,14.099512,10.156055,7.848377,68.209382,265.609364,-2182.172210,0.034507
0.010000,14.805530,10.181494,8.554854,70.647669,243.828729,-2178.063521,0.037522
0.010000,15.533662,10.209956,9.283542,72.868791,222.112206,-2171.652307,0.040613
0.010000,16.281722,10.241538,10.032268,74.872622,200.383040,-2172.916583,0.043770
0.010000,17.047525,10.276312,10.798861,76.659235,178.661351,-2172.168887,0.046983
0.010000,17.828892,10.314327,11.581152,78.229150,156.991478,-2166.987276,0.050239
0.010000,18.623648,10.355601,12.376979,79.582700,135.355006,-2163.647262,0.053530
0.010000,19.429624,10.400127,13.184183,80.720424,113.772437,-2158.256852,0.056844
0.010000,20.244649,10.447869,14.000606,81.642225,92.180071,-2159.236580,0.060173
0.010000,21.066562,10.498762,14.824093,82.348713,70.648828,-2153.124354,0.063505
0.010000,21.893206,10.552712,15.652496,82.840319,49.160521,-2148.830721,0.066833
0.010000,22.722434,10.609596,16.483672,83.117651,27.733218,-2142.730274,0.070146
0.010000,23.552102,10.669263,17.315483,83.181065,6.341475,-2139.174309,0.073435
0.010000,24.381133,10.731614,18.146855,83.137247,-4.381895,-1072.337011,0.076697
0.010000,25.209518,10.796622,18.977787,83.093199,-4.404796,-2.290031,0.079931
0.010000,26.037250,10.864262,19.808279,83.049133,-4.406594,-0.179804,0.083137
0.010000,26.864320,10.934506,20.638326,83.004739,-4.439404,-3.281064,0.086314
0.010000,27.690718,11.007326,21.467926,82.960013,-4.472544,-3.314018,0.089463
0.010000,28.516436,11.082697,22.297077,82.915094,-4.491890,-1.934513,0.092584
0.010000,29.341470,11.160589,23.125779,82.870197,-4.489693,0.219634,0.095676
0.010000,30.165808,11.240977,23.954028,82.824904,-4.529352,-3.965923,0.098740
0.010000,30.989445,11.323832,24.781822,82.779414,-4.548940,-1.958729,0.101774
0.010000,31.812375,11.409127,25.609160,82.733794,-4.562018,-1.307792,0.104780
0.010000,32.634591,11.496835,26.436041,82.688109,-4.568522,-0.650418,0.107757
0.010000,33.456087,11.586928,27.262463,82.642125,-4.598384,-2.986190,0.110704
0.010000,34.276857,11.679378,28.088423,82.596004,-4.612066,-1.368183,0.113622
0.010000,35.096896,11.774157,28.913921,82.549798,-4.620679,-0.861331,0.116511
0.010000,35.916198,11.871239,29.738955,82.503448,-4.634930,-1.425070,0.119370
0.010000,36.734760,11.970595,30.563524,82.456927,-4.652137,-1.720708,0.122200
0.010000,37.552576,12.072197,31.387627,82.410297,-4.662962,-1.082558,0.125000
