dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,55.799687,102.151499,0.007751,0.775095,38.754762,1937.738084,6.281987
0.020000,55.803585,102.151495,0.011649,0.194904,-29.009585,-3388.217347,6.282234
0.020000,55.811378,102.151490,0.019442,0.389642,9.736917,1937.325123,6.282729
0.020000,55.858850,102.151494,0.066914,2.373607,99.198236,4473.065952,0.000285
0.020000,55.998423,102.151602,0.206487,6.978650,230.252190,6552.697703,0.001273
0.020000,56.172873,102.151932,0.380938,8.722546,87.194777,-7152.870660,0.002507
0.020000,56.382187,102.152612,0.590252,10.465728,87.159098,-1.783968,0.003986
0.020000,56.626341,102.153795,0.834410,12.207868,87.107027,-2.603514,0.005708
0.020000,56.905310,102.155662,1.113385,13.948762,87.044664,-3.118170,0.007673
0.020000,57.219077,102.158416,1.427164,15.688964,87.010137,-1.726352,0.009879
0.020000,57.567610,102.162285,1.775719,17.427717,86.937626,-3.625533,0.012325
0.020000,57.950870,102.167524,2.159015,19.164793,86.853804,-4.191137,0.015008
0.020000,58.368827,102.174407,2.577028,20.900684,86.794561,-2.962130,0.017926
0.020000,58.821419,102.183235,3.029706,22.633897,86.660637,-6.696198,0.021077
0.020000,59.308609,102.194329,3.517023,24.365826,86.596427,-3.210499,0.024459
0.020000,59.830328,102.208035,4.038921,26.094925,86.454988,-7.071974,0.028068
0.020000,60.386509,102.224718,4.595352,27.821543,86.330863,-6.206231,0.031901
0.020000,60.977080,102.244763,5.186263,29.545552,86.200487,-6.518775,0.035955
0.020000,61.601955,102.268577,5.811593,31.266471,86.045930,-7.727899,0.040225
0.020000,62.261042,102.296584,6.471274,32.984058,85.879379,-8.327542,0.044708
0.020000,62.954233,102.329227,7.165233,34.697986,85.696359,-9.150985,0.049399
0.020000,63.681416,102.366965,7.893395,36.408073,85.504369,-9.599474,0.054294
0.020000,64.442461,102.410271,8.655671,38.113812,85.286944,-10.871285,0.059385
0.020000,65.237241,102.459635,9.451983,39.815582,85.088512,-9.921572,0.064669
0.020000,66.065595,102.515557,10.282221,41.511931,84.817424,-13.554407,0.070139
0.020000,66.927362,102.578550,11.146288,43.203325,84.569732,-12.384620,0.075788
0.020000,67.822367,102.649135,12.044072,44.889213,84.294367,-13.768219,0.081610
0.020000,68.750417,102.727843,12.975454,46.569075,83.993128,-15.061973,0.087596
0.020000,69.711312,102.815209,13.940312,48.242939,83.693198,-14.996508,0.093739
0.020000,70.704829,102.911773,14.938511,49.909914,83.348765,-17.221664,0.100030
0.020000,71.730737,103.018077,15.969912,51.570044,83.006477,-17.114352,0.106461
0.020000,72.788788,103.134665,17.034367,53.222791,82.637356,-18.456078,0.113022
0.020000,73.878720,103.262076,18.131721,54.867665,82.243699,-19.682845,0.119704
0.020000,75.000258,103.400848,19.261811,56.504538,81.843660,-20.001949,0.126495
0.020000,76.153110,103.551509,20.424467,58.132762,81.411167,-21.624640,0.133386
0.020000,77.336975,103.714581,21.619510,59.752185,80.971147,-22.001004,0.140365
0.020000,78.551537,103.890575,22.846757,61.362334,80.507464,-23.184134,0.147420
0.020000,79.796466,104.079987,24.106013,62.962790,80.022795,-24.233456,0.154538
0.020000,81.071425,104.283299,25.397081,64.553390,79.530022,-24.638675,0.161708
0.020000,82.376063,104.500973,26.719752,66.133586,79.009771,-26.012527,0.168916
0.020000,83.710020,104.733453,28.073816,67.703198,78.480635,-26.456816,0.176149
0.020000,85.072931,104.981156,29.459054,69.261862,77.933181,-27.372712,0.183392
0.020000,86.464420,105.244478,30.875239,70.809265,77.370154,-28.151348,0.190632
0.020000,87.884110,105.523787,32.322144,72.345231,76.798275,-28.593945,0.197854
0.020000,89.331617,105.819418,33.799531,73.869364,76.206696,-29.578956,0.205043
0.020000,90.806555,106.131677,35.307161,75.381512,75.607391,-29.965242,0.212183
0.020000,92.308539,106.460836,36.844790,76.881435,74.996152,-30.561959,0.219260
0.020000,93.837184,106.807130,38.412168,78.368930,74.374740,-31.070582,0.226257
0.020000,95.392108,107.170757,40.009045,79.843812,73.744113,-31.531360,0.233158
0.020000,96.972934,107.551874,41.635163,81.305905,73.104654,-31.972966,0.239948
0.020000,98.579290,107.950599,43.290264,82.755079,72.458687,-32.298308,0.246609
0.020000,100.210814,108.367002,44.974088,84.191193,71.805710,-32.648885,0.253125
0.020000,101.867152,108.801113,46.686369,85.614061,71.143394,-33.115770,0.259480
0.020000,103.547963,109.252913,48.426843,87.023702,70.482012,-33.069134,0.265656
0.020000,105.252918,109.722335,50.195241,88.419861,69.807968,-33.702196,0.271637
0.020000,106.981704,110.209263,51.991291,89.802536,69.133757,-33.710550,0.277405
0.020000,108.734022,110.713530,53.814723,91.171576,68.452019,-34.086876,0.282942
0.020000,110.509592,111.234915,55.665261,92.526908,67.766587,-34.271611,0.288233
0.020000,112.308153,111.773145,57.542630,93.868450,67.077070,-34.475834,0.293258
0.020000,114.129463,112.327892,59.446551,95.196042,66.379609,-34.873054,0.298001
0.020000,115.973301,112.898768,61.376742,96.509550,65.675438,-35.208583,0.302443
0.020000,117.839467,113.485330,63.332919,97.808869,64.965910,-35.476402,0.306567
0.020000,119.727784,114.087074,65.314797,99.093866,64.249843,-35.803330,0.310353
0.020000,121.638098,114.703433,67.322083,100.364327,63.523063,-36.338983,0.313785
0.020000,123.570278,115.333778,69.354484,101.620057,62.786489,-36.828707,0.316843
0.020000,125.524215,115.977416,71.411700,102.860801,62.037239,-37.462501,0.319507
0.020000,127.499824,116.633583,73.493427,104.086326,61.276248,-38.049576,0.321760
0.020000,129.497043,117.301449,75.599354,105.296350,60.501197,-38.752509,0.323580
0.020000,131.515832,117.980111,77.729164,106.490526,59.708771,-39.621311,0.324949
