dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,57.900345,134.944553,0.007793,0.779313,38.965658,1948.282881,6.281913
0.020000,57.905036,134.944546,0.012484,0.234524,-27.239452,-3310.255464,6.281615
0.020000,57.914419,134.944529,0.021867,0.469148,11.731216,1948.533359,6.281019
0.020000,57.928498,134.944492,0.035946,0.703972,11.741193,0.498875,6.280125
0.020000,58.063813,134.943993,0.171262,6.765780,303.090361,14567.458390,6.278932
0.020000,58.243191,134.943096,0.350642,8.968998,110.160916,-9646.472222,6.277439
0.020000,58.458492,134.941665,0.565948,10.765322,89.816201,-1017.235792,6.275644
0.020000,58.709754,134.939507,0.817219,12.563553,89.911571,4.768535,6.273545
0.020000,58.996994,134.936392,1.104476,14.362864,89.965558,2.699343,6.271140
0.020000,59.320214,134.932060,1.427725,16.162434,89.978482,0.646188,6.268427
0.020000,59.679543,134.926214,1.787101,17.968809,90.318740,17.012897,6.265404
0.020000,60.074912,134.918523,2.182545,19.772213,90.170220,-7.426004,6.262067
0.020000,60.506400,134.908621,2.614147,21.580051,90.391902,11.084133,6.258413
0.020000,60.974060,134.896105,3.081975,23.391401,90.567473,8.778523,6.254440
0.020000,61.477927,134.880534,3.586081,25.205347,90.697314,6.492081,6.250143
0.020000,62.018009,134.861432,4.126501,27.020986,90.781961,4.232319,6.245518
0.020000,62.594337,134.838284,4.703294,28.839665,90.933929,7.598420,6.240563
0.020000,63.206965,134.810534,5.316550,30.662772,91.155333,11.070212,6.235273
0.020000,63.855914,134.777588,5.966335,32.489242,91.323517,8.409196,6.229643
0.020000,64.541175,134.738811,6.652693,34.317905,91.433140,5.481150,6.223669
0.020000,65.262754,134.693527,7.375691,36.149918,91.600668,8.376385,6.217348
0.020000,66.020682,134.641016,8.135436,37.987249,91.866532,13.293191,6.210674
0.020000,66.814905,134.580520,8.931960,39.826179,91.946505,3.998629,6.203643
0.020000,67.645411,134.511233,9.765350,41.669529,92.167493,11.049418,6.196252
0.020000,68.512126,134.432310,10.635652,43.515072,92.277156,5.483168,6.188495
0.020000,69.414995,134.342861,11.542941,45.364474,92.470103,9.647355,6.180370
0.020000,70.353916,134.241953,12.487269,47.216390,92.595790,6.284312,6.171871
0.020000,71.328755,134.128612,13.468674,49.070264,92.693710,4.896032,6.162997
0.020000,72.339411,134.001812,14.487253,50.928952,92.934395,12.034217,6.153744
0.020000,73.385652,133.860499,15.542995,52.787067,92.905762,-1.431605,6.144110
0.020000,74.467269,133.703571,16.635936,54.647086,93.000930,4.758382,6.134093
0.020000,75.584004,133.529890,17.766097,56.508038,93.047615,2.334269,6.123691
0.020000,76.735536,133.338282,18.933462,58.368227,93.009448,-1.908378,6.112906
0.020000,77.921573,133.127527,20.138078,60.230809,93.129124,5.983813,6.101737
0.020000,79.141646,132.896398,21.379851,62.088636,92.891336,-11.889427,6.090187
0.020000,80.395325,132.643621,22.658760,63.945451,92.840742,-2.529676,6.078258
0.020000,81.682100,132.367905,23.974741,65.799074,92.681147,-7.979743,6.065954
0.020000,83.001377,132.067946,25.327689,67.647401,92.416370,-13.238865,6.053283
0.020000,84.352525,131.742424,26.717496,69.490360,92.147943,-13.421360,6.040250
0.020000,85.734819,131.390015,28.144006,71.325477,91.755871,-19.603597,6.026866
0.020000,87.147506,131.009392,29.607071,73.153266,91.389428,-18.322116,6.013141
0.020000,88.589729,130.599241,31.106481,74.970509,90.862158,-26.363517,5.999087
0.020000,90.060565,130.158266,32.642000,76.775910,90.270062,-29.604829,5.984720
0.020000,91.559004,129.685203,34.213339,78.566989,89.553934,-35.806384,5.970057
0.020000,93.084018,129.178808,35.820231,80.344606,88.880833,-33.655062,5.955116
0.020000,94.634465,128.637892,37.462326,82.104734,88.006415,-43.720888,5.939919
0.020000,96.209155,128.061320,39.139253,83.846360,87.081287,-46.256370,5.924490
0.020000,97.806858,127.448012,40.850628,85.568709,86.117454,-48.191694,5.908854
0.020000,99.426249,126.796975,42.595987,87.267950,84.962066,-57.769362,5.893037
0.020000,101.066010,126.107279,44.374890,88.945159,83.860423,-55.082181,5.877071
0.020000,102.724751,125.378095,46.186830,90.597032,82.593684,-63.336929,5.860987
0.020000,104.401070,124.608688,48.031290,92.222993,81.298055,-64.781438,5.844816
0.020000,106.093548,123.798422,49.907727,93.821816,79.941118,-67.846861,5.828595
0.020000,107.800752,122.946776,51.815566,95.391949,78.506645,-71.723678,5.812359
0.020000,109.521271,122.053333,53.754231,96.933268,77.065972,-72.033620,5.796145
0.020000,111.253705,121.117792,55.723130,98.444957,75.584439,-74.076642,5.779990
0.020000,112.996686,120.139972,57.721659,99.926427,74.073495,-75.547223,5.763934
0.020000,114.748888,119.119807,59.749206,101.377380,72.547674,-76.291052,5.748014
0.020000,116.509041,118.057342,61.805166,102.797994,71.030689,-75.849257,5.732270
0.020000,118.275944,116.952738,63.888935,104.188454,69.523015,-75.383702,5.716739
