dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,57.860267,103.444578,0.007793,0.779313,38.965658,1948.282881,6.281913
0.020000,57.855576,103.444585,0.012484,0.234524,-27.239452,-3310.255464,6.281615
0.020000,57.846193,103.444603,0.021867,0.469148,11.731216,1948.533359,6.281019
0.020000,57.832114,103.444639,0.035946,0.703972,11.741193,0.498875,6.280125
0.020000,57.929843,103.444277,0.133676,4.886493,209.126046,9869.242656,6.278932
0.020000,58.062181,103.443616,0.266016,6.617000,86.525322,-6130.036185,6.277439
0.020000,58.220934,103.442561,0.424772,7.937791,66.039589,-1024.286691,6.275644
0.020000,58.406078,103.440971,0.609923,9.257572,65.989045,-2.527194,6.273545
0.020000,58.617573,103.438677,0.821430,10.575348,65.888765,-5.014006,6.271140
0.020000,58.855354,103.435491,1.059233,11.890140,65.739600,-7.458225,6.268427
0.020000,59.119447,103.431194,1.323361,13.206398,65.812937,3.666842,6.265404
0.020000,59.409724,103.425547,1.613693,14.516586,65.509358,-15.178956,6.262067
0.020000,59.726157,103.418286,1.930209,15.825810,65.461218,-2.406994,6.258413
0.020000,60.068696,103.409118,2.272870,17.133073,65.363179,-4.901931,6.254440
0.020000,60.437268,103.397729,2.641618,18.437409,65.216798,-7.319052,6.250143
0.020000,60.831779,103.383776,3.036376,19.737889,65.023958,-9.641994,6.245518
0.020000,61.252145,103.366892,3.457081,21.035256,64.868391,-7.778369,6.240563
0.020000,61.698294,103.346684,3.903688,22.330316,64.752956,-5.771742,6.235273
0.020000,62.170129,103.322729,4.376130,23.622116,64.590040,-8.145820,6.229643
0.020000,62.667527,103.294583,4.874324,24.909681,64.378239,-10.590042,6.223669
0.020000,63.190374,103.261772,5.398199,26.193775,64.204691,-8.677391,6.217348
0.020000,63.738575,103.223792,5.947715,27.475795,64.101007,-5.184232,6.210674
0.020000,64.311976,103.180116,6.522777,28.753087,63.864598,-11.820404,6.203643
0.020000,64.910453,103.130187,7.123333,30.027797,63.735505,-6.454689,6.196252
0.020000,65.533844,103.073423,7.749303,31.298503,63.535275,-10.011506,6.188495
0.020000,66.182004,103.009209,8.400636,32.566672,63.408472,-6.340120,6.180370
0.020000,66.854764,102.936907,9.077270,33.831700,63.251419,-7.852644,6.171871
0.020000,67.551941,102.855849,9.779143,35.093658,63.097892,-7.676367,6.162997
0.020000,68.273389,102.765335,10.506247,36.355163,63.075245,-1.132364,6.153744
0.020000,69.018881,102.664644,11.258508,37.613067,62.895204,-9.002032,6.144110
0.020000,69.788225,102.553025,12.035907,38.869974,62.845338,-2.493314,6.134093
0.020000,70.581216,102.429695,12.838431,40.126165,62.809540,-1.789878,6.123691
0.020000,71.397622,102.293851,13.666062,41.381558,62.769661,-1.993940,6.112906
0.020000,72.237263,102.144651,14.518855,42.639669,62.905540,6.793948,6.101737
0.020000,73.099859,101.981243,15.396793,43.896876,62.860371,-2.258483,6.090187
0.020000,73.985191,101.802736,16.299942,45.157444,63.028405,8.401700,6.078258
0.020000,74.893017,101.608218,17.228374,46.421613,63.208420,9.000769,6.065954
0.020000,75.823078,101.396755,18.182171,47.689852,63.411945,10.176236,6.053283
0.020000,76.775122,101.167385,19.161456,48.964233,63.719072,15.356355,6.040250
0.020000,77.748881,100.919131,20.166362,50.245300,64.053357,16.714234,6.026866
0.020000,78.744107,100.650985,21.197079,51.535853,64.527652,23.714780,6.013141
0.020000,79.760527,100.361926,22.253803,52.836205,65.017583,24.496560,5.999087
0.020000,80.797871,100.050917,23.336766,54.148141,65.596801,28.960873,5.984720
0.020000,81.855853,99.716906,24.446220,55.472708,66.228345,31.577225,5.970057
0.020000,82.934221,99.358821,25.582487,56.813381,67.033634,40.264452,5.955116
0.020000,84.032693,98.975585,26.745892,58.170221,67.842008,40.418669,5.939919
0.020000,85.150994,98.566116,27.936800,59.545415,68.759738,45.886501,5.924490
0.020000,86.288863,98.129319,29.155626,60.941288,69.793634,51.694827,5.908854
0.020000,87.446008,97.664110,30.402784,62.357902,70.830705,51.853547,5.893037
0.020000,88.622175,97.169398,31.678758,63.798692,72.039464,60.437942,5.877071
0.020000,89.817086,96.644105,32.984034,65.263796,73.255235,60.788542,5.860987
0.020000,91.030476,96.087166,34.319135,66.755090,74.564674,65.471966,5.844816
0.020000,92.262081,95.497530,35.684610,68.273730,75.932008,68.366708,5.828595
0.020000,93.511632,94.874173,37.081017,69.820344,77.330718,69.935504,5.812359
0.020000,94.778875,94.216095,38.508943,71.396280,78.796772,73.302657,5.796145
0.020000,96.063558,93.522332,39.968983,73.002037,80.287890,74.555900,5.779990
0.020000,97.365434,92.791957,41.461742,74.637924,81.794343,75.322663,5.763934
0.020000,98.684262,92.024091,42.987824,76.304093,83.308436,75.704643,5.748014
0.020000,100.019817,91.217904,44.547837,78.000688,84.829758,76.066099,5.732270
