dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,55.837444,133.651477,0.007751,0.775095,38.754762,1937.738084,6.281987
0.020000,55.833546,133.651481,0.011649,0.194904,-29.009585,-3388.217347,6.282234
0.020000,55.825753,133.651486,0.019442,0.389642,9.736917,1937.325123,6.282729
0.020000,55.849862,133.651492,0.043551,1.205446,40.790219,1552.665090,0.000285
0.020000,55.958312,133.651577,0.152001,5.422513,210.853337,8503.155883,0.001273
0.020000,56.093899,133.651833,0.287588,6.779345,67.841579,-7150.587859,0.002507
0.020000,56.256635,133.652362,0.450325,8.136841,67.874842,1.663103,0.003986
0.020000,56.446533,133.653282,0.640225,9.495012,67.908550,1.685418,0.005708
0.020000,56.663608,133.654735,0.857304,10.853972,67.947967,1.970856,0.007673
0.020000,56.907887,133.656879,1.101593,12.214440,68.023391,3.771220,0.009879
0.020000,57.179393,133.659893,1.373116,13.576126,68.084308,3.045842,0.012325
0.020000,57.478148,133.663976,1.671899,14.939170,68.152217,3.395435,0.015008
0.020000,57.804190,133.669346,1.997985,16.304289,68.255955,5.186896,0.017926
0.020000,58.157536,133.676238,2.351398,17.670669,68.319004,3.152447,0.021077
0.020000,58.538233,133.684908,2.732194,19.039769,68.454990,6.799286,0.024459
0.020000,58.946307,133.695628,3.140409,20.410773,68.550222,4.761625,0.028068
0.020000,59.381799,133.708691,3.576096,21.784365,68.679567,6.467236,0.031901
0.020000,59.844750,133.724405,4.039314,23.160880,68.825745,7.308938,0.035955
0.020000,60.335202,133.743096,4.530122,24.540396,68.975821,7.503776,0.040225
0.020000,60.853198,133.765108,5.048586,25.923205,69.140453,8.231610,0.044708
0.020000,61.398785,133.790800,5.594777,27.309550,69.317254,8.840061,0.049399
0.020000,61.972010,133.820549,6.168773,28.699815,69.513247,9.799634,0.054294
0.020000,62.572920,133.854743,6.770656,30.094146,69.716554,10.165366,0.059385
0.020000,63.201577,133.893789,7.400525,31.493413,69.963346,12.339595,0.064669
0.020000,63.858024,133.938107,8.058466,32.897057,70.182198,10.942573,0.070139
0.020000,64.542319,133.988127,8.744587,34.306057,70.449978,13.388997,0.075788
0.020000,65.254520,134.044296,9.458999,35.720601,70.727200,13.861134,0.081610
0.020000,65.994681,134.107070,10.201817,37.140921,71.015999,14.439932,0.087596
0.020000,66.762866,134.176916,10.973171,38.567695,71.338730,16.136548,0.093739
0.020000,67.559132,134.254309,11.773189,40.000883,71.659377,16.032349,0.100030
0.020000,68.383541,134.339736,12.602013,41.441195,72.015629,17.812582,0.106461
0.020000,69.236158,134.433688,13.459791,42.888887,72.384598,18.448446,0.113022
0.020000,70.117045,134.536663,14.346676,44.344251,72.768176,19.178935,0.119704
0.020000,71.026269,134.649166,15.262833,45.807871,73.180987,20.640562,0.126495
0.020000,71.963894,134.771702,16.208431,47.279905,73.601736,21.037419,0.133386
0.020000,72.929989,134.904779,17.183649,48.760910,74.050223,22.424360,0.140365
0.020000,73.924624,135.048907,18.188673,50.251166,74.512797,23.128692,0.147420
0.020000,74.947868,135.204593,19.223692,51.750983,74.990840,23.902176,0.154538
0.020000,75.999794,135.372342,20.288910,53.260863,75.494037,25.159846,0.161708
0.020000,77.080474,135.552652,21.384529,54.780971,76.005380,25.567146,0.168916
0.020000,78.189986,135.746018,22.510764,56.311750,76.538957,26.678857,0.176149
0.020000,79.328405,135.952924,23.667833,57.853463,77.085631,27.333655,0.183392
0.020000,80.495813,136.173845,24.855961,59.406386,77.646170,28.026982,0.190632
0.020000,81.692294,136.409243,26.075378,60.970879,78.224649,28.923950,0.197854
0.020000,82.917934,136.659565,27.326320,62.547085,78.810297,29.282394,0.205043
0.020000,84.172825,136.925242,28.609026,64.135315,79.411482,30.059229,0.212183
0.020000,85.457063,137.206686,29.923742,65.735774,80.022954,30.573614,0.219260
0.020000,86.770749,137.504288,31.270715,67.348664,80.644496,31.077129,0.226257
0.020000,88.113990,137.818416,32.650199,68.974169,81.275263,31.538323,0.233158
0.020000,89.486903,138.149413,34.062448,70.612449,81.913989,31.936289,0.239948
0.020000,90.889609,138.497592,35.507721,72.263673,82.561209,32.360990,0.246609
0.020000,92.322244,138.863239,36.986281,73.927976,83.215154,32.697295,0.253125
0.020000,93.784947,139.246605,38.498389,75.605428,83.872587,32.871611,0.259480
0.020000,95.277878,139.647908,40.044314,77.296260,84.541601,33.450712,0.265656
0.020000,96.801202,140.067326,41.624323,79.000449,85.209447,33.392292,0.271637
0.020000,98.355104,140.505002,43.238687,80.718183,85.886710,33.863160,0.277405
0.020000,99.939782,140.961031,44.887677,82.449516,86.566644,33.996682,0.282942
0.020000,101.555455,141.435469,46.571569,84.194571,87.252772,34.306437,0.288233
0.020000,103.202361,141.928320,48.290638,85.953475,87.945190,34.620906,0.293258
0.020000,104.880757,142.439541,50.045164,87.726297,88.641109,34.795924,0.298001
0.020000,106.590925,142.969036,51.835427,89.513151,89.342691,35.079095,0.302443
0.020000,108.333174,143.516654,53.661711,91.314203,90.052612,35.496077,0.306567
0.020000,110.107836,144.082184,55.524304,93.129635,90.771572,35.947959,0.310353
0.020000,111.915277,144.665355,57.423496,94.959590,91.497746,36.308714,0.313785
0.020000,113.755889,145.265831,59.359581,96.804277,92.234376,36.831515,0.316843
0.020000,115.630101,145.883210,61.332859,98.663906,92.981422,37.352292,0.319507
0.020000,117.538375,146.517015,63.343635,100.538760,93.742747,38.066262,0.321760
0.020000,119.481209,147.166698,65.392218,102.429148,94.519371,38.831185,0.323580
0.020000,121.459142,147.831627,67.478925,104.335378,95.311487,39.605786,0.324949
0.020000,123.472750,148.511090,69.604081,106.257810,96.121599,40.505605,0.325844
0.020000,125.515319,149.201803,71.760275,107.809712,77.595107,-926.324583,0.326246
0.020000,127.569097,149.896644,73.928410,108.406714,29.850108,-2387.249975,0.326140
0.020000,129.616076,150.588369,76.089106,108.034808,-18.595317,-2422.271226,0.325532
0.020000,131.645240,151.272150,78.230381,107.063767,-48.552022,-1497.835273,0.324439
0.020000,133.652828,151.945698,80.347945,105.878191,-59.278816,-536.339697,0.322883
0.020000,135.638813,152.608071,82.441477,104.676599,-60.079572,-40.037762,0.320885
0.020000,137.603146,153.258400,84.510663,103.459303,-60.864796,-39.261227,0.318464
0.020000,139.545753,153.895886,86.555196,102.226624,-61.633971,-38.458720,0.315639
0.020000,141.466541,154.519798,88.574773,100.978853,-62.388543,-37.728632,0.312431
0.020000,143.365391,155.129471,90.569098,99.716260,-63.129674,-37.056529,0.308858
0.020000,145.242161,155.724306,92.537878,98.438994,-63.863308,-36.681730,0.304937
0.020000,147.096688,156.303763,94.480824,97.147307,-64.584347,-36.051955,0.300689
0.020000,148.928784,156.867367,96.397651,95.841369,-65.296893,-35.627285,0.296130
0.020000,150.738242,157.414700,98.288077,94.521301,-66.003404,-35.325554,0.291280
0.020000,152.524831,157.945400,100.151821,93.187206,-66.704754,-35.067484,0.286154
0.020000,154.288302,158.459165,101.988608,91.839341,-67.393203,-34.422457,0.280772
0.020000,156.028385,158.955745,103.798161,90.477638,-68.085192,-34.599459,0.275151
0.020000,157.744794,159.434943,105.580207,89.102299,-68.766940,-34.087396,0.269307
0.020000,159.437222,159.896615,107.334475,87.713399,-69.444985,-33.902260,0.263259
0.020000,161.105353,160.340667,109.060697,86.311085,-70.115708,-33.536112,0.257023
0.020000,162.748850,160.767053,110.758604,84.895367,-70.785901,-33.509655,0.250616
0.020000,164.367370,161.175775,112.427933,83.466471,-71.444822,-32.946056,0.244055
0.020000,165.960555,161.566880,114.068422,82.024413,-72.102888,-32.903305,0.237356
0.020000,167.528040,161.940461,115.679809,80.569384,-72.751451,-32.428159,0.230537
0.020000,169.069451,162.296650,117.261839,79.101506,-73.393898,-32.122342,0.223614
0.020000,170.584410,162.635624,118.814258,77.620936,-74.028473,-31.728775,0.216601
0.020000,172.072535,162.957596,120.336815,76.127863,-74.653675,-31.260072,0.209517
0.020000,173.533441,163.262815,121.829265,74.622465,-75.269892,-30.810871,0.202375
0.020000,174.966743,163.551569,123.291364,73.104953,-75.875608,-30.285794,0.195192
0.020000,176.372058,163.824174,124.722875,71.575587,-76.468305,-29.634817,0.187983
0.020000,177.749006,164.080981,126.123566,70.034537,-77.052474,-29.208475,0.180762
0.020000,179.097210,164.322368,127.493210,68.482165,-77.618597,-28.306138,0.173544
0.020000,180.416301,164.548738,128.831583,66.918690,-78.173772,-27.758773,0.166342
0.020000,181.705917,164.760520,130.138472,65.344447,-78.712166,-26.919672,0.159172
0.020000,182.965701,164.958164,131.413666,63.759703,-79.237155,-26.249469,0.152045
0.020000,184.195311,165.142139,132.656964,62.164860,-79.742149,-25.249698,0.144974
0.020000,185.394411,165.312933,133.868166,60.560132,-80.236426,-24.713839,0.137973
0.020000,186.562682,165.471046,135.047087,58.946058,-80.703695,-23.363457,0.131054
0.020000,187.699810,165.616992,136.193544,57.322809,-81.162465,-22.938518,0.124226
0.020000,188.805501,165.751293,137.307361,55.690874,-81.596736,-21.713558,0.117503
0.020000,189.879471,165.874483,138.388374,54.050626,-82.012398,-20.783087,0.110894
0.020000,190.921452,165.987096,139.436422,52.402420,-82.410300,-19.895067,0.104410
0.020000,191.931187,166.089673,140.451353,50.746571,-82.792453,-19.107659,0.098060
0.020000,192.908436,166.182754,141.433025,49.083589,-83.149085,-17.831600,0.091853
0.020000,193.852972,166.266878,142.381300,47.413740,-83.492441,-17.167835,0.085798
0.020000,194.764584,166.342583,143.296050,45.737508,-83.811620,-15.958921,0.079903
0.020000,195.643070,166.410398,144.177150,44.054994,-84.125697,-15.703870,0.074176
0.020000,196.488251,166.470850,145.024490,42.367005,-84.399438,-13.687040,0.068624
0.020000,197.299948,166.524453,145.837956,40.673275,-84.686518,-14.353975,0.063254
0.020000,198.078015,166.571713,146.617456,38.975014,-84.913069,-11.327547,0.058072
0.020000,198.822296,166.613124,147.362888,37.271632,-85.169086,-12.800876,0.053085
0.020000,199.532666,166.649166,148.074172,35.564158,-85.373708,-10.231080,0.048298
0.020000,200.209001,166.680305,148.751223,33.852568,-85.579477,-10.288460,0.043715
0.020000,200.851194,166.706991,149.393970,32.137372,-85.759808,-9.016558,0.039343
0.020000,201.459133,166.729657,150.002332,30.418096,-85.963791,-10.199130,0.035184
0.020000,202.032743,166.748717,150.576259,28.696336,-86.087996,-6.210285,0.031244
0.020000,202.571938,166.764566,151.115686,26.971361,-86.248790,-8.039681,0.027526
0.020000,203.076643,166.777580,151.620559,25.243627,-86.386666,-6.893789,0.024033
0.020000,203.546797,166.788114,152.090831,23.513624,-86.500174,-5.675397,0.020768
0.020000,203.982343,166.796501,152.526458,21.781351,-86.613631,-5.672852,0.017735
0.020000,204.383233,166.803050,152.927402,20.047174,-86.708878,-4.762345,0.014935
0.020000,204.749416,166.808050,153.293619,18.310863,-86.815547,-5.333457,0.012372
0.020000,205.080862,166.811766,153.625085,16.573319,-86.877161,-3.080734,0.010047
0.020000,205.377528,166.814437,153.921763,14.833884,-86.971768,-4.730324,0.007961
