dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.283497,41.519697,0.007738,0.773815,38.690746,1934.537287,6.282464
0.020000,6.281795,41.519698,0.009440,0.085072,-34.437155,-3656.395049,6.282572
0.020000,6.278394,41.519699,0.012841,0.170085,4.250643,1934.389889,6.282788
0.020000,6.273294,41.519701,0.017941,0.254980,4.244744,-0.294946,6.283112
0.020000,6.369249,41.519718,0.113896,4.797761,227.139084,11144.717014,0.000358
0.020000,6.515527,41.519810,0.260174,7.313880,125.805915,-5066.658429,0.000897
0.020000,6.691072,41.520024,0.435719,8.777267,73.169375,-2631.827037,0.001542
0.020000,6.895893,41.520417,0.640540,10.241051,73.189202,0.991375,0.002295
0.020000,7.129996,41.521055,0.874644,11.705218,73.208342,0.956993,0.003153
0.020000,7.393389,41.522012,1.138040,13.169757,73.226941,0.929975,0.004117
0.020000,7.686079,41.523373,1.430733,14.634660,73.245167,0.911287,0.005185
0.020000,8.008085,41.525232,1.752743,16.100527,73.293360,2.409663,0.006358
0.020000,8.359409,41.527690,2.104076,17.566638,73.305533,0.608635,0.007634
0.020000,8.740067,41.530858,2.484747,19.033558,73.346009,2.023803,0.009012
0.020000,9.150073,41.534857,2.894773,20.501279,73.386024,2.000734,0.010492
0.020000,9.589441,41.539815,3.334169,21.969795,73.425843,1.990930,0.012073
0.020000,10.058184,41.545868,3.802951,23.439110,73.465745,1.995118,0.013753
0.020000,10.556318,41.553163,4.301138,24.909364,73.512672,2.346334,0.015531
0.020000,11.083861,41.561852,4.828753,26.380749,73.569285,2.830674,0.017406
0.020000,11.640829,41.572097,5.385815,27.853109,73.617979,2.434709,0.019377
0.020000,12.227239,41.584067,5.972347,29.326584,73.673763,2.789195,0.021442
0.020000,12.843109,41.597940,6.588373,30.801312,73.736401,3.131886,0.023599
0.020000,13.488458,41.613899,7.233919,32.277305,73.799622,3.161056,0.025847
0.020000,14.163303,41.632135,7.909011,33.754581,73.863809,3.209330,0.028185
0.020000,14.867669,41.652849,8.613681,35.233513,73.946624,4.140772,0.030610
0.020000,15.601568,41.676243,9.347954,36.713630,74.005805,2.959065,0.033120
0.020000,16.365028,41.702531,10.111866,38.195620,74.099510,4.685218,0.035714
