dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,6.257727,10.019707,0.000974,0.194889,19.488908,1948.890847,6.282270
0.010000,6.257975,10.019707,0.001222,0.024754,-17.013556,-3650.246494,6.282286
0.010000,6.258532,10.019707,0.001779,0.055693,3.093913,2010.746930,6.282321
0.010000,6.259522,10.019706,0.002769,0.099000,4.330703,123.678992,6.282384
0.010000,6.261007,10.019705,0.004254,0.148477,4.947709,61.700631,6.282479
0.010000,6.262986,10.019703,0.006233,0.197927,4.944979,-0.273047,6.282604
0.010000,6.265459,10.019702,0.008706,0.247340,4.941337,-0.364194,6.282761
0.010000,6.268426,10.019701,0.011673,0.296708,4.936782,-0.455454,6.282950
0.010000,6.271887,10.019701,0.015134,0.346021,4.931314,-0.546853,6.283169
0.010000,6.334247,10.019708,0.077494,6.236003,588.998243,58406.692922,0.000235
0.010000,6.408852,10.019736,0.152099,7.460567,122.456320,-46654.192286,0.000517
0.010000,6.491741,10.019792,0.234988,8.288892,82.832545,-3962.377457,0.000831
0.010000,6.582920,10.019883,0.326168,9.117927,82.903544,7.099879,0.001175
0.010000,6.682383,10.020019,0.425630,9.946254,82.832680,-7.086432,0.001551
0.010000,6.790127,10.020208,0.533375,10.774476,82.822223,-1.045662,0.001957
0.010000,6.906158,10.020460,0.649406,11.603103,82.862661,4.043772,0.002395
0.010000,7.030467,10.020787,0.773715,12.430877,82.777350,-8.531073,0.002863
0.010000,7.163059,10.021200,0.906307,13.259282,82.840520,6.316954,0.003362
0.010000,7.303927,10.021711,1.047177,14.086961,82.767953,-7.256689,0.003892
0.010000,7.453072,10.022333,1.196323,14.914636,82.767489,-0.046385,0.004453
0.010000,7.610496,10.023081,1.353749,15.742567,82.793078,2.558942,0.005044
0.010000,7.776190,10.023968,1.519446,16.569650,82.708291,-8.478727,0.005665
0.010000,7.950156,10.025010,1.693415,17.396898,82.724849,1.655748,0.006317
0.010000,8.132396,10.026224,1.875658,18.224341,82.744234,1.938562,0.006999
0.010000,8.322901,10.027625,2.066168,19.051039,82.669802,-7.443187,0.007711
0.010000,8.521670,10.029231,2.264944,19.877605,82.656604,-1.319854,0.008452
0.010000,8.728703,10.031061,2.471985,20.704017,82.641194,-1.540945,0.009224
0.010000,8.943995,10.033133,2.687287,21.530253,82.623603,-1.759103,0.010025
0.010000,9.167547,10.035467,2.910851,22.356425,82.617205,-0.639793,0.010856
0.010000,9.399355,10.038084,3.142674,23.182231,82.580575,-3.663088,0.011716
0.010000,9.639414,10.041003,3.382751,24.007710,82.547956,-3.261833,0.012605
0.010000,9.887722,10.044247,3.631080,24.832932,82.522215,-2.574099,0.013523
0.010000,10.144276,10.047838,3.887659,25.657877,82.494452,-2.776313,0.014471
0.010000,10.409074,10.051800,4.152487,26.482777,82.490066,-0.438590,0.015446
0.010000,10.682111,10.056155,4.425559,27.307213,82.443568,-4.649774,0.016451
0.010000,10.963384,10.060928,4.706872,28.131295,82.408180,-3.538861,0.017483
0.010000,11.252887,10.066143,4.996422,28.955019,82.372432,-3.574766,0.018544
0.010000,11.550616,10.071827,5.294206,29.778368,82.334847,-3.758520,0.019632
0.010000,11.856570,10.078005,5.600221,30.601552,82.318426,-1.642088,0.020749
0.010000,12.170745,10.084705,5.914468,31.424657,82.310529,-0.789667,0.021892
0.010000,12.493132,10.091953,6.236936,32.246846,82.218920,-9.160902,0.023063
0.010000,12.823728,10.099777,6.567624,33.068837,82.199063,-1.985767,0.024261
0.010000,13.162532,10.108206,6.906533,33.890888,82.205131,0.606861,0.025486
0.010000,13.509531,10.117269,7.253651,34.711752,82.086363,-11.876789,0.026737
0.010000,13.864729,10.126995,7.608982,35.533147,82.139471,5.310768,0.028015
0.010000,14.228112,10.137415,7.972514,36.353199,82.005210,-13.426146,0.029318
0.010000,14.599682,10.148559,8.344251,37.173710,82.051092,4.588186,0.030647
0.010000,14.979424,10.160458,8.724180,37.992897,81.918710,-13.238177,0.032002
0.010000,15.367342,10.173144,9.112306,38.812530,81.963292,4.458253,0.033382
0.010000,15.763423,10.186650,9.508616,39.631051,81.852082,-11.121031,0.034786
