dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.291016,41.519689,0.007768,0.776791,38.839538,1941.976905,6.281987
0.020000,6.288287,41.519692,0.010497,0.136447,-32.017184,-3542.836097,6.282160
0.020000,6.282831,41.519697,0.015953,0.272803,6.817816,1941.749993,6.282506
0.020000,6.274651,41.519700,0.024132,0.408978,6.808728,-0.454400,6.283026
0.020000,6.359388,41.519724,0.108870,4.236861,191.394175,9229.272358,0.000532
0.020000,6.501132,41.519861,0.250614,7.087195,142.516683,-2443.874631,0.001397
0.020000,6.671244,41.520186,0.420726,8.505597,70.920112,-3579.828529,0.002432
0.020000,6.869733,41.520789,0.619216,9.924514,70.945851,1.286953,0.003640
0.020000,7.096608,41.521771,0.846093,11.343840,70.966278,1.021374,0.005017
0.020000,7.351884,41.523249,1.101373,12.764035,71.009766,2.174368,0.006564
0.020000,7.635568,41.525355,1.385065,14.184563,71.026376,0.830530,0.008280
0.020000,7.947677,41.528233,1.697187,15.606101,71.076920,2.527166,0.010164
0.020000,8.288225,41.532044,2.037756,17.028473,71.118566,2.082294,0.012214
0.020000,8.657237,41.536960,2.406801,18.452230,71.187874,3.465417,0.014429
0.020000,9.054723,41.543169,2.804335,19.876725,71.224730,1.842810,0.016808
0.020000,9.480703,41.550871,3.230385,21.302491,71.288308,3.178888,0.019349
0.020000,9.935197,41.560281,3.684977,22.729583,71.354610,3.315095,0.022051
0.020000,10.418235,41.571625,4.168148,24.158572,71.449433,4.741144,0.024911
0.020000,10.929824,41.585145,4.679915,25.588365,71.489685,2.012614,0.027928
0.020000,11.470001,41.601093,5.220328,27.020634,71.613427,6.187092,0.031099
0.020000,12.038779,41.619734,5.789412,28.454175,71.677080,3.182679,0.034423
0.020000,12.636185,41.641347,6.387208,29.889846,71.783545,5.323213,0.037897
0.020000,13.262245,41.666220,7.013762,31.327657,71.890553,5.350391,0.041517
0.020000,13.916980,41.694654,7.669114,32.767640,71.999126,5.428683,0.045282
0.020000,14.600416,41.726961,8.353313,34.209923,72.114166,5.752001,0.049188
0.020000,15.312585,41.763465,9.066417,35.655201,72.263874,7.485376,0.053231
0.020000,16.053502,41.804496,9.808469,37.102619,72.370935,5.353040,0.057410
