dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.272138,25.769701,0.007768,0.776791,38.839538,1941.976905,6.281987
0.020000,6.272138,25.769701,0.038840,2.330372,77.679076,1941.976905,6.282160
0.020000,6.272138,25.769701,0.100983,3.883954,77.679076,0.000000,6.282506
0.020000,6.272138,25.769701,0.194198,5.437535,77.679076,0.000000,6.283026
0.020000,6.367773,25.769726,0.318484,6.991117,77.679076,-0.000000,0.000532
0.020000,6.523128,25.769876,0.473842,8.544698,77.679076,0.000000,0.001397
0.020000,6.709555,25.770233,0.660272,10.098280,77.679076,0.000000,0.002432
0.020000,6.927056,25.770893,0.877774,11.651861,77.679076,-0.000000,0.003640
0.020000,7.175627,25.771969,1.126347,13.205443,77.679076,0.000000,0.005017
0.020000,7.455271,25.773589,1.405991,14.759024,77.679076,-0.000000,0.006564
0.020000,7.765978,25.775895,1.716708,16.312606,77.679076,0.000000,0.008280
0.020000,8.107751,25.779047,2.058496,17.866188,77.679076,0.000000,0.010164
0.020000,8.480584,25.783219,2.431355,19.419769,77.679076,-0.000000,0.012214
0.020000,8.884482,25.788600,2.835286,20.973351,77.679076,0.000000,0.014429
0.020000,9.319432,25.795394,3.270289,22.526932,77.679076,-0.000000,0.016808
0.020000,9.785429,25.803819,3.736364,24.080514,77.679076,0.000000,0.019349
0.020000,10.282465,25.814110,4.233510,25.634095,77.679076,-0.000000,0.022051
0.020000,10.810542,25.826512,4.761727,27.187677,77.679076,0.000000,0.024911
0.020000,11.369631,25.841287,5.321017,28.741258,77.679076,0.000000,0.027928
0.020000,11.959739,25.858709,5.911378,30.294840,77.679076,-0.000000,0.031099
0.020000,12.580838,25.879065,6.532810,31.848421,77.679076,0.000000,0.034423
0.020000,13.232914,25.902655,7.185315,33.402003,77.679076,0.000000,0.037897
0.020000,13.915951,25.929792,7.868890,34.955584,77.679076,0.000000,0.041517
0.020000,14.629924,25.960799,8.583538,36.509166,77.679076,-0.000000,0.045282
0.020000,15.374808,25.996010,9.329257,38.062747,77.679076,0.000000,0.049188
0.020000,16.150583,26.035774,10.106048,39.616329,77.679076,0.000000,0.053231
0.020000,16.957207,26.080444,10.913910,41.169910,77.679076,0.000000,0.057410
0.020000,17.794650,26.130387,11.752844,42.723492,77.679076,0.000000,0.061719
0.020000,18.662877,26.185977,12.622850,44.277073,77.679076,-0.000000,0.066155
0.020000,19.561845,26.247597,13.523927,45.830655,77.679076,0.000000,0.070714
0.020000,20.491508,26.315636,14.456076,47.384236,77.679076,0.000000,0.075392
0.020000,21.451815,26.390490,15.419297,48.937818,77.679076,0.000000,0.080184
0.020000,22.442712,26.472564,16.413589,50.491400,77.679076,0.000000,0.085086
0.020000,23.464143,26.562264,17.438953,52.044981,77.679076,-0.000000,0.090092
0.020000,24.516047,26.660001,18.495388,53.598563,77.679076,0.000000,0.095197
0.020000,25.598356,26.766192,19.582895,55.152144,77.679076,0.000000,0.100397
0.020000,26.710999,26.881253,20.701474,56.705726,77.679076,0.000000,0.105684
0.020000,27.853902,27.005602,21.851124,58.259307,77.679076,0.000000,0.111054
0.020000,29.026988,27.139659,23.031846,59.812889,77.679076,-0.000000,0.116501
0.020000,30.230171,27.283841,24.243640,61.366470,77.679076,0.000000,0.122017
0.020000,31.463367,27.438565,25.486505,62.920052,77.679076,0.000000,0.127597
0.020000,32.726482,27.604243,26.760442,64.473633,77.679076,-0.000000,0.133233
0.020000,34.019424,27.781285,28.065450,66.027215,77.679076,0.000000,0.138919
0.020000,35.342094,27.970094,29.401530,67.580796,77.679076,0.000000,0.144647
0.020000,36.694391,28.171067,30.768682,69.134378,77.679076,0.000000,0.150409
0.020000,38.076211,28.384594,32.166905,70.687959,77.679076,-0.000000,0.156199
0.020000,39.487450,28.611056,33.596200,72.241541,77.679076,0.000000,0.162009
0.020000,40.927997,28.850821,35.056567,73.795122,77.679076,0.000000,0.167829
0.020000,42.397744,29.104250,36.548005,75.348704,77.679076,0.000000,0.173653
0.020000,43.896579,29.371688,38.070515,76.902285,77.679076,0.000000,0.179471
0.020000,45.424390,29.653468,39.624097,78.455867,77.679076,-0.000000,0.185275
0.020000,46.981067,29.949906,41.208750,80.009448,77.679076,0.000000,0.191056
0.020000,48.566498,30.261304,42.824475,81.563030,77.679076,0.000000,0.196806
0.020000,50.180572,30.587945,44.471271,83.116612,77.679076,0.000000,0.202515
