dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.253259,10.019712,0.007768,0.776791,38.839538,1941.976905,6.281987
0.020000,6.255988,10.019709,0.010497,0.136447,-32.017184,-3542.836097,6.282160
0.020000,6.261444,10.019704,0.015953,0.272803,6.817816,1941.749993,6.282506
0.020000,6.269624,10.019701,0.024132,0.408978,6.808728,-0.454400,6.283026
0.020000,6.376158,10.019728,0.130667,5.326722,245.887196,11953.923412,0.000532
0.020000,6.545123,10.019891,0.299632,8.448250,156.076429,-4490.538361,0.001397
0.020000,6.747867,10.020280,0.502375,10.137175,84.446232,-3581.509854,0.002432
0.020000,6.984379,10.020998,0.738889,11.825677,84.425116,-1.055789,0.003640
0.020000,7.254645,10.022167,1.009158,13.513447,84.388468,-1.832403,0.005017
0.020000,7.558657,10.023928,1.313175,15.200843,84.369827,-0.932046,0.006564
0.020000,7.896389,10.026435,1.650915,16.887032,84.309424,-3.020153,0.008280
0.020000,8.267825,10.029860,2.022368,18.572619,84.279354,-1.503485,0.010164
0.020000,8.672943,10.034393,2.427511,20.257184,84.228257,-2.554879,0.012214
0.020000,9.111728,10.040239,2.866335,21.941169,84.199242,-1.450730,0.014429
0.020000,9.584142,10.047618,3.338806,23.623577,84.120405,-3.941883,0.016808
0.020000,10.090155,10.056767,3.844903,25.304811,84.061693,-2.935588,0.019349
0.020000,10.629734,10.067939,4.384596,26.984693,83.994103,-3.379514,0.022051
0.020000,11.202848,10.081399,4.957869,28.663648,83.947764,-2.316915,0.024911
0.020000,11.809439,10.097429,5.564672,30.340120,83.823606,-6.207926,0.027928
0.020000,12.449477,10.116325,6.204988,32.015818,83.784894,-1.935612,0.031099
0.020000,13.122896,10.138396,6.878769,33.689035,83.660853,-6.202023,0.034423
0.020000,13.829643,10.163964,7.585979,35.360494,83.572949,-4.395207,0.037897
0.020000,14.569658,10.193364,8.326577,37.029905,83.470550,-5.119950,0.041517
0.020000,15.342869,10.226943,9.100517,38.696993,83.354374,-5.808801,0.045282
0.020000,16.149200,10.265060,9.907748,40.361587,83.229719,-6.232737,0.049188
0.020000,16.988582,10.308083,10.748232,42.024173,83.129315,-5.020226,0.053231
0.020000,17.860913,10.356392,11.621900,43.683404,82.961527,-8.389368,0.057410
0.020000,18.766104,10.410375,12.528700,45.339987,82.829176,-6.617568,0.061719
0.020000,19.704059,10.470429,13.468575,46.993756,82.688429,-7.037367,0.066155
0.020000,20.674665,10.536959,14.441459,48.644189,82.521657,-8.338558,0.070714
0.020000,21.677809,10.610376,15.447286,50.291349,82.358009,-8.182431,0.075392
0.020000,22.713363,10.691096,16.485981,51.934756,82.170340,-9.383459,0.080184
0.020000,23.781196,10.779541,17.557470,53.574484,81.986393,-9.197323,0.085086
0.020000,24.881172,10.876138,18.661679,55.210426,81.797112,-9.464066,0.090092
0.020000,26.013142,10.981315,19.798525,56.842309,81.594163,-10.147467,0.095197
0.020000,27.176950,11.095502,20.967921,58.469801,81.374590,-10.978619,0.100397
0.020000,28.372432,11.219128,22.169779,60.092877,81.153773,-11.040860,0.105684
0.020000,29.599417,11.352625,23.404004,61.711283,80.920290,-11.674136,0.111054
0.020000,30.857729,11.496421,24.670506,63.325080,80.689879,-11.520552,0.116501
0.020000,32.147176,11.650940,25.969178,64.933619,80.426933,-13.147331,0.122017
0.020000,33.467567,11.816603,27.299922,66.537168,80.177483,-12.472496,0.127597
0.020000,34.818699,11.993826,28.662626,68.135220,79.902590,-13.744649,0.133233
0.020000,36.200362,12.183016,30.057182,69.727805,79.629249,-13.667012,0.138919
0.020000,37.612342,12.384573,31.483476,71.314694,79.344444,-14.240251,0.144647
0.020000,39.054418,12.598888,32.941390,72.895686,79.049580,-14.743218,0.150409
0.020000,40.526360,12.826340,34.430802,74.470612,78.746326,-15.162682,0.156199
0.020000,42.027940,13.067298,35.951592,76.039478,78.443266,-15.153028,0.162009
0.020000,43.558916,13.322113,37.503629,77.601857,78.118972,-16.214687,0.167829
0.020000,45.119049,13.591126,39.086785,79.157802,77.797271,-16.085059,0.173653
0.020000,46.708094,13.874660,40.700928,80.707136,77.466701,-16.528490,0.179471
0.020000,48.325805,14.173019,42.345922,82.249704,77.128359,-16.917107,0.185275
0.020000,49.971931,14.486490,44.021629,83.785375,76.783548,-17.240542,0.191056
0.020000,51.646222,14.815341,45.727910,85.314043,76.433412,-17.506813,0.196806
0.020000,53.348429,15.159815,47.464622,86.835602,76.077950,-17.773094,0.202515
0.020000,55.078300,15.520136,49.231621,88.349953,75.717546,-18.020203,0.208174
0.020000,56.835587,15.896503,51.028760,89.856963,75.350510,-18.351781,0.213775
0.020000,58.620043,16.289091,52.855892,91.356590,74.981347,-18.458147,0.219306
0.020000,60.431427,16.698047,54.712867,92.848729,74.606981,-18.718322,0.224760
0.020000,62.269498,17.123492,56.599533,94.333302,74.228620,-18.918032,0.230126
0.020000,64.134021,17.565520,58.515736,95.810185,73.844140,-19.224015,0.235394
0.020000,66.024771,18.024194,60.461326,97.279456,73.463557,-19.029151,0.240556
0.020000,67.941524,18.499546,62.436142,98.740837,73.069059,-19.724922,0.245600
0.020000,69.884068,18.991580,64.440032,100.194474,72.681838,-19.361047,0.250518
0.020000,71.852197,19.500263,66.472836,101.640191,72.285874,-19.798187,0.255298
0.020000,73.845716,20.025533,68.534395,103.077949,71.887876,-19.899895,0.259932
0.020000,75.864439,20.567290,70.624549,104.507711,71.488094,-19.989092,0.264408
0.020000,77.908193,21.125401,72.743138,105.929442,71.086557,-20.076864,0.268717
0.020000,79.976813,21.699694,74.889996,107.342925,70.674178,-20.618957,0.272847
0.020000,82.070152,22.289963,77.064964,108.748379,70.272701,-20.073853,0.276790
0.020000,84.188070,22.895961,79.267873,110.145475,69.854777,-20.896172,0.280534
0.020000,86.330444,23.517402,81.498559,111.534272,69.439837,-20.747009,0.284069
0.020000,88.497166,24.153960,83.756852,112.914689,69.020853,-20.949207,0.287384
0.020000,90.688141,24.805267,86.042585,114.286618,68.596453,-21.220015,0.290468
0.020000,92.903288,25.470912,88.355583,115.649896,68.163902,-21.627516,0.293310
0.020000,95.142545,26.150440,90.695674,117.004581,67.734270,-21.481596,0.295900
0.020000,97.405862,26.843351,93.062682,118.350406,67.291222,-22.152429,0.298227
0.020000,99.693206,27.549099,95.456429,119.687343,66.846846,-22.218812,0.300278
0.020000,102.004561,28.267089,97.876733,121.015183,66.392000,-22.742272,0.302042
0.020000,104.339925,28.996676,100.323409,122.333794,65.930593,-23.070376,0.303508
0.020000,106.699313,29.737167,102.796269,123.643024,65.461497,-23.454759,0.304663
0.020000,109.082756,30.487814,105.295123,124.942694,64.983487,-23.900513,0.305497
0.020000,111.490299,31.247815,107.819775,126.232599,64.495272,-24.410748,0.305995
0.020000,113.922004,32.016314,110.370025,127.512511,63.995574,-24.984889,0.306146
0.020000,116.377944,32.792394,112.945670,128.782225,63.485690,-25.494242,0.305936
0.020000,118.858209,33.575083,115.546500,130.041487,62.963107,-26.129106,0.305353
0.020000,121.362900,34.363342,118.172301,131.290055,62.428401,-26.735321,0.304382
0.020000,123.892132,35.156072,120.822854,132.527662,61.880376,-27.401232,0.303011
0.020000,126.446027,35.952107,123.497934,133.754021,61.317950,-28.121319,0.301223
0.020000,129.024721,36.750212,126.197311,134.968826,60.740222,-28.886415,0.299006
0.020000,131.628357,37.549083,128.920749,136.171893,60.153350,-29.343558,0.296343
0.020000,134.257082,38.347342,131.668004,137.362780,59.544357,-30.449683,0.293220
0.020000,136.911051,39.143536,134.438831,138.541307,58.926334,-30.901135,0.289620
0.020000,139.590422,39.936136,137.232974,139.707190,58.294187,-31.607354,0.285529
0.020000,142.295351,40.723531,140.050177,140.860155,57.648234,-32.297638,0.280928
0.020000,145.025994,41.504031,142.890176,141.999943,56.989394,-32.941998,0.275803
0.020000,147.782503,42.275859,145.752703,143.126356,56.320665,-33.436488,0.270134
0.020000,150.565025,43.037156,148.637490,144.239353,55.649858,-33.540319,0.263907
0.020000,153.373691,43.785973,151.544264,145.338673,54.965984,-34.193730,0.257102
0.020000,156.208623,44.520274,154.472752,146.424383,54.285493,-34.024516,0.249704
0.020000,159.069927,45.237933,157.422683,147.496553,53.608474,-33.850978,0.241694
0.020000,161.950469,45.935021,160.386372,148.184490,34.396860,-960.580708,0.233079
0.020000,164.832579,46.605407,163.345422,147.952472,-11.600894,-2299.887696,0.223903
0.020000,167.698610,47.243636,166.281656,146.811693,-57.038960,-2271.903305,0.214227
0.020000,170.537579,47.846398,169.183908,145.112623,-84.953497,-1395.726807,0.204101
0.020000,173.345697,48.412340,172.048487,143.228962,-94.183025,-461.476442,0.193555
0.020000,176.123022,48.941082,174.875696,141.360407,-93.427759,37.763314,0.182610
0.020000,178.869586,49.432339,177.665847,139.507563,-92.642210,39.277473,0.171285
0.020000,181.585389,49.885910,180.419265,137.670907,-91.832799,40.470555,0.159600
0.020000,184.270411,50.301685,183.136288,135.851167,-90.987012,42.289311,0.147578
0.020000,186.924612,50.679639,185.817264,134.048802,-90.118228,43.439244,0.135239
0.020000,189.547933,51.019833,188.462551,132.264326,-89.223806,44.721078,0.122608
0.020000,192.140299,51.322410,191.072516,130.498251,-88.303755,46.002551,0.109706
0.020000,194.701630,51.587596,193.647538,128.751092,-87.357964,47.289549,0.096559
0.020000,197.231832,51.815695,196.188001,127.023153,-86.396916,48.052398,0.083190
0.020000,199.730807,52.007085,198.694294,125.314664,-85.424457,48.622965,0.069625
0.020000,202.198453,52.162222,201.166812,123.625880,-84.439192,49.263235,0.055888
0.020000,204.634670,52.281627,203.605953,121.957087,-83.439648,49.977224,0.042005
0.020000,207.039358,52.365893,206.012117,120.308191,-82.444837,49.740524,0.028001
0.020000,209.412419,52.415673,208.385701,118.679180,-81.450546,49.714550,0.013901
0.020000,211.753751,52.431678,210.727087,117.069327,-80.492651,47.894740,6.282915
0.020000,214.063281,52.414679,213.036679,115.479608,-79.485907,50.337209,6.268697
0.020000,216.340922,52.365496,215.314852,113.908628,-78.549025,46.844094,6.254457
0.020000,218.586598,52.284995,217.561970,112.355891,-77.636841,45.609185,6.240219
0.020000,220.527096,52.186011,219.504991,97.151074,-760.240866,-34130.201213,6.214345
0.020000,222.158783,52.032401,221.143892,81.945056,-760.300893,-3.001385,6.165445
0.020000,223.833671,51.796223,222.835350,84.572891,131.391733,44584.631341,6.121852
0.020000,225.547197,51.482551,224.577350,87.099981,126.354500,-251.861682,6.083440
0.020000,227.293988,51.097521,226.366072,89.436122,116.807088,-477.370562,6.049965
0.020000,229.068596,50.648044,228.196718,91.532282,104.807974,-599.955708,6.021123
0.020000,230.865981,50.141472,230.064125,93.370329,91.902370,-645.280215,5.996587
0.020000,232.681772,49.585308,231.963180,94.952788,79.122942,-638.971389,5.976033
0.020000,234.512354,48.986983,233.889063,96.294130,67.067087,-602.792755,5.959154
0.020000,236.354879,48.353697,235.837383,97.415997,56.093348,-548.686980,5.945672
0.020000,238.207207,47.692327,237.804240,98.342874,46.343858,-487.474493,5.935339
0.020000,240.067824,47.009381,239.786238,99.099862,37.849416,-424.722101,5.927941
0.020000,241.935751,46.310989,241.780455,99.710853,30.549560,-364.992787,5.923290
