dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.982697,42.748116,0.007708,0.770833,38.541648,1927.082383,6.282116
0.020000,18.979703,42.748118,0.010702,0.149703,-31.056514,-3479.908088,6.282306
0.020000,18.973719,42.748123,0.016686,0.299176,7.473654,1926.508423,6.282686
0.020000,18.976065,42.748125,0.019032,0.117313,-9.093144,-828.339893,0.000070
0.020000,19.087468,42.748175,0.130435,5.570148,272.641749,14086.744619,0.000827
0.020000,19.226756,42.748356,0.269723,6.964411,69.713167,-10146.429116,0.001772
0.020000,19.393952,42.748747,0.436920,8.359828,69.770858,2.884576,0.002902
0.020000,19.589084,42.749441,0.632053,9.756633,69.840239,3.469061,0.004216
0.020000,19.812182,42.750549,0.855154,11.155055,69.921089,4.042468,0.005713
0.020000,20.063283,42.752194,1.106260,12.555331,70.013798,4.635486,0.007388
0.020000,20.342428,42.754515,1.385414,13.957705,70.118695,5.244819,0.009241
0.020000,20.649660,42.757666,1.692663,15.362414,70.235448,5.837640,0.011268
0.020000,20.985028,42.761814,2.028056,16.769688,70.363698,6.412526,0.013465
0.020000,21.348585,42.767140,2.391652,18.179777,70.504476,7.038904,0.015829
0.020000,21.740386,42.773838,2.783511,19.592942,70.658253,7.688856,0.018356
0.020000,22.160492,42.782116,3.203698,21.009366,70.821171,8.145884,0.021043
0.020000,22.608967,42.792193,3.652286,22.429389,71.001186,9.000750,0.023884
0.020000,23.085877,42.804301,4.129350,23.853180,71.189545,9.417943,0.026875
0.020000,23.591292,42.818681,4.634969,25.280995,71.390744,10.059975,0.030010
0.020000,24.125286,42.835588,5.169231,26.713102,71.605323,10.728951,0.033284
0.020000,24.687937,42.855284,5.732227,28.149777,71.833784,11.423043,0.036692
0.020000,25.279324,42.878042,6.324051,29.591207,72.071496,11.885611,0.040227
0.020000,25.899529,42.904142,6.944805,31.037705,72.324872,12.668777,0.043882
0.020000,26.548636,42.933874,7.594593,32.489401,72.584798,12.996293,0.047652
0.020000,27.226735,42.967533,8.273527,33.946663,72.863130,13.916604,0.051530
0.020000,27.933913,43.005420,8.981719,35.409611,73.147388,14.212893,0.055507
0.020000,28.670264,43.047842,9.719291,36.878628,73.450854,15.173297,0.059576
0.020000,29.435884,43.095110,10.486368,38.353854,73.761288,15.521703,0.063730
0.020000,30.230868,43.147537,11.283079,39.835549,74.084766,16.173898,0.067960
0.020000,31.055313,43.205439,12.109556,41.323817,74.413398,16.431601,0.072258
0.020000,31.909323,43.269133,12.965937,42.819083,74.763290,17.494620,0.076614
0.020000,32.792997,43.338934,13.852364,44.321341,75.112893,17.480117,0.081021
0.020000,33.706443,43.415158,14.768985,45.831022,75.484079,18.559346,0.085468
0.020000,34.649766,43.498117,15.715949,47.348201,75.858917,18.741902,0.089947
0.020000,35.623076,43.588118,16.693411,48.873112,76.245563,19.332283,0.094446
0.020000,36.626481,43.685464,17.701527,50.405790,76.633923,19.417982,0.098957
0.020000,37.660096,43.790450,18.740460,51.946663,77.043649,20.486327,0.103470
0.020000,38.724034,43.903365,19.810373,53.495661,77.449897,20.312391,0.107972
0.020000,39.818417,44.024485,20.911437,55.053208,77.877320,21.371158,0.112455
0.020000,40.943362,44.154079,22.043823,56.619291,78.304154,21.341698,0.116906
0.020000,42.098997,44.292399,23.207706,58.194140,78.742476,21.916067,0.121316
0.020000,43.285444,44.439685,24.403261,59.777730,79.179471,21.849767,0.125672
0.020000,44.502838,44.596161,25.630670,61.370457,79.636358,22.844367,0.129964
0.020000,45.751312,44.762034,26.890114,62.972219,80.088079,22.586050,0.134179
0.020000,47.031008,44.937490,28.181782,64.583403,80.559220,23.557018,0.138305
0.020000,48.342071,45.122697,29.505862,66.203991,81.029387,23.508355,0.142332
0.020000,49.684652,45.317797,30.862545,67.834132,81.507049,23.883091,0.146246
0.020000,51.058906,45.522908,32.252022,69.473855,81.986167,23.955910,0.150036
0.020000,52.465001,45.738125,33.674492,71.123509,82.482725,24.827902,0.153689
0.020000,53.903107,45.963511,35.130153,72.783040,82.976544,24.690970,0.157191
0.020000,55.373406,46.199101,36.619206,74.452676,83.481773,25.261454,0.160532
0.020000,56.876089,46.444897,38.141859,76.132642,83.998317,25.827173,0.163697
0.020000,58.411354,46.700865,39.698316,77.822849,84.510336,25.600973,0.166673
0.020000,59.979414,46.966939,41.288790,79.523676,85.041335,26.549924,0.169447
0.020000,61.580491,47.243010,42.913494,81.235236,85.578021,26.834332,0.172005
0.020000,63.214824,47.528930,44.572648,82.957708,86.123600,27.278912,0.174334
0.020000,64.882659,47.824507,46.266473,84.691215,86.675357,27.587897,0.176419
0.020000,66.584264,48.129505,47.995196,86.436143,87.246394,28.551833,0.178246
