dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.965851,26.998125,0.007708,0.770833,38.541648,1927.082383,6.282116
0.020000,18.965851,26.998125,0.038542,2.312499,77.083295,1927.082383,6.282306
0.020000,18.965851,26.998125,0.100208,3.854165,77.083295,0.000000,6.282686
0.020000,18.977161,26.998125,0.192708,5.395831,77.083295,0.000000,0.000070
0.020000,19.100494,26.998180,0.316042,6.937497,77.083295,-0.000000,0.000827
0.020000,19.254660,26.998381,0.470208,8.479162,77.083295,0.000000,0.001772
0.020000,19.439660,26.998813,0.655208,10.020828,77.083295,-0.000000,0.002902
0.020000,19.655491,26.999581,0.871041,11.562494,77.083295,0.000000,0.004216
0.020000,19.902155,27.000806,1.117708,13.104160,77.083295,-0.000000,0.005713
0.020000,20.179649,27.002624,1.395208,14.645826,77.083295,0.000000,0.007388
0.020000,20.487971,27.005188,1.703541,16.187492,77.083295,-0.000000,0.009241
0.020000,20.827120,27.008666,2.042707,17.729158,77.083295,0.000000,0.011268
0.020000,21.197091,27.013242,2.412707,19.270824,77.083295,0.000000,0.013465
0.020000,21.597881,27.019113,2.813540,20.812490,77.083295,0.000000,0.015829
0.020000,22.029484,27.026492,3.245207,22.354156,77.083295,-0.000000,0.018356
0.020000,22.491894,27.035603,3.707707,23.895822,77.083295,0.000000,0.021043
0.020000,22.985102,27.046685,4.201040,25.437487,77.083295,-0.000000,0.023884
0.020000,23.509100,27.059988,4.725206,26.979153,77.083295,0.000000,0.026875
0.020000,24.063875,27.075773,5.280206,28.520819,77.083295,-0.000000,0.030010
0.020000,24.649414,27.094311,5.866039,30.062485,77.083295,0.000000,0.033284
0.020000,25.265702,27.115885,6.482705,31.604151,77.083295,0.000000,0.036692
0.020000,25.912722,27.140783,7.130205,33.145817,77.083295,-0.000000,0.040227
0.020000,26.590456,27.169304,7.808538,34.687483,77.083295,0.000000,0.043882
0.020000,27.298879,27.201753,8.517704,36.229149,77.083295,-0.000000,0.047652
0.020000,28.037968,27.238439,9.257704,37.770815,77.083295,0.000000,0.051530
0.020000,28.807696,27.279677,10.028537,39.312481,77.083295,-0.000000,0.055507
0.020000,29.608034,27.325785,10.830203,40.854147,77.083295,0.000000,0.059576
0.020000,30.438951,27.377084,11.662703,42.395812,77.083295,0.000000,0.063730
0.020000,31.300413,27.433894,12.526035,43.937478,77.083295,-0.000000,0.067960
0.020000,32.192381,27.496538,13.420202,45.479144,77.083295,0.000000,0.072258
0.020000,33.114819,27.565335,14.345201,47.020810,77.083295,0.000000,0.076614
0.020000,34.067682,27.640601,15.301034,48.562476,77.083295,-0.000000,0.081021
0.020000,35.050929,27.722649,16.287700,50.104142,77.083295,0.000000,0.085468
0.020000,36.064516,27.811786,17.305200,51.645808,77.083295,0.000000,0.089947
0.020000,37.108396,27.908312,18.353533,53.187474,77.083295,0.000000,0.094446
